date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024/09/29,3:05 PM.,PHI,WSH,home,Overcast.,69,605400,C,4,0,2,0,0,0,0,0,0,2,1,.246,.306,.316,.622,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,90.0,103.0,99.0,100.0,109.0,106.0,,,,,,,0.204,0.278,,,0.81,,-0.34,,92.5,,91.5,,0.313,0.475,0.136,,,,,,,0.168,0.318,0.224,78.0,102.0,91.0,,,,,0.096,,-1.67,85.7,,0.279,0.426,0.135,69.0,99.0,92.0,0.092,-2.57,87.5,0.389,0.796,0.178,,,,0.221,0.381,0.37,135.0,106.0,113.0,0.329,0.94,79.1,,,
2024/09/25,6:45 PM.,KC,WSH,home,Overcast.,71,547179,C,3,0,0,0,0,0,0,0,1,1,1,.226,.293,.302,.595,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,84.0,95.0,89.0,81.0,102.0,94.0,126.0,98.0,108.0,,,,0.212,0.272,,0.149,1.0,,-0.25,-1.51,93.8,,93.6,83.9,0.291,0.441,0.062,,,,0.19,0.429,0.291,0.155,0.309,0.184,93.0,101.0,99.0,102.0,93.0,96.0,0.079,0.188,0.02,1.94,84.6,81.7,0.122,0.173,0.373,94.0,92.0,91.0,0.1,0.04,90.1,0.235,0.51,0.236,0.368,0.632,0.253,0.217,0.348,0.352,,,,,,,,,
2024/09/20,1:20 PM.,CHC,WSH,away,Partly Cloudy.,82,592791,C,4,0,1,0,0,0,0,0,0,1,1,.240,.296,.320,.616,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,,,,0.109,0.296,,0.155,-0.27,,1.47,0.65,92.3,,92.5,80.4,0.219,0.297,0.085,,,,0.183,0.296,0.317,0.287,0.497,0.147,78.0,102.0,95.0,104.0,111.0,113.0,0.147,0.043,-1.04,-2.45,86.0,79.5,0.273,0.576,0.148,92.0,103.0,98.0,0.251,2.12,86.5,0.252,0.31,0.191,,,,0.232,0.424,0.23,,,,,,,,,
2024/09/18,7:10 PM.,NYM,WSH,away,Cloudy.,72,500779,C,2,0,0,0,0,0,0,0,1,2,1,.239,.300,.326,.626,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,92.0,85.0,76.0,97.0,91.0,,,,,,,0.304,0.225,,,-0.32,,0.82,,90.7,,90.8,,0.249,0.431,0.131,,,,,,,0.227,0.427,0.169,70.0,100.0,97.0,110.0,100.0,99.0,0.278,0.193,-0.04,0.5,85.7,77.7,0.203,0.26,0.367,,,,,,,,,,,,,0.265,0.444,0.264,,,,,,,0.195,0.366,0.284
2024/09/13,6:45 PM.,MIA,WSH,home,Partly Cloudy.,79,665795,C,3,1,0,0,0,0,0,1,0,0,0,.250,.298,.341,.639,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,97.0,91.0,87.0,110.0,94.0,95.0,114.0,102.0,105.0,,,,0.091,0.274,,0.085,-1.63,,0.07,1.65,96.3,,96.7,89.2,0.231,0.333,0.151,,,,,,,0.304,0.543,0.164,96.0,98.0,103.0,106.0,101.0,104.0,0.217,0.332,-0.03,0.15,93.0,84.8,0.206,0.321,0.338,,,,,,,,,,0.129,0.226,0.313,0.206,0.426,0.394,,,,,,,,,
2024/09/07,6:44 PM.,PIT,WSH,away,Partly Cloudy.,65,656605,C,3,3,2,0,0,0,0,1,1,0,1,.268,.318,.366,.684,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,86.0,103.0,96.0,82.0,102.0,94.0,129.0,100.0,109.0,,,,0.22,0.304,,0.25,0.3,,-0.26,-1.04,94.4,,93.4,84.7,0.266,0.405,0.125,,,,0.204,0.331,0.25,0.257,0.4,0.24,88.0,103.0,102.0,111.0,96.0,104.0,0.096,0.008,-0.11,-12.5,89.8,78.4,0.667,1.333,0.0,96.0,99.0,98.0,0.122,-1.0,90.4,0.272,0.593,0.195,0.338,0.636,0.248,0.233,0.442,0.293,,,,,,,,,
2024/08/31,4:05 PM.,CHC,WSH,home,Cloudy.,83,665871,C,4,0,2,0,0,0,0,0,0,0,1,.237,.275,.342,.617,665871,javierassad,Assad,Right,Javier Assad,CHC,3.73,4.97,147.0,99.0,85.0,94.0,0.843,7.59,3.86,8.76,1.22,1.13,0.263,0.373,0.146,0.301,0.422,68.0,102.0,92.0,75.0,101.0,92.0,114.0,94.0,100.0,,,,0.357,0.158,,0.107,-0.91,,0.51,-1.54,91.5,,91.4,80.1,0.236,0.373,0.111,,,,0.174,0.37,0.341,0.319,0.472,0.201,69.0,91.0,88.0,98.0,101.0,97.0,0.116,0.046,-0.4,-1.65,83.7,76.8,0.296,0.296,0.125,96.0,97.0,92.0,0.216,-0.73,87.9,0.315,0.583,0.142,0.364,0.636,0.368,0.178,0.329,0.3,,,,,,,,,
2024/08/25,12:06 PM.,ATL,WSH,away,Sunny.,82,625643,C,4,1,2,0,0,0,0,0,0,2,2,.206,.250,.324,.574,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,91.0,103.0,99.0,,,,113.0,100.0,105.0,,,,,0.552,,0.294,1.19,,,1.45,95.5,,,85.0,,,,,,,,,,0.266,0.369,0.165,75.0,110.0,105.0,84.0,99.0,104.0,0.116,0.038,1.61,-3.58,86.1,77.0,0.263,0.737,0.349,,,,,,,,,,0.168,0.257,0.443,0.151,0.264,0.364,,,,,,,,,
2024/08/24,7:21 PM.,ATL,WSH,away,Clear.,84,450203,DH,0,0,0,0,0,0,0,0,0,0,0,.167,.219,.300,.519,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,72.0,99.0,90.0,79.0,96.0,88.0,,,,,,,0.099,0.289,,,-1.4,,0.39,,94.1,,93.5,,0.333,0.433,0.07,,,,,,,0.281,0.517,0.193,86.0,97.0,93.0,122.0,98.0,108.0,0.424,0.11,0.78,-1.38,85.0,81.5,0.292,0.6,0.333,73.0,92.0,86.0,0.078,-0.75,88.5,0.286,0.571,0.149,,,,0.2,0.309,0.342,,,,,,,,,
2024/07/01,6:45 PM.,NYM,WSH,home,Partly Cloudy.,80,656849,PR,0,0,0,0,0,0,0,0,0,0,0,.167,.219,.300,.519,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.9,4.59,121.0,98.0,94.0,96.0,0.77,7.51,3.42,8.18,0.6,1.72,0.247,0.362,0.138,0.306,0.412,70.0,103.0,94.0,102.0,98.0,95.0,115.0,99.0,104.0,,,,0.31,0.265,,0.184,0.39,,1.83,-1.81,93.1,,91.9,85.1,0.253,0.36,0.16,,,,,,,0.22,0.266,0.287,97.0,90.0,93.0,83.0,102.0,100.0,0.076,0.164,0.11,0.03,84.7,79.1,0.211,0.324,0.271,,,,,,,,,,0.287,0.447,0.339,0.207,0.345,0.259,,,,,,,,,
