date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,KC%,wFO/C,wKC/C,vFO,vKC,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2024/09/28,6:41 PM.,LAA,TEX,away,Clear.,71,656288,C,5,0,0,0,0,0,0,0,0,1,5,.238,.313,.374,.687,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,73.0,94.0,86.0,76.0,89.0,78.0,107.0,100.0,110.0,0.01,0.376,0.24,0.267,-0.85,-6.83,-0.91,0.48,93.4,88.6,93.0,87.7,0.284,0.444,0.331,0.251,0.529,0.147,0.429,0.857,0.0,0.259,0.387,0.288,,,,,,,,,,,,,75.0,96.0,96.0,0.107,-0.86,80.6,0.271,0.438,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/27,6:40 PM.,LAA,TEX,away,Partly Cloudy.,69,672282,DH,4,1,3,1,0,1,1,0,0,0,0,.243,.318,.380,.698,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,0.468,0.244,0.142,-0.56,,-0.44,-1.18,93.8,84.7,,86.2,0.22,0.39,0.368,0.278,0.508,0.253,,,,0.351,0.544,0.319,,,,,,,,,,,,,89.0,100.0,103.0,0.146,-3.5,75.0,0.37,0.804,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/26,12:37 PM.,OAK,TEX,away,Sunny.,67,669372,C,3,0,0,0,0,0,0,0,0,1,1,.235,.313,.360,.673,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,72.0,76.0,78.0,100.0,102.0,99.0,107.0,102.0,103.0,0.511,0.035,0.309,0.146,1.23,-0.98,2.3,-0.36,92.2,87.0,92.9,85.3,0.158,0.237,0.355,0.0,0.0,0.333,0.319,0.472,0.205,0.389,0.556,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/21,6:07 PM.,SEA,TEX,home,Roof Closed.,74,676106,C,3,0,0,0,0,0,0,0,1,0,2,.238,.316,.364,.680,676106,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.94,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,76.0,103.0,94.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.326,0.165,0.211,0.6,-1.17,-3.11,0.03,93.4,86.5,93.2,84.1,0.3,0.6,0.317,0.253,0.443,0.226,0.323,0.538,0.149,0.185,0.323,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/19,1:37 PM.,TOR,TEX,home,Roof Closed.,74,592332,C,3,0,0,0,0,0,0,0,0,1,0,.241,.316,.368,.684,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.71,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,,,,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,0.054,0.528,0.084,,0.43,-3.21,-1.21,,93.9,,93.3,82.7,0.268,0.439,0.266,0.277,0.466,0.175,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,88.0,108.0,106.0,0.334,0.51,86.0,0.169,0.262,0.335,,,,,,,,,,,,,,,,,,,,,
2024/09/15,1:12 PM.,SEA,TEX,away,Cloudy.,58,669923,DH,3,0,0,0,0,0,0,0,0,0,1,.243,.320,.373,.693,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.339,0.237,,0.46,1.5,1.28,,96.0,,96.0,87.2,0.226,0.316,0.271,0.221,0.458,0.291,0.263,0.354,0.105,,,,97.0,99.0,93.0,0.004,0.79,92.3,,,,,,,,,,,,,0.333,0.439,0.286,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,114.0,110.0,113.0,,0.082,,-1.95,,83.4,,,,,,,,,,73.9,0.0,-3.5
2024/09/14,6:40 PM.,SEA,TEX,away,Roof Closed.,57,669302,C,4,2,2,0,0,0,0,0,0,0,0,.246,.323,.377,.700,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,0.015,0.308,0.32,,1.41,0.32,1.72,,96.6,,95.5,88.4,0.21,0.375,0.368,0.204,0.383,0.193,0.286,0.286,0.05,,,,116.0,104.0,103.0,0.106,0.14,92.3,0.247,0.483,0.272,,,,124.0,99.0,107.0,0.118,0.81,83.2,0.181,0.301,0.354,99.0,96.0,104.0,0.134,1.18,84.5,0.101,0.162,0.506,,,,,,,,,,,,,,,,,,,,,
2024/09/13,7:11 PM.,SEA,TEX,away,Roof Closed.,61,676106,DH,4,0,0,0,0,0,0,0,0,1,1,.242,.321,.375,.696,676106,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.94,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,76.0,103.0,94.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.326,0.165,0.211,0.6,-1.17,-3.11,0.03,93.4,86.5,93.2,84.1,0.3,0.6,0.317,0.253,0.443,0.226,0.323,0.538,0.149,0.185,0.323,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/11,12:41 PM.,AZ,TEX,away,Roof Closed.,78,518876,C,4,0,0,0,0,0,0,0,0,0,2,.246,.325,.381,.706,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,122.0,108.0,106.0,73.0,106.0,97.0,84.0,98.0,90.0,114.0,111.0,111.0,0.147,0.197,0.118,0.21,-0.76,-3.28,-0.18,4.47,91.9,88.4,92.3,85.6,0.273,0.455,0.394,0.26,0.54,0.204,0.378,0.644,0.086,0.099,0.099,0.315,95.0,103.0,98.0,0.252,0.01,90.3,0.276,0.5,0.109,,,,116.0,108.0,107.0,0.077,-1.78,82.2,0.25,0.55,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/08,1:37 PM.,LAA,TEX,home,Sunny.,81,702674,C,3,2,1,0,0,0,0,0,1,0,3,.250,.330,.387,.717,702674,cadendana,Dana,Right,Caden Dana,LAA,9.58,7.27,10.1,89.0,90.0,86.0,0.753,6.97,6.1,12.19,4.35,1.54,0.222,0.556,0.056,0.528,0.422,106.0,95.0,97.0,83.0,91.0,84.0,,,,99.0,87.0,89.0,,0.524,0.267,0.092,-7.53,,2.73,0.38,93.7,85.0,,85.4,0.077,0.308,0.375,0.462,1.038,0.167,,,,,,,76.0,95.0,79.0,0.044,0.23,86.3,,,,,,,99.0,68.0,81.0,0.073,-4.76,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
