date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,KC%,wFO/C,wKC/C,vFO,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
2024/04/29,6:40 PM.,MIL,TB,away,Roof Closed.,67,669060,C,0,0,0,0,0,0,0,0,0,0,0,.214,.292,.429,.721,669060,brysewilson,"Wilson, B",Right,Bryse Wilson,MIL,4.04,5.35,104.2,105.0,93.0,98.0,0.818,7.05,2.67,8.77,1.72,0.88,0.252,0.369,0.157,0.375,0.453,54.0,96.0,85.0,106.0,107.0,106.0,85.0,113.0,105.0,92.0,106.0,96.0,98.0,101.0,95.0,0.32,0.15,0.349,0.139,0.042,-3.09,1.16,1.31,-3.29,-0.91,93.6,88.8,88.0,93.1,80.4,0.236,0.368,0.134,,,,0.182,0.273,0.174,0.288,0.493,0.229,0.23,0.361,0.263,,,,,,,,,,0.309,0.709,0.229,,,,,,,,,,,,,,,,,,,,,
2024/04/28,1:10 PM.,CWS,TB,away,Cloudy.,69,607200,C,2,0,0,0,0,0,0,0,0,1,0,.214,.292,.429,.721,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,,,,17.0,112.0,76.0,76.0,105.0,93.0,78.0,104.0,97.0,0.308,0.003,0.323,,0.164,-6.18,0.43,0.59,,-0.54,92.9,89.9,87.7,93.0,,0.25,0.358,0.202,,,,0.228,0.351,0.165,0.5,0.5,0.0,0.262,0.47,0.232,126.0,101.0,106.0,0.202,1.28,83.5,,,,,,,,,,,,,,,,,,,,,,,,,0.165,0.309,0.251
2024/04/26,6:41 PM.,CWS,TB,away,Cloudy.,53,623167,C,2,1,1,1,0,0,1,0,1,0,0,.225,.304,.450,.754,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,83.0,98.0,101.0,2.0,93.0,82.0,74.0,108.0,87.0,47.0,101.0,90.0,0.002,0.37,0.261,0.122,0.157,-0.64,-0.75,2.01,0.43,-1.32,91.3,87.4,81.3,91.4,72.0,,,,,,,0.257,0.436,0.379,0.261,0.473,0.132,0.319,0.536,0.218,148.0,102.0,103.0,0.087,-2.65,80.0,0.361,0.475,0.271,0.246,0.393,0.308,,,,,,,,,,,,,,,,,,,,,
2024/04/22,6:50 PM.,DET,TB,home,Dome.,72,669373,C,2,0,0,0,0,0,0,0,1,1,0,.211,.279,.421,.700,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,,,,0.205,0.332,,,0.271,1.84,,1.25,,1.13,96.8,,86.3,96.6,,0.207,0.305,0.16,,,,0.216,0.322,0.461,0.197,0.286,0.277,,,,111.0,99.0,103.0,0.149,0.78,88.7,0.169,0.364,0.346,0.158,0.316,0.175,95.0,91.0,101.0,,0.042,,1.26,,78.5,,,,,,,,,,,,
2024/04/20,1:08 PM.,NYY,TB,away,Partly Cloudy.,60,641482,C,2,0,1,0,0,0,0,0,0,1,2,.222,.275,.444,.719,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,,,,99.0,103.0,100.0,86.0,116.0,113.0,109.0,100.0,102.0,0.014,0.442,0.28,,0.097,0.25,1.32,1.37,,-0.89,92.1,87.5,83.6,90.3,,0.143,0.143,0.316,,,,0.226,0.369,0.326,0.235,0.443,0.215,0.249,0.378,0.251,99.0,98.0,101.0,0.168,-1.27,78.2,0.364,0.727,0.167,,,,,,,,,,,,,,,,,,,,,,0.284,0.511,0.25
2024/04/18,1:10 PM.,LAA,TB,home,Dome.,72,656288,C,3,0,0,0,0,0,0,0,0,1,0,.206,.263,.441,.704,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,75.0,96.0,96.0,73.0,94.0,86.0,76.0,89.0,78.0,,,,0.01,0.376,,0.107,0.267,-0.85,,-6.83,-0.86,0.48,93.4,,88.6,93.0,80.6,0.429,0.857,0.0,,,,0.259,0.387,0.288,0.251,0.529,0.147,,,,107.0,100.0,110.0,0.24,-0.91,87.7,0.284,0.444,0.331,0.271,0.438,0.241,,,,,,,,,,,,,,,,,,,,,
2024/04/17,6:51 PM.,LAA,TB,home,Dome.,72,672282,C,2,0,0,0,0,0,0,0,0,1,0,.226,.286,.484,.770,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,89.0,100.0,103.0,86.0,96.0,92.0,,,,,,,,0.468,,0.146,0.142,-0.56,,,-3.5,-1.18,93.8,,84.7,,75.0,,,,,,,0.351,0.544,0.319,0.278,0.508,0.253,,,,117.0,106.0,114.0,0.244,-0.44,86.2,0.22,0.39,0.368,0.37,0.804,0.216,,,,,,,,,,,,,,,,,,,,,
2024/04/16,6:50 PM.,LAA,TB,home,Dome.,72,667755,C,1,1,0,0,0,0,0,0,0,0,1,.241,.281,.517,.798,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,95.0,95.0,96.0,,,,0.464,0.146,,,,-2.05,,2.22,,,98.8,,,97.7,,0.214,0.26,0.167,,,,,,,0.356,0.622,0.103,,,,117.0,92.0,99.0,0.055,0.02,91.5,0.143,0.214,0.463,0.226,0.376,0.402,98.0,96.0,108.0,,0.254,,-0.42,,86.4,120.0,100.0,112.0,0.081,0.8,92.7,0.15,0.3,0.329,,,
2024/04/15,6:50 PM.,LAA,TB,home,Dome.,72,663776,C,2,0,0,0,0,0,0,0,1,0,0,.250,.290,.536,.826,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.25,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.132,0.312,0.421,95.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,63.0,96.0,88.0,,,,0.174,0.16,,0.09,0.283,-2.18,,-1.81,2.03,0.73,93.7,,82.9,93.7,76.3,0.413,0.565,0.142,,,,0.208,0.292,0.39,0.381,0.524,0.16,,,,150.0,98.0,105.0,0.293,0.27,86.8,0.265,0.434,0.243,0.118,0.118,0.279,,,,,,,,,,,,,,,,,,,0.235,0.471,0.281
2024/04/14,2:05 PM.,SF,TB,home,Dome.,72,605483,C,4,2,2,0,0,2,4,0,0,2,0,.269,.286,.577,.863,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,,,,,0.464,,0.26,0.176,1.16,,,2.25,0.95,95.9,,85.5,,81.1,,,,,,,0.236,0.319,0.476,0.2,0.303,0.244,,,,106.0,87.0,91.0,0.101,0.11,88.7,0.167,0.267,0.446,0.111,0.183,0.498,,,,,,,,,,,,,,,,,,,,,
