date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/08/10,1:06 PM.,SF,DET,away,Partly Cloudy.,66,657277,RF,3,0,0,0,0,0,0,0,0,1,2,.178,.208,.244,.452,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,57.0,106.0,88.0,126.0,104.0,114.0,52.0,95.0,88.0,0.053,0.026,0.212,0.309,0.2,4.3,0.16,-0.13,92.6,91.0,87.4,83.8,0.179,0.231,0.329,0.275,0.411,0.216,0.239,0.331,0.268,0.077,0.077,0.265,,,,95.0,104.0,102.0,0.399,,1.32,,92.6,,,,,,,,0.268,0.338,0.144,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/09,7:15 PM.,SF,DET,away,Cloudy.,61,592662,CF,3,0,0,0,0,0,1,0,0,1,2,.190,.222,.262,.484,592662,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.72,30.2,95.0,102.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,,,,96.0,98.0,96.0,99.0,91.0,91.0,,,,0.528,,0.322,,0.46,,0.18,,94.1,,,88.4,0.167,0.367,0.264,,,,,,,,,,,,,,,,,,,,,,0.148,0.222,0.458,0.316,0.684,0.489,,,,133.0,96.0,100.0,0.15,-2.65,83.5,,,,,,,,,,,,,,,,,,
2024/08/08,6:41 PM.,SEA,DET,away,Partly Cloudy.,80,693433,RF,3,0,0,0,0,0,0,0,0,3,3,.205,.244,.282,.526,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,97.0,109.0,107.0,113.0,101.0,107.0,,,,0.489,,0.187,0.094,1.44,,1.23,0.0,94.8,,89.6,84.2,0.218,0.355,0.273,0.186,0.373,0.207,0.1,0.1,0.417,,,,,,,116.0,109.0,109.0,0.23,,1.85,,94.7,,0.265,0.529,0.241,,,,0.234,0.315,0.097,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/03,6:35 PM.,KC,DET,home,Clear.,90,547179,LF,1,1,0,0,0,0,0,0,0,0,2,.222,.263,.306,.569,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,93.0,101.0,99.0,84.0,95.0,89.0,126.0,98.0,108.0,94.0,92.0,91.0,0.272,0.1,0.149,0.188,1.0,0.04,-1.51,1.94,93.8,90.1,84.6,83.9,0.155,0.309,0.184,0.122,0.173,0.373,0.19,0.429,0.291,0.235,0.51,0.236,102.0,93.0,96.0,81.0,102.0,94.0,0.212,0.079,-0.25,0.02,93.6,81.7,0.368,0.632,0.253,0.217,0.348,0.352,0.291,0.441,0.062,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/02,6:40 PM.,KC,DET,home,Partly Cloudy.,80,666142,LF,3,0,0,0,0,0,0,0,0,1,1,.229,.270,.314,.584,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,114.0,98.0,103.0,105.0,101.0,106.0,132.0,106.0,114.0,88.0,94.0,91.0,0.418,0.113,0.128,0.237,0.85,0.26,-0.34,1.43,95.4,90.7,84.8,86.0,0.213,0.361,0.231,0.183,0.28,0.478,,,,0.348,0.455,0.228,,,,,,,,,,,,,0.21,0.305,0.337,0.14,0.256,0.352,,,,101.0,97.0,101.0,0.104,0.9,80.8,,,,,,,,,,,,,,,,,,
2024/08/01,6:40 PM.,KC,DET,home,Partly Cloudy.,87,607625,LF,1,0,0,0,0,0,0,0,0,0,0,.250,.294,.344,.638,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,75.0,103.0,95.0,125.0,97.0,105.0,97.0,103.0,103.0,0.24,0.082,0.135,0.069,0.7,2.86,-0.67,0.08,92.2,90.1,87.4,85.2,0.234,0.392,0.176,0.208,0.333,0.291,0.375,0.75,0.109,0.228,0.228,0.23,126.0,100.0,110.0,68.0,101.0,92.0,0.185,0.262,0.65,1.44,92.1,79.4,0.213,0.387,0.2,0.178,0.271,0.339,0.274,0.381,0.129,,,,,,,,,,,,,93.0,107.0,106.0,0.026,0.07,85.7,0.105,0.421,0.351,0.215,0.28,0.285
2024/07/29,6:40 PM.,CLE,DET,home,Partly Cloudy.,83,676440,CF,1,0,0,0,0,0,0,0,0,0,0,.258,.303,.355,.658,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,113.0,102.0,109.0,,,,0.434,,0.278,0.18,-0.69,,1.74,0.13,94.6,,82.5,86.2,0.282,0.476,0.213,0.238,0.431,0.291,,,,0.141,0.225,0.368,119.0,109.0,112.0,89.0,64.0,93.0,0.003,0.105,-1.41,-0.9,93.9,81.3,0.196,0.411,0.299,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/28,1:40 PM.,MIN,DET,home,Sunny.,86,641927,CF,3,0,0,0,0,0,0,0,0,0,1,.267,.313,.367,.680,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,81.0,104.0,96.0,74.0,100.0,101.0,84.0,104.0,100.0,0.381,0.195,0.118,0.294,-0.01,-0.86,2.03,1.98,91.7,86.2,83.4,80.3,0.258,0.506,0.222,0.154,0.285,0.395,,,,0.279,0.504,0.229,94.0,99.0,103.0,,,,,0.011,,4.57,,76.0,0.095,0.162,0.307,0.0,0.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/20,3:07 PM.,TOR,DET,away,Partly Cloudy.,75,579328,LF,4,1,1,0,0,0,0,0,0,0,2,.296,.345,.407,.752,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,114.0,103.0,107.0,111.0,100.0,106.0,,,,0.471,,0.235,0.111,-0.08,,1.31,-0.15,95.5,,86.7,88.3,0.274,0.505,0.28,0.194,0.25,0.358,,,,,,,99.0,105.0,105.0,,,,,0.183,,0.02,,82.4,0.21,0.28,0.297,0.264,0.395,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/19,7:09 PM.,TOR,DET,away,Clear.,73,605135,LF,3,0,0,0,0,0,0,0,0,1,3,.304,.360,.435,.795,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,75.0,87.0,84.0,64.0,103.0,94.0,120.0,96.0,106.0,79.0,101.0,91.0,0.045,0.197,0.118,0.053,-1.6,0.44,-0.88,-2.29,92.6,89.6,84.5,77.2,0.242,0.394,0.25,0.321,0.607,0.158,0.154,0.231,0.458,0.188,0.316,0.268,101.0,91.0,102.0,96.0,101.0,97.0,0.407,0.137,-0.08,-0.09,92.5,71.0,0.375,0.781,0.096,0.221,0.351,0.292,0.327,0.423,0.128,,,,,,,,,,,,,87.0,90.0,86.0,0.043,-2.64,84.1,0.303,0.364,0.167,,,
