date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/08/20,6:45 PM.,COL,WSH,home,Partly Cloudy.,71,596295,C,3,0,0,0,0,0,0,0,0,0,2,.224,.292,.336,.628,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,82.0,103.0,99.0,,,,71.0,98.0,91.0,51.0,110.0,96.0,,,,0.001,0.404,,,0.205,-1.23,,-42.96,,-0.15,90.4,,81.1,90.1,,0.28,0.409,0.273,0.305,0.6,0.096,,,,,,,0.22,0.368,0.269,91.0,103.0,102.0,0.167,-0.17,83.8,0.274,0.513,0.22,,,,,,,93.0,109.0,107.0,0.224,-0.08,77.6,,,,,,,,,,,,,,,
2024/08/17,6:35 PM.,PHI,WSH,away,Cloudy.,78,650911,C,3,0,0,0,0,0,0,0,0,0,1,.230,.299,.345,.644,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,,,,,,,95.0,101.0,98.0,86.0,52.0,74.0,0.473,,0.001,,0.357,,2.59,-0.55,,1.56,,86.5,85.1,94.5,,0.177,0.22,0.348,,,,,,,0.345,0.481,0.131,,,,102.0,102.0,103.0,0.169,0.65,84.4,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/11,11:35 AM.,LAA,WSH,home,Cloudy.,77,686799,C,4,1,1,0,0,0,0,0,0,0,0,.236,.306,.355,.661,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,0.724,0.062,,0.184,0.03,-1.87,,0.89,-1.06,-3.35,96.3,,88.3,95.8,85.0,0.333,0.444,0.067,0.167,0.5,0.364,,,,0.286,0.411,0.121,0.235,0.412,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/09,6:45 PM.,LAA,WSH,home,Cloudy.,82,667755,DH,0,0,0,0,0,0,0,0,1,0,0,.236,.308,.358,.666,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,95.0,95.0,96.0,,,,0.464,0.146,,,,-2.05,,2.22,,,98.8,,,97.7,,,,,0.356,0.622,0.103,,,,0.214,0.26,0.167,0.226,0.376,0.402,117.0,92.0,99.0,0.055,0.02,91.5,0.143,0.214,0.463,,,,,,,98.0,96.0,108.0,0.254,-0.42,86.4,,,,,,,120.0,100.0,112.0,0.081,0.8,92.7,0.15,0.3,0.329
2024/08/07,6:45 PM.,SF,WSH,home,Overcast.,84,605483,C,3,1,1,0,1,0,0,0,0,2,1,.236,.303,.358,.661,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,,,,,0.464,,0.26,0.176,1.16,,,2.25,0.95,95.9,,85.5,,81.1,0.236,0.319,0.476,0.2,0.303,0.244,,,,,,,0.111,0.183,0.498,106.0,87.0,91.0,0.101,0.11,88.7,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/31,12:41 PM.,AZ,WSH,away,Roof Closed.,78,668678,C,3,0,2,0,0,0,0,0,0,0,3,.233,.302,.340,.642,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,88.0,107.0,98.0,,,,101.0,95.0,96.0,132.0,80.0,80.0,89.0,87.0,79.0,0.001,0.463,0.031,,0.14,-0.55,-0.78,-1.02,,0.43,93.7,90.3,86.6,94.7,,0.27,0.382,0.265,0.28,0.46,0.133,0.25,0.625,0.36,,,,0.148,0.23,0.392,107.0,102.0,102.0,0.087,-0.56,87.0,0.31,0.476,0.337,,,,,,,107.0,108.0,112.0,0.277,2.29,81.0,,,,,,,,,,,,,,,
2024/07/30,6:40 PM.,AZ,WSH,away,Roof Closed.,78,669194,C,1,0,0,0,0,0,0,0,0,0,0,.220,.292,.330,.622,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,108.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,,,,78.0,107.0,96.0,,0.557,0.184,0.057,0.099,0.64,-0.85,,1.81,-2.35,95.2,91.2,83.0,,77.8,0.302,0.587,0.203,0.249,0.418,0.195,0.317,0.508,0.154,,,,0.138,0.207,0.148,111.0,112.0,110.0,0.103,-0.66,83.8,0.226,0.34,0.156,,,,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,,,,
2024/07/28,1:17 PM.,STL,WSH,away,Partly Cloudy.,86,571945,C,2,1,0,0,0,0,0,0,1,0,3,.222,.295,.333,.628,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,94.0,109.0,106.0,65.0,107.0,98.0,80.0,111.0,99.0,,,,0.231,0.279,,0.116,0.085,0.23,,1.42,-1.97,-4.2,93.2,,85.6,92.4,76.6,0.394,0.742,0.159,0.287,0.446,0.178,,,,0.237,0.382,0.108,0.267,0.52,0.231,116.0,112.0,114.0,0.283,-1.19,85.7,0.301,0.506,0.164,,,,0.273,0.545,0.275,,,,0.005,4.24,69.6,,,,,,,,,,,,,,,
2024/07/24,6:45 PM.,SD,WSH,home,Cloudy.,84,663362,C,3,0,0,0,0,0,0,0,0,1,2,.227,.294,.340,.634,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.91,4.11,146.2,104.0,83.0,98.0,0.806,8.16,2.45,8.9,1.29,0.91,0.207,0.402,0.164,0.302,0.441,,,,,,,57.0,108.0,91.0,73.0,108.0,102.0,83.0,98.0,90.0,0.144,0.19,0.086,,,-0.77,1.88,0.64,,,90.6,87.0,,90.0,,,,,0.265,0.513,0.224,0.231,0.385,0.144,0.303,0.404,0.067,,,,115.0,101.0,107.0,0.198,0.5,79.3,,,,,,,0.227,0.454,0.201,,,,,,,77.6,0.382,-1.09,0.246,0.394,0.275,,,,,,,,,
2024/07/21,1:35 PM.,CIN,WSH,home,Partly Cloudy.,88,671096,C,0,0,0,0,0,0,0,0,0,0,0,.234,.302,.351,.653,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.02,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.16,0.287,0.428,96.0,94.0,97.0,101.0,98.0,99.0,78.0,96.0,89.0,,,,,,,,0.535,,0.116,0.163,-0.26,,,-1.56,0.23,92.8,,84.8,,80.8,0.214,0.429,0.273,0.254,0.451,0.194,,,,,,,0.327,0.653,0.179,125.0,106.0,112.0,0.186,0.49,82.9,,,,,,,0.189,0.307,0.287,,,,,,,,,,,,,,,,,,,,,
