date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,KC%,wFS/C,wSL/C,wKC/C,vFS,vSL,vKC,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/07/06,7:46 PM.,ATL,PHI,away,Cloudy.,75,680885,DH,2,0,0,0,0,0,0,0,0,2,1,.207,.242,.397,.639,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,,,,101.0,104.0,108.0,110.0,108.0,108.0,93.0,102.0,101.0,94.0,104.0,100.0,0.068,0.291,0.168,0.146,,0.27,0.53,-0.12,0.29,,96.1,92.9,,95.1,80.6,0.231,0.385,0.078,0.27,0.5,0.199,0.236,0.436,0.409,,,,0.24,0.448,0.205,,,,110.0,113.0,119.0,,,,84.0,107.0,109.0,0.128,0.199,,1.96,0.61,,84.5,87.3,,,,,0.147,0.235,0.463,0.225,0.333,0.279,,,,,,
2024/07/04,1:20 PM.,CHC,PHI,away,Cloudy.,80,592791,RF,4,0,0,0,0,0,0,0,0,3,2,.214,.250,.411,.661,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,104.0,111.0,113.0,66.0,106.0,96.0,74.0,104.0,92.0,92.0,103.0,98.0,0.109,0.296,0.251,0.147,0.043,-0.27,2.12,1.47,-1.04,-2.45,92.3,86.5,86.0,92.5,79.5,0.219,0.297,0.085,0.252,0.31,0.191,0.232,0.424,0.23,0.273,0.576,0.148,0.287,0.497,0.147,,,,104.0,116.0,120.0,,,,,,,,0.155,,,0.65,,,80.4,,0.183,0.296,0.317,,,,,,,,,,,,
2024/07/02,7:08 PM.,CHC,PHI,away,Partly Cloudy.,83,669713,DH,4,0,0,0,0,0,0,0,0,4,3,.231,.268,.442,.710,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.86,4.17,67.2,101.0,92.0,99.0,0.76,8.91,2.79,7.45,1.6,1.12,0.28,0.399,0.212,0.264,0.404,92.0,102.0,104.0,,,,51.0,101.0,86.0,91.0,100.0,96.0,76.0,98.0,98.0,0.112,0.365,0.088,,0.03,-0.68,3.38,-0.56,,1.66,94.6,88.1,87.2,93.5,,0.273,0.545,0.121,0.167,0.167,0.213,,,,0.125,0.125,0.25,0.254,0.465,0.143,,,,134.0,101.0,112.0,,,,,,,,0.406,,,0.59,,,82.4,,0.174,0.348,0.433,,,,,,,,,,,,
2024/06/30,1:36 PM.,MIA,PHI,home,Cloudy.,81,630023,DH,4,1,1,0,0,0,0,0,1,2,6,.250,.288,.479,.767,630023,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,MIA,6.3,4.71,30.0,97.0,115.0,98.0,0.801,7.5,3.9,12.9,2.1,0.77,0.272,0.379,0.214,0.301,0.443,,,,,,,69.0,97.0,84.0,100.0,97.0,97.0,,,,0.297,0.165,,,,-6.18,,-6.8,,,93.0,,,92.7,,0.522,0.826,0.127,,,,,,,,,,0.333,0.833,0.289,,,,154.0,97.0,106.0,,,,98.0,99.0,92.0,0.148,0.39,,0.1,0.86,,85.7,85.2,,,,,0.182,0.318,0.205,0.2,0.286,0.244,,,,,,
2024/06/26,1:10 PM.,DET,PHI,away,Cloudy.,80,663947,LF,3,0,1,0,0,0,1,0,0,1,0,.250,.277,.500,.777,663947,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,59.0,104.0,101.0,109.0,94.0,100.0,79.0,100.0,91.0,77.0,105.0,97.0,85.0,105.0,101.0,0.216,0.152,0.273,0.015,0.189,4.5,1.85,2.61,1.83,0.4,92.1,87.6,83.6,91.5,79.2,0.156,0.338,0.094,0.194,0.292,0.253,,,,0.25,0.382,0.289,0.105,0.14,0.257,,,,113.0,97.0,105.0,,,,,,,,0.155,,,1.73,,,80.6,,0.13,0.174,0.379,,,,,,,,,,,,
2024/06/24,6:40 PM.,DET,PHI,away,Partly Cloudy.,81,663554,LF,2,0,1,0,0,0,0,0,0,1,1,.244,.279,.512,.791,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,,,,106.0,105.0,102.0,92.0,108.0,105.0,,,,0.08,0.386,,,,-0.47,,1.3,,,95.5,,,95.5,,0.293,0.341,0.08,,,,0.261,0.522,0.216,,,,0.306,0.428,0.205,,,,107.0,101.0,102.0,102.0,90.0,94.0,112.0,99.0,102.0,0.181,0.277,0.075,-1.06,-0.46,-2.21,86.2,85.7,79.6,,,,0.286,0.405,0.322,0.271,0.5,0.218,,,,,,
2024/06/23,11:36 AM.,AZ,PHI,home,Partly Cloudy.,91,677944,LF,4,0,2,0,0,0,2,0,0,1,3,.231,.268,.513,.781,677944,sladececconi,Cecconi,Right,Slade Cecconi,ARI,6.66,4.52,77.0,105.0,102.0,105.0,0.816,7.48,1.99,10.75,1.87,0.69,0.3,0.356,0.162,0.332,0.485,103.0,98.0,100.0,103.0,101.0,106.0,95.0,109.0,106.0,,,,,,,,0.548,0.001,0.09,0.121,-1.46,3.94,,-1.42,-0.57,94.4,90.4,81.8,,75.4,,,,,,,0.2,0.4,0.289,0.227,0.432,0.269,0.329,0.582,0.164,,,,117.0,100.0,105.0,,,,,,,,0.24,,,-1.24,,,85.1,,,,,,,,0.278,0.494,0.207,,,,,,
2024/06/22,4:05 PM.,AZ,PHI,home,Partly Cloudy.,97,674072,RF,1,1,1,0,0,1,2,0,0,0,0,.200,.243,.514,.757,674072,tommyhenry,Henry,Left,Tommy Henry,ARI,7.04,6.58,38.1,101.0,81.0,95.0,0.848,7.04,4.23,11.5,2.11,1.17,0.231,0.431,0.131,0.377,0.429,74.0,93.0,87.0,104.0,107.0,105.0,66.0,103.0,95.0,70.0,96.0,87.0,,,,0.196,0.312,,0.257,0.162,-0.61,,-3.0,-1.17,-2.25,90.0,,83.7,90.4,78.2,0.375,0.625,0.072,,,,0.268,0.561,0.123,0.321,0.464,0.313,0.261,0.63,0.135,,,,103.0,94.0,96.0,,,,,,,,0.072,,,-3.52,,,82.9,,,,,,,,0.5,0.7,0.35,,,,,,
2024/06/21,7:06 PM.,AZ,PHI,home,Clear.,93,656756,LF,1,1,0,0,0,0,0,0,1,0,0,.176,.222,.412,.634,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.23,5.18,117.0,99.0,92.0,96.0,0.748,6.38,3.38,11.46,1.08,1.24,0.194,0.428,0.137,0.346,0.37,97.0,100.0,92.0,106.0,102.0,107.0,66.0,98.0,89.0,89.0,95.0,93.0,,,,0.308,0.173,,0.307,0.193,-0.02,,-2.11,-0.83,-1.92,92.1,,83.1,91.8,79.2,0.374,0.577,0.159,,,,0.27,0.453,0.353,0.321,0.593,0.386,0.284,0.375,0.184,,,,104.0,95.0,90.0,,,,,,,,0.018,,,3.84,,,84.2,,,,,,,,0.0,0.0,0.5,,,,,,
2024/06/19,1:08 PM.,SD,PHI,home,Sunny.,87,663362,LF,3,0,0,0,0,0,0,0,1,0,1,.182,.206,.424,.630,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.91,4.11,146.2,104.0,83.0,98.0,0.806,8.16,2.45,8.9,1.29,0.91,0.207,0.402,0.164,0.302,0.441,,,,,,,57.0,108.0,91.0,73.0,108.0,102.0,83.0,98.0,90.0,0.144,0.19,0.086,,,-0.77,1.88,0.64,,,90.6,87.0,,90.0,,0.303,0.404,0.067,0.231,0.385,0.144,,,,,,,0.265,0.513,0.224,,,,115.0,101.0,107.0,,,,,,,,0.198,,,0.5,,,79.3,,0.227,0.454,0.201,,,,,,,77.6,0.382,-1.09,0.246,0.394,0.275
