date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff
2024/08/02,7:21 PM.,ATL,MIA,away,Partly Cloudy.,81,680885,PR,0,0,0,0,0,0,0,1,0,0,0,.250,.314,.250,.564,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,,,,110.0,108.0,108.0,93.0,102.0,101.0,110.0,113.0,119.0,94.0,104.0,100.0,0.068,0.291,0.168,0.199,,0.27,0.53,-0.12,0.61,,96.1,92.9,,95.1,87.3,0.225,0.333,0.279,0.231,0.385,0.078,,,,,,,0.24,0.448,0.205,0.27,0.5,0.199,101.0,104.0,108.0,0.146,0.29,80.6,0.236,0.436,0.409,,,,,,,84.0,107.0,109.0,0.128,,1.96,,84.5,,0.147,0.235,0.463
2024/08/01,7:20 PM.,ATL,MIA,away,Partly Cloudy.,89,450203,RF,2,1,1,0,0,0,0,0,0,1,1,.250,.314,.250,.564,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,72.0,99.0,90.0,79.0,96.0,88.0,,,,73.0,92.0,86.0,0.099,0.289,0.078,,0.11,-1.4,-0.75,0.39,,-1.38,94.1,88.5,85.0,93.5,,,,,0.333,0.433,0.07,0.292,0.6,0.333,,,,0.281,0.517,0.193,0.286,0.571,0.149,122.0,98.0,108.0,0.424,0.78,81.5,0.2,0.309,0.342,,,,,,,,,,,,,,,,,,
2024/07/28,1:36 PM.,MIL,MIA,away,Roof Closed.,80,668964,PH,1,0,0,0,0,0,0,0,0,1,0,.233,.303,.233,.536,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,96.0,100.0,91.0,0.005,0.401,0.23,0.21,0.114,0.58,-0.75,11.28,1.43,1.18,92.9,89.2,81.1,91.5,85.5,0.198,0.255,0.248,0.0,0.0,0.0,0.083,0.083,0.444,,,,0.239,0.436,0.194,0.336,0.518,0.123,73.0,99.0,104.0,0.041,-3.19,77.8,0.421,0.579,0.194,,,,,,,,,,,,,,,,,,
2024/07/04,7:21 PM.,SF,ATL,home,Cloudy.,89,657277,LF,3,0,1,0,0,0,0,0,0,1,1,.241,.313,.241,.554,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,57.0,106.0,88.0,95.0,104.0,102.0,126.0,104.0,114.0,52.0,95.0,88.0,0.399,0.053,0.026,0.212,0.309,0.2,4.3,1.32,0.16,-0.13,92.6,91.0,87.4,92.6,83.8,,,,0.268,0.338,0.144,0.275,0.411,0.216,0.239,0.331,0.268,0.179,0.231,0.329,0.077,0.077,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/03,7:22 PM.,SF,ATL,home,Partly Cloudy.,90,663855,LF,3,0,0,0,0,0,0,1,1,0,4,.231,.310,.231,.541,663855,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,4.1,4.91,109.2,94.0,107.0,97.0,0.765,7.88,3.86,9.19,0.98,1.64,0.219,0.422,0.125,0.337,0.403,,,,79.0,85.0,79.0,95.0,95.0,94.0,125.0,93.0,101.0,,,,0.515,0.054,,0.241,,-3.85,,-0.02,-0.1,,95.4,,,94.5,81.1,,,,0.341,0.498,0.111,,,,0.152,0.329,0.376,0.238,0.381,0.31,,,,,,,,,,,,,,,,,,,121.0,92.0,106.0,0.191,,-0.41,,84.3,,0.181,0.287,0.408
2024/07/02,7:21 PM.,SF,ATL,home,Clear.,89,806185,LF,3,0,1,0,0,0,0,0,0,0,1,.261,.320,.261,.581,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,90.0,89.0,85.0,,,,119.0,90.0,100.0,,,,,0.446,,0.184,0.184,-0.02,,,-0.26,-0.87,95.8,,88.1,,86.4,0.244,0.512,0.487,,,,0.269,0.365,0.349,,,,0.216,0.44,0.182,,,,111.0,102.0,104.0,0.187,0.82,80.5,0.145,0.218,0.327,,,,,,,,,,,,,,,,,,
2024/06/30,11:36 AM.,PIT,ATL,home,Partly Cloudy.,88,663559,LF,0,0,0,0,0,0,0,0,0,0,0,.250,.318,.250,.568,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,,,,0.142,0.484,,0.216,,0.38,,1.23,0.27,,91.8,,,92.0,86.1,0.245,0.304,0.287,0.26,0.448,0.157,,,,,,,0.255,0.41,0.166,,,,100.0,99.0,98.0,0.152,-1.24,77.7,0.305,0.61,0.207,,,,,,,43.0,95.0,70.0,0.006,,-7.04,,86.9,,0.333,1.333,0.125
2024/06/29,4:11 PM.,PIT,ATL,home,Partly Cloudy.,84,694973,LF,3,0,0,0,0,0,0,0,0,2,2,.250,.318,.250,.568,694973,paulskenes,Skenes,Right,Paul Skenes,PIT,1.96,2.53,133.0,103.0,102.0,103.0,0.736,11.5,2.17,6.36,0.68,1.66,0.216,0.464,0.193,0.235,0.427,82.0,108.0,107.0,98.0,107.0,103.0,80.0,95.0,86.0,131.0,101.0,113.0,,,,0.284,0.392,,0.162,0.054,0.64,,3.52,0.8,2.34,98.8,,87.3,94.0,85.4,0.286,0.571,0.328,0.184,0.234,0.293,0.088,0.118,0.548,0.104,0.188,0.226,0.23,0.351,0.242,,,,105.0,100.0,104.0,0.108,-0.18,83.0,0.25,0.375,0.337,,,,,,,,,,,,,,,,,,
2024/06/27,3:10 PM.,CWS,ATL,away,Sunny.,70,641771,LF,3,0,1,0,0,0,0,0,0,0,1,.294,.368,.294,.662,641771,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,5.06,4.22,53.1,91.0,106.0,92.0,0.762,9.11,4.22,9.45,0.84,1.34,0.253,0.403,0.169,0.266,0.38,81.0,94.0,93.0,80.0,95.0,94.0,85.0,84.0,80.0,137.0,96.0,104.0,80.0,96.0,89.0,0.231,0.091,0.093,0.459,0.126,-1.56,-2.67,-2.16,1.22,-1.08,95.0,91.5,87.4,94.0,85.0,0.221,0.279,0.354,0.404,0.723,0.126,0.324,0.412,0.237,0.0,0.0,0.278,0.231,0.385,0.313,0.5,0.875,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/26,1:31 PM.,STL,ATL,away,Drizzle.,76,502043,LF,3,2,1,0,0,0,0,0,1,0,2,.286,.375,.286,.661,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,80.0,88.0,83.0,84.0,101.0,96.0,104.0,102.0,105.0,96.0,95.0,91.0,0.264,0.132,0.211,0.207,0.099,-1.39,0.21,0.22,0.92,1.2,91.4,88.6,84.9,90.7,80.7,,,,0.267,0.422,0.092,0.19,0.254,0.39,0.2,0.312,0.412,0.268,0.563,0.065,0.299,0.479,0.181,102.0,103.0,104.0,0.086,-2.21,78.3,0.325,0.675,0.462,,,,,,,,,,,,,,,,,,
