date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,FO%,wFO/C,vFO
2024/09/01,12:12 PM.,MIL,CIN,home,Partly Cloudy.,81,668964,DH,2,0,0,0,0,0,0,0,0,1,3,.233,.313,.378,.691,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,87.0,105.0,100.0,92.0,106.0,103.0,0.401,0.21,0.041,0.114,0.58,1.43,-3.19,1.18,92.9,81.1,85.5,77.8,0.239,0.436,0.194,0.083,0.083,0.444,0.198,0.255,0.248,73.0,99.0,104.0,0.421,0.579,0.194,71.0,92.0,74.0,0.005,11.28,91.5,,,,0.0,0.0,0.0,,,,,,,,,,96.0,100.0,91.0,0.23,,-0.75,,89.2,,0.336,0.518,0.123,,,,,,,,,,,,,,,
2024/08/31,7:17 PM.,MIL,CIN,home,Cloudy.,79,593423,1B,3,1,1,1,0,0,0,0,0,0,1,.234,.315,.381,.696,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,83.0,105.0,98.0,117.0,103.0,106.0,0.332,0.107,,,-0.02,-1.94,,,95.6,,85.4,,0.206,0.367,0.231,,,,0.288,0.577,0.325,,,,,,,83.0,100.0,98.0,0.191,1.13,94.8,,,,0.248,0.407,0.113,119.0,99.0,105.0,0.183,-0.23,86.0,0.218,0.297,0.426,109.0,95.0,95.0,0.187,,-1.4,,90.4,,0.326,0.609,0.223,,,,,,,,,,,,,,,
2024/08/30,12:41 PM.,MIL,CIN,home,Sunny.,92,607067,1B,1,0,0,0,0,0,0,0,0,1,0,.231,.313,.377,.690,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,70.0,109.0,95.0,109.0,106.0,108.0,0.193,0.172,0.042,,0.49,1.41,-3.64,,92.9,,82.0,78.7,0.207,0.314,0.248,,,,,,,100.0,109.0,104.0,0.394,0.636,0.18,82.0,103.0,96.0,0.311,-0.28,92.3,0.159,0.234,0.227,0.298,0.482,0.115,78.0,98.0,96.0,0.088,-2.02,86.5,0.286,0.492,0.277,76.0,94.0,88.0,0.194,,-1.34,,87.6,,0.287,0.656,0.168,,,,,,,,,,,,,,,
2024/08/29,5:12 PM.,OAK,CIN,home,Partly Cloudy.,92,669372,DH,2,2,1,0,0,0,0,0,2,1,0,.232,.314,.378,.692,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,72.0,76.0,78.0,107.0,102.0,103.0,0.035,0.309,,0.146,1.23,2.3,,-0.36,92.2,87.0,85.3,,0.0,0.0,0.333,0.389,0.556,0.375,0.158,0.237,0.355,,,,,,,100.0,102.0,99.0,0.511,-0.98,92.9,,,,0.319,0.472,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/28,6:42 PM.,OAK,CIN,home,Partly Cloudy.,88,674370,1B,2,0,0,0,0,0,0,0,0,1,1,.230,.308,.377,.685,674370,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.41,2.72,63.1,97.0,103.0,97.0,0.761,8.95,3.69,6.11,0.43,0.61,0.245,0.405,0.252,0.258,0.425,78.0,103.0,102.0,102.0,95.0,92.0,131.0,103.0,111.0,0.394,0.211,,0.152,0.18,1.83,,1.82,94.8,88.9,85.8,,0.203,0.297,0.287,0.121,0.152,0.343,0.197,0.311,0.27,,,,,,,102.0,89.0,87.0,0.099,-0.7,94.9,,,,0.304,0.478,0.146,,,,,,,,,,93.0,99.0,96.0,0.143,,2.25,,86.9,,0.152,0.212,0.197,,,,,,,,,,,,,,,
2024/08/27,6:42 PM.,OAK,CIN,home,Clear.,93,687765,DH,3,0,0,0,0,0,0,0,1,2,5,.232,.311,.380,.691,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,,,,121.0,105.0,109.0,,0.326,0.121,0.011,,0.01,-0.82,-7.88,,88.4,84.3,80.4,,,,0.571,0.857,0.0,0.278,0.493,0.276,118.0,117.0,117.0,0.196,0.351,0.31,40.0,97.0,84.0,0.146,-1.41,91.9,,,,0.338,0.403,0.16,,,,,,,,,,99.0,100.0,96.0,0.396,,-0.41,,90.7,,0.278,0.472,0.176,,,,,,,,,,,,,,,
2024/08/25,1:35 PM.,PIT,CIN,away,Partly Cloudy.,87,682847,1B,4,0,1,0,0,0,0,0,0,0,5,.235,.311,.385,.696,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.31,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.286,0.443,66.0,87.0,88.0,97.0,104.0,97.0,121.0,102.0,109.0,0.268,0.268,,0.009,1.02,-0.41,,0.21,95.9,90.6,85.8,,0.187,0.331,0.208,,,,0.203,0.392,0.31,,,,,,,105.0,97.0,95.0,0.258,1.13,94.9,,,,0.237,0.374,0.129,,,,,,,,,,90.0,100.0,94.0,0.197,,0.71,,91.0,,0.273,0.416,0.168,,,,,,,,,,,,,,,
2024/08/24,6:41 PM.,PIT,CIN,away,Clear.,87,663765,DH,4,1,1,1,0,0,0,0,0,2,0,.234,.312,.387,.699,663765,jakewoodford,Woodford,Right,Jake Woodford,- - -,7.97,5.67,35.0,99.0,90.0,95.0,0.874,6.69,2.31,12.34,1.54,0.94,0.233,0.45,0.132,0.333,0.424,58.0,104.0,95.0,66.0,106.0,93.0,99.0,102.0,106.0,0.029,0.282,,0.05,-0.64,-2.09,,-0.65,91.3,85.6,80.7,,,,,0.2,0.2,0.091,,,,,,,,,,92.0,99.0,91.0,0.448,-2.26,91.5,0.26,0.5,0.272,0.366,0.592,0.046,,,,,,,,,,85.0,92.0,88.0,0.191,,-0.82,,88.6,,0.308,0.5,0.13,,,,,,,,,,,,,,,
2024/08/22,6:43 PM.,PIT,CIN,away,Clear.,76,694973,1B,3,0,0,0,0,0,0,0,0,3,1,.234,.313,.385,.698,694973,paulskenes,Skenes,Right,Paul Skenes,PIT,1.96,2.53,133.0,103.0,102.0,103.0,0.736,11.5,2.17,6.36,0.68,1.66,0.216,0.464,0.193,0.235,0.427,82.0,108.0,107.0,98.0,107.0,103.0,131.0,101.0,113.0,0.392,0.162,0.108,0.054,0.64,0.8,-0.18,2.34,98.8,87.3,85.4,83.0,0.23,0.351,0.242,0.088,0.118,0.548,0.286,0.571,0.328,105.0,100.0,104.0,0.25,0.375,0.337,80.0,95.0,86.0,0.284,3.52,94.0,0.104,0.188,0.226,0.184,0.234,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/15,6:36 PM.,BAL,BOS,away,Clear.,86,621107,1B,2,0,0,0,0,0,0,0,0,1,1,.237,.317,.390,.707,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,61.0,105.0,94.0,122.0,107.0,113.0,0.09,0.097,0.188,0.061,-0.64,0.46,-1.27,0.21,92.4,85.6,79.7,78.8,0.236,0.418,0.248,0.188,0.354,0.105,,,,108.0,112.0,108.0,0.291,0.472,0.333,91.0,109.0,105.0,0.282,0.0,91.7,0.236,0.473,0.203,0.293,0.404,0.133,,,,,,,,,,85.0,105.0,98.0,0.282,,1.54,,88.2,,0.214,0.345,0.223,,,,,,,,,,,,,,,
