date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS
2024/10/17,8:09 PM.,LAD,NYM,home,Clear.,53,808967,C,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,808967,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,116.0,110.0,120.0,0.029,0.404,0.242,0.033,0.231,,0.77,0.25,-1.65,0.53,1.14,,95.5,90.2,,94.9,86.3,78.0,0.262,0.413,0.176,,,,0.364,0.545,0.13,,,,0.214,0.371,0.333,0.17,0.266,0.386,0.158,0.211,0.357,,,,,,,91.0,97.0,91.0,0.061,0.28,91.5,0.35,0.55,0.2,121.0,112.0,119.0
2024/10/05,4:09 PM.,PHI,NYM,away,Sunny.,77,554430,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,,,,110.0,101.0,107.0,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,0.192,0.416,0.074,0.125,0.1,,0.88,1.47,2.68,1.04,-0.98,,95.3,86.1,,94.6,84.9,81.8,0.209,0.395,0.296,0.152,0.273,0.335,0.189,0.259,0.142,,,,0.205,0.397,0.387,0.137,0.196,0.402,,,,,,,,,,92.0,97.0,94.0,0.093,-0.23,91.1,0.226,0.371,0.183,94.0,110.0,110.0
2024/09/30,4:50 PM.,ATL,NYM,away,Cloudy.,76,656550,C,3,0,0,0,0,0,0,0,0,1,2,.229,.292,.373,.665,656550,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.56,3.46,68.1,100.0,98.0,101.0,0.694,9.22,1.98,8.69,0.92,1.13,0.272,0.359,0.154,0.323,0.425,59.0,91.0,86.0,105.0,105.0,108.0,81.0,100.0,92.0,,,,118.0,101.0,111.0,,0.373,,0.316,0.217,0.012,1.54,,,0.71,0.86,-1.32,94.6,,91.3,,86.5,84.0,0.238,0.366,0.203,,,,,,,,,,0.228,0.316,0.437,,,,0.25,0.33,0.415,,,,,,,94.0,89.0,90.0,0.082,-3.71,92.6,0.467,0.867,0.15,,,
2024/09/29,2:12 PM.,MIL,NYM,away,Sunny.,72,607067,C,0,0,0,0,0,0,0,0,0,0,0,.235,.299,.383,.682,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,82.0,103.0,96.0,109.0,106.0,108.0,0.311,0.193,0.088,0.172,0.042,,0.49,-2.02,-0.28,1.41,-3.64,,92.9,86.5,,92.3,82.0,78.7,0.207,0.314,0.248,0.159,0.234,0.227,0.298,0.482,0.115,,,,0.394,0.636,0.18,0.286,0.492,0.277,,,,,,,,,,76.0,94.0,88.0,0.194,-1.34,87.6,0.287,0.656,0.168,78.0,98.0,96.0
2024/09/28,6:16 PM.,MIL,NYM,away,Clear.,71,657649,C,2,0,0,0,0,0,0,0,0,0,2,.235,.299,.383,.682,657649,jaredkoenig,Koenig,Left,Jared Koenig,MIL,2.47,3.49,62.0,103.0,90.0,100.0,0.789,9.15,3.34,7.84,0.58,1.27,0.23,0.408,0.218,0.282,0.484,70.0,98.0,95.0,96.0,112.0,108.0,83.0,92.0,94.0,92.0,101.0,98.0,,,,0.572,0.006,,,0.131,0.039,1.53,,1.13,,0.27,1.61,96.8,,85.5,95.0,,81.1,,,,,,,0.231,0.299,0.175,0.143,0.143,0.524,0.2,0.2,0.442,,,,,,,,,,,,,88.0,102.0,98.0,0.252,-0.39,90.3,0.254,0.424,0.186,,,
2024/09/27,7:13 PM.,MIL,NYM,away,Cloudy.,68,593423,C,1,0,0,0,0,0,0,0,0,0,2,.239,.304,.389,.693,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,,,,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,0.191,0.332,0.183,0.107,,,-0.02,-0.23,1.13,-1.94,,,95.6,86.0,,94.8,85.4,,0.206,0.367,0.231,,,,0.248,0.407,0.113,,,,,,,0.218,0.297,0.426,0.288,0.577,0.325,,,,,,,109.0,95.0,95.0,0.187,-1.4,90.4,0.326,0.609,0.223,119.0,99.0,105.0
2024/09/20,7:10 PM.,PHI,NYM,home,Clear.,73,650911,C,3,0,0,0,0,0,0,0,0,2,1,.241,.306,.393,.699,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,,,,,,,95.0,101.0,98.0,102.0,102.0,103.0,0.473,,,0.169,,0.357,,,-0.55,0.65,,1.56,,,85.1,94.5,84.4,,,,,,,,0.345,0.481,0.131,0.177,0.22,0.348,,,,,,,0.219,0.368,0.308,,,,,,,86.0,52.0,74.0,0.001,2.59,86.5,,,,,,
2024/09/18,7:10 PM.,WSH,NYM,home,Cloudy.,72,687792,C,1,0,0,0,0,0,0,0,0,0,1,.248,.308,.404,.712,687792,djherz,Herz,Left,DJ Herz,WSN,4.16,3.26,88.2,97.0,99.0,97.0,0.734,10.76,3.65,7.71,1.12,0.82,0.254,0.436,0.14,0.326,0.429,113.0,98.0,99.0,,,,93.0,98.0,96.0,,,,105.0,95.0,100.0,,0.542,,0.179,,0.245,0.86,,,-0.96,,-0.19,93.5,,83.5,,86.1,,0.222,0.317,0.305,,,,,,,0.224,0.388,0.26,0.2,0.2,0.533,,,,0.229,0.429,0.275,102.0,82.0,88.0,0.033,1.64,81.2,,,,,,,,,,,,
2024/09/17,7:12 PM.,WSH,NYM,home,Cloudy.,74,680730,C,1,0,0,0,0,0,0,0,0,1,0,.250,.311,.407,.718,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,97.0,96.0,96.0,78.0,101.0,96.0,,,,106.0,107.0,110.0,,0.486,0.191,0.098,0.225,,0.07,-0.6,,-0.73,0.47,,92.5,85.6,,,84.5,80.5,0.276,0.425,0.12,,,,,,,,,,0.252,0.36,0.263,0.233,0.4,0.372,0.238,0.429,0.364,,,,,,,,,,,,,,,,89.0,94.0,94.0
2024/09/15,1:37 PM.,PHI,NYM,away,Partly Cloudy.,83,650911,C,2,0,0,0,0,0,0,0,1,0,1,.252,.314,.411,.725,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,,,,,,,95.0,101.0,98.0,102.0,102.0,103.0,0.473,,,0.169,,0.357,,,-0.55,0.65,,1.56,,,85.1,94.5,84.4,,,,,,,,0.345,0.481,0.131,0.177,0.22,0.348,,,,,,,0.219,0.368,0.308,,,,,,,86.0,52.0,74.0,0.001,2.59,86.5,,,,,,
