date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
2024/09/25,6:40 PM.,OAK,TEX,away,Partly Cloudy.,64,669620,DH,4,0,0,0,0,0,0,0,0,2,2,.048,.091,.071,.162,669620,bradybasso,Basso,Left,Brady Basso,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,77.0,100.0,95.0,43.0,110.0,99.0,,,,,,,102.0,107.0,103.0,0.023,0.469,0.18,,,0.123,2.37,-2.37,-1.21,,,-3.63,92.2,88.1,86.4,92.0,,,0.225,0.325,0.165,,,,0.385,0.615,0.308,0.357,0.571,0.227,0.2,0.2,0.385,,,,79.0,112.0,110.0,0.206,1.0,76.4,,,,,,,,,,,,
2024/09/24,6:40 PM.,OAK,TEX,away,Partly Cloudy.,69,687765,DH,4,0,0,0,0,0,0,0,0,1,1,.053,.100,.079,.179,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,,,,40.0,97.0,84.0,121.0,105.0,109.0,,,,99.0,100.0,96.0,0.146,,0.396,0.326,,0.011,,-0.41,-1.41,0.01,,-7.88,,90.7,88.4,91.9,84.3,,,,,0.338,0.403,0.16,0.278,0.472,0.176,0.571,0.857,0.0,0.196,0.351,0.31,0.278,0.493,0.276,118.0,117.0,117.0,0.121,-0.82,80.4,,,,,,,,,,,,
2024/09/17,7:09 PM.,TOR,TEX,home,Roof Closed.,74,605135,DH,5,1,0,0,0,0,0,0,0,3,5,.059,.111,.088,.199,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,75.0,87.0,84.0,64.0,103.0,94.0,96.0,101.0,97.0,120.0,96.0,106.0,,,,79.0,101.0,91.0,0.407,0.045,0.197,0.118,,0.053,-1.6,0.44,-0.08,-0.88,,-2.29,92.6,89.6,84.5,92.5,77.2,,0.242,0.394,0.25,0.327,0.423,0.128,0.188,0.316,0.268,0.321,0.607,0.158,0.221,0.351,0.292,0.375,0.781,0.096,101.0,91.0,102.0,0.137,-0.09,71.0,87.0,90.0,86.0,0.043,-2.64,84.1,0.303,0.364,0.167,0.154,0.231,0.458
2024/09/11,12:41 PM.,AZ,TEX,away,Roof Closed.,78,518876,2B,1,0,0,0,0,0,0,0,0,0,0,.069,.129,.103,.232,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,122.0,108.0,106.0,73.0,106.0,97.0,84.0,98.0,90.0,114.0,111.0,111.0,,,,95.0,103.0,98.0,0.147,0.197,0.252,0.118,,0.21,-0.76,0.01,-3.28,-0.18,,4.47,91.9,90.3,88.4,92.3,85.6,,0.26,0.54,0.204,0.378,0.644,0.086,0.276,0.5,0.109,0.099,0.099,0.315,0.25,0.55,0.205,0.273,0.455,0.394,116.0,108.0,107.0,0.077,-1.78,82.2,,,,,,,,,,,,
2024/09/07,6:08 PM.,LAA,TEX,home,Clear.,85,542881,DH,2,0,0,0,0,0,0,0,0,1,1,.071,.133,.107,.240,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,,,,99.0,100.0,96.0,0.033,0.396,0.185,0.013,,0.371,-0.73,-0.41,-3.87,-0.06,,1.32,89.4,84.3,78.9,88.1,81.3,,0.272,0.494,0.183,0.261,0.696,0.152,0.264,0.455,0.247,0.185,0.259,0.396,,,,0.0,0.0,0.357,,,,0.001,-3.14,71.6,,,,,,,,,,,,
2024/09/06,7:07 PM.,LAA,TEX,home,Roof Closed.,74,691951,DH,2,0,0,0,0,0,0,0,1,2,0,.077,.143,.115,.258,691951,samuelaldegheri,Aldegheri,Left,Sam Aldegheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313,0.531,0.194,,,,,,,0.222,0.222,0.214,,,,0.273,0.455,0.385,,,,,,,,,,,,,,,,,,
2024/09/03,7:07 PM.,NYY,TEX,home,Roof Closed.,74,607074,DH,3,0,0,0,0,0,0,0,0,2,1,.083,.120,.125,.245,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,,,100.0,83.0,82.0,,0.494,0.035,0.26,,0.129,0.05,-3.11,,-0.4,,1.44,95.4,91.8,85.5,,86.8,,0.262,0.514,0.214,,,,0.353,0.647,0.255,0.188,0.247,0.495,0.281,0.531,0.276,0.199,0.361,0.393,103.0,86.0,93.0,0.083,-1.32,81.0,,,,,,,,,,,,
2024/09/01,1:36 PM.,OAK,TEX,home,Roof Closed.,74,687765,1B,2,1,0,0,0,0,0,0,1,0,4,.095,.136,.143,.279,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,,,,40.0,97.0,84.0,121.0,105.0,109.0,,,,99.0,100.0,96.0,0.146,,0.396,0.326,,0.011,,-0.41,-1.41,0.01,,-7.88,,90.7,88.4,91.9,84.3,,,,,0.338,0.403,0.16,0.278,0.472,0.176,0.571,0.857,0.0,0.196,0.351,0.31,0.278,0.493,0.276,118.0,117.0,117.0,0.121,-0.82,80.4,,,,,,,,,,,,
2024/07/26,7:07 PM.,TOR,TEX,away,Clear.,75,579328,DH,4,0,0,0,0,0,0,0,0,0,3,.105,.105,.158,.263,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,114.0,103.0,107.0,,,,111.0,100.0,106.0,,,,,,,,0.471,,0.235,,0.111,-0.08,,,1.31,,-0.15,95.5,,86.7,,88.3,,0.274,0.505,0.28,,,,,,,0.194,0.25,0.358,0.264,0.395,0.274,0.21,0.28,0.297,99.0,105.0,105.0,0.183,0.02,82.4,,,,,,,,,,,,
2024/07/23,7:07 PM.,CWS,TEX,home,Roof Closed.,74,676979,DH,2,0,0,0,0,0,0,0,0,2,1,.133,.133,.200,.333,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,,,,94.0,105.0,103.0,0.021,0.537,0.284,0.098,,0.059,1.66,-0.14,4.04,-2.29,,-0.36,97.2,91.6,91.0,97.9,84.3,,0.198,0.295,0.314,0.154,0.154,0.321,0.268,0.458,0.334,0.184,0.289,0.339,,,,,,,,,,,,,,,,,,,,,,0.228,0.561,0.422
