date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/09/29,12:09 PM.,TEX,LAA,home,Sunny.,75,543135,3B,4,0,1,0,0,0,0,0,0,1,1,.250,.270,.403,.673,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,99.0,104.0,104.0,75.0,105.0,98.0,,,,114.0,102.0,102.0,,0.374,0.033,0.137,,0.83,,-0.69,-0.79,,95.4,,,86.3,76.7,0.212,0.335,0.178,,,,,,,0.214,0.471,0.355,,,,91.0,108.0,99.0,0.148,-1.41,91.4,0.269,0.462,0.25,0.327,0.624,0.2,127.0,101.0,110.0,0.308,1.55,88.4,0.2,0.286,0.368
2024/09/28,6:41 PM.,TEX,LAA,home,Clear.,71,571760,3B,5,0,1,0,0,0,1,0,0,1,3,.250,.271,.412,.683,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,126.0,105.0,103.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,0.014,0.501,0.278,0.036,0.17,0.15,-4.52,-0.26,-3.31,0.46,91.5,83.7,92.2,82.5,75.6,0.23,0.412,0.213,,,,0.239,0.384,0.243,0.5,1.1,0.188,0.455,0.455,0.125,20.0,51.0,51.0,0.001,-19.13,86.6,0.26,0.385,0.365,,,,,,,,,,,,
2024/09/27,6:40 PM.,TEX,LAA,home,Partly Cloudy.,69,594798,3B,4,0,1,0,0,0,1,0,0,1,2,.254,.277,.429,.706,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.69,2.51,10.2,110.0,143.0,122.0,0.711,11.81,0.84,9.28,0.84,0.83,0.25,0.321,0.321,0.393,0.459,111.0,109.0,106.0,125.0,117.0,108.0,138.0,116.0,127.0,,,,154.0,105.0,119.0,,0.459,0.453,0.029,0.058,-0.57,,0.51,0.17,8.34,97.3,90.5,,90.0,81.1,0.278,0.556,0.256,,,,0.0,0.0,0.667,,,,,,,,,,,,,0.3,0.35,0.342,,,,,,,,,,,,
2024/09/26,1:11 PM.,CWS,LAA,away,Sunny.,73,623167,3B,2,0,1,0,0,0,0,0,2,1,0,.254,.279,.441,.720,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,83.0,98.0,101.0,2.0,93.0,82.0,74.0,108.0,87.0,148.0,102.0,103.0,0.002,0.37,0.087,0.122,0.157,-0.64,2.01,-2.65,0.43,-1.32,91.3,81.3,91.4,80.0,72.0,0.261,0.473,0.132,,,,0.257,0.436,0.379,0.246,0.393,0.308,,,,47.0,101.0,90.0,0.261,-0.75,87.4,0.361,0.475,0.271,0.319,0.536,0.218,,,,,,,,,
2024/09/25,6:40 PM.,CWS,LAA,away,Clear.,70,663436,3B,5,1,1,0,0,0,0,0,0,1,5,.246,.246,.439,.685,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,95.0,91.0,93.0,92.0,95.0,91.0,,,,114.0,108.0,111.0,,0.285,0.268,0.076,0.196,-2.03,,1.22,-2.54,-0.16,93.6,89.3,,83.6,78.4,0.389,0.472,0.202,,,,0.34,0.4,0.204,0.357,0.429,0.348,,,,76.0,93.0,84.0,0.175,1.59,89.0,0.121,0.293,0.378,0.206,0.294,0.231,,,,,,,,,
2024/09/24,7:45 PM.,CWS,LAA,away,Cloudy.,64,686563,3B,4,0,2,1,0,0,1,0,0,0,2,.250,.250,.462,.712,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,,,,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,0.28,0.123,0.218,,0.187,-1.13,0.44,-1.39,,-0.22,94.3,85.7,93.3,81.9,,0.25,0.411,0.252,0.255,0.489,0.282,0.248,0.394,0.269,,,,0.287,0.449,0.132,79.0,101.0,93.0,0.192,0.39,90.2,,,,0.263,0.45,0.191,,,,,,,,,
2024/09/22,1:10 PM.,HOU,LAA,away,Roof Closed.,73,681293,3B,5,0,0,0,0,0,0,0,0,0,2,.229,.229,.438,.667,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,118.0,98.0,104.0,91.0,100.0,99.0,,,,117.0,93.0,101.0,,0.41,0.108,0.2,0.086,-1.33,,0.99,0.8,-2.52,94.1,85.5,,80.8,78.4,0.303,0.528,0.198,0.113,0.226,0.386,0.395,0.512,0.378,0.171,0.282,0.424,,,,66.0,98.0,96.0,0.196,0.57,88.2,,,,0.248,0.444,0.228,,,,,,,,,
2024/09/21,6:10 PM.,HOU,LAA,away,Roof Closed.,73,669854,3B,4,0,0,0,0,0,0,0,0,2,3,.256,.256,.488,.744,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,,,,89.0,103.0,101.0,,0.383,0.302,0.094,0.221,-0.42,,2.24,2.55,-0.16,93.4,85.2,,86.4,80.1,0.232,0.497,0.192,,,,0.188,0.356,0.343,0.071,0.071,0.376,,,,,,,,,,0.18,0.284,0.333,,,,,,,,,,,,
2024/09/20,7:10 PM.,HOU,LAA,away,Roof Closed.,73,434378,3B,5,2,3,1,0,0,2,0,0,1,0,.282,.282,.538,.820,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,110.0,101.0,97.0,116.0,98.0,102.0,,,,127.0,108.0,112.0,,0.487,0.193,0.219,0.101,-0.59,,0.66,-1.46,-0.58,93.5,84.0,,86.7,77.6,0.299,0.497,0.202,,,,0.235,0.353,0.253,0.34,0.56,0.22,,,,,,,,,,0.195,0.322,0.215,,,,,,,,,,,,
2024/09/19,7:10 PM.,HOU,LAA,away,Roof Closed.,73,579328,3B,4,0,0,0,0,0,0,0,0,2,3,.235,.235,.500,.735,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,,,,111.0,100.0,106.0,,0.471,0.235,0.183,0.111,-0.08,,1.31,0.02,-0.15,95.5,86.7,,88.3,82.4,0.274,0.505,0.28,,,,0.194,0.25,0.358,0.264,0.395,0.274,,,,,,,,,,0.21,0.28,0.297,,,,,,,,,,,,
2024/09/18,1:08 PM.,CWS,LAA,home,Partly Cloudy.,75,694363,3B,6,1,1,0,0,0,1,0,0,2,3,.267,.267,.567,.834,694363,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.3,4.71,73.1,100.0,75.0,93.0,0.779,6.87,4.05,9.08,1.1,0.77,0.284,0.401,0.147,0.263,0.408,71.0,99.0,94.0,,,,71.0,97.0,86.0,68.0,101.0,88.0,85.0,104.0,102.0,0.047,0.375,0.284,,0.294,-0.54,-0.83,0.49,,-0.49,92.5,84.1,91.8,86.0,,0.274,0.487,0.162,,,,0.244,0.372,0.312,,,,0.313,0.5,0.086,,,,,,,0.25,0.316,0.288,,,,,,,,,,,,
2024/09/17,6:39 PM.,CWS,LAA,home,Partly Cloudy.,71,663436,3B,4,1,3,0,0,1,2,0,0,0,0,.292,.292,.667,.959,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,95.0,91.0,93.0,92.0,95.0,91.0,,,,114.0,108.0,111.0,,0.285,0.268,0.076,0.196,-2.03,,1.22,-2.54,-0.16,93.6,89.3,,83.6,78.4,0.389,0.472,0.202,,,,0.34,0.4,0.204,0.357,0.429,0.348,,,,76.0,93.0,84.0,0.175,1.59,89.0,0.121,0.293,0.378,0.206,0.294,0.231,,,,,,,,,
2024/09/16,6:39 PM.,CWS,LAA,home,Partly Cloudy.,68,686563,3B,4,1,1,0,0,1,1,0,0,1,1,.200,.200,.500,.700,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,,,,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,0.28,0.123,0.218,,0.187,-1.13,0.44,-1.39,,-0.22,94.3,85.7,93.3,81.9,,0.25,0.411,0.252,0.255,0.489,0.282,0.248,0.394,0.269,,,,0.287,0.449,0.132,79.0,101.0,93.0,0.192,0.39,90.2,,,,0.263,0.45,0.191,,,,,,,,,
