date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,KC%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vCU,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/07/30,6:45 PM.,OAK,SF,home,Partly Cloudy.,63,676664,1B,2,0,1,1,0,0,0,0,1,0,0,.257,.270,.457,.727,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,,,,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.363,0.339,,,0.192,-0.8,1.37,-0.1,,,-0.21,91.9,84.0,90.0,78.9,,,0.276,0.395,0.104,0.23,0.525,0.259,0.23,0.476,0.256,,,,0.297,0.428,0.188,0.239,0.381,0.213,,,,,,,,,,,,,,,,,,,,,
2024/07/28,1:05 PM.,COL,SF,home,Sunny.,64,596295,1B,4,0,0,0,0,0,0,0,0,2,1,.242,.235,.424,.659,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,82.0,103.0,99.0,,,,71.0,98.0,91.0,51.0,110.0,96.0,91.0,103.0,102.0,0.001,0.404,0.167,,0.224,0.205,-1.23,-42.96,-0.17,,-0.08,-0.15,90.4,81.1,90.1,83.8,,77.6,,,,0.274,0.513,0.22,0.305,0.6,0.096,0.22,0.368,0.269,0.28,0.409,0.273,,,,,,,,,,,,,93.0,109.0,107.0,,,,,,,,,
2024/07/27,7:18 PM.,COL,SF,home,Overcast.,60,685299,1B,3,0,1,0,0,0,0,0,0,0,1,.276,.267,.483,.750,685299,tannergordon,Gordon,Right,Tanner Gordon,COL,8.65,5.94,34.1,108.0,86.0,100.0,0.834,6.82,1.57,13.89,2.62,0.94,0.232,0.448,0.12,0.328,0.479,83.0,107.0,103.0,83.0,118.0,93.0,74.0,108.0,100.0,101.0,114.0,106.0,100.0,111.0,102.0,0.01,0.488,0.267,0.044,,0.191,-1.03,6.83,-2.41,-15.33,,-4.31,92.0,83.9,93.3,85.2,80.4,,,,,0.324,0.618,0.284,0.338,0.574,0.119,0.545,1.091,0.2,0.371,0.743,0.234,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/26,7:15 PM.,COL,SF,home,Overcast.,60,607536,1B,5,0,1,0,0,0,0,0,0,3,1,.269,.259,.500,.759,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.24,5.11,113.1,103.0,81.0,99.0,0.841,6.75,2.06,10.64,1.75,1.01,0.225,0.421,0.156,0.347,0.435,61.0,100.0,89.0,,,,69.0,104.0,95.0,83.0,106.0,99.0,65.0,103.0,101.0,0.245,0.202,0.227,,0.188,0.137,-1.51,-1.33,-1.11,,0.07,-1.64,91.6,86.1,91.4,86.9,,83.5,0.31,0.556,0.074,0.316,0.589,0.162,0.322,0.522,0.067,0.194,0.276,0.42,0.333,0.647,0.161,,,,,,,,,,,,,128.0,102.0,107.0,,,,,,,,,
2024/07/25,1:10 PM.,LAD,SF,away,Sunny.,89,477132,1B,4,1,1,1,0,0,0,0,0,3,4,.286,.273,.571,.844,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,4.5,4.59,30.0,100.0,101.0,100.0,0.79,7.2,2.7,10.8,0.6,1.12,0.134,0.485,0.144,0.289,0.461,58.0,86.0,75.0,114.0,99.0,107.0,90.0,99.0,94.0,,,,108.0,103.0,104.0,0.006,0.351,0.437,0.163,,0.022,-2.61,-2.44,-0.11,0.67,,3.89,89.9,84.2,90.2,86.0,72.1,,,,,0.281,0.421,0.264,0.429,0.514,0.078,0.174,0.348,0.317,,,,,,,,,,,,,,,,,,,61.0,72.0,74.0,0.022,-4.62,82.9,0.333,0.333,0.375
2024/07/03,7:22 PM.,ATL,SF,away,Partly Cloudy.,90,519242,1B,3,0,0,0,0,0,0,0,0,1,1,.294,.278,.588,.866,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,64.0,107.0,98.0,,,,96.0,105.0,101.0,113.0,100.0,96.0,105.0,100.0,104.0,0.072,0.378,0.403,,,0.147,-0.12,-1.99,2.16,,,2.97,94.8,87.1,94.2,78.6,,,0.327,0.551,0.133,0.171,0.236,0.427,0.281,0.443,0.241,,,,0.159,0.195,0.236,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/30,1:05 PM.,LAD,SF,home,Sunny.,71,572020,1B,4,1,2,1,0,0,1,0,0,0,0,.357,.333,.714,1.047,572020,jamespaxton,Paxton,Left,James Paxton,- - -,4.4,4.74,100.1,98.0,74.0,91.0,0.812,6.55,4.49,8.52,1.08,0.88,0.272,0.329,0.144,0.355,0.424,72.0,95.0,95.0,,,,69.0,98.0,86.0,64.0,107.0,97.0,,,,0.05,0.551,,,0.303,0.066,-0.21,-1.01,,,0.57,-2.12,93.2,82.6,92.8,,,80.8,0.308,0.423,0.091,,,,0.264,0.431,0.144,0.2,0.3,0.362,0.25,0.375,0.326,,,,82.0,95.0,83.0,0.031,-3.38,84.0,0.308,0.769,0.13,82.0,98.0,97.0,,,,,,,,,
2024/06/29,4:15 PM.,LAD,SF,home,Sunny.,68,607192,DH,1,0,1,1,0,0,1,0,0,0,0,.300,.273,.700,.973,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.65,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.17,0.293,0.469,,,,139.0,97.0,110.0,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,0.087,0.45,0.277,0.186,,,1.04,0.75,1.15,1.93,,,96.3,,96.6,90.0,83.7,,0.233,0.395,0.171,0.2,0.333,0.404,0.215,0.421,0.213,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/26,6:45 PM.,CHC,SF,home,Partly Cloudy.,63,669713,1B,3,1,1,0,0,1,1,0,0,2,0,.222,.200,.556,.756,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.86,4.17,67.2,101.0,92.0,99.0,0.76,8.91,2.79,7.45,1.6,1.12,0.28,0.399,0.212,0.264,0.404,92.0,102.0,104.0,,,,51.0,101.0,86.0,91.0,100.0,96.0,134.0,101.0,112.0,0.112,0.365,0.406,,,0.03,-0.68,-0.56,0.59,,,1.66,94.6,87.2,93.5,82.4,,,0.273,0.545,0.121,,,,0.254,0.465,0.143,,,,0.125,0.125,0.25,0.174,0.348,0.433,76.0,98.0,98.0,0.088,3.38,88.1,0.167,0.167,0.213,,,,,,,,,,,,
2024/06/25,6:45 PM.,CHC,SF,home,Partly Cloudy.,62,543294,1B,2,0,0,0,0,0,1,0,0,1,1,.167,.143,.167,.310,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,87.0,109.0,108.0,59.0,94.0,86.0,97.0,106.0,96.0,,,,0.355,0.127,,0.131,,0.387,-1.51,-0.77,,0.52,,-0.72,87.7,80.9,87.6,,74.3,,0.333,0.493,0.106,,,,0.237,0.553,0.209,0.22,0.3,0.244,0.267,0.409,0.239,,,,,,,,,,,,,,,,,,,,,,,,
