date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/09/21,4:11 PM.,NYM,PHI,away,Partly Cloudy.,77,640455,CF,1,0,0,0,0,0,1,0,0,0,1,.250,.333,.375,.708,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,,,,84.0,88.0,85.0,0.447,0.113,0.071,0.251,,0.118,1.13,0.97,1.36,0.37,,-1.19,92.3,88.4,85.3,92.3,79.5,,0.167,0.295,0.311,,,,0.25,0.438,0.254,0.174,0.435,0.32,0.222,0.25,0.179,,,,,,,0.201,0.333,0.21,0.193,0.311,0.388,,,,,,,,,,,,
2024/09/19,7:16 PM.,NYM,PHI,away,Cloudy.,78,622663,CF,2,0,0,0,0,0,0,0,0,0,2,.261,.346,.391,.737,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,101.0,104.0,102.0,90.0,98.0,94.0,143.0,100.0,111.0,,,,92.0,91.0,89.0,0.248,0.355,0.081,0.242,,0.075,0.15,1.05,1.24,0.26,,-3.63,96.2,92.6,86.1,95.6,85.6,,0.243,0.392,0.218,,,,0.358,0.66,0.186,0.263,0.342,0.284,0.2,0.3,0.26,,,,,,,0.278,0.414,0.122,0.139,0.238,0.386,,,,,,,,,,,,
2024/09/17,6:42 PM.,MIL,PHI,away,Clear.,76,593423,CF,2,0,0,0,0,0,0,0,0,2,2,.286,.375,.429,.804,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,,,,109.0,95.0,95.0,0.191,0.332,0.187,0.107,,,-0.02,-1.4,1.13,-1.94,,,95.6,90.4,,94.8,85.4,,0.206,0.367,0.231,,,,,,,0.288,0.577,0.325,0.326,0.609,0.223,,,,,,,0.248,0.407,0.113,,,,119.0,99.0,105.0,0.183,-0.23,86.0,0.218,0.297,0.426,,,
2024/09/16,6:41 PM.,MIL,PHI,away,Partly Cloudy.,7,650644,CF,1,0,0,0,0,0,0,0,1,0,0,.316,.409,.474,.883,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,68.0,102.0,96.0,71.0,93.0,83.0,152.0,101.0,112.0,,,,91.0,100.0,101.0,0.24,0.099,0.322,0.163,,,-1.7,1.08,0.06,-1.03,,,92.0,88.1,,92.6,80.5,,0.294,0.49,0.095,0.25,0.479,0.275,,,,0.25,0.375,0.438,0.232,0.394,0.233,104.0,104.0,109.0,0.156,-1.36,77.1,0.241,0.421,0.158,0.267,0.467,0.272,57.0,96.0,102.0,0.02,-4.86,85.6,0.375,0.625,0.261,,,
2024/09/14,4:05 PM.,NYM,PHI,home,Partly Cloudy.,86,622663,CF,3,0,2,1,0,0,2,0,0,0,0,.333,.400,.500,.900,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,101.0,104.0,102.0,90.0,98.0,94.0,143.0,100.0,111.0,,,,92.0,91.0,89.0,0.248,0.355,0.081,0.242,,0.075,0.15,1.05,1.24,0.26,,-3.63,96.2,92.6,86.1,95.6,85.6,,0.243,0.392,0.218,,,,0.358,0.66,0.186,0.263,0.342,0.284,0.2,0.3,0.26,,,,,,,0.278,0.414,0.122,0.139,0.238,0.386,,,,,,,,,,,,
2024/09/13,6:40 PM.,NYM,PHI,home,Partly Cloudy.,82,500779,LF,1,0,0,0,0,0,0,0,0,1,1,.267,.353,.400,.753,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,,,,,,,0.304,0.225,,,,0.193,-0.32,,0.82,,,0.5,90.7,,85.7,90.8,,,0.227,0.427,0.169,0.265,0.444,0.264,0.203,0.26,0.367,,,,,,,110.0,100.0,99.0,0.278,-0.04,77.7,0.249,0.431,0.131,,,,,,,,,,,,,0.195,0.366,0.284
2024/09/10,6:42 PM.,TB,PHI,home,Clear.,80,671737,CF,1,1,1,1,0,0,2,0,0,0,0,.286,.375,.429,.804,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,129.0,97.0,102.0,,,,,,,,,,91.0,100.0,98.0,,0.417,0.225,,,,-0.04,1.02,,,,,96.4,90.9,,,,,0.269,0.5,0.21,0.241,0.483,0.346,,,,,,,0.205,0.357,0.324,100.0,91.0,93.0,0.089,-1.5,79.1,,,,,,,123.0,102.0,114.0,0.269,0.47,90.9,0.213,0.32,0.33,,,
2024/09/09,6:42 PM.,TB,PHI,home,Partly Cloudy.,76,642121,LF,0,0,0,0,0,0,0,0,0,0,0,.231,.333,.308,.641,642121,colesulser,Sulser,Right,Cole Sulser,- - -,2.76,3.22,16.1,102.0,105.0,101.0,0.759,8.27,4.96,4.96,0.55,0.85,0.357,0.333,0.119,0.333,0.394,115.0,95.0,103.0,100.0,105.0,100.0,,,,121.0,102.0,111.0,,,,92.0,105.0,99.0,,0.49,0.171,0.082,,0.257,2.46,2.62,,-2.2,,-1.84,92.2,87.4,83.7,,81.4,,0.136,0.182,0.171,,,,0.19,0.429,0.371,0.333,0.333,0.25,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/08,1:40 PM.,MIA,PHI,away,Roof Closed.,72,665795,RF,1,0,0,0,0,0,0,0,0,0,2,.231,.333,.308,.641,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,96.0,98.0,103.0,97.0,91.0,87.0,110.0,94.0,95.0,114.0,102.0,105.0,,,,,,,0.091,0.274,,0.085,,0.332,-1.63,,0.07,1.65,,0.15,96.3,,93.0,96.7,89.2,,0.304,0.543,0.164,0.206,0.426,0.394,0.206,0.321,0.338,0.129,0.226,0.313,,,,106.0,101.0,104.0,0.217,-0.03,84.8,0.231,0.333,0.151,,,,,,,,,,,,,,,
2024/09/07,4:11 PM.,MIA,PHI,away,Roof Closed.,72,670766,PH,1,0,0,0,0,0,0,0,0,0,0,.250,.357,.333,.690,670766,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,6.21,5.64,42.0,98.0,87.0,94.0,0.87,6.0,3.21,11.36,1.93,0.7,0.219,0.466,0.151,0.308,0.462,69.0,87.0,75.0,49.0,94.0,82.0,80.0,99.0,91.0,119.0,102.0,109.0,,,,,,,0.315,0.195,,0.38,,0.111,-0.09,,-1.47,-3.09,,-1.8,89.4,,81.1,89.0,81.9,,0.243,0.405,0.18,,,,0.333,0.381,0.325,,,,,,,,,,,,,0.346,0.5,0.089,0.311,0.689,0.142,,,,,,,,,,,,
