date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,CU%,wFS/C,wSI/C,wCU/C,vFS,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C
2024/06/11,6:40 PM.,COL,MIN,home,Clear.,82,615698,LF,4,0,0,0,0,0,0,0,0,3,3,.201,.270,.384,.654,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,88.0,97.0,103.0,,,,,,,,,,76.0,96.0,93.0,,0.135,,,0.018,,-0.41,,,1.81,,87.8,84.9,,,,,,0.222,0.222,0.167,,,,0.296,0.507,0.203,0.25,0.531,0.282,98.0,101.0,104.0,79.0,95.0,89.0,109.0,94.0,97.0,0.402,0.32,0.126,0.4,-2.0,-0.77,86.5,93.8,79.6,0.35,0.596,0.184,,,,,,,0.206,0.314,0.234,,,
2024/06/10,6:40 PM.,COL,MIN,home,Partly Cloudy.,75,641712,DH,2,0,0,0,0,0,0,0,1,0,0,.206,.276,.394,.670,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,6.17,6.01,89.0,95.0,84.0,91.0,0.832,4.96,5.06,10.01,1.11,1.77,0.213,0.423,0.147,0.367,0.416,84.0,94.0,93.0,64.0,89.0,76.0,99.0,96.0,97.0,,,,,,,0.153,0.005,0.244,,0.1,-2.2,-18.69,-0.31,,-4.94,89.9,86.9,83.5,84.1,,0.302,0.509,0.079,0.379,0.69,0.146,0.289,0.361,0.318,,,,0.13,0.217,0.33,103.0,97.0,100.0,71.0,96.0,86.0,,,,0.327,,0.172,,-0.07,0.48,,90.4,80.3,0.306,0.448,0.076,,,,,,,,,,,,
2024/06/09,1:36 PM.,PIT,MIN,away,Partly Cloudy.,74,683003,LF,3,0,0,0,0,0,1,0,0,0,5,.209,.275,.399,.674,683003,jaredjones,Jones,Right,Jared Jones,PIT,4.14,4.05,121.2,102.0,127.0,108.0,0.726,9.76,2.88,7.84,1.33,0.93,0.238,0.39,0.149,0.335,0.458,113.0,99.0,106.0,132.0,102.0,109.0,130.0,103.0,111.0,,,,,,,0.493,,0.348,,0.066,0.15,,1.12,,-2.91,97.3,,89.9,88.8,,0.224,0.425,0.257,0.317,0.561,0.229,0.208,0.354,0.373,,,,0.348,0.87,0.327,95.0,96.0,98.0,,,,,,,,,0.093,,,-2.53,,,81.5,,,,,,,,,,,,,,,
2024/06/08,4:09 PM.,PIT,MIN,away,Partly Cloudy.,79,669387,LF,1,0,0,0,0,0,0,0,1,0,0,.213,.280,.407,.687,669387,carmenmlodzinski,Mlodzinski,Right,Carmen Mlodzinski,PIT,3.38,3.34,50.2,100.0,102.0,103.0,0.774,8.17,3.38,7.28,0.53,1.23,0.275,0.458,0.134,0.282,0.418,114.0,81.0,85.0,95.0,100.0,98.0,118.0,99.0,114.0,,,,93.0,101.0,97.0,0.398,0.2,0.398,,0.003,1.09,1.68,-0.03,,-28.1,96.2,92.5,88.6,86.7,,0.174,0.304,0.255,,,,0.228,0.246,0.321,0.235,0.353,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304,0.391,0.339,,,,,,
2024/06/07,6:43 PM.,PIT,MIN,away,Partly Cloudy.,72,656605,PH,1,0,0,0,0,0,0,0,0,1,0,.215,.277,.409,.686,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,88.0,103.0,102.0,86.0,103.0,96.0,129.0,100.0,109.0,,,,96.0,99.0,98.0,0.304,0.122,0.25,,0.008,0.3,-1.0,-1.04,,-12.5,94.4,90.4,89.8,84.7,,0.257,0.4,0.24,0.667,1.333,0.0,0.338,0.636,0.248,0.272,0.593,0.195,0.233,0.442,0.293,111.0,96.0,104.0,82.0,102.0,94.0,,,,0.22,,0.096,,-0.26,-0.11,,93.4,78.4,0.266,0.405,0.125,,,,0.204,0.331,0.25,,,,,,
2024/06/06,7:08 PM.,NYY,MIN,away,Partly Cloudy.,76,573186,DH,3,1,1,1,0,0,0,0,0,1,1,.216,.279,.412,.691,573186,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.31,4.94,154.2,96.0,92.0,94.0,0.82,6.58,3.49,9.72,1.11,1.6,0.207,0.4,0.148,0.325,0.359,,,,48.0,88.0,79.0,93.0,102.0,102.0,,,,106.0,101.0,99.0,0.032,0.182,0.16,,,-4.01,-0.26,-2.37,,,89.9,88.1,,85.3,,0.455,0.636,0.259,,,,0.258,0.386,0.272,0.296,0.519,0.187,0.0,0.0,0.265,94.0,89.0,94.0,90.0,94.0,90.0,82.0,99.0,93.0,0.351,0.111,0.165,-0.31,-0.03,-0.03,83.3,90.0,81.3,0.306,0.466,0.12,0.309,0.515,0.313,,,,0.235,0.309,0.241,,,
2024/06/04,7:09 PM.,NYY,MIN,away,Partly Cloudy.,75,661563,LF,3,0,0,0,0,0,0,0,0,1,2,.214,.278,.407,.685,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,,,,,,,0.488,,0.259,,0.253,0.06,,1.37,,0.37,96.6,,91.6,87.5,,0.205,0.395,0.285,0.179,0.282,0.269,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/02,12:05 PM.,HOU,MIN,away,Roof Closed.,73,686613,DH,4,0,1,1,0,0,1,0,0,3,0,.218,.283,.415,.698,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.347,0.17,0.051,0.125,0.126,0.16,0.14,1.7,-0.79,0.95,96.0,92.4,88.4,89.1,82.9,0.244,0.413,0.288,0.221,0.26,0.296,0.2,0.2,0.236,0.23,0.363,0.216,0.237,0.421,0.305,,,,93.0,102.0,98.0,,,,0.182,,,,0.92,,,95.6,,0.275,0.321,0.161,,,,,,,,,,,,
2024/05/31,7:10 PM.,HOU,MIN,away,Roof Closed.,73,669854,1B,1,0,0,0,0,0,1,0,0,1,0,.217,.284,.413,.697,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,85.0,95.0,90.0,89.0,103.0,101.0,,,,,,,0.383,,0.302,,0.221,-0.42,,2.24,,-0.16,93.4,,85.2,86.4,,0.232,0.497,0.192,0.188,0.356,0.343,0.18,0.284,0.333,,,,0.071,0.071,0.376,75.0,96.0,100.0,,,,,,,,,0.094,,,2.55,,,80.1,,,,,,,,,,,,,,,
2024/05/29,6:41 PM.,KC,MIN,home,Partly Cloudy.,71,607625,DH,2,0,1,0,0,0,0,0,1,0,0,.219,.288,.416,.704,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,75.0,103.0,95.0,125.0,97.0,105.0,,,,97.0,103.0,103.0,0.24,0.082,0.135,,0.069,0.7,2.86,-0.67,,0.08,92.2,90.1,87.4,85.2,,0.234,0.392,0.176,0.208,0.333,0.291,0.213,0.387,0.2,0.228,0.228,0.23,0.178,0.271,0.339,126.0,100.0,110.0,68.0,101.0,92.0,93.0,107.0,106.0,0.185,0.026,0.262,0.07,0.65,1.44,85.7,92.1,79.4,0.274,0.381,0.129,0.215,0.28,0.285,0.375,0.75,0.109,0.105,0.421,0.351,,,
