date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,CH%,wFC/C,wCU/C,wCH/C,vFC,vCH,vCU,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff
2024/07/29,7:11 PM.,SEA,BOS,home,Partly Cloudy.,72,669302,2B,1,0,0,0,0,0,0,0,0,1,0,.150,.234,.350,.584,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,,,,99.0,96.0,104.0,0.015,0.308,0.134,0.32,,1.41,1.18,0.32,1.72,,96.6,84.5,95.5,88.4,,0.204,0.383,0.193,0.21,0.375,0.368,0.101,0.162,0.506,0.286,0.286,0.05,0.181,0.301,0.354,,,,124.0,99.0,107.0,116.0,104.0,103.0,0.106,0.118,,0.14,0.81,,92.3,,83.2,,,,,,,0.247,0.483,0.272
2024/07/28,7:10 PM.,NYY,BOS,home,Partly Cloudy.,74,607074,2B,2,0,0,0,0,0,0,0,0,1,1,.154,.239,.359,.598,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,114.0,98.0,101.0,,,,144.0,104.0,113.0,,,,,,,,0.494,,0.26,,0.05,,,-0.4,,95.4,,,86.8,,0.262,0.514,0.214,0.199,0.361,0.393,,,,,,,0.281,0.531,0.276,129.0,92.0,106.0,103.0,86.0,93.0,100.0,83.0,82.0,0.035,0.083,0.129,-3.11,-1.32,1.44,91.8,85.5,81.0,0.188,0.247,0.495,,,,0.353,0.647,0.255
2024/07/26,7:12 PM.,NYY,BOS,home,Clear.,84,641482,2B,2,0,0,0,0,0,0,0,0,0,2,.162,.250,.378,.628,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,99.0,103.0,100.0,86.0,116.0,113.0,99.0,98.0,101.0,,,,,,,0.014,0.442,,0.168,,0.25,,1.37,-1.27,,92.1,,90.3,78.2,,0.235,0.443,0.215,0.364,0.727,0.167,,,,0.143,0.143,0.316,,,,86.0,102.0,94.0,,,,109.0,100.0,102.0,0.28,,0.097,1.32,,-0.89,87.5,83.6,,0.226,0.369,0.326,0.284,0.511,0.25,0.249,0.378,0.251
2024/07/24,1:11 PM.,COL,BOS,away,Sunny.,93,615698,2B,4,0,0,0,0,0,0,0,0,2,2,.171,.262,.400,.662,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,,,,79.0,95.0,89.0,,,,,,,109.0,94.0,97.0,0.402,,0.32,,,,0.4,-2.0,,,,86.5,93.8,,,,,,,,,0.206,0.314,0.234,0.35,0.596,0.184,0.25,0.531,0.282,88.0,97.0,103.0,98.0,101.0,104.0,76.0,96.0,93.0,0.135,0.126,0.018,-0.41,-0.77,1.81,87.8,84.9,79.6,0.222,0.222,0.167,,,,0.296,0.507,0.203
2024/07/23,6:41 PM.,COL,BOS,away,Clear.,89,621389,2B,1,1,0,0,0,0,0,0,2,0,1,.194,.289,.452,.741,621389,tyblach,Blach,Left,Ty Blach,COL,6.94,7.32,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.104,0.356,0.463,92.0,82.0,73.0,58.0,109.0,91.0,,,,,,,,,,0.162,0.345,,0.001,,-1.64,,-5.1,-3.5,,89.1,,89.3,85.0,,0.371,0.571,0.072,,,,,,,0.426,0.936,0.124,0.2,0.36,0.176,71.0,99.0,87.0,38.0,90.0,88.0,77.0,107.0,88.0,0.137,0.109,0.245,-0.5,-1.07,-2.05,82.9,80.0,79.2,0.342,0.507,0.208,,,,0.275,0.51,0.209
2024/07/22,6:40 PM.,COL,BOS,away,Partly Cloudy.,83,596295,2B,2,1,1,0,0,1,3,0,0,0,0,.200,.257,.467,.724,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,71.0,98.0,91.0,51.0,110.0,96.0,91.0,103.0,102.0,93.0,109.0,107.0,,,,0.001,0.404,,0.167,0.224,-1.23,,-42.96,-0.17,-0.08,90.4,,90.1,83.8,77.6,0.305,0.6,0.096,0.274,0.513,0.22,,,,,,,0.22,0.368,0.269,82.0,103.0,99.0,,,,,,,,,0.205,,,-0.15,,81.1,,0.28,0.409,0.273,,,,,,
2024/07/21,4:11 PM.,LAD,BOS,away,Partly Cloudy.,86,572020,2B,2,0,0,0,0,0,0,0,0,1,2,.179,.242,.357,.599,572020,jamespaxton,Paxton,Left,James Paxton,- - -,4.4,4.74,100.1,98.0,74.0,91.0,0.812,6.55,4.49,8.52,1.08,0.88,0.272,0.329,0.144,0.355,0.424,69.0,98.0,86.0,64.0,107.0,97.0,,,,82.0,98.0,97.0,,,,0.05,0.551,,,0.303,-0.21,,-1.01,,0.57,93.2,,92.8,,80.8,0.264,0.431,0.144,,,,,,,0.308,0.423,0.091,0.2,0.3,0.362,72.0,95.0,95.0,,,,82.0,95.0,83.0,0.031,,0.066,-3.38,,-2.12,84.0,82.6,,0.25,0.375,0.326,,,,0.308,0.769,0.13
2024/07/20,4:15 PM.,LAD,BOS,away,Sunny.,86,680736,2B,2,0,0,0,0,0,0,0,0,0,2,.192,.258,.385,.643,680736,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,5.7,6.45,36.1,97.0,95.0,96.0,0.802,6.44,3.96,8.42,2.23,0.69,0.324,0.216,0.162,0.378,0.463,104.0,97.0,97.0,45.0,88.0,78.0,106.0,104.0,103.0,,,,,,,0.044,0.591,,0.083,,0.61,,-1.16,-6.42,,95.1,,91.4,84.4,,0.205,0.386,0.23,0.267,0.8,0.3,,,,0.333,0.5,0.0,0.385,0.846,0.174,48.0,88.0,90.0,85.0,88.0,88.0,88.0,104.0,103.0,0.13,0.12,0.032,-0.17,-4.97,-3.53,87.7,83.9,82.5,,,,,,,0.286,0.643,0.25
2024/07/12,7:10 PM.,KC,BOS,home,Partly Cloudy.,82,666142,2B,3,1,1,1,0,0,0,0,0,1,0,.208,.276,.417,.693,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,105.0,101.0,106.0,,,,132.0,106.0,114.0,101.0,97.0,101.0,,,,,0.418,,0.128,0.104,0.85,,,-0.34,0.9,95.4,,,86.0,80.8,0.213,0.361,0.231,0.21,0.305,0.337,,,,,,,0.14,0.256,0.352,114.0,98.0,103.0,,,,88.0,94.0,91.0,0.113,,0.237,0.26,,1.43,90.7,84.8,,0.183,0.28,0.478,,,,0.348,0.455,0.228
2024/07/10,7:11 PM.,OAK,BOS,home,Partly Cloudy.,83,676664,2B,3,0,0,0,0,0,0,0,0,0,0,.190,.269,.381,.650,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,,,,,,,0.106,0.363,,0.339,,-0.8,,1.37,-0.1,,91.9,,90.0,78.9,,0.23,0.476,0.256,0.23,0.525,0.259,,,,0.276,0.395,0.104,,,,84.0,94.0,83.0,,,,,,,,,0.192,,,-0.21,,84.0,,0.297,0.428,0.188,0.239,0.381,0.213,,,
2024/06/15,7:17 PM.,NYY,BOS,home,Clear.,76,607074,2B,3,0,1,1,0,0,1,0,0,2,0,.222,.304,.444,.748,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,114.0,98.0,101.0,,,,144.0,104.0,113.0,,,,,,,,0.494,,0.26,,0.05,,,-0.4,,95.4,,,86.8,,0.262,0.514,0.214,0.199,0.361,0.393,,,,,,,0.281,0.531,0.276,129.0,92.0,106.0,103.0,86.0,93.0,100.0,83.0,82.0,0.035,0.083,0.129,-3.11,-1.32,1.44,91.8,85.5,81.0,0.188,0.247,0.495,,,,0.353,0.647,0.255
2024/06/14,7:42 PM.,NYY,BOS,home,Overcast.,70,661563,2B,1,0,1,0,0,0,0,0,0,0,0,.200,.300,.400,.700,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,128.0,96.0,102.0,,,,108.0,94.0,105.0,,,,,,,,0.488,,0.259,,0.06,,,1.37,,96.6,,,87.5,,0.205,0.395,0.285,0.171,0.312,0.315,,,,,,,,,,80.0,93.0,93.0,,,,,,,,,0.253,,,0.37,,91.6,,0.179,0.282,0.269,,,,,,
2024/06/12,7:11 PM.,PHI,BOS,home,Partly Cloudy.,75,650911,2B,1,0,0,0,0,0,1,0,0,0,1,.143,.263,.357,.620,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,,,,95.0,101.0,98.0,102.0,102.0,103.0,,,,,,,0.473,,,0.169,,,,-0.55,0.65,,,,94.5,84.4,,,,,0.219,0.368,0.308,,,,0.345,0.481,0.131,,,,97.0,105.0,116.0,,,,86.0,52.0,74.0,0.001,,0.357,2.59,,1.56,86.5,85.1,,0.177,0.22,0.348,,,,,,
2024/06/11,7:11 PM.,PHI,BOS,home,Partly Cloudy.,70,554430,2B,1,0,0,0,0,0,0,0,0,1,0,.154,.294,.385,.679,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,,,,94.0,110.0,110.0,0.192,0.416,0.074,0.125,,0.88,1.47,2.68,1.04,,95.3,86.1,94.6,84.9,,0.209,0.395,0.296,,,,0.137,0.196,0.402,0.189,0.259,0.142,0.205,0.397,0.387,,,,110.0,101.0,107.0,92.0,97.0,94.0,0.093,0.1,,-0.23,-0.98,,91.1,,81.8,,,,0.152,0.273,0.335,0.226,0.371,0.183
