date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2024/09/21,4:06 PM.,DET,BAL,home,Partly Cloudy.,79,681857,PH,1,0,0,0,0,0,0,0,0,0,0,.238,.289,.336,.625,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,,,,0.205,0.234,0.278,,0.223,-0.39,1.85,2.08,,-0.05,94.2,86.5,94.2,84.8,,0.222,0.344,0.429,0.277,0.386,0.101,0.284,0.385,0.076,0.143,0.194,0.455,0.304,0.652,0.295,92.0,91.0,90.0,,,,,,,,,0.06,,,-3.32,,,79.0,,,,,,,,,,,,,,,
2024/09/17,6:37 PM.,SF,BAL,home,Overcast.,75,605483,DH,2,0,0,0,0,0,0,0,0,2,0,.238,.290,.337,.627,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,116.0,96.0,100.0,,,,106.0,87.0,91.0,,,,,0.464,0.101,,0.176,1.16,,0.11,,0.95,95.9,85.5,,88.7,,0.236,0.319,0.476,0.2,0.303,0.244,,,,0.167,0.267,0.446,0.111,0.183,0.498,148.0,99.0,109.0,,,,,,,,,0.26,,,2.25,,,81.1,,,,,,,,,,,,,,,
2024/09/15,12:10 PM.,DET,BAL,away,Sunny.,81,672456,DH,2,0,0,0,0,0,0,0,0,0,1,.240,.292,.340,.632,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,92.0,100.0,96.0,90.0,101.0,97.0,110.0,99.0,104.0,95.0,102.0,111.0,0.078,0.421,0.28,0.112,0.109,-0.19,1.09,0.02,-3.94,-2.78,94.8,86.0,94.1,83.5,78.8,0.289,0.474,0.329,0.27,0.486,0.18,0.32,0.32,0.038,0.235,0.391,0.259,0.269,0.615,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/13,6:41 PM.,DET,BAL,away,Clear.,81,689225,DH,3,0,0,0,0,0,0,0,0,0,1,.241,.294,.342,.636,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,,,,0.159,0.404,0.173,,0.265,0.99,2.22,-1.62,,0.26,95.9,88.4,95.5,86.1,,0.212,0.4,0.319,0.222,0.272,0.212,0.235,0.294,0.116,0.241,0.552,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/09,7:12 PM.,BOS,BAL,away,Partly Cloudy.,71,678394,DH,4,0,0,0,0,0,0,0,0,3,5,.244,.296,.345,.641,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,,,,0.403,0.048,0.28,,0.269,0.25,-0.24,-0.58,,0.15,95.6,87.6,95.7,86.8,,0.177,0.354,0.369,0.12,0.16,0.218,0.309,0.44,0.111,0.268,0.401,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/08,12:06 PM.,TB,BAL,home,Sunny.,66,641793,PH,1,0,0,0,0,0,0,0,0,1,2,.247,.300,.349,.649,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,54.0,110.0,91.0,67.0,103.0,91.0,102.0,99.0,98.0,,,,0.148,0.221,0.399,,,0.58,-0.6,0.45,,,92.4,,91.6,85.7,,,,,0.245,0.358,0.191,0.265,0.439,0.141,0.257,0.427,0.227,,,,,,,,,,104.0,106.0,112.0,,0.232,,,-0.84,,,83.0,,0.258,0.423,0.344,0.406,0.594,0.115,,,,,,,,,
2024/09/06,7:07 PM.,TB,BAL,home,Partly Cloudy.,76,669358,DH,3,0,0,0,0,0,0,0,0,0,2,.248,.301,.350,.651,669358,shanebaz,Baz,Right,Shane Baz,TBR,3.06,3.62,79.1,100.0,115.0,103.0,0.779,7.83,3.06,6.47,1.02,0.91,0.269,0.402,0.142,0.342,0.456,85.0,97.0,94.0,121.0,101.0,104.0,,,,111.0,96.0,100.0,,,,,0.479,0.213,,0.103,0.81,,-0.08,,2.88,95.6,88.1,,87.3,,0.115,0.115,0.276,0.252,0.37,0.221,,,,0.164,0.4,0.222,0.169,0.247,0.311,119.0,104.0,109.0,,,,,,,,,0.205,,,1.71,,,83.6,,,,,,,,,,,,,,,
2024/09/04,6:37 PM.,CWS,BAL,home,Partly Cloudy.,77,686563,PH,1,0,0,0,0,0,0,0,0,0,2,.253,.306,.357,.663,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,,,,0.28,0.123,0.218,,0.187,-1.13,0.44,-1.39,,-0.22,94.3,85.7,93.3,81.9,,0.248,0.394,0.269,0.25,0.411,0.252,0.287,0.449,0.132,,,,,,,,,,79.0,101.0,93.0,,,,0.192,,,0.39,,,90.2,,,,,,0.255,0.489,0.282,0.263,0.45,0.191,,,,,,
2024/09/03,6:36 PM.,CWS,BAL,home,Clear.,73,680897,DH,4,0,1,0,0,0,0,0,1,0,2,.251,.304,.355,.659,680897,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.45,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.297,0.361,86.0,75.0,75.0,101.0,78.0,78.0,,,,105.0,94.0,99.0,,,,,0.454,0.362,,0.098,-1.37,,0.09,,-4.58,93.7,85.8,,84.5,,0.4,0.6,0.32,0.189,0.415,0.204,,,,0.222,0.444,0.346,0.364,0.455,0.333,90.0,81.0,88.0,,,,,,,,,0.086,,,-1.7,,,79.2,,,,,,,,,,,,,,,
2024/09/01,1:10 PM.,COL,BAL,away,Sunny.,82,621389,DH,3,1,0,0,0,0,0,0,2,2,6,.251,.303,.356,.659,621389,tyblach,Blach,Left,Ty Blach,COL,6.94,7.32,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.104,0.356,0.463,71.0,99.0,87.0,92.0,82.0,73.0,58.0,109.0,91.0,,,,,,,0.162,0.345,0.001,,0.245,-1.64,-5.1,-3.5,,-2.05,89.1,80.0,89.3,85.0,,0.342,0.507,0.208,0.371,0.571,0.072,0.426,0.936,0.124,,,,0.2,0.36,0.176,38.0,90.0,88.0,77.0,107.0,88.0,,,,0.137,,0.109,-0.5,,-1.07,82.9,,79.2,,,,,,,0.275,0.51,0.209,,,,,,
2024/08/31,6:11 PM.,COL,BAL,away,Clear.,89,663372,DH,4,1,1,0,0,1,1,0,0,0,1,.253,.301,.360,.661,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,,,,0.128,0.37,0.254,,0.147,0.63,-0.45,-0.87,,-1.02,94.6,85.2,94.2,87.4,,0.299,0.485,0.394,0.24,0.376,0.177,0.299,0.403,0.159,0.355,0.523,0.226,0.164,0.26,0.248,108.0,107.0,113.0,,,,,,,,,0.101,,,1.28,,,79.2,,,,0.156,0.375,0.35,,,,,,,,,
2024/08/30,6:40 PM.,COL,BAL,away,Clear.,85,596295,DH,3,0,2,1,0,0,0,0,0,0,1,.253,.302,.351,.653,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,82.0,103.0,99.0,71.0,98.0,91.0,51.0,110.0,96.0,91.0,103.0,102.0,93.0,109.0,107.0,0.001,0.404,0.167,0.224,0.205,-1.23,-42.96,-0.17,-0.08,-0.15,90.4,81.1,90.1,83.8,77.6,0.28,0.409,0.273,0.305,0.6,0.096,,,,0.274,0.513,0.22,0.22,0.368,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
