date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/08/02,6:38 PM.,NYM,LAA,home,Partly Cloudy.,84,621112,3B,2,0,0,0,0,0,0,0,0,2,1,.300,.347,.417,.764,621112,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.59,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,91.0,107.0,106.0,69.0,107.0,93.0,116.0,106.0,108.0,105.0,106.0,99.0,0.136,0.22,0.167,0.101,0.181,-0.19,-4.04,1.35,2.06,1.56,89.1,85.7,91.2,81.3,79.4,0.299,0.493,0.244,0.125,0.208,0.25,0.163,0.245,0.284,0.164,0.236,0.347,0.478,0.674,0.095,,,,74.0,96.0,90.0,0.195,-2.3,91.9,0.286,0.694,0.125,,,,,,,,,,,,,,,,,,,,,
2024/07/31,6:38 PM.,COL,LAA,home,Clear.,80,607536,3B,3,0,0,0,0,0,0,0,0,1,2,.302,.349,.420,.769,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.24,5.11,113.1,103.0,81.0,99.0,0.841,6.75,2.06,10.64,1.75,1.01,0.225,0.421,0.156,0.347,0.435,61.0,100.0,89.0,,,,83.0,106.0,99.0,65.0,103.0,101.0,,,,0.245,,0.227,,0.137,,-1.33,-1.11,,-1.64,,86.1,91.4,86.9,,,,,0.194,0.276,0.42,0.316,0.589,0.162,0.333,0.647,0.161,0.31,0.556,0.074,,,,69.0,104.0,95.0,0.202,-1.51,91.6,0.322,0.522,0.067,,,,,,,,,,128.0,102.0,107.0,0.188,0.07,83.5,,,,,,
2024/07/30,6:39 PM.,COL,LAA,home,Clear.,79,615698,3B,5,3,3,0,0,0,0,1,0,1,1,.306,.352,.424,.776,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,88.0,97.0,103.0,98.0,101.0,104.0,79.0,95.0,89.0,,,,76.0,96.0,93.0,0.402,0.135,,0.126,0.018,-0.41,-2.0,,-0.77,1.81,87.8,84.9,93.8,,79.6,0.296,0.507,0.203,0.25,0.531,0.282,,,,0.222,0.222,0.167,0.35,0.596,0.184,,,,,,,,,,,,,109.0,94.0,97.0,0.32,0.4,86.5,0.206,0.314,0.234,,,,,,,,,,,,
2024/07/28,1:08 PM.,OAK,LAA,home,Sunny.,80,674370,3B,3,1,0,0,0,0,1,0,2,1,6,.300,.348,.421,.769,674370,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.41,2.72,63.1,97.0,103.0,97.0,0.761,8.95,3.69,6.11,0.43,0.61,0.245,0.405,0.252,0.258,0.425,78.0,103.0,102.0,,,,102.0,89.0,87.0,131.0,103.0,111.0,93.0,99.0,96.0,0.099,0.143,0.211,,0.152,2.25,-0.7,1.83,,1.82,86.9,88.9,94.9,85.8,,0.152,0.212,0.197,,,,0.197,0.311,0.27,0.121,0.152,0.343,0.304,0.478,0.146,,,,102.0,95.0,92.0,0.394,0.18,94.8,0.203,0.297,0.287,,,,,,,,,,,,,,,,,,,,,
2024/07/27,6:38 PM.,OAK,LAA,home,Clear.,80,687765,2B,4,0,0,0,0,0,0,0,0,2,2,.304,.347,.426,.773,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,118.0,117.0,117.0,40.0,97.0,84.0,121.0,105.0,109.0,99.0,100.0,96.0,0.146,0.396,0.326,0.121,0.011,-0.41,-1.41,0.01,-0.82,-7.88,90.7,88.4,91.9,84.3,80.4,0.278,0.472,0.176,0.196,0.351,0.31,0.278,0.493,0.276,0.571,0.857,0.0,0.338,0.403,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/26,6:38 PM.,OAK,LAA,home,Clear.,77,621112,2B,3,1,1,0,0,0,0,1,1,0,1,.308,.352,.432,.784,621112,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.59,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,91.0,107.0,106.0,69.0,107.0,93.0,116.0,106.0,108.0,105.0,106.0,99.0,0.136,0.22,0.167,0.101,0.181,-0.19,-4.04,1.35,2.06,1.56,89.1,85.7,91.2,81.3,79.4,0.299,0.493,0.244,0.125,0.208,0.25,0.163,0.245,0.284,0.164,0.236,0.347,0.478,0.674,0.095,,,,74.0,96.0,90.0,0.195,-2.3,91.9,0.286,0.694,0.125,,,,,,,,,,,,,,,,,,,,,
2024/07/25,6:39 PM.,OAK,LAA,home,Clear.,88,548389,2B,4,0,1,1,0,0,2,0,0,0,0,.308,.350,.433,.783,548389,rossstripling,Stripling,Right,Ross Stripling,OAK,6.01,4.74,85.1,105.0,86.0,98.0,0.849,5.17,2.32,11.5,0.74,1.11,0.304,0.359,0.175,0.301,0.443,90.0,111.0,105.0,,,,90.0,102.0,90.0,121.0,108.0,112.0,80.0,107.0,92.0,0.142,0.159,0.134,,0.176,0.67,-0.67,-1.89,,-1.87,87.5,82.7,90.2,84.7,,0.245,0.367,0.156,0.364,0.455,0.179,0.328,0.5,0.157,0.333,0.52,0.241,0.39,0.441,0.078,,,,62.0,100.0,87.0,0.303,-0.05,91.7,0.244,0.422,0.175,,,,,,,,,,89.0,105.0,106.0,0.086,-1.1,76.3,,,,,,
2024/07/24,12:40 PM.,SEA,LAA,away,Sunny.,65,622491,3B,4,0,0,0,0,0,0,0,0,1,3,.309,.351,.432,.783,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,,,,100.0,102.0,98.0,72.0,106.0,108.0,,,,0.179,,0.224,,0.143,,-0.41,0.65,,-1.63,,88.1,95.6,85.7,,,,,,,,0.207,0.357,0.358,0.287,0.545,0.265,0.298,0.457,0.105,,,,120.0,105.0,103.0,0.454,0.97,95.6,0.203,0.365,0.273,,,,,,,,,,,,,,,,,,,,,
2024/07/23,6:40 PM.,SEA,LAA,away,Clear.,73,669302,DH,4,0,1,0,0,0,2,0,0,0,0,.314,.357,.439,.796,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,124.0,99.0,107.0,91.0,102.0,97.0,146.0,102.0,115.0,116.0,104.0,103.0,0.015,0.106,0.32,0.118,,0.14,0.32,1.72,0.81,,92.3,,95.5,88.4,83.2,0.247,0.483,0.272,0.181,0.301,0.354,0.21,0.375,0.368,,,,0.286,0.286,0.05,,,,106.0,101.0,97.0,0.308,1.41,96.6,0.204,0.383,0.193,99.0,96.0,104.0,0.134,1.18,84.5,0.101,0.162,0.506,,,,,,,,,,,,
2024/07/03,6:41 PM.,OAK,LAA,away,Clear.,84,683155,3B,3,0,0,0,0,0,0,0,0,0,1,.315,.358,.442,.800,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,,,,61.0,93.0,83.0,114.0,113.0,117.0,111.0,89.0,91.0,0.034,0.007,0.332,,0.111,-13.81,-1.55,-0.2,,-2.46,86.4,84.8,90.8,79.6,,,,,,,,0.261,0.435,0.223,0.357,0.738,0.204,0.263,0.579,0.147,0.217,0.367,0.216,80.0,106.0,99.0,0.517,0.08,92.4,0.257,0.469,0.175,,,,,,,,,,,,,,,,,,,,,
