date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,vKN (sc),KN%,wKN/C
2024/09/15,1:10 PM.,OAK,CWS,home,Sunny.,90,676664,RF,4,0,0,0,0,0,0,0,0,1,1,.214,.275,.306,.581,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.363,0.339,0.192,-0.8,1.37,-0.1,-0.21,91.9,84.0,90.0,78.9,0.23,0.525,0.259,0.23,0.476,0.256,0.297,0.428,0.188,0.276,0.395,0.104,,,,,,,,,,0.239,0.381,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/11,1:11 PM.,CLE,CWS,home,Partly Cloudy.,81,571510,LF,5,1,1,0,0,0,0,0,0,1,2,.219,.281,.314,.595,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.262,1.47,-2.47,1.14,0.04,92.0,80.9,91.8,79.5,0.148,0.222,0.449,0.15,0.25,0.246,0.261,0.37,0.352,0.32,0.64,0.071,,,,,,,,,,,,,85.0,100.0,98.0,0.081,1.41,74.1,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,
2024/09/09,6:39 PM.,CLE,CWS,home,Clear.,79,676282,RF,4,0,0,0,0,0,0,0,0,2,0,.220,.283,.317,.600,676282,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.83,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,96.0,91.0,87.0,,,,112.0,104.0,103.0,,0.488,0.084,0.276,-1.29,,2.07,0.26,92.2,77.8,,82.6,0.188,0.375,0.424,0.292,0.585,0.22,0.216,0.324,0.437,,,,,,,,,,,,,,,,95.0,109.0,105.0,0.152,1.01,76.2,0.172,0.276,0.271,,,,,,,,,,,,,,,,,,,,,
2024/09/04,6:37 PM.,BAL,CWS,away,Partly Cloudy.,77,544150,RF,1,0,0,0,0,0,0,0,0,0,0,.225,.290,.325,.615,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,90.0,101.0,96.0,,,,,,,,0.5,,0.172,-0.36,,,-0.5,94.8,86.1,,,,,,0.276,0.469,0.228,0.274,0.434,0.228,,,,74.0,99.0,92.0,0.195,0.73,86.3,0.24,0.365,0.308,,,,94.0,99.0,98.0,0.132,0.41,79.0,0.174,0.348,0.252,,,,,,,,,,,,,,,,,,,,,
2024/09/03,6:36 PM.,BAL,CWS,away,Clear.,73,700249,RF,4,0,0,0,0,0,0,0,0,1,3,.226,.291,.327,.618,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,81.0,97.0,93.0,80.0,98.0,90.0,113.0,107.0,108.0,0.084,0.407,0.13,0.109,0.56,0.86,-0.43,-2.05,92.4,86.1,91.5,82.6,,,,0.223,0.379,0.185,0.25,0.542,0.235,0.2,0.24,0.103,97.0,94.0,94.0,0.075,-3.12,88.3,0.333,0.81,0.288,0.232,0.411,0.276,93.0,101.0,104.0,0.196,-2.26,76.3,0.333,0.517,0.269,,,,,,,,,,,,,,,,,,,,,
2024/09/02,3:07 PM.,BAL,CWS,away,Sunny.,81,669203,DH,3,1,2,0,0,0,1,0,1,0,0,.232,.298,.335,.633,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,,,,104.0,95.0,89.0,133.0,105.0,120.0,0.078,,0.146,0.11,,-0.5,0.7,0.2,,89.2,97.0,87.2,0.196,0.268,0.463,,,,0.194,0.339,0.377,0.235,0.412,0.157,125.0,105.0,108.0,0.45,1.37,95.3,0.251,0.362,0.19,0.125,0.5,0.457,109.0,101.0,106.0,0.215,0.44,80.3,0.2,0.326,0.378,,,,,,,,,,,,,,,,,,,,,
2024/09/01,1:10 PM.,NYM,CWS,home,Sunny.,73,640455,LF,3,0,0,0,0,0,0,0,0,1,0,.224,.287,.329,.616,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,0.447,0.113,0.251,0.118,1.13,1.36,0.37,-1.19,92.3,85.3,92.3,79.5,0.174,0.435,0.32,0.167,0.295,0.311,0.25,0.438,0.254,0.201,0.333,0.21,84.0,88.0,85.0,0.071,0.97,88.4,0.222,0.25,0.179,0.193,0.311,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/31,6:10 PM.,NYM,CWS,home,Clear.,82,500779,RF,5,0,0,0,0,0,1,0,0,2,3,.228,.293,.336,.629,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,0.304,0.225,,0.193,-0.32,0.82,,0.5,90.7,85.7,90.8,,,,,0.227,0.427,0.169,0.203,0.26,0.367,0.249,0.431,0.131,,,,,,,,,,,,,110.0,100.0,99.0,0.278,-0.04,77.7,0.265,0.444,0.264,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,
2024/08/27,7:10 PM.,TEX,CWS,home,Cloudy.,77,571760,LF,4,0,2,0,0,0,1,0,0,1,2,.236,.302,.347,.649,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,0.014,0.501,0.278,0.17,0.15,-4.52,-0.26,0.46,91.5,83.7,92.2,82.5,0.26,0.385,0.365,0.23,0.412,0.213,0.239,0.384,0.243,0.455,0.455,0.125,20.0,51.0,51.0,0.001,-19.13,86.6,,,,,,,126.0,105.0,103.0,0.036,-3.31,75.6,0.5,1.1,0.188,,,,,,,,,,,,,,,,,,,,,
2024/08/25,1:10 PM.,DET,CWS,home,Sunny.,90,689225,RF,4,0,0,0,0,0,1,0,0,1,2,.229,.297,.343,.640,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,0.159,0.404,0.173,0.265,0.99,2.22,-1.62,0.26,95.9,88.4,95.5,86.1,0.241,0.552,0.271,0.222,0.272,0.212,0.212,0.4,0.319,0.235,0.294,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
