date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,FO%,wFO/C,vFO
2024/08/28,7:12 PM.,TOR,BOS,home,Clear.,87,605135,2B,4,1,0,0,0,0,0,0,0,0,2,.248,.303,.395,.698,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,101.0,91.0,102.0,64.0,103.0,94.0,96.0,101.0,97.0,120.0,96.0,106.0,87.0,90.0,86.0,0.407,0.045,0.043,0.118,0.137,-1.6,-2.64,-0.08,-0.88,-0.09,92.6,84.1,92.5,77.2,71.0,0.303,0.364,0.167,0.242,0.394,0.25,0.154,0.231,0.458,0.327,0.423,0.128,75.0,87.0,84.0,79.0,101.0,91.0,0.197,0.053,0.44,-2.29,89.6,84.5,0.188,0.316,0.268,0.221,0.351,0.292,0.375,0.781,0.096,0.321,0.607,0.158,,,,,,,,,,,,,,,,,,
2024/08/27,7:11 PM.,TOR,BOS,home,Clear.,79,684320,2B,4,1,1,0,0,0,1,1,0,1,1,.252,.307,.400,.707,684320,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.47,4.0,86.2,97.0,97.0,97.0,0.765,8.83,4.15,7.68,1.14,0.9,0.268,0.393,0.184,0.272,0.392,97.0,95.0,100.0,86.0,93.0,87.0,84.0,94.0,92.0,120.0,104.0,111.0,85.0,102.0,102.0,0.108,0.409,0.096,0.282,0.105,-0.12,-1.17,2.98,0.67,-2.85,93.9,88.9,93.4,84.6,78.3,0.194,0.306,0.215,0.255,0.439,0.22,,,,0.167,0.167,0.149,,,,,,,,,,,,,,,,0.348,0.739,0.25,0.213,0.36,0.335,,,,,,,,,,,,,,,,,,,,,
2024/08/26,7:09 PM.,TOR,BOS,home,Cloudy.,75,621244,SS,3,1,1,0,0,0,0,0,0,0,0,.252,.307,.402,.709,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,111.0,102.0,106.0,82.0,99.0,92.0,85.0,103.0,95.0,,,,,,,0.337,0.183,,,0.286,-1.26,,1.02,,0.28,94.1,,93.4,,83.2,,,,0.305,0.558,0.189,,,,0.268,0.366,0.125,86.0,104.0,101.0,84.0,108.0,99.0,0.035,0.16,-1.83,0.88,91.4,84.8,0.36,0.48,0.123,,,,,,,0.171,0.364,0.269,,,,,,,0.188,0.404,0.31,,,,,,,,,
2024/08/25,1:36 PM.,AZ,BOS,home,Cloudy.,84,518876,2B,1,0,0,0,0,0,0,0,1,0,0,.251,.307,.403,.710,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,116.0,108.0,107.0,73.0,106.0,97.0,84.0,98.0,90.0,114.0,111.0,111.0,,,,0.147,0.197,,0.118,0.077,-0.76,,-3.28,-0.18,-1.78,91.9,,92.3,85.6,82.2,,,,0.26,0.54,0.204,,,,0.378,0.644,0.086,122.0,108.0,106.0,95.0,103.0,98.0,0.252,0.21,0.01,4.47,90.3,88.4,0.276,0.5,0.109,0.25,0.55,0.205,0.273,0.455,0.394,0.099,0.099,0.315,,,,,,,,,,,,,,,,,,
2024/08/23,7:13 PM.,AZ,BOS,home,Partly Cloudy.,78,669194,2B,3,0,0,0,0,0,0,0,0,1,0,.252,.306,.404,.710,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,91.0,94.0,94.0,105.0,107.0,106.0,,,,111.0,112.0,110.0,,,,,0.557,,0.103,0.057,0.64,,,-0.66,1.81,95.2,,,83.8,77.8,,,,0.249,0.418,0.195,0.4,0.733,0.167,,,,108.0,99.0,107.0,78.0,107.0,96.0,0.184,0.099,-0.85,-2.35,91.2,83.0,0.317,0.508,0.154,0.138,0.207,0.148,0.226,0.34,0.156,0.302,0.587,0.203,,,,,,,,,,,,,,,,,,
2024/08/21,1:10 PM.,HOU,BOS,away,Roof Closed.,73,434378,2B,4,1,1,0,0,1,1,0,0,2,2,.254,.309,.409,.718,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,110.0,101.0,97.0,116.0,98.0,102.0,,,,127.0,108.0,112.0,,,,,0.487,,0.193,0.219,-0.59,,,0.66,-1.46,93.5,,,86.7,77.6,,,,0.299,0.497,0.202,,,,,,,115.0,101.0,104.0,,,,,0.101,,-0.58,,84.0,,,,0.34,0.56,0.22,0.195,0.322,0.215,0.235,0.353,0.253,,,,,,,,,,,,,,,,,,
2024/08/20,7:10 PM.,HOU,BOS,away,Roof Closed.,73,669854,2B,4,1,0,0,0,0,0,1,1,1,4,.255,.310,.400,.710,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,75.0,96.0,100.0,85.0,95.0,90.0,,,,89.0,103.0,101.0,,,,,0.383,,0.302,0.094,-0.42,,,2.24,2.55,93.4,,,86.4,80.1,,,,0.232,0.497,0.192,,,,,,,119.0,104.0,108.0,,,,,0.221,,-0.16,,85.2,,,,0.071,0.071,0.376,0.18,0.284,0.333,0.188,0.356,0.343,,,,,,,,,,,,,,,,,,
2024/08/18,1:38 PM.,BAL,BOS,away,Cloudy.,81,544150,2B,2,0,2,0,0,0,0,0,0,0,0,.260,.314,.409,.723,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,94.0,99.0,98.0,90.0,101.0,96.0,,,,,,,,,,,0.5,,,0.132,-0.36,,,,0.41,94.8,,,,79.0,,,,0.276,0.469,0.228,,,,,,,99.0,100.0,106.0,74.0,99.0,92.0,0.195,0.172,0.73,-0.5,86.3,86.1,0.24,0.365,0.308,0.174,0.348,0.252,,,,0.274,0.434,0.228,,,,,,,,,,,,,,,,,,
2024/08/16,7:07 PM.,BAL,BOS,away,Partly Cloudy.,83,669203,SS,4,1,2,0,0,1,2,1,1,1,0,.255,.309,.404,.713,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,109.0,101.0,106.0,,,,104.0,95.0,89.0,133.0,105.0,120.0,,,,0.078,,,0.146,0.215,,,-0.5,0.7,0.44,,,97.0,87.2,80.3,,,,,,,0.125,0.5,0.457,0.235,0.412,0.157,110.0,98.0,103.0,125.0,105.0,108.0,0.45,0.11,1.37,0.2,95.3,89.2,0.251,0.362,0.19,0.2,0.326,0.378,0.196,0.268,0.463,0.194,0.339,0.377,,,,,,,,,,,,,,,,,,
2024/08/15,6:36 PM.,BAL,BOS,away,Clear.,86,621107,2B,2,0,0,0,0,0,0,0,0,1,2,.251,.304,.392,.696,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,108.0,112.0,108.0,61.0,105.0,94.0,91.0,109.0,105.0,122.0,107.0,113.0,,,,0.282,0.09,,0.097,0.188,-0.64,,0.0,0.46,-1.27,92.4,,91.7,79.7,78.8,,,,0.236,0.418,0.248,0.236,0.473,0.203,0.293,0.404,0.133,87.0,101.0,103.0,85.0,105.0,98.0,0.282,0.061,1.54,0.21,88.2,85.6,0.214,0.345,0.223,0.291,0.472,0.333,,,,0.188,0.354,0.105,,,,,,,,,,,,,,,,,,
