date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,KC%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vCU,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/09/29,2:20 PM.,CHC,CIN,away,Cloudy.,71,668873,3B,4,0,0,0,0,0,0,0,0,0,3,.210,.248,.301,.549,668873,calebkilian,Kilian,Right,Caleb Kilian,CHC,4.22,7.0,10.2,96.0,55.0,90.0,0.81,5.91,5.06,9.28,1.69,1.08,0.286,0.429,0.171,0.4,0.395,138.0,109.0,132.0,,,,46.0,90.0,81.0,66.0,46.0,34.0,117.0,85.0,95.0,0.024,0.455,0.078,,0.048,0.012,1.54,-47.66,-7.5,,-11.3,-69.6,93.6,86.8,92.3,80.1,,76.3,1.0,2.5,0.0,,,,0.235,0.235,0.079,0.667,1.0,0.25,,,,,,,88.0,99.0,101.0,45.0,107.0,102.0,0.383,4.47,85.2,0.059,0.059,0.324,,,,,,,,,,,,
2024/09/28,1:20 PM.,CHC,CIN,away,Cloudy.,68,543294,DH,3,0,1,0,0,0,0,0,0,0,0,.213,.252,.307,.559,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,87.0,109.0,108.0,59.0,94.0,86.0,97.0,106.0,96.0,,,,0.355,0.127,,0.131,,0.387,-1.51,-0.77,,0.52,,-0.72,87.7,80.9,87.6,,74.3,,0.333,0.493,0.106,,,,0.237,0.553,0.209,0.22,0.3,0.244,0.267,0.409,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/25,6:41 PM.,CLE,CIN,away,Overcast.,71,689958,3B,3,0,1,0,0,0,0,0,0,2,0,.212,.251,.306,.557,689958,andrewwalters,Walters,Right,Andrew Walters,CLE,0.0,2.96,8.2,94.0,119.0,99.0,0.704,6.23,5.19,1.04,0.0,0.38,0.286,0.238,0.143,0.19,0.379,,,,,,,124.0,99.0,104.0,,,,111.0,87.0,91.0,,0.629,0.371,,,,3.31,,3.39,,,,95.9,,,85.8,,,,,,0.0,0.0,0.409,0.059,0.118,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/24,6:40 PM.,CLE,CIN,away,Cloudy.,73,676440,DH,3,0,0,0,0,0,0,0,0,0,1,.210,.250,.306,.556,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,0.003,0.434,0.278,0.105,,0.18,-0.69,-1.41,1.74,-0.9,,0.13,94.6,82.5,93.9,86.2,81.3,,,,,0.196,0.411,0.299,0.282,0.476,0.213,0.208,0.458,0.184,0.238,0.431,0.291,,,,,,,,,,,,,0.141,0.225,0.368,,,,,,,,,,,,
2024/09/21,1:11 PM.,PIT,CIN,home,Sunny.,84,683003,3B,4,1,2,0,0,0,0,0,0,0,3,.213,.253,.310,.563,683003,jaredjones,Jones,Right,Jared Jones,PIT,4.14,4.05,121.2,102.0,127.0,108.0,0.726,9.76,2.88,7.84,1.33,0.93,0.238,0.39,0.149,0.335,0.458,113.0,99.0,106.0,95.0,96.0,98.0,132.0,102.0,109.0,,,,130.0,103.0,111.0,,0.493,0.348,0.093,,0.066,0.15,,1.12,-2.53,,-2.91,97.3,89.9,,88.8,81.5,,,,,0.208,0.354,0.373,0.224,0.425,0.257,0.348,0.87,0.327,0.317,0.561,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/20,6:42 PM.,PIT,CIN,home,Partly Cloudy.,87,656605,3B,4,0,0,0,0,0,0,0,0,0,3,.208,.249,.307,.556,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,88.0,103.0,102.0,111.0,96.0,104.0,86.0,103.0,96.0,82.0,102.0,94.0,129.0,100.0,109.0,0.22,0.304,0.25,0.096,,0.008,0.3,-0.26,-1.04,-0.11,,-12.5,94.4,89.8,93.4,84.7,78.4,,0.266,0.405,0.125,0.338,0.636,0.248,0.257,0.4,0.24,0.233,0.442,0.293,0.667,1.333,0.0,0.204,0.331,0.25,,,,96.0,99.0,98.0,0.122,-1.0,90.4,0.272,0.593,0.195,,,,,,,,,,,,
2024/09/19,1:11 PM.,ATL,CIN,home,Sunny.,85,519242,3B,3,0,1,0,0,0,0,0,1,2,1,.212,.253,.313,.566,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,64.0,107.0,98.0,,,,96.0,105.0,101.0,113.0,100.0,96.0,105.0,100.0,104.0,0.072,0.378,0.403,,,0.147,-0.12,-1.99,2.16,,,2.97,94.8,87.1,94.2,78.6,,,0.327,0.551,0.133,0.171,0.236,0.427,0.281,0.443,0.241,,,,0.159,0.195,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/18,6:43 PM.,ATL,CIN,home,Partly Cloudy.,83,680885,DH,3,0,1,0,0,0,0,0,0,1,0,.210,.249,.312,.561,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,,,,101.0,104.0,108.0,110.0,108.0,108.0,93.0,102.0,101.0,110.0,113.0,119.0,0.068,0.291,0.199,0.146,,,0.27,-0.12,0.61,0.29,,,96.1,,95.1,87.3,80.6,,0.231,0.385,0.078,0.225,0.333,0.279,0.24,0.448,0.205,0.236,0.436,0.409,,,,,,,,,,94.0,104.0,100.0,0.168,0.53,92.9,0.27,0.5,0.199,84.0,107.0,109.0,0.128,1.96,84.5,0.147,0.235,0.463,,,
2024/09/17,6:41 PM.,ATL,CIN,home,Cloudy.,76,656550,3B,4,0,2,1,0,0,1,1,0,1,0,.208,.248,.312,.560,656550,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.56,3.46,68.1,100.0,98.0,101.0,0.694,9.22,1.98,8.69,0.92,1.13,0.272,0.359,0.154,0.323,0.425,59.0,91.0,86.0,105.0,105.0,108.0,81.0,100.0,92.0,,,,118.0,101.0,111.0,,0.373,0.316,0.217,,0.012,1.54,,0.71,0.86,,-1.32,94.6,91.3,,86.5,84.0,,,,,0.25,0.33,0.415,0.238,0.366,0.203,0.228,0.316,0.437,,,,,,,,,,94.0,89.0,90.0,0.082,-3.71,92.6,0.467,0.867,0.15,,,,,,,,,,,,
2024/09/15,12:06 PM.,MIN,CIN,away,Partly Cloudy.,81,701581,DH,3,0,0,0,0,0,0,0,1,2,1,.202,.243,.303,.546,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,,,,107.0,96.0,99.0,,,,118.0,103.0,105.0,,0.402,0.318,,,0.28,-0.79,,1.48,,,-1.14,94.7,88.4,,86.1,,,,,,0.207,0.315,0.291,0.304,0.544,0.194,,,,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,
