date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/05/04,7:15 PM.,PHI,SF,away,Rain.,51,624133,C,1,0,0,0,0,0,0,0,0,1,0,.118,.211,.235,.446,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,73.0,100.0,98.0,68.0,101.0,91.0,22.0,85.0,77.0,,,,101.0,98.0,93.0,0.195,0.121,0.001,,0.163,0.67,-1.68,-4.62,,-0.63,91.8,86.5,80.0,81.3,,,,,0.224,0.327,0.18,0.189,0.342,0.339,,,,0.302,0.642,0.162,0.229,0.323,0.35,87.0,106.0,104.0,0.315,0.84,90.8,0.27,0.381,0.101,84.0,107.0,108.0,0.205,1.02,74.4,,,,,,,,,,,,
2024/05/03,6:42 PM.,PHI,SF,away,Cloudy.,58,605400,C,3,0,1,0,0,0,0,0,0,1,0,.121,.216,.242,.458,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,78.0,102.0,91.0,90.0,103.0,99.0,,,,135.0,106.0,113.0,69.0,99.0,92.0,0.278,0.092,,0.329,0.096,0.81,-2.57,,0.94,-1.67,92.5,87.5,85.7,,79.1,,,,0.168,0.318,0.224,0.221,0.381,0.37,,,,0.389,0.796,0.178,0.279,0.426,0.135,100.0,109.0,106.0,0.204,-0.34,91.5,0.313,0.475,0.136,,,,,,,,,,,,,,,,,,
2024/05/01,7:14 PM.,BOS,SF,away,Clear.,51,676710,C,3,1,1,0,0,1,1,0,0,1,2,.100,.206,.233,.439,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,,,,109.0,109.0,112.0,100.0,99.0,102.0,98.0,97.0,99.0,114.0,104.0,104.0,0.337,0.32,0.185,0.072,,-0.43,0.55,-0.56,1.14,,92.6,87.5,,80.8,77.3,,,,0.255,0.5,0.198,0.143,0.171,0.219,0.222,0.437,0.263,0.216,0.418,0.265,,,,,,,,,,,,,,,,,,,,,,87.0,102.0,106.0,0.086,0.47,82.4,0.192,0.26,0.404
2024/04/22,6:46 PM.,NYM,SF,home,Partly Cloudy.,58,500779,C,3,0,0,0,0,0,0,0,1,1,3,.074,.194,.111,.305,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,,,,,,,,,,0.225,,,,0.193,-0.32,,,,0.5,90.7,,85.7,,,,,,0.227,0.427,0.169,0.265,0.444,0.264,,,,,,,0.203,0.26,0.367,76.0,97.0,91.0,0.304,0.82,90.8,0.249,0.431,0.131,110.0,100.0,99.0,0.278,-0.04,77.7,0.195,0.366,0.284,,,,,,,,,
2024/04/19,7:17 PM.,AZ,SF,home,Clear.,56,656756,C,4,0,0,0,0,0,0,0,0,3,2,.083,.185,.125,.310,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.23,5.18,117.0,99.0,92.0,96.0,0.748,6.38,3.38,11.46,1.08,1.24,0.194,0.428,0.137,0.346,0.37,97.0,100.0,92.0,66.0,98.0,89.0,104.0,95.0,90.0,,,,,,,0.173,,0.018,,0.193,-0.02,,3.84,,-1.92,92.1,,83.1,84.2,,0.0,0.0,0.5,0.284,0.375,0.184,0.27,0.453,0.353,,,,,,,0.321,0.593,0.386,89.0,95.0,93.0,0.308,-2.11,91.8,0.374,0.577,0.159,106.0,102.0,107.0,0.307,-0.83,79.2,,,,,,,,,,,,
2024/04/16,6:41 PM.,MIA,SF,away,Partly Cloudy.,78,677960,C,3,0,0,0,0,0,0,0,0,3,0,.100,.217,.150,.367,677960,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.63,4.2,86.2,96.0,94.0,97.0,0.761,8.31,2.49,8.1,1.14,1.3,0.264,0.413,0.193,0.295,0.41,84.0,102.0,103.0,96.0,97.0,96.0,120.0,87.0,98.0,,,,,,,0.397,,0.222,,0.26,-0.81,,0.49,,1.39,95.9,,86.4,82.9,,0.25,0.5,0.5,0.319,0.451,0.141,,,,0.118,0.176,0.51,,,,0.193,0.367,0.379,82.0,98.0,95.0,0.121,0.13,94.5,0.259,0.5,0.063,,,,,,,,,,,,,,,,,,
2024/04/14,2:05 PM.,TB,SF,away,Dome.,72,542888,C,4,1,1,0,0,0,0,0,0,2,1,.118,.250,.176,.426,542888,shawnarmstrong,Armstrong,Right,Shawn Armstrong,- - -,4.86,5.11,66.2,105.0,95.0,102.0,0.819,8.91,3.38,10.4,0.81,0.91,0.312,0.307,0.183,0.332,0.462,,,,86.0,110.0,104.0,126.0,114.0,117.0,,,,99.0,103.0,101.0,0.332,0.315,0.082,,,0.72,-1.23,-0.2,,,93.3,90.5,,84.5,,0.167,0.333,0.273,0.198,0.341,0.333,,,,0.214,0.357,0.25,0.314,0.557,0.205,,,,95.0,100.0,97.0,0.271,-1.36,93.6,0.388,0.459,0.107,,,,,,,,,,,,,,,,,,
2024/04/13,4:10 PM.,TB,SF,away,Dome.,72,686752,DH,0,0,0,0,0,0,0,0,1,0,0,.077,.250,.154,.404,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,115.0,98.0,102.0,119.0,95.0,106.0,,,,100.0,103.0,100.0,0.506,0.06,0.173,,0.235,1.07,-0.88,0.51,,-0.47,94.9,91.6,85.8,89.0,,0.267,0.407,0.317,0.181,0.33,0.316,0.167,0.167,0.5,,,,0.276,0.586,0.141,0.216,0.353,0.286,,,,,,,,,,140.0,75.0,84.0,0.027,-1.47,80.6,,,,,,,,,,,,
2024/04/10,12:46 PM.,WSH,SF,home,Partly Cloudy.,65,571578,C,4,0,0,0,0,0,0,0,0,0,2,.077,.200,.154,.354,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,55.0,97.0,84.0,88.0,97.0,97.0,,,,76.0,107.0,98.0,0.076,0.192,0.343,0.001,0.034,-1.46,-0.37,0.41,4.71,-5.53,91.3,85.7,81.0,80.0,63.2,0.216,0.335,0.354,0.311,0.578,0.133,0.5,1.25,0.526,,,,0.301,0.434,0.223,0.409,0.773,0.279,71.0,103.0,92.0,0.338,-1.9,91.5,0.339,0.567,0.091,73.0,100.0,97.0,0.016,-2.3,70.0,,,,,,,,,,,,
2024/04/09,6:45 PM.,WSH,SF,home,Clear.,63,672851,C,0,0,0,0,0,0,0,0,0,0,0,.111,.273,.222,.495,672851,joanadon,Adon,Right,Joan Adon,WSN,6.75,4.59,10.2,101.0,87.0,97.0,0.859,5.06,3.38,10.13,1.69,2.63,0.189,0.486,0.27,0.216,0.393,84.0,91.0,91.0,78.0,95.0,86.0,102.0,113.0,117.0,,,,,,,0.371,,0.107,,0.191,0.87,,1.26,,-3.51,94.7,,87.7,87.0,,0.333,0.333,0.0,0.214,0.214,0.063,0.333,0.5,0.333,,,,,,,0.375,0.375,0.143,84.0,105.0,99.0,0.213,-2.04,94.4,0.3,0.9,0.278,116.0,116.0,116.0,0.118,-2.69,82.5,,,,,,,,,,,,
