date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024/09/22,3:40 PM.,CHC,WSH,away,Rain.,68,684007,DH,3,0,1,1,0,0,0,0,0,0,1,.215,.280,.413,.693,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,0.021,0.52,0.077,0.039,0.36,0.77,0.14,0.48,91.7,81.6,88.7,81.6,0.229,0.47,0.176,0.194,0.226,0.333,0.25,0.333,0.37,,,,70.0,96.0,97.0,50.0,107.0,96.0,81.0,106.0,100.0,0.005,0.306,0.032,-6.3,1.39,-0.59,89.8,82.9,72.7,0.333,1.333,0.143,0.204,0.283,0.431,0.444,0.556,0.0,0.267,0.311,0.347,,,,0.0,-76.55,53.9,,,
2024/09/20,1:20 PM.,CHC,WSH,away,Partly Cloudy.,82,592791,1B,3,0,0,0,0,0,0,0,0,1,1,.212,.279,.407,.686,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,0.109,0.296,0.155,0.043,-0.27,1.47,0.65,-2.45,92.3,86.0,92.5,80.4,0.287,0.497,0.147,0.273,0.576,0.148,0.219,0.297,0.085,,,,104.0,111.0,113.0,92.0,103.0,98.0,,,,0.251,,0.147,2.12,,-1.04,86.5,,79.5,0.252,0.31,0.191,,,,0.232,0.424,0.23,0.183,0.296,0.317,,,,,,,,,
2024/09/19,6:40 PM.,CHC,WSH,away,Partly Cloudy.,78,665871,DH,5,0,1,0,0,0,1,0,0,0,4,.217,.280,.417,.697,665871,javierassad,Assad,Right,Javier Assad,CHC,3.73,4.97,147.0,99.0,85.0,94.0,0.843,7.59,3.86,8.76,1.22,1.13,0.263,0.373,0.146,0.301,0.422,69.0,91.0,88.0,68.0,102.0,92.0,75.0,101.0,92.0,114.0,94.0,100.0,0.357,0.158,0.107,0.046,-0.91,0.51,-1.54,-1.65,91.5,83.7,91.4,80.1,0.319,0.472,0.201,0.296,0.296,0.125,0.236,0.373,0.111,0.364,0.636,0.368,98.0,101.0,97.0,96.0,97.0,92.0,,,,0.216,,0.116,-0.73,,-0.4,87.9,,76.8,0.315,0.583,0.142,,,,0.178,0.329,0.3,0.174,0.37,0.341,,,,,,,,,
2024/09/18,7:10 PM.,NYM,WSH,away,Cloudy.,72,500779,DH,3,0,0,0,0,0,0,0,1,0,0,.218,.283,.427,.710,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,0.304,0.225,,0.193,-0.32,0.82,,0.5,90.7,85.7,90.8,,0.227,0.427,0.169,0.203,0.26,0.367,0.249,0.431,0.131,,,,110.0,100.0,99.0,,,,,,,,,0.278,,,-0.04,,,77.7,,,,,,,0.265,0.444,0.264,,,,,,,,,,0.195,0.366,0.284
2024/09/16,7:10 PM.,NYM,WSH,away,Cloudy.,73,640455,DH,3,0,0,0,0,0,0,0,0,1,1,.224,.284,.439,.723,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,0.447,0.113,0.251,0.118,1.13,1.36,0.37,-1.19,92.3,85.3,92.3,79.5,0.167,0.295,0.311,0.25,0.438,0.254,0.201,0.333,0.21,0.174,0.435,0.32,,,,84.0,88.0,85.0,,,,0.071,,,0.97,,,88.4,,,0.222,0.25,0.179,,,,,,,0.193,0.311,0.388,,,,,,,,,
2024/09/15,1:36 PM.,MIA,WSH,home,Sunny.,79,670124,DH,4,1,1,1,0,0,0,0,0,1,1,.231,.292,.452,.744,670124,adamoller,Oller,Right,Adam Oller,MIA,5.31,4.59,42.1,95.0,99.0,95.0,0.803,7.65,4.68,9.14,1.49,0.86,0.271,0.357,0.132,0.318,0.404,50.0,89.0,83.0,95.0,92.0,92.0,,,,120.0,121.0,121.0,,0.514,0.008,0.07,-2.09,,10.03,-3.63,93.7,86.9,,86.2,0.314,0.616,0.154,0.556,0.556,0.318,,,,,,,110.0,97.0,99.0,,,,,,,,,0.407,,,1.72,,,84.0,,,,,,,0.208,0.292,0.176,,,,,,,,,,0.136,0.159,0.329
2024/09/13,6:45 PM.,MIA,WSH,home,Partly Cloudy.,79,665795,DH,4,0,0,0,0,0,0,0,0,2,2,.230,.294,.450,.744,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,96.0,98.0,103.0,97.0,91.0,87.0,110.0,94.0,95.0,114.0,102.0,105.0,0.091,0.274,0.085,0.332,-1.63,0.07,1.65,0.15,96.3,93.0,96.7,89.2,0.304,0.543,0.164,0.206,0.321,0.338,0.231,0.333,0.151,0.129,0.226,0.313,106.0,101.0,104.0,,,,,,,,,0.217,,,-0.03,,,84.8,,,,,,,0.206,0.426,0.394,,,,,,,,,,,,
2024/09/12,6:46 PM.,MIA,WSH,home,Clear.,79,670766,DH,4,0,0,0,0,0,0,0,0,1,2,.240,.305,.469,.774,670766,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,6.21,5.64,42.0,98.0,87.0,94.0,0.87,6.0,3.21,11.36,1.93,0.7,0.219,0.466,0.151,0.308,0.462,69.0,87.0,75.0,49.0,94.0,82.0,80.0,99.0,91.0,119.0,102.0,109.0,0.315,0.195,0.38,0.111,-0.09,-1.47,-3.09,-1.8,89.4,81.1,89.0,81.9,0.243,0.405,0.18,0.333,0.381,0.325,0.346,0.5,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311,0.689,0.142,,,,,,,,,
2024/09/11,6:45 PM.,ATL,WSH,home,Clear.,79,608331,DH,4,1,1,1,0,0,0,0,0,1,3,.250,.317,.489,.806,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,0.158,0.327,0.115,0.136,0.63,1.47,0.5,1.7,93.9,85.7,93.6,82.1,0.266,0.36,0.182,0.196,0.283,0.251,0.265,0.299,0.137,0.22,0.293,0.297,116.0,103.0,108.0,93.0,96.0,94.0,,,,0.054,,0.21,-1.33,,1.39,88.5,,74.6,0.286,0.476,0.286,,,,0.154,0.285,0.371,0.167,0.2,0.358,,,,,,,,,
2024/09/10,6:45 PM.,ATL,WSH,home,Clear.,82,625643,DH,2,0,0,0,0,0,0,1,1,0,0,.250,.320,.489,.809,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,75.0,110.0,105.0,91.0,103.0,99.0,,,,113.0,100.0,105.0,,0.552,0.294,0.038,1.19,,1.45,-3.58,95.5,86.1,,85.0,0.266,0.369,0.165,0.263,0.737,0.349,,,,0.168,0.257,0.443,84.0,99.0,104.0,,,,,,,,,0.116,,,1.61,,,77.0,,,,,,,0.151,0.264,0.364,,,,,,,,,,,,
