date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2024/09/29,12:11 PM.,SEA,OAK,away,Partly Cloudy.,56,669302,C,3,0,0,0,0,0,0,0,1,1,1,.236,.318,.371,.689,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,124.0,99.0,107.0,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,0.015,0.308,0.32,0.118,,1.41,0.32,1.72,0.81,,96.6,,95.5,88.4,83.2,0.204,0.383,0.193,0.247,0.483,0.272,,,,0.21,0.375,0.368,0.181,0.301,0.354,116.0,104.0,103.0,99.0,96.0,104.0,0.106,0.134,0.14,1.18,92.3,84.5,,,,0.286,0.286,0.05,0.101,0.162,0.506,,,,,,,,,,,,
2024/09/27,7:11 PM.,SEA,OAK,away,Clear.,60,693433,C,3,0,1,0,0,0,0,0,0,2,2,.241,.320,.380,.700,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,,,,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,0.23,0.489,0.187,,0.094,1.44,1.85,1.23,,0.0,94.8,89.6,94.7,84.2,,0.218,0.355,0.273,,,,0.186,0.373,0.207,0.265,0.529,0.241,,,,,,,,,,,,,,,,0.1,0.1,0.417,0.234,0.315,0.097,,,,,,,,,,,,,,,
2024/09/22,1:08 PM.,NYY,OAK,home,Sunny.,69,661563,PH,1,0,0,0,0,0,0,0,0,1,2,.239,.320,.381,.701,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,,,,108.0,94.0,105.0,,0.488,0.259,,0.253,0.06,,1.37,,0.37,96.6,91.6,,87.5,,0.205,0.395,0.285,,,,0.179,0.282,0.269,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/21,6:07 PM.,NYY,OAK,home,Clear.,66,607074,C,1,0,0,0,0,0,0,0,0,0,0,.241,.322,.383,.705,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,103.0,86.0,93.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,0.494,0.26,0.083,0.129,0.05,,-0.4,-1.32,1.44,95.4,85.5,,86.8,81.0,0.262,0.514,0.214,0.353,0.647,0.255,0.188,0.247,0.495,0.199,0.361,0.393,0.281,0.531,0.276,100.0,83.0,82.0,,,,0.035,,-3.11,,91.8,,,,,,,,,,,,,,,,,,,,,,
2024/09/16,6:40 PM.,CHC,OAK,away,Partly Cloudy.,79,684007,C,1,0,0,0,0,0,0,0,0,1,2,.242,.324,.386,.710,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,70.0,96.0,97.0,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,0.021,0.52,0.077,0.032,0.039,0.36,0.77,0.14,-0.59,0.48,91.7,81.6,88.7,81.6,72.7,0.229,0.47,0.176,0.333,1.333,0.143,0.194,0.226,0.333,,,,0.444,0.556,0.0,50.0,107.0,96.0,81.0,106.0,100.0,0.005,0.306,-6.3,1.39,89.8,82.9,0.267,0.311,0.347,0.25,0.333,0.37,0.204,0.283,0.431,,,,0.0,-76.55,53.9,,,,,,
2024/09/15,1:10 PM.,CWS,OAK,away,Sunny.,90,680732,C,3,0,0,0,0,0,0,0,0,0,0,.244,.327,.389,.716,680732,seanburke,"Burke, S",Right,Sean Burke,CHW,1.42,3.83,19.0,100.0,106.0,105.0,0.739,10.42,3.32,5.68,0.95,0.79,0.34,0.404,0.17,0.34,0.414,125.0,79.0,88.0,105.0,113.0,110.0,111.0,101.0,109.0,,,,96.0,92.0,101.0,,0.405,0.285,0.249,0.061,1.08,,-0.72,1.87,2.3,95.3,84.6,,86.9,79.7,0.172,0.448,0.236,,,,0.0,0.0,0.4,0.25,0.375,0.432,0.077,0.077,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/11,7:10 PM.,HOU,OAK,away,Roof Closed.,73,686613,C,3,1,1,0,0,1,2,0,0,2,1,.250,.333,.398,.731,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,,,,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,0.182,0.347,0.051,,0.126,0.16,0.92,1.7,,0.95,96.0,88.4,95.6,89.1,,0.244,0.413,0.288,0.23,0.363,0.216,0.221,0.26,0.296,0.2,0.2,0.236,0.237,0.421,0.305,90.0,103.0,101.0,,,,0.17,,0.14,,92.4,,,,,0.275,0.321,0.161,,,,127.0,100.0,106.0,0.125,-0.79,82.9,,,,,,
2024/09/07,1:07 PM.,DET,OAK,home,Sunny.,74,669724,C,2,0,1,0,0,0,1,0,0,0,0,.248,.329,.376,.705,669724,brenanhanifee,Hanifee,Right,Brenan Hanifee,DET,1.84,3.07,29.1,104.0,91.0,100.0,0.863,7.06,1.84,8.28,0.61,1.88,0.242,0.473,0.242,0.319,0.445,88.0,95.0,97.0,,,,84.0,111.0,102.0,80.0,103.0,98.0,120.0,105.0,107.0,0.539,0.141,0.224,,0.096,-0.24,2.09,0.13,,-3.75,95.6,88.6,94.8,87.4,,0.222,0.5,0.359,,,,0.333,0.778,0.391,0.227,0.409,0.133,,,,,,,,,,,,,,,,,,,0.231,0.246,0.088,,,,,,,,,,,,,,,
2024/09/05,12:37 PM.,SEA,OAK,home,Sunny.,76,693433,C,4,0,0,0,0,0,0,0,0,2,2,.244,.326,.374,.700,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,,,,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,0.23,0.489,0.187,,0.094,1.44,1.85,1.23,,0.0,94.8,89.6,94.7,84.2,,0.218,0.355,0.273,,,,0.186,0.373,0.207,0.265,0.529,0.241,,,,,,,,,,,,,,,,0.1,0.1,0.417,0.234,0.315,0.097,,,,,,,,,,,,,,,
2024/09/04,6:40 PM.,SEA,OAK,home,Clear.,72,669923,DH,1,0,0,0,0,0,0,0,0,1,0,.252,.336,.387,.723,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.339,0.237,,,0.46,1.5,1.28,,,96.0,,96.0,87.2,,0.221,0.458,0.291,,,,,,,0.226,0.316,0.271,0.333,0.439,0.286,97.0,99.0,93.0,109.0,100.0,108.0,0.004,0.102,0.79,-2.05,92.3,86.0,,,,0.263,0.354,0.105,0.253,0.413,0.295,114.0,110.0,113.0,0.082,-1.95,83.4,,,,73.9,0.0,-3.5
