date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,vKC,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff
2024/10/10,7:08 PM.,KC,NYY,away,Clear.,78,608379,DH,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,72.0,89.0,92.0,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,78.0,100.0,92.0,,,,0.153,0.238,0.114,,0.092,0.081,,0.322,0.39,-0.94,,0.29,-2.39,-1.64,,2.26,93.6,88.8,,81.2,93.6,84.1,75.2,,0.279,0.449,0.169,,,,,,,0.169,0.312,0.341,0.252,0.301,0.099,0.357,0.643,0.174,0.319,0.458,0.148,0.371,0.6,0.373
2024/09/08,1:20 PM.,CHC,NYY,away,Sunny.,70,592791,PR,0,0,0,0,0,0,0,1,0,0,0,.200,.200,.200,.400,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,104.0,111.0,113.0,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,92.0,103.0,98.0,,,,0.109,0.296,0.251,,0.155,0.147,,0.043,-0.27,2.12,,1.47,0.65,-1.04,,-2.45,92.3,86.5,,86.0,92.5,80.4,79.5,,0.287,0.497,0.147,,,,0.183,0.296,0.317,0.273,0.576,0.148,0.219,0.297,0.085,0.232,0.424,0.23,0.252,0.31,0.191,,,
2024/09/04,7:09 PM.,TEX,NYY,away,Roof Closed.,74,543135,LF,1,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,99.0,104.0,104.0,75.0,105.0,98.0,,,,114.0,102.0,102.0,91.0,108.0,99.0,127.0,101.0,110.0,,0.374,0.148,0.308,0.033,0.137,,,0.83,-1.41,1.55,,-0.69,-0.79,,,95.4,91.4,88.4,,,86.3,76.7,,0.212,0.335,0.178,0.2,0.286,0.368,,,,,,,,,,0.214,0.471,0.355,0.327,0.624,0.2,0.269,0.462,0.25
2024/09/03,7:07 PM.,TEX,NYY,away,Roof Closed.,74,571760,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,126.0,105.0,103.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,20.0,51.0,51.0,,,,0.014,0.501,0.001,,0.278,0.036,,0.17,0.15,-19.13,,-4.52,-0.26,-3.31,,0.46,91.5,86.6,,83.7,92.2,82.5,75.6,,0.23,0.412,0.213,,,,,,,0.239,0.384,0.243,0.455,0.455,0.125,0.5,1.1,0.188,,,,0.26,0.385,0.365
2024/06/11,6:40 PM.,SEA,CWS,away,Partly Cloudy.,61,646242,RF,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,646242,jhonathandiaz,"Diaz, J",Left,Jhonathan Díaz,SEA,4.66,3.86,9.2,99.0,74.0,92.0,0.872,7.45,2.79,13.03,1.86,1.07,0.194,0.333,0.111,0.278,0.446,73.0,95.0,71.0,91.0,105.0,117.0,61.0,96.0,84.0,66.0,102.0,88.0,94.0,102.0,107.0,,,,,,,0.199,0.313,,,0.211,0.12,,0.157,-1.34,,,-1.41,-2.5,-5.38,,-3.42,90.2,,,81.1,88.3,78.6,73.1,,0.214,0.643,0.111,,,,,,,0.167,0.167,0.091,0.571,0.714,0.059,0.5,1.25,0.167,,,,0.308,0.385,0.353
2024/06/10,6:40 PM.,SEA,CWS,away,Partly Cloudy.,64,669302,LF,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,124.0,99.0,107.0,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,116.0,104.0,103.0,99.0,96.0,104.0,0.015,0.308,0.106,0.134,0.32,0.118,,,1.41,0.14,1.18,0.32,1.72,0.81,,,96.6,92.3,84.5,,95.5,88.4,83.2,,0.204,0.383,0.193,0.101,0.162,0.506,,,,,,,0.286,0.286,0.05,0.181,0.301,0.354,0.247,0.483,0.272,0.21,0.375,0.368
2024/06/09,1:11 PM.,BOS,CWS,home,Sunny.,78,677161,LF,1,1,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,677161,zackkelly,"Kelly, Z",Right,Zack Kelly,BOS,3.97,4.25,56.2,100.0,110.0,104.0,0.743,9.69,4.29,6.99,1.59,1.37,0.212,0.417,0.159,0.265,0.422,122.0,103.0,109.0,,,,107.0,96.0,93.0,,,,131.0,102.0,115.0,78.0,101.0,102.0,,,,,0.301,0.218,,0.272,,,0.209,-1.3,-0.23,,,2.07,,,-0.3,96.5,91.1,,83.6,,82.2,,,0.25,0.344,0.23,,,,0.138,0.224,0.344,0.163,0.465,0.326,,,,,,,0.277,0.574,0.219,,,
2024/06/08,3:10 PM.,BOS,CWS,home,Cloudy.,77,678394,CF,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,,,,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,,,,,,,0.403,0.048,,,0.28,,,0.269,0.25,,,-0.24,-0.58,,,0.15,95.6,,,87.6,95.7,86.8,,,0.12,0.16,0.218,,,,,,,0.177,0.354,0.369,0.309,0.44,0.111,,,,,,,0.268,0.401,0.343
2024/06/07,7:10 PM.,BOS,CWS,home,Cloudy.,73,681867,LF,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,681867,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.08,4.31,99.1,102.0,100.0,99.0,0.848,6.61,2.81,9.33,0.91,1.51,0.208,0.486,0.153,0.358,0.41,99.0,103.0,102.0,,,,,,,102.0,108.0,100.0,110.0,95.0,99.0,79.0,103.0,93.0,,,,0.297,,0.154,,0.288,,,0.261,,0.64,,0.48,-1.92,,,0.55,,86.4,,84.4,89.1,77.1,,,,,,,,,0.287,0.479,0.207,0.256,0.338,0.171,0.33,0.511,0.073,,,,0.163,0.306,0.294,0.429,0.857,0.154
2024/06/06,7:09 PM.,BOS,CWS,home,Cloudy.,76,656557,CF,3,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,,,,,,,93.0,102.0,97.0,116.0,98.0,108.0,95.0,93.0,93.0,116.0,103.0,109.0,0.324,,0.015,0.248,0.414,,,,,-0.95,1.74,0.67,0.54,,,,,87.1,88.4,,93.5,83.2,,,,,,0.195,0.265,0.208,0.23,0.357,0.302,,,,0.27,0.325,0.142,,,,0.2,0.4,0.235,,,
