date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C
2024/09/29,3:21 PM.,ATL,KC,away,Partly Cloudy.,76,450203,C,3,0,1,0,0,0,0,0,0,1,0,.271,.319,.366,.685,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,122.0,98.0,108.0,72.0,99.0,90.0,,,,73.0,92.0,86.0,0.289,0.078,,0.424,0.11,-1.4,-0.75,,0.78,-1.38,94.1,88.5,85.0,,81.5,0.281,0.517,0.193,0.292,0.6,0.333,0.286,0.571,0.149,,,,0.2,0.309,0.342,79.0,96.0,88.0,0.099,0.39,93.5,0.333,0.433,0.07,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/28,7:20 PM.,ATL,KC,away,Cloudy.,72,625643,C,3,1,1,0,0,0,0,0,0,1,0,.271,.319,.366,.685,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,75.0,110.0,105.0,84.0,99.0,104.0,91.0,103.0,99.0,113.0,100.0,105.0,,,,0.552,,0.294,0.116,0.038,1.19,,1.45,1.61,-3.58,95.5,,86.1,85.0,77.0,0.266,0.369,0.165,0.263,0.737,0.349,,,,0.168,0.257,0.443,0.151,0.264,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/26,1:05 PM.,WSH,KC,away,Cloudy.,77,571578,C,4,0,0,0,0,0,0,0,0,1,3,.270,.319,.366,.685,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,73.0,100.0,97.0,55.0,97.0,84.0,88.0,97.0,97.0,76.0,107.0,98.0,0.076,0.192,0.343,0.016,0.034,-1.46,-0.37,0.41,-2.3,-5.53,91.3,85.7,81.0,80.0,70.0,0.311,0.578,0.133,0.409,0.773,0.279,0.301,0.434,0.223,0.216,0.335,0.354,0.5,1.25,0.526,71.0,103.0,92.0,0.338,-1.9,91.5,0.339,0.567,0.091,,,,,,,0.001,4.71,63.2,,,,,,,,,,,,,,,
2024/09/25,6:45 PM.,WSH,KC,away,Overcast.,71,687792,C,0,0,0,0,0,0,0,0,0,0,0,.274,.322,.371,.693,687792,djherz,Herz,Left,DJ Herz,WSN,4.16,3.26,88.2,97.0,99.0,97.0,0.734,10.76,3.65,7.71,1.12,0.82,0.254,0.436,0.14,0.326,0.429,113.0,98.0,99.0,,,,93.0,98.0,96.0,105.0,95.0,100.0,,,,0.542,,0.179,,0.245,0.86,,-0.96,,-0.19,93.5,,83.5,86.1,,0.222,0.317,0.305,0.224,0.388,0.26,,,,0.229,0.429,0.275,0.2,0.2,0.533,,,,,,,,,,,,,102.0,82.0,88.0,0.033,1.64,81.2,,,,,,,,,,,,,,,
2024/09/24,7:25 PM.,WSH,KC,away,Overcast.,66,680730,C,5,0,0,0,0,0,0,0,0,0,7,.274,.322,.371,.693,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,97.0,96.0,96.0,78.0,101.0,96.0,106.0,107.0,110.0,,,,0.486,,0.098,0.225,,0.07,,-0.73,0.47,,92.5,,,84.5,80.5,0.276,0.425,0.12,,,,,,,0.238,0.429,0.364,0.252,0.36,0.263,,,,,,,,,,,,,,,,,,,,,,89.0,94.0,94.0,0.191,-0.6,85.6,0.233,0.4,0.372,,,
2024/09/21,4:10 PM.,SF,KC,home,Partly Cloudy.,87,694738,C,4,0,0,0,0,0,0,0,0,1,3,.278,.327,.377,.704,694738,landenroupp,Roupp,Right,Landen Roupp,SFG,3.58,4.05,50.1,98.0,125.0,106.0,0.763,8.4,4.65,7.69,0.36,1.6,0.231,0.427,0.196,0.252,0.397,97.0,92.0,93.0,155.0,103.0,121.0,66.0,70.0,66.0,115.0,84.0,93.0,,,,0.019,,0.042,0.441,0.094,-2.8,,0.91,0.4,1.41,93.4,,88.2,83.9,77.4,,,,0.111,0.111,0.357,,,,0.25,0.25,0.6,0.224,0.357,0.335,102.0,96.0,95.0,0.405,0.31,94.4,0.257,0.343,0.055,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/18,6:40 PM.,DET,KC,home,Clear.,86,669373,DH,1,0,0,0,0,0,0,0,0,0,1,.281,.330,.381,.711,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,111.0,99.0,103.0,,,,0.332,,0.149,,0.271,1.84,,0.78,,1.13,96.8,,86.3,88.7,,0.197,0.286,0.277,0.216,0.322,0.461,,,,0.169,0.364,0.346,0.158,0.316,0.175,95.0,105.0,104.0,0.205,1.25,96.6,0.207,0.305,0.16,,,,95.0,91.0,101.0,0.042,1.26,78.5,,,,,,,,,,,,,,,
2024/09/17,6:40 PM.,DET,KC,home,Clear.,86,663554,C,4,0,0,0,0,0,0,0,0,1,3,.282,.331,.382,.713,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,,,,106.0,105.0,102.0,107.0,101.0,102.0,,,,0.386,,0.277,,,-0.47,,-0.46,,,95.5,,,85.7,,0.306,0.428,0.205,,,,,,,0.271,0.5,0.218,0.261,0.522,0.216,92.0,108.0,105.0,0.08,1.3,95.5,0.293,0.341,0.08,,,,102.0,90.0,94.0,0.075,-2.21,79.6,,,,112.0,99.0,102.0,0.181,-1.06,86.2,0.286,0.405,0.322,,,
2024/09/14,1:07 PM.,PIT,KC,away,Sunny.,82,656605,C,3,0,1,0,0,0,0,1,1,0,0,.286,.335,.387,.722,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,88.0,103.0,102.0,111.0,96.0,104.0,86.0,103.0,96.0,129.0,100.0,109.0,96.0,99.0,98.0,0.304,0.122,0.25,0.096,0.008,0.3,-1.0,-1.04,-0.11,-12.5,94.4,90.4,89.8,84.7,78.4,0.257,0.4,0.24,0.667,1.333,0.0,0.272,0.593,0.195,0.338,0.636,0.248,0.233,0.442,0.293,82.0,102.0,94.0,0.22,-0.26,93.4,0.266,0.405,0.125,0.204,0.331,0.25,,,,,,,,,,,,,,,,,,,,,
2024/09/13,6:41 PM.,PIT,KC,away,Clear.,81,682847,C,0,0,0,0,0,0,0,0,0,0,0,.285,.333,.388,.721,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.31,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.286,0.443,66.0,87.0,88.0,,,,97.0,104.0,97.0,121.0,102.0,109.0,90.0,100.0,94.0,0.268,0.197,0.268,,0.009,1.02,0.71,-0.41,,0.21,95.9,91.0,90.6,85.8,,0.187,0.331,0.208,,,,0.273,0.416,0.168,0.203,0.392,0.31,,,,105.0,97.0,95.0,0.258,1.13,94.9,0.237,0.374,0.129,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/11,7:07 PM.,NYY,KC,away,Clear.,73,661563,C,5,0,0,0,0,0,0,0,0,2,4,.285,.333,.388,.721,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,108.0,94.0,105.0,,,,0.488,,0.259,,0.253,0.06,,1.37,,0.37,96.6,,91.6,87.5,,0.205,0.395,0.285,0.179,0.282,0.269,,,,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/10,7:08 PM.,NYY,KC,away,Clear.,76,573186,C,4,0,1,0,0,0,0,0,0,1,3,.290,.338,.394,.732,573186,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.31,4.94,154.2,96.0,92.0,94.0,0.82,6.58,3.49,9.72,1.11,1.6,0.207,0.4,0.148,0.325,0.359,,,,94.0,89.0,94.0,48.0,88.0,79.0,93.0,102.0,102.0,106.0,101.0,99.0,0.032,0.182,0.16,0.165,,-4.01,-0.26,-2.37,-0.03,,89.9,88.1,,85.3,81.3,0.455,0.636,0.259,,,,0.296,0.519,0.187,0.258,0.386,0.272,0.0,0.0,0.265,90.0,94.0,90.0,0.351,-0.03,90.0,0.306,0.466,0.12,,,,,,,,,,0.309,0.515,0.313,82.0,99.0,93.0,0.111,-0.31,83.3,0.235,0.309,0.241,,,
2024/09/08,1:13 PM.,MIN,KC,home,Sunny.,73,680573,C,3,1,1,0,0,0,0,0,0,1,1,.290,.339,.396,.735,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,,,,0.403,,0.312,0.093,0.193,0.82,,0.76,1.68,-3.33,93.1,,82.8,86.4,76.1,0.258,0.356,0.219,0.311,0.622,0.205,,,,0.214,0.313,0.239,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/07,6:15 PM.,MIN,KC,home,Clear.,75,641927,C,3,1,1,0,0,0,0,0,0,1,0,.290,.339,.397,.736,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,81.0,104.0,96.0,74.0,100.0,101.0,84.0,104.0,100.0,0.381,0.195,0.118,0.011,0.294,-0.01,-0.86,2.03,4.57,1.98,91.7,86.2,83.4,80.3,76.0,0.258,0.506,0.222,0.154,0.285,0.395,0.279,0.504,0.229,0.095,0.162,0.307,0.0,0.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/04,6:40 PM.,CLE,KC,home,Clear.,82,594902,C,4,0,1,0,0,0,0,0,0,1,3,.290,.340,.397,.737,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,43.0,106.0,93.0,57.0,94.0,83.0,105.0,102.0,101.0,,,,0.314,,0.218,0.088,0.091,-0.21,,-0.01,-0.11,-0.79,89.9,,83.9,79.4,76.9,0.268,0.504,0.166,0.279,0.382,0.185,,,,0.238,0.476,0.419,0.206,0.365,0.18,57.0,108.0,94.0,0.29,0.56,90.4,0.227,0.392,0.133,0.231,0.413,0.241,,,,,,,,,,,,,,,,,,,,,
2024/09/03,6:40 PM.,CLE,KC,home,Clear.,79,676440,C,3,0,0,0,0,0,0,0,1,0,0,.290,.341,.399,.740,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,113.0,102.0,109.0,,,,0.434,,0.278,0.105,0.18,-0.69,,1.74,-0.9,0.13,94.6,,82.5,86.2,81.3,0.282,0.476,0.213,0.238,0.431,0.291,0.141,0.225,0.368,0.196,0.411,0.299,0.208,0.458,0.184,89.0,64.0,93.0,0.003,-1.41,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/02,3:11 PM.,CLE,KC,home,Sunny.,78,668909,C,0,1,0,0,0,0,0,0,0,0,0,.293,.342,.403,.745,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,66.0,96.0,101.0,121.0,101.0,105.0,97.0,102.0,102.0,95.0,80.0,96.0,98.0,99.0,94.0,0.515,0.12,0.113,0.198,0.054,0.08,0.56,-0.16,-0.01,-3.82,96.6,91.6,89.2,88.6,79.5,0.286,0.421,0.22,0.417,0.833,0.148,0.205,0.333,0.341,0.258,0.387,0.242,0.155,0.31,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/01,1:10 PM.,HOU,KC,away,Roof Closed.,73,669854,C,3,0,1,0,0,0,0,0,1,0,1,.293,.342,.403,.745,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,89.0,103.0,101.0,,,,0.383,,0.302,0.094,0.221,-0.42,,2.24,2.55,-0.16,93.4,,85.2,86.4,80.1,0.232,0.497,0.192,0.188,0.356,0.343,,,,0.18,0.284,0.333,0.071,0.071,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/31,6:10 PM.,HOU,KC,away,Roof Closed.,73,579328,DH,4,1,1,0,0,0,0,0,0,1,1,.293,.340,.404,.744,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,111.0,100.0,106.0,,,,0.471,,0.235,0.183,0.111,-0.08,,1.31,0.02,-0.15,95.5,,86.7,88.3,82.4,0.274,0.505,0.28,0.194,0.25,0.358,,,,0.21,0.28,0.297,0.264,0.395,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
