date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FO%,wFO/C,vFO
2024/09/29,12:11 PM.,OAK,SEA,home,Partly Cloudy.,56,687765,2B,1,0,0,0,0,0,0,0,0,0,2,.233,.333,.274,.607,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,118.0,117.0,117.0,,,,40.0,97.0,84.0,121.0,105.0,109.0,0.146,,,0.326,0.121,0.011,,,-1.41,0.01,-0.82,-7.88,,,88.4,91.9,84.3,80.4,,,,,,,0.338,0.403,0.16,0.571,0.857,0.0,0.196,0.351,0.31,,,,99.0,100.0,96.0,0.396,-0.41,90.7,0.278,0.493,0.276,0.278,0.472,0.176,,,,,,,,,,,,,,,
2024/09/28,6:41 PM.,OAK,SEA,home,Roof Closed.,55,683155,PR,0,1,0,0,0,0,0,0,0,0,0,.236,.337,.278,.615,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,,,,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,0.034,0.517,,0.332,,0.111,0.08,,-1.55,-0.2,,-2.46,92.4,,84.8,90.8,79.6,,0.257,0.469,0.175,0.217,0.367,0.216,0.263,0.579,0.147,0.357,0.738,0.204,,,,,,,111.0,89.0,91.0,0.007,-13.81,86.4,0.261,0.435,0.223,,,,,,,,,,,,,,,,,,
2024/09/27,7:11 PM.,OAK,SEA,home,Clear.,60,676664,2B,2,0,0,0,0,0,0,0,1,0,2,.236,.337,.278,.615,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,,,,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.363,,0.339,,0.192,-0.8,,1.37,-0.1,,-0.21,91.9,,84.0,90.0,78.9,,0.23,0.476,0.256,0.239,0.381,0.213,0.276,0.395,0.104,0.297,0.428,0.188,,,,,,,,,,,,,0.23,0.525,0.259,,,,,,,,,,,,,,,,,,
2024/09/25,1:10 PM.,HOU,SEA,away,Roof Closed.,73,579328,2B,0,0,0,0,0,0,0,0,0,0,0,.243,.338,.286,.624,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,,,,111.0,100.0,106.0,,0.471,,0.235,0.183,0.111,-0.08,,,1.31,0.02,-0.15,95.5,,86.7,,88.3,82.4,0.274,0.505,0.28,,,,,,,0.194,0.25,0.358,0.264,0.395,0.274,,,,,,,,,,0.21,0.28,0.297,,,,,,,,,,,,,,,,,,
2024/09/24,7:12 PM.,HOU,SEA,away,Roof Closed.,73,664285,3B,0,0,0,0,0,0,0,0,0,0,0,.243,.338,.286,.624,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,130.0,96.0,104.0,129.0,96.0,108.0,60.0,102.0,94.0,98.0,99.0,97.0,107.0,102.0,110.0,0.458,0.012,,0.043,0.313,0.175,-4.64,,1.46,-0.2,1.59,0.62,94.5,,89.9,94.1,85.1,79.7,0.4,1.0,0.273,,,,0.276,0.399,0.116,0.226,0.278,0.354,0.121,0.187,0.398,,,,,,,,,,0.233,0.467,0.383,,,,,,,,,,,,,,,,,,
2024/09/21,6:07 PM.,TEX,SEA,away,Roof Closed.,74,641540,2B,1,0,0,0,0,0,0,0,0,1,0,.243,.338,.286,.624,641540,danedunning,Dunning,Right,Dane Dunning,TEX,5.31,5.28,95.0,98.0,82.0,94.0,0.785,8.62,3.79,9.19,1.71,1.15,0.158,0.5,0.127,0.345,0.425,83.0,94.0,86.0,,,,40.0,103.0,91.0,79.0,102.0,97.0,102.0,100.0,97.0,0.377,0.028,,0.234,,0.125,-2.6,,0.0,-1.44,,-1.22,89.2,,85.0,89.7,80.6,,0.25,0.583,0.259,,,,0.276,0.442,0.133,0.233,0.488,0.327,0.0,0.0,0.429,,,,74.0,99.0,94.0,0.188,-0.73,88.1,0.274,0.512,0.304,0.254,0.46,0.242,58.0,89.0,98.0,0.047,0.09,75.6,,,,,,,0.001,-6.34,76.4
2024/09/17,6:41 PM.,NYY,SEA,home,Cloudy.,62,661563,P,1,0,0,0,0,0,0,0,0,0,0,.246,.342,.290,.632,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,,,,108.0,94.0,105.0,,0.488,,0.259,,0.253,0.06,,,1.37,,0.37,96.6,,91.6,,87.5,,0.205,0.395,0.285,,,,,,,0.179,0.282,0.269,,,,,,,,,,,,,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,
2024/09/08,1:16 PM.,STL,SEA,away,Sunny.,72,571945,2B,0,0,0,0,0,0,0,0,1,0,0,.250,.346,.294,.640,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,94.0,109.0,106.0,65.0,107.0,98.0,80.0,111.0,99.0,116.0,112.0,114.0,0.231,0.279,,0.283,0.116,0.085,0.23,,1.42,-1.19,-1.97,-4.2,93.2,,85.6,92.4,85.7,76.6,0.287,0.446,0.178,0.273,0.545,0.275,0.237,0.382,0.108,0.394,0.742,0.159,0.267,0.52,0.231,,,,,,,,,,0.301,0.506,0.164,,,,,,,0.005,4.24,69.6,,,,,,,,,
2024/09/05,12:37 PM.,OAK,SEA,away,Sunny.,76,683155,SS,3,0,0,0,0,0,0,0,1,1,3,.250,.338,.294,.632,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,,,,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,0.034,0.517,,0.332,,0.111,0.08,,-1.55,-0.2,,-2.46,92.4,,84.8,90.8,79.6,,0.257,0.469,0.175,0.217,0.367,0.216,0.263,0.579,0.147,0.357,0.738,0.204,,,,,,,111.0,89.0,91.0,0.007,-13.81,86.4,0.261,0.435,0.223,,,,,,,,,,,,,,,,,,
2024/09/02,4:07 PM.,OAK,SEA,away,Sunny.,73,674370,3B,0,0,0,0,0,0,0,1,0,0,0,.262,.342,.308,.650,674370,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.41,2.72,63.1,97.0,103.0,97.0,0.761,8.95,3.69,6.11,0.43,0.61,0.245,0.405,0.252,0.258,0.425,78.0,103.0,102.0,,,,102.0,95.0,92.0,102.0,89.0,87.0,131.0,103.0,111.0,0.099,0.394,,0.211,,0.152,0.18,,-0.7,1.83,,1.82,94.8,,88.9,94.9,85.8,,0.203,0.297,0.287,,,,0.304,0.478,0.146,0.121,0.152,0.343,,,,,,,93.0,99.0,96.0,0.143,2.25,86.9,0.197,0.311,0.27,0.152,0.212,0.197,,,,,,,,,,,,,,,
