date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,KN%,wFS/C,wKC/C,wKN/C,vFS,vKC,FS_ba,FS_slg,FS_whiff
2024/07/21,1:07 PM.,OAK,LAA,away,Partly Cloudy.,63,683155,2B,1,0,0,0,0,0,0,0,0,0,2,.148,.148,.148,.296,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,,,,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,0.034,0.517,0.332,,0.111,0.08,-1.55,-0.2,,-2.46,92.4,84.8,90.8,79.6,,0.257,0.469,0.175,0.261,0.435,0.223,0.263,0.579,0.147,0.357,0.738,0.204,,,,111.0,89.0,91.0,0.007,-13.81,86.4,0.217,0.367,0.216,,,,,,,,,,,,,,,,,,,,,
2024/07/19,6:40 PM.,OAK,LAA,away,Clear.,80,676664,DH,4,0,0,0,0,0,0,0,0,3,1,.154,.154,.154,.308,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,,,,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.363,0.339,,0.192,-0.8,1.37,-0.1,,-0.21,91.9,84.0,90.0,78.9,,0.23,0.476,0.256,0.23,0.525,0.259,0.276,0.395,0.104,0.297,0.428,0.188,,,,,,,,,,0.239,0.381,0.213,,,,,,,,,,,,,,,,,,,,,
2024/07/14,1:08 PM.,SEA,LAA,home,Partly Cloudy.,81,669302,2B,3,0,0,0,0,0,0,0,0,2,0,.182,.182,.182,.364,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,124.0,99.0,107.0,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,0.015,0.308,0.32,0.118,,1.41,0.32,1.72,0.81,,96.6,,95.5,88.4,83.2,0.204,0.383,0.193,0.21,0.375,0.368,0.286,0.286,0.05,,,,0.181,0.301,0.354,116.0,104.0,103.0,0.106,0.14,92.3,,,,0.247,0.483,0.272,,,,,99.0,96.0,104.0,0.134,,,1.18,,,84.5,,0.101,0.162,0.506
2024/07/13,6:38 PM.,SEA,LAA,home,Clear.,77,669923,2B,3,0,0,0,0,0,0,0,0,0,2,.211,.211,.211,.422,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.339,0.237,,,0.46,1.5,1.28,,,96.0,,96.0,87.2,,0.221,0.458,0.291,0.226,0.316,0.271,0.263,0.354,0.105,,,,0.333,0.439,0.286,97.0,99.0,93.0,0.004,0.79,92.3,,,,,,,73.9,114.0,110.0,113.0,109.0,100.0,108.0,0.102,0.082,0.0,-2.05,-1.95,-3.5,86.0,83.4,0.253,0.413,0.295
2024/07/11,6:38 PM.,SEA,LAA,home,Clear.,77,622491,PH,1,0,0,0,0,0,0,0,0,1,0,.250,.250,.250,.500,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,,,,120.0,105.0,103.0,100.0,102.0,98.0,72.0,106.0,108.0,0.179,0.454,0.224,,0.143,0.97,-0.41,0.65,,-1.63,95.6,88.1,95.6,85.7,,0.203,0.365,0.273,0.207,0.357,0.358,0.298,0.457,0.105,0.287,0.545,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/09,6:38 PM.,TEX,LAA,home,Clear.,81,453286,2B,3,0,0,0,0,0,0,0,0,0,1,.267,.267,.267,.534,453286,maxscherzer,Scherzer,Right,Max Scherzer,TEX,3.95,3.86,43.1,106.0,84.0,103.0,0.732,8.31,2.08,8.31,1.45,0.7,0.278,0.437,0.175,0.286,0.422,59.0,110.0,106.0,84.0,101.0,103.0,78.0,105.0,100.0,,,,100.0,106.0,105.0,,0.439,0.221,0.139,0.139,0.05,,1.2,-2.13,-1.96,92.5,82.8,,85.0,74.7,0.262,0.492,0.222,0.214,0.333,0.438,,,,0.192,0.462,0.255,0.333,0.611,0.4,121.0,119.0,105.0,0.061,2.89,86.6,,,,0.222,0.278,0.143,,,,,,,,,,,,,,,,,,
2024/07/08,6:38 PM.,TEX,LAA,home,Clear.,78,592351,DH,4,0,1,0,0,0,0,0,0,3,1,.333,.333,.333,.666,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.47,4.65,102.2,103.0,85.0,98.0,0.777,7.54,2.45,9.38,0.96,0.98,0.228,0.412,0.145,0.366,0.457,72.0,100.0,94.0,97.0,97.0,102.0,73.0,103.0,91.0,,,,97.0,105.0,105.0,,0.444,0.439,0.046,0.071,-0.71,,0.77,-0.7,-1.39,94.9,88.7,,88.6,78.9,0.311,0.443,0.15,0.213,0.344,0.334,,,,0.257,0.543,0.19,0.333,0.333,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/07,1:20 PM.,CHC,LAA,away,Cloudy.,87,669713,PR,0,0,0,0,0,0,0,0,0,0,0,.375,.375,.375,.750,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.86,4.17,67.2,101.0,92.0,99.0,0.76,8.91,2.79,7.45,1.6,1.12,0.28,0.399,0.212,0.264,0.404,92.0,102.0,104.0,,,,51.0,101.0,86.0,91.0,100.0,96.0,134.0,101.0,112.0,0.112,0.365,0.406,,0.03,-0.68,-0.56,0.59,,1.66,94.6,87.2,93.5,82.4,,0.254,0.465,0.143,,,,0.273,0.545,0.121,0.125,0.125,0.25,,,,76.0,98.0,98.0,0.088,3.38,88.1,0.174,0.348,0.433,0.167,0.167,0.213,,,,,,,,,,,,,,,,,,
2024/07/06,1:20 PM.,CHC,LAA,away,Sunny.,76,543294,2B,5,0,2,0,0,0,1,0,0,0,5,.375,.375,.375,.750,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,87.0,109.0,108.0,59.0,94.0,86.0,97.0,106.0,96.0,,,,0.355,0.127,,0.131,0.387,-1.51,-0.77,,0.52,-0.72,87.7,80.9,87.6,,74.3,0.237,0.553,0.209,,,,0.333,0.493,0.106,0.267,0.409,0.239,0.22,0.3,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/05,1:20 PM.,CHC,LAA,away,Partly Cloudy.,85,657006,DH,3,1,1,0,0,0,0,0,0,1,0,.333,.333,.333,.666,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,92.0,120.0,108.0,89.0,102.0,100.0,64.0,104.0,95.0,130.0,105.0,109.0,0.053,0.595,0.297,0.022,0.033,0.38,0.43,1.81,2.76,0.32,91.6,86.2,91.6,83.3,79.9,0.253,0.396,0.223,0.16,0.243,0.282,0.292,0.458,0.182,0.222,0.222,0.172,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
