date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/10/18,8:08 PM.,NYY,CLE,home,Clear.,56,661563,RF,2,0,0,0,0,0,0,0,0,1,2,.000,.000,.000,.000,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,,,,108.0,94.0,105.0,,,,,0.488,,0.259,,0.253,0.06,,,1.37,,0.37,96.6,,91.6,,87.5,,0.205,0.395,0.285,,,,,,,,,,0.179,0.282,0.269,,,,,,,,,,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,
2024/10/17,5:08 PM.,NYY,CLE,home,Clear.,57,657376,RF,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.85,3.78,85.1,98.0,116.0,100.0,0.724,9.81,3.16,7.49,0.84,1.01,0.271,0.407,0.208,0.281,0.401,36.0,89.0,96.0,,,,,,,83.0,94.0,85.0,136.0,94.0,102.0,106.0,102.0,100.0,0.21,,0.35,0.252,,0.006,,0.53,-0.75,1.21,,-13.05,,92.4,87.1,94.3,85.2,,,,,0.143,0.19,0.33,0.267,0.483,0.203,0.256,0.38,0.322,0.667,1.0,0.0,,,,,,,,,,,,,0.21,0.323,0.297,,,,150.0,102.0,113.0,0.182,0.89,83.8,,,,,,
2024/10/14,7:39 PM.,NYY,CLE,away,Cloudy.,50,607074,RF,1,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,103.0,86.0,93.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,100.0,83.0,82.0,,0.494,0.035,0.26,0.083,0.129,0.05,-3.11,,-0.4,-1.32,1.44,95.4,91.8,85.5,,86.8,81.0,0.262,0.514,0.214,0.281,0.531,0.276,,,,0.353,0.647,0.255,0.188,0.247,0.495,,,,,,,,,,0.199,0.361,0.393,,,,,,,,,,,,,,,,,,
2024/09/27,7:11 PM.,HOU,CLE,home,Cloudy.,72,669854,SS,2,0,0,0,0,0,0,0,1,0,0,.218,.303,.368,.671,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,,,,89.0,103.0,101.0,,,,,0.383,,0.302,0.094,0.221,-0.42,,,2.24,2.55,-0.16,93.4,,85.2,,86.4,80.1,0.232,0.497,0.192,0.071,0.071,0.376,,,,,,,0.188,0.356,0.343,,,,,,,,,,0.18,0.284,0.333,,,,,,,,,,,,,,,,,,
2024/09/22,1:16 PM.,STL,CLE,away,Overcast.,78,669467,2B,3,0,0,0,0,0,0,0,1,0,1,.220,.303,.372,.675,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,,,,,,,87.0,91.0,92.0,85.0,98.0,89.0,111.0,105.0,110.0,,,,0.19,0.512,,0.172,,,1.34,,-0.25,-0.64,,,94.5,,,94.8,87.5,,0.23,0.297,0.162,0.157,0.257,0.345,0.265,0.373,0.132,,,,,,,,,,,,,,,,0.294,0.435,0.282,,,,,,,88.0,102.0,109.0,0.126,0.42,79.5,,,,,,
2024/09/20,7:16 PM.,STL,CLE,away,Partly Cloudy.,93,502043,SS,3,1,1,0,0,0,1,0,1,2,0,.223,.304,.378,.682,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,102.0,103.0,104.0,80.0,88.0,83.0,84.0,101.0,96.0,104.0,102.0,105.0,96.0,95.0,91.0,0.264,0.132,0.211,0.207,0.086,0.099,-1.39,0.21,0.22,0.92,-2.21,1.2,91.4,88.6,84.9,90.7,80.7,78.3,0.268,0.563,0.065,0.325,0.675,0.462,0.267,0.422,0.092,0.299,0.479,0.181,0.19,0.254,0.39,,,,,,,,,,,,,0.2,0.312,0.412,,,,,,,,,,,,,,,
2024/09/19,1:10 PM.,MIN,CLE,home,Sunny.,76,680573,DH,1,0,0,0,0,0,0,0,0,1,0,.222,.300,.378,.678,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,,,,92.0,108.0,106.0,,,,,0.403,,0.312,0.093,0.193,0.82,,,0.76,1.68,-3.33,93.1,,82.8,,86.4,76.1,0.258,0.356,0.219,0.186,0.326,0.221,,,,,,,0.311,0.622,0.205,,,,,,,,,,0.214,0.313,0.239,,,,,,,,,,,,,,,,,,
2024/09/16,6:40 PM.,MIN,CLE,home,Clear.,77,641154,SS,2,0,0,0,0,0,0,0,0,1,4,.223,.301,.380,.681,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,97.0,107.0,107.0,106.0,103.0,110.0,,,,0.073,0.407,,0.219,0.1,0.201,1.65,,-2.77,-0.84,-1.28,-0.14,95.0,,88.5,94.5,84.5,82.4,0.208,0.352,0.259,0.23,0.446,0.341,0.426,0.639,0.142,,,,0.281,0.359,0.249,,,,,,,,,,,,,0.239,0.436,0.331,,,,,,,,,,,,,,,
2024/09/15,1:40 PM.,TB,CLE,home,Sunny.,82,671737,3B,3,1,1,1,0,0,0,0,0,1,0,.225,.304,.385,.689,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,100.0,91.0,93.0,129.0,97.0,102.0,,,,,,,91.0,100.0,98.0,,0.417,0.225,,0.089,,-0.04,1.02,,,-1.5,,96.4,90.9,,,,79.1,0.269,0.5,0.21,0.241,0.483,0.346,,,,0.205,0.357,0.324,,,,123.0,102.0,114.0,0.269,0.47,90.9,,,,,,,,,,0.213,0.32,0.33,,,,,,,,,,,,
2024/09/13,7:11 PM.,TB,CLE,home,Clear.,76,641793,LF,3,0,0,0,0,0,0,0,0,2,0,.223,.304,.380,.684,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,,,,54.0,110.0,91.0,67.0,103.0,91.0,102.0,99.0,98.0,,,,0.148,0.221,,0.399,,,0.58,,-0.6,0.45,,,92.4,,,91.6,85.7,,0.245,0.358,0.191,,,,0.265,0.439,0.141,,,,,,,104.0,106.0,112.0,0.232,-0.84,83.0,,,,0.257,0.427,0.227,0.406,0.594,0.115,0.258,0.423,0.344,,,,,,,,,,,,
