date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,FS_ba,FS_slg,FS_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff
2024/09/29,1:11 PM.,LAD,COL,home,Partly Cloudy.,85,607455,C,3,0,1,0,0,0,0,0,0,0,0,.176,.208,.235,.443,607455,anthonybanda,Banda,Left,Anthony Banda,LAD,3.08,3.26,49.2,101.0,94.0,100.0,0.716,9.06,3.26,7.97,0.91,1.2,0.281,0.367,0.187,0.331,0.435,71.0,104.0,102.0,91.0,101.0,97.0,109.0,98.0,102.0,,,,57.0,104.0,92.0,0.349,0.001,0.281,,0.123,0.24,-2.1,1.51,,-1.58,96.1,83.2,90.0,85.7,,0.154,0.25,0.513,0.231,0.415,0.212,,,,,,,,,,0.364,0.5,0.392,,,,,,,,0.006,,1.46,,82.2,,,,89.0,102.0,100.0,0.24,1.52,96.0,0.283,0.304,0.124,,,
2024/09/28,6:12 PM.,LAD,COL,home,Clear.,86,808967,C,1,0,0,0,0,0,0,0,0,1,0,.167,.200,.229,.429,808967,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,84.0,103.0,96.0,116.0,110.0,120.0,,,,91.0,97.0,91.0,0.404,0.061,0.033,,,0.77,0.28,0.53,,,95.5,91.5,,86.3,,0.158,0.211,0.357,0.262,0.413,0.176,0.214,0.371,0.333,,,,0.35,0.55,0.2,,,,109.0,103.0,112.0,121.0,112.0,119.0,0.242,0.231,0.25,1.14,90.2,78.0,0.17,0.266,0.386,101.0,110.0,103.0,0.029,-1.65,94.9,0.364,0.545,0.13,,,
2024/09/27,6:11 PM.,LAD,COL,home,Clear.,83,518489,C,1,0,0,0,0,0,0,0,0,0,1,.170,.204,.234,.438,518489,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,3.54,3.46,28.0,107.0,95.0,106.0,0.806,8.04,1.61,7.07,0.96,1.06,0.225,0.45,0.125,0.35,0.468,,,,93.0,111.0,107.0,102.0,110.0,111.0,,,,78.0,103.0,104.0,0.294,0.12,0.422,,,4.25,4.05,-2.39,,,94.5,90.4,,85.3,,0.28,0.58,0.253,0.115,0.115,0.265,,,,,,,0.182,0.273,0.037,,,,,,,,,,,,,,,,,,,96.0,95.0,90.0,0.163,1.24,94.5,0.214,0.214,0.2,,,
2024/09/11,6:40 PM.,DET,COL,away,Clear.,82,663554,C,4,0,1,0,0,0,0,0,0,2,3,.174,.208,.239,.447,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,106.0,105.0,102.0,107.0,101.0,102.0,102.0,90.0,94.0,,,,0.386,,0.277,0.075,,-0.47,,-0.46,-2.21,,95.5,,,85.7,79.6,0.271,0.5,0.218,0.306,0.428,0.205,0.261,0.522,0.216,,,,,,,,,,,,,112.0,99.0,102.0,0.181,,-1.06,,86.2,,0.286,0.405,0.322,92.0,108.0,105.0,0.08,1.3,95.5,0.293,0.341,0.08,,,
2024/09/07,6:11 PM.,MIL,COL,away,Roof Closed.,64,668964,C,3,0,0,0,0,0,0,0,0,1,3,.167,.205,.238,.443,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,87.0,105.0,100.0,92.0,106.0,103.0,,,,96.0,100.0,91.0,0.401,0.23,0.21,,0.114,0.58,-0.75,1.43,,1.18,92.9,89.2,81.1,85.5,,0.198,0.255,0.248,0.239,0.436,0.194,0.421,0.579,0.194,,,,0.336,0.518,0.123,0.083,0.083,0.444,73.0,99.0,104.0,,,,,0.041,,-3.19,,77.8,,,,71.0,92.0,74.0,0.005,11.28,91.5,0.0,0.0,0.0,,,
2024/09/04,7:21 PM.,ATL,COL,away,Partly Cloudy.,80,450203,C,3,0,0,0,0,0,0,0,0,3,2,.179,.220,.256,.476,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,72.0,99.0,90.0,,,,,,,73.0,92.0,86.0,0.289,0.078,,,0.11,-1.4,-0.75,,,-1.38,94.1,88.5,85.0,,,,,,0.281,0.517,0.193,0.2,0.309,0.342,,,,0.286,0.571,0.149,0.292,0.6,0.333,122.0,98.0,108.0,,,,,0.424,,0.78,,81.5,,,,79.0,96.0,88.0,0.099,0.39,93.5,0.333,0.433,0.07,,,
2024/09/03,7:21 PM.,ATL,COL,away,Clear.,82,519242,DH,3,0,0,0,0,0,0,0,0,1,3,.194,.237,.278,.515,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,64.0,107.0,98.0,96.0,105.0,101.0,105.0,100.0,104.0,,,,,,,0.378,,0.403,,0.147,-0.12,,2.16,,2.97,94.8,,87.1,78.6,,0.171,0.236,0.427,0.281,0.443,0.241,,,,,,,,,,0.159,0.195,0.236,,,,,,,,,,,,,,,,113.0,100.0,96.0,0.072,-1.99,94.2,0.327,0.551,0.133,,,
2024/09/01,1:10 PM.,BAL,COL,home,Sunny.,82,621107,C,3,0,0,0,0,0,0,0,0,1,2,.212,.257,.303,.560,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,61.0,105.0,94.0,122.0,107.0,113.0,,,,85.0,105.0,98.0,0.09,0.282,0.097,,0.061,-0.64,1.54,0.46,,0.21,92.4,88.2,85.6,79.7,,,,,0.236,0.418,0.248,0.291,0.472,0.333,0.236,0.473,0.203,0.214,0.345,0.223,0.188,0.354,0.105,108.0,112.0,108.0,,,,,0.188,,-1.27,,78.8,,,,91.0,109.0,105.0,0.282,0.0,91.7,0.293,0.404,0.133,,,
2024/08/31,6:11 PM.,BAL,COL,home,Clear.,89,665152,C,3,1,1,1,0,0,3,0,1,0,0,.233,.281,.333,.614,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.1,4.49,129.2,100.0,88.0,98.0,0.798,8.54,3.54,7.63,1.25,0.99,0.25,0.394,0.231,0.285,0.423,,,,91.0,100.0,99.0,,,,,,,99.0,102.0,98.0,0.32,0.23,,,,-0.18,0.33,,,,93.4,86.9,,,,,,,0.245,0.503,0.232,0.225,0.3,0.198,,,,0.25,0.355,0.237,,,,92.0,98.0,96.0,72.0,99.0,99.0,0.184,0.114,0.73,0.29,84.1,77.0,0.139,0.248,0.36,79.0,105.0,97.0,0.151,0.67,92.3,0.247,0.353,0.072,,,
2024/08/29,1:11 PM.,MIA,COL,home,Sunny.,82,678368,C,4,1,1,1,0,0,1,0,0,0,4,.222,.250,.296,.546,678368,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.67,5.14,68.2,99.0,73.0,91.0,0.818,5.77,2.75,9.04,1.97,0.58,0.281,0.404,0.184,0.368,0.427,99.0,95.0,96.0,54.0,102.0,84.0,100.0,105.0,104.0,,,,67.0,98.0,91.0,0.374,0.253,0.103,,0.144,-0.41,1.23,0.03,,-3.12,89.2,82.8,81.1,77.7,,,,,0.247,0.454,0.133,0.333,0.741,0.283,0.233,0.433,0.286,0.205,0.438,0.163,0.326,0.488,0.296,93.0,94.0,94.0,,,,,0.125,,-3.5,,73.7,,,,,,,,,,,,,,,
2024/08/28,6:39 PM.,MIA,COL,home,Partly Cloudy.,92,676974,C,4,2,2,0,0,0,1,0,0,0,0,.217,.250,.261,.511,676974,maxmeyer,Meyer,Right,Max Meyer,MIA,5.68,4.74,57.0,98.0,98.0,101.0,0.782,7.26,3.0,9.79,2.21,1.38,0.189,0.494,0.144,0.35,0.426,86.0,88.0,88.0,83.0,97.0,94.0,119.0,103.0,115.0,,,,,,,0.394,,0.407,,0.179,-2.29,,-0.21,,-2.48,94.1,,86.7,88.2,,0.24,0.471,0.342,0.33,0.648,0.139,,,,,,,,,,0.233,0.6,0.235,,,,,,,,,,,,,,,,81.0,92.0,82.0,0.021,-1.39,92.7,,,,,,
2024/08/25,1:38 PM.,NYY,COL,away,Partly Cloudy.,83,573186,C,4,0,1,0,0,0,1,0,0,1,2,.158,.200,.211,.411,573186,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.31,4.94,154.2,96.0,92.0,94.0,0.82,6.58,3.49,9.72,1.11,1.6,0.207,0.4,0.148,0.325,0.359,,,,48.0,88.0,79.0,93.0,102.0,102.0,,,,106.0,101.0,99.0,0.032,0.182,0.16,,,-4.01,-0.26,-2.37,,,89.9,88.1,,85.3,,0.258,0.386,0.272,0.455,0.636,0.259,0.0,0.0,0.265,,,,0.296,0.519,0.187,,,,94.0,89.0,94.0,82.0,99.0,93.0,0.111,0.165,-0.31,-0.03,83.3,81.3,0.235,0.309,0.241,90.0,94.0,90.0,0.351,-0.03,90.0,0.306,0.466,0.12,0.309,0.515,0.313
2024/08/24,2:09 PM.,NYY,COL,away,Partly Cloudy.,82,701542,C,4,0,1,1,0,0,0,0,1,2,4,.133,.188,.200,.388,701542,willwarren,"Warren, W",Right,Will Warren,NYY,10.32,4.52,22.2,99.0,102.0,104.0,0.756,11.51,3.97,13.1,1.99,0.86,0.174,0.406,0.116,0.362,0.376,90.0,101.0,107.0,92.0,102.0,101.0,126.0,88.0,98.0,,,,112.0,117.0,129.0,0.306,0.044,0.264,,0.122,1.94,-5.11,-2.61,,-6.86,93.8,86.4,86.3,83.1,,,,,0.074,0.222,0.246,,,,0.3,0.6,0.371,0.5,0.5,0.333,0.545,1.0,0.32,,,,,,,,,,,,,,,,93.0,104.0,108.0,0.264,-4.69,93.1,0.485,0.818,0.164,,,
2024/08/21,6:45 PM.,WSH,COL,away,Clear.,73,680730,C,3,0,0,0,0,0,0,0,0,2,1,.091,.091,.091,.182,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,78.0,101.0,96.0,106.0,107.0,110.0,,,,,,,0.486,,0.098,,,0.07,,-0.73,,,92.5,,,84.5,,0.238,0.429,0.364,0.276,0.425,0.12,0.252,0.36,0.263,,,,,,,,,,97.0,96.0,96.0,89.0,94.0,94.0,0.191,0.225,-0.6,0.47,85.6,80.5,0.233,0.4,0.372,,,,,,,,,,,,
2024/08/20,6:45 PM.,WSH,COL,away,Partly Cloudy.,71,687792,C,4,0,1,0,0,0,0,0,0,3,3,.125,.125,.125,.250,687792,djherz,Herz,Left,DJ Herz,WSN,4.16,3.26,88.2,97.0,99.0,97.0,0.734,10.76,3.65,7.71,1.12,0.82,0.254,0.436,0.14,0.326,0.429,113.0,98.0,99.0,93.0,98.0,96.0,105.0,95.0,100.0,102.0,82.0,88.0,,,,0.542,,0.179,0.033,0.245,0.86,,-0.96,1.64,-0.19,93.5,,83.5,86.1,81.2,0.229,0.429,0.275,0.222,0.317,0.305,0.2,0.2,0.533,,,,,,,0.224,0.388,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
