date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/05/30,12:10 PM.,CHC,MIL,home,Sunny.,64,592791,1B,1,0,0,0,0,0,0,0,0,0,2,.185,.185,.222,.407,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,66.0,106.0,96.0,104.0,116.0,120.0,,,,92.0,103.0,98.0,0.296,0.251,0.155,,0.043,-0.27,2.12,0.65,,-2.45,92.3,86.5,86.0,80.4,,,,,0.287,0.497,0.147,0.232,0.424,0.23,0.183,0.296,0.317,0.252,0.31,0.191,0.273,0.576,0.148,104.0,111.0,113.0,74.0,104.0,92.0,0.109,0.147,1.47,-1.04,92.5,79.5,0.219,0.297,0.085,,,,,,,,,,,,
2024/05/28,6:40 PM.,CHC,MIL,home,Roof Closed.,69,676962,1B,1,0,1,0,0,0,1,0,0,0,0,.192,.192,.231,.423,676962,benbrown,"Brown, Be",Right,Ben Brown,CHC,3.58,4.17,55.1,96.0,110.0,100.0,0.708,10.41,3.09,6.67,0.81,0.85,0.283,0.348,0.181,0.362,0.448,112.0,95.0,87.0,98.0,98.0,96.0,,,,130.0,92.0,107.0,,,,0.627,,,0.357,0.016,0.79,,,1.42,-3.61,96.4,,90.6,,86.5,,,,0.25,0.352,0.185,0.141,0.294,0.51,,,,,,,0.5,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/22,6:40 PM.,MIA,MIL,away,Roof Closed.,72,666200,1B,3,0,0,0,0,0,0,0,0,0,1,.160,.160,.200,.360,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.59,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.12,0.281,0.4,88.0,97.0,95.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,,,,0.394,,0.292,,0.229,-0.64,,0.14,,1.58,95.2,,86.3,83.5,,0.2,0.347,0.48,0.28,0.484,0.111,,,,,,,,,,0.207,0.328,0.407,31.0,40.0,52.0,87.0,90.0,88.0,0.083,0.002,-0.77,-3.5,94.6,81.6,0.381,0.571,0.125,,,,,,,,,,,,
2024/05/21,6:41 PM.,MIA,MIL,away,Roof Closed.,72,669432,1B,2,0,1,0,0,0,0,0,0,0,0,.182,.182,.227,.409,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,66.0,101.0,93.0,74.0,93.0,91.0,,,,,,,0.317,,0.206,,0.238,-0.26,,-1.99,,-1.32,91.9,,85.6,82.4,,0.312,0.506,0.259,0.252,0.467,0.234,,,,,,,,,,0.295,0.396,0.238,,,,86.0,97.0,92.0,0.24,,-0.36,,91.5,,0.292,0.492,0.1,,,,,,,,,,,,
2024/05/20,6:41 PM.,MIA,MIL,away,Roof Closed.,72,677960,1B,3,0,1,1,0,0,0,0,0,1,1,.150,.150,.200,.350,677960,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.63,4.2,86.2,96.0,94.0,97.0,0.761,8.31,2.49,8.1,1.14,1.3,0.264,0.413,0.193,0.295,0.41,84.0,102.0,103.0,96.0,97.0,96.0,120.0,87.0,98.0,,,,,,,0.397,,0.222,,0.26,-0.81,,0.49,,1.39,95.9,,86.4,82.9,,0.25,0.5,0.5,0.319,0.451,0.141,,,,0.118,0.176,0.51,,,,0.193,0.367,0.379,,,,82.0,98.0,95.0,0.121,,0.13,,94.5,,0.259,0.5,0.063,,,,,,,,,,,,
2024/05/17,7:10 PM.,HOU,MIL,away,Roof Closed.,73,686613,PH,1,0,0,0,0,0,0,0,0,1,0,.118,.118,.118,.236,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.347,0.17,0.051,0.125,0.126,0.16,0.14,1.7,-0.79,0.95,96.0,92.4,88.4,89.1,82.9,0.2,0.2,0.236,0.244,0.413,0.288,0.237,0.421,0.305,,,,0.23,0.363,0.216,0.221,0.26,0.296,,,,93.0,102.0,98.0,0.182,,0.92,,95.6,,0.275,0.321,0.161,,,,,,,,,,,,
2024/05/15,12:10 PM.,PIT,MIL,home,Sunny.,61,527048,1B,4,1,1,0,0,0,0,0,0,1,0,.125,.125,.125,.250,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,56.0,92.0,86.0,70.0,111.0,119.0,,,,70.0,101.0,93.0,0.053,0.221,0.0,,0.227,-8.23,-0.61,-51.06,,-1.27,91.3,87.9,83.4,82.8,,,,,0.458,0.917,0.043,0.246,0.354,0.29,,,,0.28,0.57,0.212,0.28,0.448,0.341,74.0,102.0,98.0,78.0,101.0,93.0,0.358,0.141,0.57,0.62,90.7,77.9,0.275,0.383,0.097,,,,,,,,,,,,
2024/04/28,1:10 PM.,NYY,MIL,home,Roof Closed.,65,573186,PH,1,0,0,0,0,0,0,0,0,1,2,.083,.083,.083,.166,573186,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.31,4.94,154.2,96.0,92.0,94.0,0.82,6.58,3.49,9.72,1.11,1.6,0.207,0.4,0.148,0.325,0.359,,,,48.0,88.0,79.0,93.0,102.0,102.0,,,,106.0,101.0,99.0,0.032,0.182,0.16,,,-4.01,-0.26,-2.37,,,89.9,88.1,,85.3,,0.258,0.386,0.272,0.455,0.636,0.259,0.0,0.0,0.265,,,,0.296,0.519,0.187,,,,94.0,89.0,94.0,90.0,94.0,90.0,0.351,0.165,-0.03,-0.03,90.0,81.3,0.306,0.466,0.12,82.0,99.0,93.0,0.111,-0.31,83.3,0.235,0.309,0.241,0.309,0.515,0.313
2024/04/27,6:10 PM.,NYY,MIL,home,Roof Closed.,73,607074,P,4,0,0,0,0,0,0,0,0,1,3,.091,.091,.091,.182,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,114.0,98.0,101.0,144.0,104.0,113.0,,,,100.0,83.0,82.0,0.494,0.035,0.26,,0.129,0.05,-3.11,-0.4,,1.44,95.4,91.8,85.5,86.8,,0.199,0.361,0.393,0.262,0.514,0.214,0.281,0.531,0.276,,,,0.353,0.647,0.255,0.188,0.247,0.495,103.0,86.0,93.0,,,,,0.083,,-1.32,,81.0,,,,,,,,,,,,,,,
2024/04/26,7:10 PM.,NYY,MIL,home,Roof Closed.,63,661563,PR,0,1,0,0,0,0,0,0,0,0,0,.143,.143,.143,.286,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,,,,,,,0.488,,0.259,,0.253,0.06,,1.37,,0.37,96.6,,91.6,87.5,,0.171,0.312,0.315,0.205,0.395,0.285,,,,,,,,,,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,
