date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSL/C,vFA,vFC,vFS,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
2024/10/01,1:34 PM.,DET,HOU,home,Roof Closed.,73,669373,PR,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,112.0,104.0,103.0,111.0,99.0,103.0,,,,,,,0.332,,,0.149,1.84,,,0.78,96.8,,,88.7,0.197,0.286,0.277,,,,0.169,0.364,0.346,97.0,104.0,114.0,95.0,105.0,104.0,0.205,0.271,1.25,1.13,86.3,96.6,0.207,0.305,0.16,0.216,0.322,0.461,,,,,,,95.0,91.0,101.0,0.042,1.26,78.5,0.158,0.316,0.175,,,,,,
2024/09/28,6:11 PM.,CLE,HOU,away,Overcast.,73,594902,DH,5,0,2,0,0,0,1,0,0,1,3,.242,.277,.371,.648,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,57.0,94.0,83.0,105.0,102.0,101.0,,,,,,,0.314,,,0.218,-0.21,,,-0.01,89.9,,,79.4,0.268,0.504,0.166,,,,0.238,0.476,0.419,75.0,108.0,95.0,57.0,108.0,94.0,0.29,0.091,0.56,-0.79,83.9,90.4,0.227,0.392,0.133,0.279,0.382,0.185,0.231,0.413,0.241,,,,,,,,,,0.206,0.365,0.18,43.0,106.0,93.0,0.088,-0.11,76.9
2024/09/27,7:11 PM.,CLE,HOU,away,Cloudy.,72,676282,DH,5,1,2,0,0,1,1,0,0,3,4,.228,.267,.368,.635,676282,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.83,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,96.0,91.0,87.0,112.0,104.0,103.0,,,,,,,0.488,,,0.084,-1.29,,,2.07,92.2,,,82.6,0.292,0.585,0.22,,,,0.188,0.375,0.424,94.0,90.0,96.0,,,,,0.276,,0.26,77.8,,,,,0.216,0.324,0.437,,,,,,,,,,,,,0.172,0.276,0.271,95.0,109.0,105.0,0.152,1.01,76.2
2024/09/04,6:42 PM.,CIN,HOU,away,Partly Cloudy.,84,607259,3B,4,0,1,0,0,0,2,0,0,2,2,.212,.255,.308,.563,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.19,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.23,0.441,91.0,110.0,109.0,105.0,110.0,110.0,96.0,108.0,104.0,,,,0.224,0.203,,0.061,0.73,1.32,,-0.55,92.6,89.1,,84.9,0.219,0.351,0.212,,,,0.233,0.4,0.364,118.0,113.0,116.0,80.0,106.0,97.0,0.176,0.216,0.88,1.79,80.1,92.0,0.24,0.375,0.09,0.186,0.286,0.416,,,,0.281,0.43,0.12,,,,,,,0.342,0.605,0.247,107.0,102.0,105.0,0.119,-1.69,80.8
2024/08/31,6:10 PM.,KC,HOU,home,Roof Closed.,73,666142,1B,3,0,0,0,0,0,0,0,0,2,1,.208,.255,.313,.568,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,105.0,101.0,106.0,132.0,106.0,114.0,88.0,94.0,91.0,,,,0.418,0.113,,0.128,0.85,0.26,,-0.34,95.4,90.7,,86.0,0.213,0.361,0.231,,,,0.21,0.305,0.337,114.0,98.0,103.0,,,,,0.237,,1.43,84.8,,,,,0.183,0.28,0.478,,,,0.348,0.455,0.228,101.0,97.0,101.0,0.104,0.9,80.8,0.14,0.256,0.352,,,,,,
2024/08/29,7:10 PM.,KC,HOU,home,Roof Closed.,73,663903,3B,1,0,0,0,0,0,1,0,1,1,1,.222,.271,.333,.604,663903,bradysinger,Singer,Right,Brady Singer,KCR,3.71,4.65,179.2,99.0,84.0,94.0,0.769,8.52,2.71,8.77,1.1,1.62,0.191,0.419,0.159,0.326,0.414,63.0,96.0,86.0,106.0,99.0,102.0,,,,,,,0.113,,,0.455,-2.09,,,0.0,91.6,,,82.9,0.326,0.609,0.197,,,,0.207,0.361,0.354,80.0,77.0,69.0,70.0,101.0,91.0,0.413,0.019,0.77,-5.71,88.1,92.2,0.267,0.389,0.127,0.429,0.5,0.111,0.327,0.571,0.35,,,,,,,,,,,,,,,,,,
2024/08/28,4:07 PM.,PHI,HOU,away,Sunny.,96,592836,1B,5,0,1,0,0,0,0,0,0,0,3,.227,.261,.341,.602,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,7.1,7.09,83.2,98.0,88.0,95.0,0.847,6.24,3.98,11.51,2.58,0.93,0.184,0.442,0.131,0.389,0.429,61.0,93.0,83.0,56.0,108.0,104.0,95.0,91.0,87.0,108.0,101.0,106.0,0.126,0.094,0.219,0.178,-2.65,-4.99,-4.16,2.03,91.5,87.3,86.7,85.1,0.346,0.615,0.232,0.38,0.652,0.163,,,,,,,78.0,98.0,91.0,0.275,,-2.96,,,91.1,0.378,0.684,0.082,,,,0.157,0.314,0.28,0.435,1.087,0.093,,,,,,,0.172,0.31,0.149,87.0,96.0,97.0,0.108,1.99,74.7
2024/08/27,6:42 PM.,PHI,HOU,away,Partly Cloudy.,86,605400,PH,1,0,0,0,0,0,0,0,0,0,0,.231,.268,.359,.627,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,90.0,103.0,99.0,,,,69.0,99.0,92.0,,,,0.278,0.092,,,0.81,-2.57,,,92.5,87.5,,,0.168,0.318,0.224,,,,,,,78.0,102.0,91.0,100.0,109.0,106.0,0.204,0.096,-0.34,-1.67,85.7,91.5,0.313,0.475,0.136,0.279,0.426,0.135,,,,0.389,0.796,0.178,135.0,106.0,113.0,0.329,0.94,79.1,0.221,0.381,0.37,,,,,,
2024/08/25,7:11 PM.,BAL,HOU,away,Partly Cloudy.,86,665152,1B,4,0,2,1,0,0,2,0,0,1,1,.237,.275,.368,.643,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.1,4.49,129.2,100.0,88.0,98.0,0.798,8.54,3.54,7.63,1.25,0.99,0.25,0.394,0.231,0.285,0.423,91.0,100.0,99.0,,,,99.0,102.0,98.0,72.0,99.0,99.0,0.32,0.23,0.184,,-0.18,0.33,0.73,,93.4,86.9,84.1,,0.245,0.503,0.232,0.139,0.248,0.36,,,,,,,79.0,105.0,97.0,0.151,,0.67,,,92.3,0.247,0.353,0.072,,,,,,,0.25,0.355,0.237,,,,,,,0.225,0.3,0.198,92.0,98.0,96.0,0.114,0.29,77.0
2024/08/23,7:06 PM.,BAL,HOU,away,Clear.,77,700249,1B,2,1,1,0,0,0,0,0,0,1,0,.206,.250,.324,.574,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,81.0,97.0,93.0,113.0,107.0,108.0,97.0,94.0,94.0,,,,0.407,0.075,,0.13,0.56,-3.12,,-0.43,92.4,88.3,,82.6,0.223,0.379,0.185,,,,,,,63.0,101.0,95.0,80.0,98.0,90.0,0.084,0.109,0.86,-2.05,86.1,91.5,0.2,0.24,0.103,0.25,0.542,0.235,0.232,0.411,0.276,0.333,0.81,0.288,,,,,,,0.333,0.517,0.269,93.0,101.0,104.0,0.196,-2.26,76.3
