date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/07/19,6:40 PM.,SF,COL,home,Cloudy.,81,690986,LF,2,0,0,0,0,0,0,0,0,1,1,.187,.290,.297,.587,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,,,,93.0,107.0,97.0,,,,,,0.003,0.197,,,-11.71,-1.64,,84.8,,88.2,,,,0.287,0.435,0.215,0.333,0.667,0.5,98.0,100.0,92.0,0.577,0.2,92.5,0.249,0.425,0.23,,,,,,,,,,,,,,,,,,,,,,84.0,95.0,95.0,0.223,-0.22,80.6,,,,,,,,,,0.274,0.452,0.277
2024/07/14,1:42 PM.,NYM,COL,away,Sunny.,92,500779,LF,4,0,0,0,0,0,0,0,0,3,0,.191,.295,.303,.598,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,76.0,97.0,91.0,,,,,,,0.304,,,0.193,,0.82,,0.5,,85.7,90.8,,0.249,0.431,0.131,0.203,0.26,0.367,,,,70.0,92.0,85.0,0.225,-0.32,90.7,0.227,0.427,0.169,,,,,,,0.265,0.444,0.264,,,,,,,,,,,,,110.0,100.0,99.0,0.278,-0.04,77.7,,,,,,,,,,0.195,0.366,0.284
2024/06/22,7:10 PM.,WSH,COL,home,Cloudy.,83,680730,RF,1,0,0,0,0,0,0,0,0,1,0,.200,.307,.318,.625,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,,,,106.0,107.0,110.0,,,,,,0.098,,,,-0.73,,,,,84.5,,,,,,,0.238,0.429,0.364,78.0,101.0,96.0,0.486,0.07,92.5,0.276,0.425,0.12,,,,,,,0.252,0.36,0.263,,,,,,,,,,,,,97.0,96.0,96.0,0.225,0.47,80.5,89.0,94.0,94.0,0.191,-0.6,85.6,0.233,0.4,0.372,,,
2024/06/21,6:40 PM.,WSH,COL,home,Partly Cloudy.,84,687792,RF,3,1,1,0,0,0,1,0,0,1,0,.202,.310,.321,.631,687792,djherz,Herz,Left,DJ Herz,WSN,4.16,3.26,88.2,97.0,99.0,97.0,0.734,10.76,3.65,7.71,1.12,0.82,0.254,0.436,0.14,0.326,0.429,113.0,98.0,99.0,,,,105.0,95.0,100.0,,,,,,0.179,0.245,,,-0.96,-0.19,,83.5,,86.1,,,,0.224,0.388,0.26,0.229,0.429,0.275,93.0,98.0,96.0,0.542,0.86,93.5,0.222,0.317,0.305,102.0,82.0,88.0,0.033,1.64,81.2,0.2,0.2,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/20,1:10 PM.,LAD,COL,home,Partly Cloudy.,92,694813,LF,3,1,0,0,0,0,0,0,1,0,0,.198,.313,.321,.634,694813,gavinstone,Stone,Right,Gavin Stone,LAD,3.53,3.94,140.1,103.0,99.0,101.0,0.768,7.44,2.37,8.53,1.15,1.21,0.247,0.409,0.169,0.292,0.409,81.0,102.0,98.0,97.0,103.0,98.0,136.0,111.0,117.0,80.0,101.0,94.0,0.226,0.053,0.165,0.266,0.49,-0.69,0.96,0.82,92.3,87.5,95.3,88.7,0.314,0.504,0.136,0.178,0.356,0.372,0.239,0.326,0.355,101.0,100.0,97.0,0.247,0.1,94.9,0.246,0.41,0.162,,,,,,,0.267,0.333,0.167,0.182,0.182,0.133,0.32,0.48,0.183,,,,,,,93.0,102.0,102.0,0.042,1.45,83.3,,,,,,,,,,,,
2024/06/19,6:41 PM.,LAD,COL,home,Partly Cloudy.,73,676272,LF,4,1,1,1,0,0,1,0,0,0,1,.205,.315,.333,.648,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,101.0,93.0,89.0,115.0,99.0,108.0,,,,0.136,,0.096,0.199,,-4.54,-3.17,0.29,,86.4,97.3,88.6,0.433,0.9,0.174,0.13,0.217,0.41,0.333,0.619,0.275,119.0,89.0,92.0,0.379,-1.44,97.6,0.327,0.634,0.167,,,,,,,0.357,0.536,0.286,,,,,,,,,,,,,120.0,99.0,104.0,0.19,-1.0,79.8,,,,,,,,,,,,
2024/06/05,1:10 PM.,CIN,COL,home,Sunny.,84,668933,LF,2,0,0,0,0,0,0,1,0,0,0,.203,.318,.324,.642,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.18,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.285,0.43,87.0,78.0,79.0,71.0,100.0,83.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,0.479,0.319,0.03,-1.57,-2.72,1.37,-3.78,95.6,90.5,94.8,88.4,0.333,0.5,0.119,0.333,0.333,0.2,0.145,0.217,0.372,,,,,,,,,,,,,,,,,,,,,,0.329,0.52,0.161,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/03,6:41 PM.,CIN,COL,home,Cloudy.,83,671096,LF,4,0,1,0,0,0,0,0,0,2,3,.208,.318,.333,.651,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.02,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.16,0.287,0.428,96.0,94.0,97.0,,,,125.0,106.0,112.0,,,,,,0.186,0.163,,,0.49,0.23,,84.8,,82.9,,,,0.214,0.429,0.273,,,,78.0,96.0,89.0,0.535,-0.26,92.8,0.254,0.451,0.194,,,,,,,0.327,0.653,0.179,0.189,0.307,0.287,,,,,,,,,,101.0,98.0,99.0,0.116,-1.56,80.8,,,,,,,,,,,,
2024/06/01,7:10 PM.,LAD,COL,away,Clear.,65,808967,LF,3,0,0,0,0,0,0,0,0,3,0,.206,.321,.338,.659,808967,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,101.0,110.0,103.0,116.0,110.0,120.0,91.0,97.0,91.0,0.029,0.061,0.033,,0.28,-1.65,0.53,,91.5,,94.9,86.3,0.364,0.545,0.13,,,,0.158,0.211,0.357,84.0,103.0,96.0,0.404,0.77,95.5,0.262,0.413,0.176,,,,,,,0.214,0.371,0.333,,,,0.35,0.55,0.2,,,,,,,109.0,103.0,112.0,0.231,1.14,78.0,121.0,112.0,119.0,0.242,0.25,90.2,0.17,0.266,0.386,,,
2024/05/29,6:40 PM.,CLE,COL,home,Clear.,78,671106,LF,3,0,0,0,0,0,1,0,0,0,1,.215,.333,.354,.687,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.73,5.9,97.1,96.0,77.0,91.0,0.803,7.3,3.79,10.45,2.03,1.13,0.234,0.396,0.136,0.328,0.405,99.0,92.0,94.0,,,,89.0,98.0,86.0,91.0,97.0,96.0,,0.146,0.187,0.183,-0.03,,-2.55,-0.92,85.3,81.7,,78.6,,,,0.237,0.438,0.269,,,,60.0,98.0,88.0,0.484,-1.54,91.2,0.342,0.609,0.147,,,,,,,,,,0.273,0.576,0.333,0.245,0.491,0.202,,,,,,,,,,,,,,,,,,,,,,,,
