date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/09/29,2:20 PM.,CIN,CHC,home,Cloudy.,71,668881,RF,3,0,0,0,0,0,0,0,0,0,2,.100,.100,.100,.200,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.75,3.03,150.1,99.0,124.0,104.0,0.741,10.12,3.41,5.75,0.72,0.7,0.284,0.388,0.199,0.265,0.429,,,,,,,125.0,96.0,103.0,,,,,,0.346,,,,0.62,,,,,86.8,,,,,,,0.161,0.3,0.39,118.0,96.0,101.0,123.0,102.0,104.0,0.552,0.018,1.56,-2.87,97.6,80.9,0.184,0.273,0.248,,,,0.4,1.0,0.2,120.0,89.0,103.0,0.083,-0.79,87.0,0.243,0.405,0.284
2024/09/27,1:20 PM.,CIN,CHC,home,Overcast.,71,607259,RF,3,0,0,0,0,0,0,0,0,0,1,.143,.143,.143,.286,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.19,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.23,0.441,118.0,113.0,116.0,80.0,106.0,97.0,105.0,110.0,110.0,96.0,108.0,104.0,0.176,0.203,0.061,0.216,1.32,0.88,-0.55,1.79,89.1,80.1,92.0,84.9,0.24,0.375,0.09,0.186,0.286,0.416,0.233,0.4,0.364,107.0,102.0,105.0,91.0,110.0,109.0,0.224,0.119,0.73,-1.69,92.6,80.8,0.219,0.351,0.212,0.281,0.43,0.12,0.342,0.605,0.247,,,,,,,,,
2024/09/25,6:06 PM.,PHI,CHC,away,Cloudy.,66,650911,RF,4,1,1,0,0,0,0,0,0,1,0,.250,.250,.250,.500,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,0.001,0.169,0.357,2.59,-0.55,0.65,1.56,86.5,85.1,94.5,84.4,0.345,0.481,0.131,0.177,0.22,0.348,0.219,0.368,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
