date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,vFA,vFC,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2024/09/29,3:05 PM.,PHI,WSH,home,Overcast.,69,605400,1B,3,0,0,0,0,0,0,0,0,1,3,.161,.277,.336,.613,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,90.0,103.0,99.0,100.0,109.0,106.0,,,,69.0,99.0,92.0,,,,0.204,0.278,0.092,,,0.81,-2.57,,-0.34,,92.5,87.5,,91.5,,0.168,0.318,0.224,0.313,0.475,0.136,0.389,0.796,0.178,,,,,,,,,,,,,0.221,0.381,0.37,78.0,102.0,91.0,0.096,-1.67,85.7,0.279,0.426,0.135,,,,135.0,106.0,113.0,0.329,0.94,79.1,,,,,,
2024/09/28,4:05 PM.,PHI,WSH,home,Partly Cloudy.,84,554430,1B,3,1,1,0,0,1,3,0,1,0,2,.164,.280,.341,.621,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,92.0,97.0,94.0,94.0,110.0,110.0,0.192,0.416,0.093,0.074,0.125,0.88,-0.23,1.47,2.68,1.04,95.3,91.1,86.1,94.6,84.9,0.209,0.395,0.296,0.189,0.259,0.142,0.226,0.371,0.183,0.137,0.196,0.402,,,,110.0,101.0,107.0,0.1,-0.98,81.8,0.205,0.397,0.387,,,,,,,,,,0.152,0.273,0.335,,,,,,,,,,,,
2024/09/26,1:05 PM.,KC,WSH,home,Cloudy.,77,608379,1B,4,0,1,0,0,0,0,0,0,3,1,.161,.277,.327,.604,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,78.0,100.0,92.0,,,,0.153,0.238,0.114,,0.092,0.39,-0.94,,0.29,-2.39,93.6,88.8,,93.6,84.1,0.279,0.449,0.169,0.252,0.301,0.099,0.319,0.458,0.148,,,,0.371,0.6,0.373,72.0,89.0,92.0,0.081,-1.64,75.2,0.357,0.643,0.174,111.0,109.0,112.0,0.322,2.26,81.2,0.169,0.312,0.341,,,,,,,,,,,,,,,
2024/09/25,6:45 PM.,KC,WSH,home,Overcast.,71,547179,1B,4,0,0,0,0,0,0,0,0,2,1,.160,.277,.329,.606,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,84.0,95.0,89.0,81.0,102.0,94.0,126.0,98.0,108.0,94.0,92.0,91.0,,,,0.212,0.272,0.1,,0.149,1.0,0.04,,-0.25,-1.51,93.8,90.1,,93.6,83.9,0.155,0.309,0.184,0.291,0.441,0.062,0.235,0.51,0.236,,,,0.368,0.632,0.253,102.0,93.0,96.0,0.079,0.02,81.7,0.217,0.348,0.352,93.0,101.0,99.0,0.188,1.94,84.6,0.122,0.173,0.373,0.19,0.429,0.291,,,,,,,,,,,,
2024/09/24,7:25 PM.,KC,WSH,home,Overcast.,66,666142,PH,1,0,0,0,0,0,0,0,0,1,1,.163,.282,.335,.617,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,105.0,101.0,106.0,,,,132.0,106.0,114.0,88.0,94.0,91.0,,,,,0.418,0.113,,0.128,0.85,0.26,,,-0.34,95.4,90.7,,,86.0,0.213,0.361,0.231,,,,0.348,0.455,0.228,,,,0.21,0.305,0.337,,,,,,,0.14,0.256,0.352,114.0,98.0,103.0,0.237,1.43,84.8,0.183,0.28,0.478,,,,101.0,97.0,101.0,0.104,0.9,80.8,,,,,,
2024/09/22,3:40 PM.,CHC,WSH,away,Rain.,68,684007,1B,1,0,0,0,0,0,0,0,0,1,2,.163,.283,.337,.620,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,50.0,107.0,96.0,81.0,106.0,100.0,0.021,0.52,0.005,0.306,0.077,0.36,-6.3,1.39,0.77,0.14,91.7,89.8,82.9,88.7,81.6,0.229,0.47,0.176,0.25,0.333,0.37,0.333,1.333,0.143,0.204,0.283,0.431,,,,70.0,96.0,97.0,0.032,-0.59,72.7,0.444,0.556,0.0,82.0,105.0,104.0,0.039,0.48,81.6,0.194,0.226,0.333,0.267,0.311,0.347,,,,0.0,-76.55,53.9,,,,,,
2024/09/21,1:20 PM.,CHC,WSH,away,Sunny.,84,543294,1B,3,1,2,0,0,1,3,0,1,0,0,.164,.284,.338,.622,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,59.0,94.0,86.0,97.0,106.0,96.0,,,,,,,,,,0.355,0.127,,,,-1.51,,,-0.77,,87.7,,,87.6,,0.237,0.553,0.209,0.333,0.493,0.106,,,,,,,,,,87.0,109.0,108.0,0.131,0.52,74.3,0.22,0.3,0.244,108.0,106.0,106.0,0.387,-0.72,80.9,0.267,0.409,0.239,,,,,,,,,,,,,,,
2024/09/20,1:20 PM.,CHC,WSH,away,Partly Cloudy.,82,592791,RF,4,0,1,0,0,0,0,0,0,2,1,.157,.276,.319,.595,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,92.0,103.0,98.0,,,,0.109,0.296,0.251,,0.155,-0.27,2.12,,1.47,0.65,92.3,86.5,,92.5,80.4,0.287,0.497,0.147,0.219,0.297,0.085,0.252,0.31,0.191,,,,,,,104.0,111.0,113.0,0.147,-1.04,79.5,0.232,0.424,0.23,78.0,102.0,95.0,0.043,-2.45,86.0,0.273,0.576,0.148,0.183,0.296,0.317,,,,,,,,,,,,
2024/09/19,6:40 PM.,CHC,WSH,away,Partly Cloudy.,78,665871,RF,3,1,1,0,0,1,3,0,0,0,1,.155,.277,.320,.597,665871,javierassad,Assad,Right,Javier Assad,CHC,3.73,4.97,147.0,99.0,85.0,94.0,0.843,7.59,3.86,8.76,1.22,1.13,0.263,0.373,0.146,0.301,0.422,68.0,102.0,92.0,75.0,101.0,92.0,114.0,94.0,100.0,96.0,97.0,92.0,,,,0.357,0.158,0.216,,0.107,-0.91,-0.73,,0.51,-1.54,91.5,87.9,,91.4,80.1,0.319,0.472,0.201,0.236,0.373,0.111,0.315,0.583,0.142,,,,0.364,0.636,0.368,98.0,101.0,97.0,0.116,-0.4,76.8,0.178,0.329,0.3,69.0,91.0,88.0,0.046,-1.65,83.7,0.296,0.296,0.125,0.174,0.37,0.341,,,,,,,,,,,,
2024/09/17,7:12 PM.,NYM,WSH,away,Cloudy.,74,656731,1B,3,0,0,0,0,0,0,0,1,2,2,.152,.276,.305,.581,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.04,4.2,78.0,97.0,108.0,100.0,0.734,10.5,3.69,8.08,0.92,1.04,0.263,0.368,0.191,0.33,0.421,112.0,99.0,101.0,108.0,104.0,110.0,103.0,103.0,106.0,101.0,96.0,93.0,105.0,93.0,107.0,0.098,0.467,0.136,0.073,0.132,0.29,-1.19,-1.25,3.24,-0.85,95.7,90.1,84.7,94.6,85.1,0.228,0.35,0.292,0.206,0.206,0.184,0.326,0.565,0.27,0.143,0.393,0.429,0.233,0.302,0.291,91.0,77.0,82.0,0.078,-0.37,78.0,0.188,0.313,0.333,130.0,94.0,112.0,0.015,-4.39,87.2,0.5,0.5,0.111,0.25,1.0,0.167,,,,,,,,,,,,
