date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,wFA/C,wSI/C,wSL/C,wCU/C,vFA,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff
2024/08/19,6:45 PM.,SF,CWS,away,Clear.,68,690986,DH,3,0,0,0,0,0,0,0,0,1,2,.195,.283,.331,.614,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,84.0,95.0,95.0,98.0,100.0,92.0,,,,93.0,107.0,97.0,,0.577,0.003,0.223,0.2,,-11.71,-0.22,92.5,,88.2,80.6,0.249,0.425,0.23,0.333,0.667,0.5,,,,,,,70.0,96.0,88.0,0.197,-1.64,84.8,0.287,0.435,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274,0.452,0.277
2024/08/05,6:40 PM.,OAK,CWS,away,Partly Cloudy.,66,676664,DH,3,0,0,0,0,0,0,0,1,2,1,.197,.286,.335,.621,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,,,,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.363,0.339,,-0.8,1.37,-0.1,,91.9,90.0,78.9,,0.23,0.476,0.256,0.23,0.525,0.259,,,,0.276,0.395,0.104,84.0,94.0,83.0,0.192,-0.21,84.0,0.297,0.428,0.188,,,,,,,,,,,,,,,,0.239,0.381,0.213,,,,,,,,,,,,,,,,,,
2024/08/04,1:11 PM.,MIN,CWS,away,Partly Cloudy.,78,680573,RF,5,0,0,0,0,0,0,0,0,3,1,.200,.287,.339,.626,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,106.0,103.0,102.0,71.0,100.0,88.0,,,,92.0,108.0,106.0,,0.403,0.312,0.093,0.82,,0.76,1.68,93.1,,86.4,76.1,0.258,0.356,0.219,0.214,0.313,0.239,0.186,0.326,0.221,,,,103.0,106.0,113.0,0.193,-3.33,82.8,0.311,0.622,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/31,1:10 PM.,KC,CWS,home,Cloudy.,86,663903,3B,2,0,1,1,0,0,0,0,0,0,1,.204,.292,.347,.639,663903,bradysinger,Singer,Right,Brady Singer,KCR,3.71,4.65,179.2,99.0,84.0,94.0,0.769,8.52,2.71,8.77,1.1,1.62,0.191,0.419,0.159,0.326,0.414,,,,63.0,96.0,86.0,70.0,101.0,91.0,106.0,99.0,102.0,0.413,0.113,0.455,,-2.09,0.77,0.0,,91.6,92.2,82.9,,0.326,0.609,0.197,0.207,0.361,0.354,,,,0.267,0.389,0.127,80.0,77.0,69.0,0.019,-5.71,88.1,0.429,0.5,0.111,,,,,,,,,,,,,,,,0.327,0.571,0.35,,,,,,,,,,,,,,,,,,
2024/07/30,7:10 PM.,KC,CWS,home,Partly Cloudy.,84,608379,3B,4,0,2,0,0,0,0,0,0,0,0,.202,.291,.341,.632,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,72.0,89.0,92.0,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,0.153,0.238,0.092,0.081,0.39,0.29,-2.39,-1.64,93.6,93.6,84.1,75.2,0.279,0.449,0.169,0.371,0.6,0.373,0.357,0.643,0.174,0.252,0.301,0.099,111.0,109.0,112.0,0.322,2.26,81.2,0.169,0.312,0.341,,,,78.0,100.0,92.0,0.114,,-0.94,,88.8,,0.319,0.458,0.148,,,,,,,,,,,,,,,,,,,,,
2024/07/26,7:10 PM.,SEA,CWS,home,Clear.,76,669923,3B,3,0,0,0,0,0,0,0,0,0,3,.196,.287,.338,.625,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.339,0.237,,0.46,1.5,1.28,,96.0,96.0,87.2,,0.221,0.458,0.291,0.226,0.316,0.271,0.333,0.439,0.286,0.263,0.354,0.105,,,,,,,,,,114.0,110.0,113.0,97.0,99.0,93.0,0.004,0.082,0.79,-1.95,92.3,83.4,,,,,,,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,73.9,0.0,-3.5,,,,,,
2024/07/25,1:37 PM.,TEX,CWS,away,Roof Closed.,74,453286,3B,3,0,0,0,0,0,0,0,0,1,4,.199,.291,.343,.634,453286,maxscherzer,Scherzer,Right,Max Scherzer,TEX,3.95,3.86,43.1,106.0,84.0,103.0,0.732,8.31,2.08,8.31,1.45,0.7,0.278,0.437,0.175,0.286,0.422,84.0,101.0,103.0,78.0,105.0,100.0,,,,100.0,106.0,105.0,,0.439,0.221,0.139,0.05,,1.2,-2.13,92.5,,85.0,74.7,0.262,0.492,0.222,0.214,0.333,0.438,0.333,0.611,0.4,,,,59.0,110.0,106.0,0.139,-1.96,82.8,0.192,0.462,0.255,,,,121.0,119.0,105.0,0.061,,2.89,,86.6,,0.222,0.278,0.143,,,,,,,,,,,,,,,,,,,,,
2024/07/21,1:11 PM.,KC,CWS,away,Partly Cloudy.,77,607625,3B,2,0,0,0,0,0,0,0,0,0,1,.202,.295,.347,.642,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,126.0,100.0,110.0,75.0,103.0,95.0,68.0,101.0,92.0,125.0,97.0,105.0,0.185,0.24,0.135,0.262,0.7,0.65,-0.67,1.44,92.2,92.1,85.2,79.4,0.234,0.392,0.176,0.213,0.387,0.2,0.178,0.271,0.339,0.274,0.381,0.129,93.0,100.0,98.0,0.069,0.08,87.4,0.208,0.333,0.291,,,,97.0,103.0,103.0,0.082,,2.86,,90.1,,0.228,0.228,0.23,0.375,0.75,0.109,93.0,107.0,106.0,0.026,0.07,85.7,0.105,0.421,0.351,,,,,,,0.215,0.28,0.285
2024/07/20,6:10 PM.,KC,CWS,away,Partly Cloudy.,76,663903,PH,1,0,0,0,0,0,0,0,0,0,0,.204,.297,.351,.648,663903,bradysinger,Singer,Right,Brady Singer,KCR,3.71,4.65,179.2,99.0,84.0,94.0,0.769,8.52,2.71,8.77,1.1,1.62,0.191,0.419,0.159,0.326,0.414,,,,63.0,96.0,86.0,70.0,101.0,91.0,106.0,99.0,102.0,0.413,0.113,0.455,,-2.09,0.77,0.0,,91.6,92.2,82.9,,0.326,0.609,0.197,0.207,0.361,0.354,,,,0.267,0.389,0.127,80.0,77.0,69.0,0.019,-5.71,88.1,0.429,0.5,0.111,,,,,,,,,,,,,,,,0.327,0.571,0.35,,,,,,,,,,,,,,,,,,
2024/07/19,7:10 PM.,KC,CWS,away,Clear.,82,608379,3B,4,0,0,0,0,0,0,0,0,1,3,.205,.298,.352,.650,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,72.0,89.0,92.0,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,0.153,0.238,0.092,0.081,0.39,0.29,-2.39,-1.64,93.6,93.6,84.1,75.2,0.279,0.449,0.169,0.371,0.6,0.373,0.357,0.643,0.174,0.252,0.301,0.099,111.0,109.0,112.0,0.322,2.26,81.2,0.169,0.312,0.341,,,,78.0,100.0,92.0,0.114,,-0.94,,88.8,,0.319,0.458,0.148,,,,,,,,,,,,,,,,,,,,,
