date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,KC%,wFO/C,wKC/C,vFO,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2024/10/12,1:09 PM.,CLE,DET,away,Sunny.,65,571510,C,4,0,1,0,0,0,1,0,0,0,4,.273,.360,.318,.678,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,,,,0.102,0.383,,0.173,0.262,1.47,,-2.47,1.14,0.04,92.0,,80.9,91.8,79.5,0.15,0.25,0.246,,,,,,,0.261,0.37,0.352,0.32,0.64,0.071,0.148,0.222,0.449,85.0,100.0,98.0,0.081,1.41,74.1,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/10,6:08 PM.,CLE,DET,home,Clear.,61,676440,C,3,0,0,0,0,0,0,0,0,1,2,.278,.381,.333,.714,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,,,,0.003,0.434,,0.278,0.18,-0.69,,-1.41,1.74,0.13,94.6,,82.5,93.9,86.2,0.282,0.476,0.213,0.141,0.225,0.368,,,,0.238,0.431,0.291,,,,0.196,0.411,0.299,119.0,109.0,112.0,0.105,-0.9,81.3,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/09,3:08 PM.,CLE,DET,home,Partly Cloudy.,65,502171,C,2,1,1,1,0,0,0,0,1,1,1,.333,.444,.400,.844,502171,alexcobb,Cobb,Right,Alex Cobb,CLE,2.76,5.01,16.1,105.0,107.0,107.0,0.867,5.51,1.65,7.71,0.55,2.31,0.163,0.449,0.122,0.367,0.401,,,,,,,83.0,105.0,104.0,,,,,,,0.43,,,,,,,0.29,,,,,,93.8,,,,,,,,,,,,,,0.25,0.417,0.059,,,,,,,,,,0.5,0.5,0.364,130.0,89.0,97.0,,0.132,,-1.41,,83.2,123.0,111.0,114.0,0.438,2.81,89.2,0.2,0.267,0.2,,,,,,
2024/10/07,4:09 PM.,CLE,DET,away,Partly Cloudy.,61,571510,C,3,1,1,0,0,0,0,0,1,1,2,.308,.400,.308,.708,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,,,,0.102,0.383,,0.173,0.262,1.47,,-2.47,1.14,0.04,92.0,,80.9,91.8,79.5,0.15,0.25,0.246,,,,,,,0.261,0.37,0.352,0.32,0.64,0.071,0.148,0.222,0.449,85.0,100.0,98.0,0.081,1.41,74.1,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/05,1:09 PM.,CLE,DET,away,Sunny.,68,676440,C,2,0,0,0,0,0,0,0,1,2,1,.300,.364,.300,.664,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,,,,0.003,0.434,,0.278,0.18,-0.69,,-1.41,1.74,0.13,94.6,,82.5,93.9,86.2,0.282,0.476,0.213,0.141,0.225,0.368,,,,0.238,0.431,0.291,,,,0.196,0.411,0.299,119.0,109.0,112.0,0.105,-0.9,81.3,0.208,0.458,0.184,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/02,1:33 PM.,HOU,DET,away,Roof Closed.,73,686613,C,4,0,1,0,0,0,0,0,0,2,1,.375,.375,.375,.750,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,90.0,103.0,101.0,0.182,0.347,0.17,0.051,0.126,0.16,0.14,0.92,1.7,0.95,96.0,92.4,88.4,95.6,89.1,0.244,0.413,0.288,0.23,0.363,0.216,,,,0.221,0.26,0.296,0.275,0.321,0.161,0.2,0.2,0.236,,,,,,,0.237,0.421,0.305,127.0,100.0,106.0,,0.125,,-0.79,,82.9,,,,,,,,,,,,,,,
2024/10/01,1:34 PM.,HOU,DET,away,Roof Closed.,73,664285,C,4,1,2,0,0,0,1,0,0,1,1,.500,.500,.500,1.000,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,130.0,96.0,104.0,60.0,102.0,94.0,98.0,99.0,97.0,107.0,102.0,110.0,,,,0.458,0.012,,0.043,0.175,-4.64,,1.46,-0.2,0.62,94.5,,89.9,94.1,85.1,0.4,1.0,0.273,,,,,,,0.226,0.278,0.354,0.276,0.399,0.116,0.233,0.467,0.383,129.0,96.0,108.0,0.313,1.59,79.7,0.121,0.187,0.398,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/29,3:12 PM.,CWS,DET,home,Overcast.,72,686563,C,3,0,0,0,0,0,0,0,0,0,3,.197,.255,.352,.607,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,101.0,93.0,0.28,0.123,0.192,0.218,0.187,-1.13,0.39,0.44,-1.39,-0.22,94.3,90.2,85.7,93.3,81.9,0.25,0.411,0.252,0.263,0.45,0.191,0.255,0.489,0.282,0.248,0.394,0.269,0.287,0.449,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/27,6:40 PM.,CWS,DET,home,Cloudy.,75,676979,C,3,1,1,1,0,0,0,0,1,1,1,.199,.257,.355,.612,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,94.0,105.0,103.0,0.021,0.537,0.284,0.098,0.059,1.66,-0.14,4.04,-2.29,-0.36,97.2,91.6,91.0,97.9,84.3,0.198,0.295,0.314,0.268,0.458,0.334,0.228,0.561,0.422,0.184,0.289,0.339,0.154,0.154,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/26,1:10 PM.,TB,DET,home,Cloudy.,72,641302,C,2,0,0,0,0,0,0,0,0,0,1,.197,.255,.352,.607,641302,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.68,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,102.0,103.0,103.0,85.0,110.0,103.0,61.0,113.0,105.0,114.0,107.0,109.0,98.0,101.0,99.0,0.131,0.223,0.318,0.191,0.137,-0.2,-0.5,-1.02,1.43,-2.94,89.6,85.0,81.3,89.7,77.8,0.232,0.495,0.244,0.265,0.549,0.216,0.227,0.364,0.188,0.339,0.5,0.181,0.288,0.492,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
