date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,KC%,KN%,wFC/C,wFS/C,wKC/C,wKN/C,vFC,vFS,vKC,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
2024/09/01,1:10 PM.,CWS,NYM,away,Sunny.,73,676979,DH,0,1,0,0,0,0,0,0,0,0,0,.183,.234,.217,.451,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,0.021,0.537,0.098,0.059,1.66,4.04,-2.29,-0.36,97.2,91.0,97.9,84.3,0.198,0.295,0.314,0.154,0.154,0.321,,,,0.184,0.289,0.339,,,,,94.0,105.0,103.0,,,,0.284,,,,-0.14,,,,91.6,,,,,,,,,,,,,,,0.268,0.458,0.334,0.228,0.561,0.422
2024/04/27,4:10 PM.,CHC,BOS,home,Partly Cloudy.,61,676962,P,2,0,1,0,0,0,1,0,0,0,0,.183,.234,.217,.451,676962,benbrown,"Brown, Be",Right,Ben Brown,CHC,3.58,4.17,55.1,96.0,110.0,100.0,0.708,10.41,3.09,6.67,0.81,0.85,0.283,0.348,0.181,0.362,0.448,112.0,95.0,87.0,98.0,98.0,96.0,,,,,,,,0.627,,0.016,0.79,,,-3.61,96.4,90.6,,,0.25,0.352,0.185,,,,,,,0.5,0.5,0.25,,130.0,92.0,107.0,,,,,,,,,0.357,,,,1.42,,,,86.5,,,,0.141,0.294,0.51,,,,,,,,,,,,
2024/04/26,7:14 PM.,CHC,BOS,home,Clear.,54,684007,3B,4,0,1,0,0,0,0,0,0,1,4,.172,.226,.207,.433,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,0.021,0.52,0.077,0.039,0.36,0.77,0.14,0.48,91.7,81.6,88.7,81.6,0.229,0.47,0.176,0.25,0.333,0.37,,,,0.194,0.226,0.333,,,,,50.0,107.0,96.0,81.0,106.0,100.0,0.005,0.306,0.0,,-6.3,1.39,-76.55,,89.8,82.9,53.9,0.204,0.283,0.431,0.444,0.556,0.0,70.0,96.0,97.0,0.032,-0.59,72.7,0.333,1.333,0.143,0.267,0.311,0.347
2024/04/25,1:10 PM.,CLE,BOS,away,Partly Cloudy.,47,663474,3B,1,0,0,0,0,0,0,0,1,1,0,.167,.224,.204,.428,663474,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.67,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,,,,98.0,86.0,87.0,,,,106.0,87.0,90.0,,0.524,0.21,,-2.18,,1.48,,91.1,,,85.4,0.303,0.652,0.103,,,,0.143,0.143,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,0.341,0.373,97.0,102.0,100.0,0.266,-0.16,77.7,,,,,,
2024/04/24,6:10 PM.,CLE,BOS,away,Cloudy.,43,471911,3B,5,1,1,0,0,0,0,1,0,1,3,.170,.214,.208,.422,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.64,4.71,103.2,100.0,88.0,97.0,0.79,7.73,2.86,9.72,1.65,1.32,0.184,0.431,0.141,0.322,0.392,101.0,108.0,105.0,62.0,95.0,86.0,90.0,95.0,89.0,96.0,104.0,108.0,0.165,0.26,0.278,0.23,-0.84,-1.96,-0.96,-1.09,91.6,86.8,91.1,83.5,0.337,0.554,0.146,0.304,0.609,0.13,0.284,0.52,0.288,0.241,0.472,0.282,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.158,0.213,103.0,103.0,105.0,0.067,1.49,80.4,,,,0.25,0.313,0.357
2024/04/23,6:09 PM.,CLE,BOS,away,Overcast.,53,594902,3B,2,0,0,0,0,0,0,0,0,1,0,.167,.216,.208,.424,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,0.29,0.314,0.218,0.091,-0.21,0.56,-0.01,-0.79,89.9,83.9,90.4,79.4,0.268,0.504,0.166,0.227,0.392,0.133,0.238,0.476,0.419,0.279,0.382,0.185,,,,,,,,,,,,,,,,,,,,,,,,,0.206,0.365,0.18,43.0,106.0,93.0,0.088,-0.11,76.9,,,,0.231,0.413,0.241
2024/04/21,1:37 PM.,PIT,BOS,away,Cloudy.,48,527048,1B,4,0,1,1,0,0,0,0,0,1,2,.174,.224,.217,.441,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,0.358,0.053,0.0,0.227,-8.23,0.57,-51.06,-1.27,91.3,83.4,90.7,82.8,0.458,0.917,0.043,0.275,0.383,0.097,,,,0.28,0.448,0.341,,,,,70.0,101.0,93.0,,,,0.221,,,,-0.61,,,,87.9,,,,,,0.246,0.354,0.29,74.0,102.0,98.0,0.141,0.62,77.9,0.28,0.57,0.212,,,
2024/04/20,4:06 PM.,PIT,BOS,away,Partly Cloudy.,57,656605,3B,3,1,0,0,0,0,0,0,1,2,5,.167,.205,.190,.395,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,88.0,103.0,102.0,86.0,103.0,96.0,82.0,102.0,94.0,129.0,100.0,109.0,0.22,0.304,0.25,0.008,0.3,-0.26,-1.04,-12.5,94.4,89.8,93.4,84.7,0.257,0.4,0.24,0.266,0.405,0.125,0.338,0.636,0.248,0.667,1.333,0.0,,,,,96.0,99.0,98.0,,,,0.122,,,,-1.0,,,,90.4,,,,,,0.233,0.442,0.293,111.0,96.0,104.0,0.096,-0.11,78.4,0.272,0.593,0.195,0.204,0.331,0.25
2024/04/18,1:36 PM.,CLE,BOS,home,Cloudy.,48,471911,3B,4,0,0,0,0,0,0,0,0,1,3,.179,.200,.205,.405,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.64,4.71,103.2,100.0,88.0,97.0,0.79,7.73,2.86,9.72,1.65,1.32,0.184,0.431,0.141,0.322,0.392,101.0,108.0,105.0,62.0,95.0,86.0,90.0,95.0,89.0,96.0,104.0,108.0,0.165,0.26,0.278,0.23,-0.84,-1.96,-0.96,-1.09,91.6,86.8,91.1,83.5,0.337,0.554,0.146,0.304,0.609,0.13,0.284,0.52,0.288,0.241,0.472,0.282,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.158,0.213,103.0,103.0,105.0,0.067,1.49,80.4,,,,0.25,0.313,0.357
2024/04/17,7:11 PM.,CLE,BOS,home,Cloudy.,51,594902,2B,3,1,1,0,0,0,0,0,0,2,1,.200,.222,.229,.451,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,0.29,0.314,0.218,0.091,-0.21,0.56,-0.01,-0.79,89.9,83.9,90.4,79.4,0.268,0.504,0.166,0.227,0.392,0.133,0.238,0.476,0.419,0.279,0.382,0.185,,,,,,,,,,,,,,,,,,,,,,,,,0.206,0.365,0.18,43.0,106.0,93.0,0.088,-0.11,76.9,,,,0.231,0.413,0.241
2024/04/16,7:11 PM.,CLE,BOS,home,Partly Cloudy.,64,676440,2B,1,0,0,0,0,0,0,0,0,0,1,.188,.212,.219,.431,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,0.003,0.434,0.278,0.18,-0.69,-1.41,1.74,0.13,94.6,82.5,93.9,86.2,0.282,0.476,0.213,,,,0.196,0.411,0.299,0.238,0.431,0.291,,,,,,,,,,,,,,,,,,,,,,,,,0.208,0.458,0.184,119.0,109.0,112.0,0.105,-0.9,81.3,0.141,0.225,0.368,,,
2024/04/14,1:36 PM.,LAA,BOS,home,Sunny.,59,542881,3B,4,0,1,1,0,0,1,0,0,1,1,.194,.219,.226,.445,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,0.033,0.396,0.013,0.371,-0.73,-3.87,-0.06,1.32,89.4,78.9,88.1,81.3,0.272,0.494,0.183,0.261,0.696,0.152,0.0,0.0,0.357,0.185,0.259,0.396,,,,,99.0,100.0,96.0,,,,0.185,,,,-0.41,,,,84.3,,,,,,,,,,,,0.001,-3.14,71.6,0.264,0.455,0.247,,,
2024/04/13,4:10 PM.,LAA,BOS,home,Cloudy.,54,656288,2B,1,0,1,0,0,0,0,0,0,0,0,.185,.214,.185,.399,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,73.0,94.0,86.0,76.0,89.0,78.0,107.0,100.0,110.0,0.01,0.376,0.24,0.267,-0.85,-6.83,-0.91,0.48,93.4,88.6,93.0,87.7,0.251,0.529,0.147,0.429,0.857,0.0,0.284,0.444,0.331,0.259,0.387,0.288,,,,,,,,,,,,,,,,,,,,,,,,,0.271,0.438,0.241,75.0,96.0,96.0,0.107,-0.86,80.6,,,,,,
2024/04/12,7:12 PM.,LAA,BOS,home,Partly Cloudy.,54,672282,2B,4,0,1,0,0,0,0,0,0,1,2,.154,.185,.154,.339,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,0.468,0.244,0.142,-0.56,,-0.44,-1.18,93.8,84.7,,86.2,0.278,0.508,0.253,,,,0.22,0.39,0.368,0.351,0.544,0.319,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.804,0.216,89.0,100.0,103.0,0.146,-3.5,75.0,,,,,,
2024/04/11,7:11 PM.,BAL,BOS,home,Cloudy.,50,680570,3B,4,1,0,0,0,0,0,0,0,0,1,.136,.174,.136,.310,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,140.0,101.0,108.0,113.0,102.0,106.0,133.0,102.0,111.0,118.0,101.0,108.0,0.012,0.465,0.158,0.21,-0.38,5.3,-0.96,1.63,96.1,83.1,96.1,86.5,0.291,0.413,0.269,0.167,0.333,0.294,0.25,0.563,0.361,0.161,0.306,0.348,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.38,0.241,114.0,103.0,107.0,0.155,0.29,81.3,,,,,,
2024/04/10,7:13 PM.,BAL,BOS,home,Partly Cloudy.,59,608344,2B,2,0,0,0,0,0,0,0,0,1,3,.167,.211,.167,.378,608344,coleirvin,"Irvin, C",Left,Cole Irvin,- - -,5.11,5.78,111.0,101.0,79.0,94.0,0.849,6.32,2.35,10.7,1.46,0.96,0.251,0.414,0.121,0.34,0.478,65.0,108.0,100.0,62.0,99.0,85.0,75.0,101.0,89.0,85.0,121.0,119.0,0.2,0.264,0.041,0.134,-1.16,-0.49,-3.18,-1.52,91.9,84.9,91.5,78.1,0.296,0.592,0.163,0.307,0.485,0.088,0.25,0.438,0.196,0.282,0.474,0.243,,,,,86.0,102.0,91.0,,,,0.109,,,,-0.64,,,,85.9,,,,,,0.283,0.424,0.189,102.0,98.0,102.0,0.252,-0.38,77.3,0.327,0.551,0.181,,,
2024/04/06,6:38 PM.,LAA,BOS,away,Clear.,61,672282,SS,3,0,0,0,0,0,0,0,0,3,0,.188,.235,.188,.423,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,0.468,0.244,0.142,-0.56,,-0.44,-1.18,93.8,84.7,,86.2,0.278,0.508,0.253,,,,0.22,0.39,0.368,0.351,0.544,0.319,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.804,0.216,89.0,100.0,103.0,0.146,-3.5,75.0,,,,,,
2024/04/05,7:06 PM.,LAA,BOS,away,Partly Cloudy.,54,656288,SS,2,0,0,0,0,0,0,0,1,0,3,.231,.286,.231,.517,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,73.0,94.0,86.0,76.0,89.0,78.0,107.0,100.0,110.0,0.01,0.376,0.24,0.267,-0.85,-6.83,-0.91,0.48,93.4,88.6,93.0,87.7,0.251,0.529,0.147,0.429,0.857,0.0,0.284,0.444,0.331,0.259,0.387,0.288,,,,,,,,,,,,,,,,,,,,,,,,,0.271,0.438,0.241,75.0,96.0,96.0,0.107,-0.86,80.6,,,,,,
2024/04/02,6:40 PM.,OAK,BOS,away,Clear.,64,622072,1B,3,0,1,0,0,0,1,0,0,1,1,.273,.273,.273,.546,622072,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.66,39.1,98.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,,,,82.0,99.0,93.0,74.0,94.0,90.0,0.462,,0.315,0.224,,-1.92,-0.4,-2.67,,84.5,90.5,81.4,,,,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
