date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,wFS/C,wSL/C,vFS,vSL,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/08/09,6:45 PM.,LAA,WSH,home,Cloudy.,82,667755,DH,2,0,0,0,0,0,0,1,0,1,3,.261,.280,.324,.604,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,95.0,95.0,96.0,,,,0.464,0.146,,,,-2.05,,2.22,,,98.8,,,97.7,,0.214,0.26,0.167,,,,,,,0.356,0.622,0.103,,,,117.0,92.0,99.0,120.0,100.0,112.0,0.081,0.055,0.8,0.02,92.7,91.5,0.226,0.376,0.402,,,,0.15,0.3,0.329,0.143,0.214,0.463,98.0,96.0,108.0,0.254,-0.42,86.4,,,,,,
2024/08/08,12:05 PM.,SF,WSH,home,Drizzle.,77,690986,DH,3,0,0,0,0,0,0,0,0,1,2,.263,.283,.326,.609,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,,,,,,,,0.577,,0.223,0.197,0.2,,,-0.22,-1.64,92.5,,84.8,,80.6,,,,0.274,0.452,0.277,0.287,0.435,0.215,0.249,0.425,0.23,,,,93.0,107.0,97.0,,,,,0.003,,-11.71,,88.2,,,,,,,,,,0.333,0.667,0.5,,,,,,,,,,,,
2024/08/07,6:45 PM.,SF,WSH,home,Overcast.,84,605483,DH,3,0,0,0,0,0,0,0,0,0,1,.266,.286,.330,.616,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,,,,,0.464,,0.26,0.176,1.16,,,2.25,0.95,95.9,,85.5,,81.1,,,,,,,0.236,0.319,0.476,0.2,0.303,0.244,,,,106.0,87.0,91.0,,,,,0.101,,0.11,,88.7,0.111,0.183,0.498,,,,,,,0.167,0.267,0.446,,,,,,,,,,,,
2024/08/06,6:45 PM.,SF,WSH,home,Cloudy.,87,806185,DH,1,0,0,0,0,0,0,0,1,1,0,.270,.290,.335,.625,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,111.0,102.0,104.0,90.0,89.0,85.0,,,,,,,,0.446,,0.187,0.184,-0.02,,,0.82,-0.87,95.8,,88.1,,80.5,,,,,,,0.269,0.365,0.349,0.216,0.44,0.182,,,,119.0,90.0,100.0,,,,,0.184,,-0.26,,86.4,0.145,0.218,0.327,,,,,,,0.244,0.512,0.487,,,,,,,,,,,,
2024/08/04,1:35 PM.,MIL,WSH,home,Cloudy.,83,668964,DH,1,0,0,0,0,0,0,0,0,0,1,.271,.288,.336,.624,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,96.0,100.0,91.0,0.005,0.401,0.23,0.041,0.114,0.58,-0.75,11.28,-3.19,1.18,92.9,89.2,81.1,91.5,77.8,0.0,0.0,0.0,,,,0.083,0.083,0.444,0.239,0.436,0.194,0.336,0.518,0.123,92.0,106.0,103.0,,,,,0.21,,1.43,,85.5,0.421,0.579,0.194,,,,,,,0.198,0.255,0.248,,,,,,,,,,,,
2024/08/02,6:45 PM.,MIL,WSH,home,Cloudy.,95,593423,DH,4,0,0,0,0,0,0,0,0,1,4,.272,.289,.338,.627,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,,,,83.0,105.0,98.0,83.0,100.0,98.0,109.0,95.0,95.0,0.191,0.332,0.187,,,-0.02,-1.4,1.13,,,95.6,90.4,,94.8,,0.248,0.407,0.113,,,,,,,0.206,0.367,0.231,0.326,0.609,0.223,117.0,103.0,106.0,119.0,99.0,105.0,0.183,0.107,-0.23,-1.94,86.0,85.4,,,,,,,0.218,0.297,0.426,0.288,0.577,0.325,,,,,,,,,,,,
2024/07/31,12:41 PM.,AZ,WSH,away,Roof Closed.,78,668678,DH,5,0,1,1,0,0,1,0,0,1,5,.277,.294,.344,.638,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,88.0,107.0,98.0,,,,101.0,95.0,96.0,132.0,80.0,80.0,89.0,87.0,79.0,0.001,0.463,0.031,,0.14,-0.55,-0.78,-1.02,,0.43,93.7,90.3,86.6,94.7,,,,,,,,0.27,0.382,0.265,0.28,0.46,0.133,0.25,0.625,0.36,107.0,102.0,102.0,,,,,0.087,,-0.56,,87.0,0.148,0.23,0.392,,,,,,,0.31,0.476,0.337,107.0,108.0,112.0,0.277,2.29,81.0,,,,,,
2024/07/30,6:40 PM.,AZ,WSH,away,Roof Closed.,78,669194,DH,4,0,0,0,0,0,0,0,0,2,1,.279,.296,.342,.638,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,108.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,,,,78.0,107.0,96.0,,0.557,0.184,0.057,0.099,0.64,-0.85,,1.81,-2.35,95.2,91.2,83.0,,77.8,,,,,,,0.302,0.587,0.203,0.249,0.418,0.195,0.317,0.508,0.154,111.0,112.0,110.0,,,,,0.103,,-0.66,,83.8,0.138,0.207,0.148,0.4,0.733,0.167,,,,0.226,0.34,0.156,,,,,,,,,,,,
2024/07/29,6:41 PM.,AZ,WSH,away,Roof Closed.,78,656756,DH,4,2,2,1,0,0,2,0,1,0,1,.284,.302,.349,.651,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.23,5.18,117.0,99.0,92.0,96.0,0.748,6.38,3.38,11.46,1.08,1.24,0.194,0.428,0.137,0.346,0.37,97.0,100.0,92.0,106.0,102.0,107.0,66.0,98.0,89.0,89.0,95.0,93.0,,,,0.308,0.173,,0.307,0.193,-0.02,,-2.11,-0.83,-1.92,92.1,,83.1,91.8,79.2,0.374,0.577,0.159,,,,0.321,0.593,0.386,0.284,0.375,0.184,,,,104.0,95.0,90.0,,,,,0.018,,3.84,,84.2,0.27,0.453,0.353,,,,,,,0.0,0.0,0.5,,,,,,,,,,,,
2024/07/28,1:17 PM.,STL,WSH,away,Partly Cloudy.,86,571945,DH,4,0,2,0,0,0,0,0,0,1,0,.280,.295,.341,.636,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,94.0,109.0,106.0,65.0,107.0,98.0,80.0,111.0,99.0,,,,0.231,0.279,,0.116,0.085,0.23,,1.42,-1.97,-4.2,93.2,,85.6,92.4,76.6,0.237,0.382,0.108,,,,0.394,0.742,0.159,0.287,0.446,0.178,,,,116.0,112.0,114.0,,,,,0.283,,-1.19,,85.7,0.267,0.52,0.231,0.273,0.545,0.275,,,,0.301,0.506,0.164,,,,0.005,4.24,69.6,,,,,,
