date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,CH%,wFC/C,wCU/C,wCH/C,vFC,vCH,vCU,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,SV_ba,SV_slg,SV_whiff
2024/08/31,6:10 PM.,HOU,KC,away,Roof Closed.,73,579328,1B,3,0,0,0,0,0,1,0,0,1,1,.189,.282,.236,.518,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,114.0,103.0,107.0,,,,111.0,100.0,106.0,,,,,0.471,,0.235,-0.08,,,1.31,95.5,,,88.3,0.274,0.505,0.28,,,,,,,0.21,0.28,0.297,,,,99.0,93.0,91.0,99.0,105.0,105.0,,,,,0.183,0.111,,0.02,-0.15,,86.7,82.4,0.194,0.25,0.358,,,,0.264,0.395,0.274,,,,,,,,,,,,
2024/08/30,7:11 PM.,HOU,KC,away,Roof Closed.,73,664285,DH,4,0,0,0,0,0,0,0,0,1,2,.193,.287,.241,.528,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,60.0,102.0,94.0,98.0,99.0,97.0,107.0,102.0,110.0,,,,0.458,0.012,,0.043,-4.64,,1.46,-0.2,94.5,,94.1,85.1,0.4,1.0,0.273,,,,,,,0.233,0.467,0.383,0.276,0.399,0.116,130.0,96.0,104.0,129.0,96.0,108.0,,,,,0.313,0.175,,1.59,0.62,,89.9,79.7,0.226,0.278,0.354,,,,0.121,0.187,0.398,,,,,,,,,,,,
2024/07/27,6:10 PM.,CHC,KC,home,Cloudy.,73,684007,LF,4,0,0,0,0,0,0,0,0,1,2,.199,.294,.248,.542,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,81.0,106.0,100.0,0.021,0.52,0.306,0.077,0.36,1.39,0.77,0.14,91.7,82.9,88.7,81.6,0.229,0.47,0.176,0.204,0.283,0.431,0.267,0.311,0.347,,,,0.25,0.333,0.37,82.0,105.0,104.0,70.0,96.0,97.0,50.0,107.0,96.0,0.005,0.032,0.039,-6.3,-0.59,0.48,89.8,81.6,72.7,0.194,0.226,0.333,0.333,1.333,0.143,0.444,0.556,0.0,,,,0.0,-76.55,53.9,,,,,,
2024/07/26,7:10 PM.,CHC,KC,home,Clear.,88,543294,3B,3,0,2,0,0,0,0,0,1,0,0,.204,.302,.255,.557,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,59.0,94.0,86.0,97.0,106.0,96.0,,,,,,,0.355,0.127,,,-1.51,,-0.77,,87.7,,87.6,,0.237,0.553,0.209,,,,,,,,,,0.333,0.493,0.106,108.0,106.0,106.0,87.0,109.0,108.0,,,,,0.131,0.387,,0.52,-0.72,,80.9,74.3,0.267,0.409,0.239,,,,0.22,0.3,0.244,,,,,,,,,,,,
2024/07/24,7:11 PM.,AZ,KC,home,Partly Cloudy.,90,669194,PH,1,0,0,0,0,0,0,0,0,0,0,.194,.290,.246,.536,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,105.0,107.0,106.0,,,,111.0,112.0,110.0,,,,,0.557,,0.103,0.64,,,-0.66,95.2,,,83.8,0.249,0.418,0.195,,,,0.4,0.733,0.167,0.226,0.34,0.156,,,,108.0,99.0,107.0,91.0,94.0,94.0,78.0,107.0,96.0,0.184,0.057,0.099,-0.85,1.81,-2.35,91.2,83.0,77.8,0.302,0.587,0.203,0.317,0.508,0.154,0.138,0.207,0.148,,,,,,,,,,,,
2024/07/23,7:10 PM.,AZ,KC,home,Cloudy.,86,656756,3B,3,0,1,0,0,0,0,0,0,0,1,.195,.292,.248,.540,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.23,5.18,117.0,99.0,92.0,96.0,0.748,6.38,3.38,11.46,1.08,1.24,0.194,0.428,0.137,0.346,0.37,66.0,98.0,89.0,89.0,95.0,93.0,104.0,95.0,90.0,,,,0.308,0.173,,0.018,-0.02,,-2.11,3.84,92.1,,91.8,84.2,0.284,0.375,0.184,,,,,,,0.0,0.0,0.5,0.374,0.577,0.159,97.0,100.0,92.0,106.0,102.0,107.0,,,,,0.307,0.193,,-0.83,-1.92,,83.1,79.2,0.321,0.593,0.386,,,,0.27,0.453,0.353,,,,,,,,,,,,
2024/07/20,6:10 PM.,CWS,KC,home,Partly Cloudy.,76,686563,PH,1,0,0,0,0,0,0,0,0,0,0,.192,.291,.246,.537,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,,,,0.28,0.123,,0.218,-1.13,,0.44,-1.39,94.3,,93.3,81.9,0.25,0.411,0.252,,,,0.255,0.489,0.282,,,,0.287,0.449,0.132,95.0,105.0,106.0,,,,79.0,101.0,93.0,0.192,,0.187,0.39,,-0.22,90.2,85.7,,0.248,0.394,0.269,0.263,0.45,0.191,,,,,,,,,,,,,,,
2024/07/14,1:37 PM.,BOS,KC,away,Partly Cloudy.,91,678394,LF,2,0,0,0,0,0,0,0,0,0,2,.194,.293,.248,.541,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,,,,0.403,0.048,,0.28,0.25,,-0.24,-0.58,95.6,,95.7,86.8,0.12,0.16,0.218,,,,,,,0.268,0.401,0.343,0.309,0.44,0.111,88.0,99.0,97.0,,,,,,,,,0.269,,,0.15,,87.6,,0.177,0.354,0.369,,,,,,,,,,,,,,,,,,
2024/07/10,12:47 PM.,STL,KC,away,Sunny.,83,669467,3B,2,0,0,0,0,0,0,0,0,0,2,.197,.297,.252,.549,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,87.0,91.0,92.0,85.0,98.0,89.0,111.0,105.0,110.0,,,,0.19,0.512,,0.172,1.34,,-0.25,-0.64,94.5,,94.8,87.5,0.23,0.297,0.162,,,,,,,0.294,0.435,0.282,0.265,0.373,0.132,,,,,,,,,,,,,,,,,,,,,,,,,0.157,0.257,0.345,88.0,102.0,109.0,0.126,0.42,79.5,,,,,,
2024/07/07,1:09 PM.,COL,KC,away,Partly Cloudy.,76,685299,1B,0,0,0,0,0,0,0,0,0,0,0,.200,.301,.256,.557,685299,tannergordon,Gordon,Right,Tanner Gordon,COL,8.65,5.94,34.1,108.0,86.0,100.0,0.834,6.82,1.57,13.89,2.62,0.94,0.232,0.448,0.12,0.328,0.479,74.0,108.0,100.0,101.0,114.0,106.0,100.0,111.0,102.0,,,,0.01,0.488,,0.267,-1.03,,6.83,-2.41,92.0,,93.3,85.2,0.338,0.574,0.119,,,,,,,0.324,0.618,0.284,,,,83.0,107.0,103.0,83.0,118.0,93.0,,,,,0.044,0.191,,-15.33,-4.31,,83.9,80.4,0.371,0.743,0.234,,,,0.545,1.091,0.2,,,,,,,,,,,,
