date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/09/13,6:41 PM.,DET,BAL,away,Clear.,81,689225,DH,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,120.0,99.0,101.0,122.0,93.0,100.0,0.404,0.173,0.265,0.99,-1.62,0.26,95.9,88.4,86.1,0.222,0.272,0.212,0.241,0.552,0.271,0.212,0.4,0.319,84.0,106.0,97.0,,,,0.159,,,2.22,,95.5,0.235,0.294,0.116,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/08,12:06 PM.,TB,BAL,home,Sunny.,66,641793,3B,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,54.0,110.0,91.0,102.0,99.0,98.0,0.221,0.399,,0.58,0.45,,92.4,,85.7,0.245,0.358,0.191,0.257,0.427,0.227,,,,67.0,103.0,91.0,,,,0.148,,,-0.6,,91.6,0.265,0.439,0.141,0.406,0.594,0.115,,,,,,,,,,,,,104.0,106.0,112.0,0.232,-0.84,83.0,0.258,0.423,0.344
2024/09/06,7:07 PM.,TB,BAL,home,Partly Cloudy.,76,669358,3B,2,0,0,0,0,0,0,0,0,1,2,.000,.000,.000,.000,669358,shanebaz,Baz,Right,Shane Baz,TBR,3.06,3.62,79.1,100.0,115.0,103.0,0.779,7.83,3.06,6.47,1.02,0.91,0.269,0.402,0.142,0.342,0.456,85.0,97.0,94.0,121.0,101.0,104.0,111.0,96.0,100.0,0.479,0.213,0.103,0.81,-0.08,2.88,95.6,88.1,87.3,0.252,0.37,0.221,0.164,0.4,0.222,0.115,0.115,0.276,,,,,,,,,,,,,,,,,,,,,,119.0,104.0,109.0,0.205,1.71,83.6,0.169,0.247,0.311,,,,,,,,,
2024/09/04,6:37 PM.,CWS,BAL,home,Partly Cloudy.,77,686563,PH,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,117.0,100.0,107.0,0.123,0.218,0.187,-1.13,-1.39,-0.22,94.3,85.7,81.9,0.25,0.411,0.252,,,,0.248,0.394,0.269,86.0,100.0,93.0,79.0,101.0,93.0,0.28,0.192,0.39,0.44,90.2,93.3,0.287,0.449,0.132,0.255,0.489,0.282,0.263,0.45,0.191,,,,,,,,,,,,,,,,,,
2024/06/20,4:08 PM.,NYY,BAL,away,Partly Cloudy.,90,661563,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,0.488,0.259,0.253,0.06,1.37,0.37,96.6,91.6,87.5,0.205,0.395,0.285,0.171,0.312,0.315,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
