date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024/09/28,3:30 PM.,CWS,DET,home,Drizzle.,70,680732,C,3,0,1,1,0,0,0,0,0,2,2,.167,.195,.310,.505,680732,seanburke,"Burke, S",Right,Sean Burke,CHW,1.42,3.83,19.0,100.0,106.0,105.0,0.739,10.42,3.32,5.68,0.95,0.79,0.34,0.404,0.17,0.34,0.414,125.0,79.0,88.0,105.0,113.0,110.0,111.0,101.0,109.0,,,,96.0,92.0,101.0,,0.405,0.285,0.249,0.061,1.08,,-0.72,1.87,2.3,95.3,84.6,,86.9,79.7,0.172,0.448,0.236,,,,0.0,0.0,0.4,0.25,0.375,0.432,0.077,0.077,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/26,1:10 PM.,TB,DET,home,Cloudy.,72,641302,C,0,0,0,0,0,0,0,0,0,0,0,.160,.190,.296,.486,641302,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.68,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,102.0,103.0,103.0,,,,85.0,110.0,103.0,61.0,113.0,105.0,114.0,107.0,109.0,0.131,0.223,0.191,,0.137,-0.2,-1.02,1.43,,-2.94,89.6,81.3,89.7,77.8,,0.232,0.495,0.244,0.265,0.549,0.216,0.339,0.5,0.181,,,,,,,98.0,101.0,99.0,,,,0.318,,-0.5,,85.0,,0.288,0.492,0.109,,,,0.227,0.364,0.188,,,,,,,,,
2024/09/25,6:40 PM.,TB,DET,home,Cloudy.,75,641793,C,4,0,2,0,0,0,1,0,0,1,0,.160,.190,.296,.486,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,,,,54.0,110.0,91.0,67.0,103.0,91.0,102.0,99.0,98.0,0.148,0.221,0.399,,,0.58,-0.6,0.45,,,92.4,,91.6,85.7,,0.245,0.358,0.191,,,,,,,0.257,0.427,0.227,,,,,,,104.0,106.0,112.0,,0.232,,-0.84,,83.0,0.265,0.439,0.141,,,,0.406,0.594,0.115,0.258,0.423,0.344,,,,,,
2024/09/21,4:06 PM.,BAL,DET,away,Partly Cloudy.,79,700249,C,4,0,2,0,1,0,2,0,1,1,2,.143,.175,.286,.461,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,93.0,101.0,104.0,81.0,97.0,93.0,80.0,98.0,90.0,113.0,107.0,108.0,0.084,0.407,0.13,0.196,0.109,0.56,0.86,-0.43,-2.26,-2.05,92.4,86.1,91.5,82.6,76.3,0.223,0.379,0.185,0.333,0.81,0.288,0.25,0.542,0.235,,,,0.333,0.517,0.269,97.0,94.0,94.0,,,,0.075,,-3.12,,88.3,,0.2,0.24,0.103,,,,0.232,0.411,0.276,,,,,,,,,
2024/09/17,6:40 PM.,KC,DET,away,Clear.,86,666142,C,3,0,0,0,0,0,0,0,0,1,4,.123,.147,.247,.394,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,114.0,98.0,103.0,,,,105.0,101.0,106.0,,,,132.0,106.0,114.0,,0.418,0.128,,0.237,0.85,,-0.34,,1.43,95.4,84.8,,86.0,,0.213,0.361,0.231,0.348,0.455,0.228,0.183,0.28,0.478,0.21,0.305,0.337,0.14,0.256,0.352,88.0,94.0,91.0,,,,0.113,,0.26,,90.7,,,,,,,,,,,,,,101.0,97.0,101.0,0.104,0.9,80.8
2024/09/15,12:10 PM.,BAL,DET,home,Sunny.,81,700249,C,3,0,0,0,0,0,0,0,0,2,3,.129,.153,.257,.410,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,93.0,101.0,104.0,81.0,97.0,93.0,80.0,98.0,90.0,113.0,107.0,108.0,0.084,0.407,0.13,0.196,0.109,0.56,0.86,-0.43,-2.26,-2.05,92.4,86.1,91.5,82.6,76.3,0.223,0.379,0.185,0.333,0.81,0.288,0.25,0.542,0.235,,,,0.333,0.517,0.269,97.0,94.0,94.0,,,,0.075,,-3.12,,88.3,,0.2,0.24,0.103,,,,0.232,0.411,0.276,,,,,,,,,
2024/09/13,6:41 PM.,BAL,DET,home,Clear.,81,621107,C,3,0,0,0,0,0,0,0,0,1,1,.134,.159,.269,.428,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,108.0,112.0,108.0,61.0,105.0,94.0,91.0,109.0,105.0,122.0,107.0,113.0,0.282,0.09,0.097,0.188,0.061,-0.64,0.0,0.46,-1.27,0.21,92.4,85.6,91.7,79.7,78.8,0.236,0.418,0.248,0.214,0.345,0.223,0.188,0.354,0.105,,,,0.291,0.472,0.333,85.0,105.0,98.0,,,,0.282,,1.54,,88.2,,0.293,0.404,0.133,,,,0.236,0.473,0.203,,,,,,,,,
2024/09/12,1:10 PM.,COL,DET,home,Sunny.,82,663372,C,0,0,0,0,0,0,0,0,0,0,0,.141,.167,.281,.448,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.24,0.376,0.177,,,,0.299,0.485,0.394,0.355,0.523,0.226,0.164,0.26,0.248,,,,,,,,,,,,,0.299,0.403,0.159,,,,0.156,0.375,0.35,,,,,,,,,
2024/09/07,1:07 PM.,OAK,DET,away,Sunny.,74,669620,C,3,0,1,1,0,0,1,0,0,0,2,.141,.167,.281,.448,669620,bradybasso,Basso,Left,Brady Basso,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,79.0,112.0,110.0,77.0,100.0,95.0,43.0,110.0,99.0,,,,0.023,0.469,,0.206,0.123,2.37,-1.21,,1.0,-3.63,92.2,86.4,92.0,,76.4,0.225,0.325,0.165,0.385,0.615,0.308,0.357,0.571,0.227,,,,0.2,0.2,0.385,102.0,107.0,103.0,,,,0.18,,-2.37,,88.1,,,,,,,,,,,,,,,,,,,
2024/09/05,5:43 PM.,SD,DET,away,Clear.,85,527048,C,0,0,0,0,0,0,0,0,0,0,0,.131,.159,.262,.421,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,74.0,102.0,98.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,0.358,0.053,0.0,0.141,0.227,-8.23,0.57,-51.06,0.62,-1.27,91.3,83.4,90.7,82.8,77.9,0.458,0.917,0.043,0.28,0.57,0.212,0.28,0.448,0.341,,,,0.246,0.354,0.29,70.0,101.0,93.0,,,,0.221,,-0.61,,87.9,,0.275,0.383,0.097,,,,,,,,,,,,,,,
