date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSL/C,wKC/C,vFA,vFC,vFS,vSL,vKC,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SV_slg,SV_whiff
2024/09/29,2:10 PM.,MIN,BAL,away,Sunny.,79,641927,SS,1,0,1,0,0,0,0,0,1,0,0,.189,.255,.311,.566,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,81.0,104.0,96.0,74.0,100.0,101.0,,,,84.0,104.0,100.0,,,,0.381,0.195,,0.118,,-0.01,-0.86,,2.03,,91.7,86.2,,80.3,,0.279,0.504,0.229,0.258,0.506,0.222,,,,,,,0.0,0.0,0.375,116.0,111.0,111.0,,,,,0.294,,1.98,83.4,,0.154,0.285,0.395,,,,0.095,0.162,0.307,94.0,99.0,103.0,0.011,4.57,76.0,,,
2024/09/28,6:15 PM.,MIN,BAL,away,Clear.,84,805673,SS,4,1,3,1,0,0,0,0,2,0,2,.185,.248,.307,.555,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,95.0,99.0,97.0,114.0,100.0,105.0,,,,96.0,101.0,95.0,,,,0.428,0.162,,0.259,,-1.19,-1.3,,-1.68,,94.9,90.9,,87.2,,0.345,0.655,0.182,0.288,0.627,0.178,,,,,,,0.4,0.667,0.174,88.0,87.0,93.0,,,,,0.079,,-3.13,85.8,,0.222,0.333,0.313,,,,0.308,0.462,0.376,107.0,117.0,117.0,0.071,-5.76,81.7,,,
2024/09/27,7:10 PM.,MIN,BAL,away,Clear.,81,641154,DH,1,1,0,0,0,0,0,0,0,1,0,.173,.230,.292,.522,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,97.0,105.0,101.0,106.0,103.0,110.0,,,,,,,,,,0.407,,,0.219,,1.65,,,-0.84,,95.0,,,84.5,,,,,0.208,0.352,0.259,0.239,0.436,0.331,,,,0.23,0.446,0.341,95.0,104.0,105.0,97.0,107.0,107.0,0.073,0.201,-2.77,-0.14,88.5,94.5,0.281,0.359,0.249,0.426,0.639,0.142,,,,92.0,103.0,108.0,0.1,-1.28,82.4,,,
2024/09/26,7:09 PM.,NYY,BAL,away,Cloudy.,73,543037,SS,1,0,1,0,0,0,0,0,0,0,0,.174,.231,.293,.524,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,116.0,100.0,104.0,128.0,106.0,112.0,102.0,99.0,106.0,99.0,102.0,102.0,,,,0.462,0.163,,0.146,0.187,0.7,-0.7,,1.25,2.35,95.9,91.4,,88.2,82.5,0.32,0.56,0.22,0.189,0.365,0.234,,,,,,,0.209,0.239,0.301,73.0,94.0,90.0,,,,0.002,0.04,17.25,-3.6,88.2,93.7,0.333,0.667,0.28,0.0,0.0,0.143,0.222,0.27,0.264,,,,,,,,,
2024/09/21,4:06 PM.,DET,BAL,home,Partly Cloudy.,79,681857,2B,3,0,0,0,0,0,0,0,1,0,4,.169,.227,.290,.517,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,70.0,94.0,86.0,111.0,97.0,103.0,,,,,,,,,,0.234,,,0.278,,-0.39,,,2.08,,94.2,,,84.8,,,,,0.277,0.386,0.101,,,,,,,0.304,0.652,0.295,102.0,97.0,105.0,75.0,103.0,95.0,0.205,0.223,1.85,-0.05,86.5,94.2,0.222,0.344,0.429,0.284,0.385,0.076,0.143,0.194,0.455,92.0,91.0,90.0,0.06,-3.32,79.0,,,
2024/09/20,7:07 PM.,DET,BAL,home,Clear.,81,663947,2B,3,0,0,0,0,0,0,0,0,3,1,.172,.227,.294,.521,663947,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,79.0,100.0,91.0,113.0,97.0,105.0,,,,85.0,105.0,101.0,,,,0.152,0.273,,0.155,,4.5,1.85,,1.73,,92.1,87.6,,80.6,,0.194,0.292,0.253,0.105,0.14,0.257,0.13,0.174,0.379,,,,,,,59.0,104.0,101.0,77.0,105.0,97.0,0.216,0.189,2.61,0.4,83.6,91.5,0.25,0.382,0.289,0.156,0.338,0.094,,,,109.0,94.0,100.0,0.015,1.83,79.2,,,
2024/09/19,1:06 PM.,SF,BAL,home,Partly Cloudy.,79,657277,2B,3,0,1,0,0,0,2,0,1,1,1,.175,.230,.299,.529,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,57.0,106.0,88.0,126.0,104.0,114.0,,,,52.0,95.0,88.0,,,,0.053,0.026,,0.212,,0.2,4.3,,0.16,,92.6,91.0,,83.8,,0.077,0.077,0.265,0.179,0.231,0.329,0.239,0.331,0.268,,,,,,,137.0,105.0,112.0,95.0,104.0,102.0,0.399,0.309,1.32,-0.13,87.4,92.6,0.275,0.411,0.216,0.268,0.338,0.144,,,,,,,,,,,,
2024/09/18,6:37 PM.,SF,BAL,home,Cloudy.,75,806185,2B,2,1,1,0,0,0,0,0,0,0,0,.172,.225,.299,.524,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,90.0,89.0,85.0,119.0,90.0,100.0,,,,,,,,,,0.446,,,0.184,,-0.02,,,-0.26,,95.8,,,86.4,,,,,0.216,0.44,0.182,,,,,,,0.145,0.218,0.327,155.0,91.0,114.0,,,,,0.184,,-0.87,88.1,,0.269,0.365,0.349,,,,0.244,0.512,0.487,111.0,102.0,104.0,0.187,0.82,80.5,,,
2024/09/17,6:37 PM.,SF,BAL,home,Overcast.,75,605483,2B,1,0,0,0,0,0,0,0,0,0,0,.169,.222,.297,.519,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,116.0,96.0,100.0,106.0,87.0,91.0,,,,,,,,,,0.464,,,0.101,,1.16,,,0.11,,95.9,,,88.7,,,,,0.2,0.303,0.244,,,,,,,0.111,0.183,0.498,110.0,108.0,116.0,,,,,0.176,,0.95,85.5,,0.236,0.319,0.476,,,,0.167,0.267,0.446,148.0,99.0,109.0,0.26,2.25,81.1,,,
2024/09/15,12:10 PM.,DET,BAL,away,Sunny.,81,672456,2B,1,0,0,0,0,0,0,0,0,0,0,.170,.223,.298,.521,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,92.0,100.0,96.0,110.0,99.0,104.0,95.0,102.0,111.0,,,,,,,0.421,,,0.28,0.112,-0.19,,,0.02,-3.94,94.8,,,83.5,78.8,,,,0.27,0.486,0.18,,,,,,,0.269,0.615,0.224,83.0,95.0,94.0,90.0,101.0,97.0,0.078,0.109,1.09,-2.78,86.0,94.1,0.289,0.474,0.329,0.32,0.32,0.038,0.235,0.391,0.259,,,,,,,,,
2024/09/13,6:41 PM.,DET,BAL,away,Clear.,81,689225,2B,2,0,0,0,0,0,0,0,0,2,0,.171,.224,.300,.524,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,120.0,99.0,101.0,122.0,93.0,100.0,,,,,,,,,,0.404,,,0.173,,0.99,,,-1.62,,95.9,,,86.1,,,,,0.222,0.272,0.212,,,,,,,,,,103.0,108.0,110.0,84.0,106.0,97.0,0.159,0.265,2.22,0.26,88.4,95.5,0.212,0.4,0.319,0.235,0.294,0.116,0.241,0.552,0.271,,,,,,,,,
2024/09/11,7:11 PM.,BOS,BAL,away,Clear.,72,601713,2B,4,0,0,0,0,0,0,1,0,2,3,.173,.227,.304,.531,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,122.0,105.0,108.0,155.0,103.0,111.0,,,,104.0,96.0,82.0,,,,0.486,0.059,,0.291,,0.73,-4.63,,-0.1,,93.9,88.3,,82.6,,0.394,0.879,0.211,0.239,0.399,0.218,0.224,0.436,0.35,,,,0.167,0.4,0.206,,,,,,,,,,,,,,,,,,,0.143,0.393,0.326,118.0,104.0,104.0,0.163,0.61,80.0,,,
2024/09/10,7:12 PM.,BOS,BAL,away,Clear.,74,676710,2B,4,0,1,0,0,0,0,0,0,1,2,.177,.232,.311,.543,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,109.0,109.0,112.0,100.0,99.0,102.0,98.0,97.0,99.0,114.0,104.0,104.0,87.0,102.0,106.0,0.337,0.32,0.086,0.185,0.072,-0.43,0.55,0.47,-0.56,1.14,92.6,87.5,82.4,80.8,77.3,0.216,0.418,0.265,0.255,0.5,0.198,0.222,0.437,0.263,0.192,0.26,0.404,0.143,0.171,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/09,7:12 PM.,BOS,BAL,away,Partly Cloudy.,71,678394,2B,1,0,0,0,0,0,0,0,0,0,0,.175,.231,.313,.544,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,74.0,108.0,101.0,114.0,98.0,110.0,,,,,,,,,,0.048,,,0.28,,0.25,,,-0.58,,95.6,,,86.8,,,,,0.12,0.16,0.218,,,,,,,,,,88.0,99.0,97.0,103.0,100.0,101.0,0.403,0.269,-0.24,0.15,87.6,95.7,0.177,0.354,0.369,0.309,0.44,0.111,0.268,0.401,0.343,,,,,,,,,
2024/09/08,12:06 PM.,TB,BAL,home,Sunny.,66,641793,2B,3,0,0,0,0,0,0,0,1,2,0,.176,.233,.314,.547,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,54.0,110.0,91.0,102.0,99.0,98.0,,,,,,,104.0,106.0,112.0,0.221,,0.232,0.399,,0.58,,-0.84,0.45,,92.4,,83.0,85.7,,,,,0.245,0.358,0.191,0.406,0.594,0.115,0.258,0.423,0.344,,,,,,,67.0,103.0,91.0,0.148,,-0.6,,,91.6,,,,0.265,0.439,0.141,0.257,0.427,0.227,,,,,,,,,
2024/09/07,4:32 PM.,TB,BAL,home,Overcast.,68,686752,2B,3,0,1,0,0,0,0,0,0,1,0,.179,.232,.321,.553,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,115.0,98.0,102.0,119.0,95.0,106.0,,,,100.0,103.0,100.0,,,,0.506,0.06,,0.173,,1.07,-0.88,,0.51,,94.9,91.6,,89.0,,0.276,0.586,0.141,0.181,0.33,0.316,,,,,,,0.167,0.167,0.5,118.0,105.0,117.0,,,,,0.235,,-0.47,85.8,,0.216,0.353,0.286,,,,0.267,0.407,0.317,140.0,75.0,84.0,0.027,-1.47,80.6,,,
2024/09/06,7:07 PM.,TB,BAL,home,Partly Cloudy.,76,669358,2B,2,0,0,0,0,0,1,0,0,0,2,.176,.230,.320,.550,669358,shanebaz,Baz,Right,Shane Baz,TBR,3.06,3.62,79.1,100.0,115.0,103.0,0.779,7.83,3.06,6.47,1.02,0.91,0.269,0.402,0.142,0.342,0.456,121.0,101.0,104.0,111.0,96.0,100.0,,,,,,,,,,0.479,,,0.213,,0.81,,,-0.08,,95.6,,,87.3,,,,,0.252,0.37,0.221,,,,,,,0.169,0.247,0.311,85.0,97.0,94.0,,,,,0.103,,2.88,88.1,,0.115,0.115,0.276,,,,0.164,0.4,0.222,119.0,104.0,109.0,0.205,1.71,83.6,,,
2024/09/04,6:37 PM.,CWS,BAL,home,Partly Cloudy.,77,686563,2B,2,0,0,0,0,0,0,0,1,0,0,.179,.235,.325,.560,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,73.0,104.0,97.0,117.0,100.0,107.0,,,,79.0,101.0,93.0,,,,0.123,0.192,,0.218,,-1.13,0.39,,-1.39,,94.3,90.2,,81.9,,0.263,0.45,0.191,0.25,0.411,0.252,0.255,0.489,0.282,,,,,,,95.0,105.0,106.0,86.0,100.0,93.0,0.28,0.187,0.44,-0.22,85.7,93.3,0.248,0.394,0.269,0.287,0.449,0.132,,,,,,,,,,,,
2024/09/03,6:36 PM.,CWS,BAL,home,Clear.,73,680897,2B,4,0,0,0,0,0,0,0,0,1,7,.181,.233,.329,.562,680897,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.45,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.297,0.361,101.0,78.0,78.0,105.0,94.0,99.0,,,,,,,,,,0.454,,,0.362,,-1.37,,,0.09,,93.7,,,84.5,,,,,0.189,0.415,0.204,,,,,,,0.364,0.455,0.333,86.0,75.0,75.0,,,,,0.098,,-4.58,85.8,,0.4,0.6,0.32,,,,0.222,0.444,0.346,90.0,81.0,88.0,0.086,-1.7,79.2,,,
2024/09/02,3:07 PM.,CWS,BAL,home,Sunny.,81,623167,2B,6,1,2,1,0,0,0,0,0,2,6,.186,.239,.338,.577,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,2.0,93.0,82.0,148.0,102.0,103.0,,,,47.0,101.0,90.0,,,,0.37,0.261,,0.087,,-0.64,-0.75,,-2.65,,91.3,87.4,,80.0,,0.319,0.536,0.218,0.261,0.473,0.132,,,,,,,0.246,0.393,0.308,126.0,99.0,104.0,74.0,108.0,87.0,0.002,0.157,2.01,-1.32,81.3,91.4,0.257,0.436,0.379,,,,0.361,0.475,0.271,83.0,98.0,101.0,0.122,0.43,72.0,,,
2024/09/01,1:10 PM.,COL,BAL,away,Sunny.,82,621389,2B,4,1,1,0,0,0,0,1,0,1,2,.180,.235,.331,.566,621389,tyblach,Blach,Left,Ty Blach,COL,6.94,7.32,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.104,0.356,0.463,92.0,82.0,73.0,,,,,,,77.0,107.0,88.0,,,,0.345,0.137,,0.001,,-1.64,-0.5,,-3.5,,89.1,82.9,,85.0,,0.275,0.51,0.209,0.371,0.571,0.072,,,,,,,0.2,0.36,0.176,71.0,99.0,87.0,58.0,109.0,91.0,0.162,0.245,-5.1,-2.05,80.0,89.3,0.342,0.507,0.208,0.426,0.936,0.124,,,,38.0,90.0,88.0,0.109,-1.07,79.2,,,
2024/08/31,6:11 PM.,COL,BAL,away,Clear.,89,663372,2B,4,1,1,0,0,0,0,0,0,3,2,.178,.234,.333,.567,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,81.0,102.0,96.0,109.0,99.0,104.0,,,,,,,,,,0.37,,,0.254,,0.63,,,-0.87,,94.6,,,87.4,,,,,0.24,0.376,0.177,0.156,0.375,0.35,,,,0.164,0.26,0.248,117.0,95.0,102.0,93.0,93.0,89.0,0.128,0.147,-0.45,-1.02,85.2,94.2,0.299,0.485,0.394,0.299,0.403,0.159,0.355,0.523,0.226,108.0,107.0,113.0,0.101,1.28,79.2,,,
2024/08/30,6:40 PM.,COL,BAL,away,Clear.,85,596295,2B,3,1,1,0,1,0,1,1,1,1,1,.176,.234,.336,.570,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,71.0,98.0,91.0,91.0,103.0,102.0,93.0,109.0,107.0,,,,,,,0.404,,,0.167,0.224,-1.23,,,-0.17,-0.08,90.4,,,83.8,77.6,,,,0.305,0.6,0.096,,,,,,,0.22,0.368,0.269,82.0,103.0,99.0,51.0,110.0,96.0,0.001,0.205,-42.96,-0.15,81.1,90.1,0.28,0.409,0.273,,,,0.274,0.513,0.22,,,,,,,,,
2024/08/29,7:09 PM.,LAD,BAL,away,Clear.,71,676272,2B,4,1,1,0,0,0,0,0,0,1,4,.172,.226,.320,.546,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,119.0,89.0,92.0,115.0,99.0,108.0,,,,,,,,,,0.379,,,0.096,,-1.44,,,-3.17,,97.6,,,88.6,,,,,0.327,0.634,0.167,,,,,,,0.357,0.536,0.286,104.0,91.0,96.0,101.0,93.0,89.0,0.136,0.199,-4.54,0.29,86.4,97.3,0.13,0.217,0.41,0.433,0.9,0.174,0.333,0.619,0.275,120.0,99.0,104.0,0.19,-1.0,79.8,,,
2024/08/28,7:10 PM.,LAD,BAL,away,Clear.,70,621111,2B,4,0,0,0,0,0,0,1,0,2,3,.169,.226,.323,.549,621111,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.38,4.78,75.1,101.0,93.0,100.0,0.819,7.65,3.35,10.63,1.91,1.29,0.208,0.429,0.143,0.335,0.435,85.0,102.0,99.0,119.0,99.0,108.0,100.0,98.0,105.0,103.0,103.0,100.0,,,,0.29,0.208,,0.095,0.192,-2.43,1.62,,-0.87,-1.56,95.0,91.2,,82.9,78.0,0.238,0.397,0.215,0.342,0.696,0.169,0.121,0.303,0.294,,,,0.278,0.481,0.267,70.0,100.0,89.0,82.0,99.0,92.0,0.163,0.052,-0.74,-5.9,90.0,94.8,0.455,0.773,0.088,0.291,0.327,0.115,1.0,2.5,0.25,,,,,,,,,
2024/08/27,7:10 PM.,LAD,BAL,away,Clear.,75,656427,2B,3,1,1,0,0,0,0,0,1,1,0,.175,.233,.333,.566,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,92.0,104.0,101.0,95.0,102.0,102.0,101.0,103.0,107.0,,,,,,,0.441,,,0.29,0.218,0.5,,,0.02,2.19,93.3,,,84.7,77.4,,,,0.245,0.401,0.238,,,,,,,0.164,0.219,0.436,87.0,83.0,81.0,75.0,85.0,72.0,0.023,0.027,-5.05,-0.55,85.7,90.6,0.111,0.333,0.111,0.6,1.2,0.4,0.222,0.455,0.363,,,,,,,,,
