date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS
2024/09/29,12:09 PM.,TEX,LAA,home,Sunny.,75,543135,2B,2,0,1,0,0,0,0,0,1,0,0,.218,.301,.255,.556,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,75.0,105.0,98.0,,,,114.0,102.0,102.0,,,,91.0,108.0,99.0,,0.374,0.148,0.033,,,0.83,-1.41,,-0.69,,,95.4,91.4,,,86.3,,0.212,0.335,0.178,,,,0.327,0.624,0.2,,,,0.214,0.471,0.355,0.269,0.462,0.25,99.0,104.0,104.0,0.137,-0.79,76.7,0.308,1.55,88.4,,,,0.2,0.286,0.368,,,,127.0,101.0,110.0
2024/09/28,6:41 PM.,TEX,LAA,home,Clear.,71,571760,2B,3,1,1,1,0,0,1,0,1,0,1,.213,.292,.250,.542,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,,,,20.0,51.0,51.0,0.014,0.501,0.001,0.278,,0.17,0.15,-19.13,-4.52,-0.26,,0.46,91.5,86.6,83.7,92.2,82.5,,0.23,0.412,0.213,0.455,0.455,0.125,,,,0.239,0.384,0.243,0.5,1.1,0.188,0.26,0.385,0.365,126.0,105.0,103.0,0.036,-3.31,75.6,,,,,,,,,,,,,,,
2024/09/27,6:40 PM.,TEX,LAA,home,Partly Cloudy.,69,594798,2B,4,0,0,0,0,0,0,0,0,2,3,.210,.284,.238,.522,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.69,2.51,10.2,110.0,143.0,122.0,0.711,11.81,0.84,9.28,0.84,0.83,0.25,0.321,0.321,0.393,0.459,111.0,109.0,106.0,138.0,116.0,127.0,,,,154.0,105.0,119.0,,,,,,,,0.459,,0.453,,0.058,-0.57,,,0.51,,8.34,97.3,,90.5,,90.0,,0.278,0.556,0.256,,,,,,,0.0,0.0,0.667,,,,0.3,0.35,0.342,125.0,117.0,108.0,0.029,0.17,81.1,,,,,,,,,,,,,,,
2024/09/26,1:11 PM.,CWS,LAA,away,Sunny.,73,623167,2B,2,0,0,0,0,0,0,0,0,0,0,.218,.295,.248,.543,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,2.0,93.0,82.0,74.0,108.0,87.0,148.0,102.0,103.0,,,,47.0,101.0,90.0,0.002,0.37,0.261,0.087,,0.157,-0.64,-0.75,2.01,-2.65,,-1.32,91.3,87.4,81.3,91.4,80.0,,0.261,0.473,0.132,,,,0.319,0.536,0.218,0.257,0.436,0.379,0.246,0.393,0.308,0.361,0.475,0.271,83.0,98.0,101.0,0.122,0.43,72.0,,,,,,,,,,,,,,,
2024/09/25,6:40 PM.,CWS,LAA,away,Clear.,70,663436,2B,1,0,1,0,0,0,1,0,0,0,0,.222,.300,.253,.553,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,92.0,95.0,91.0,,,,114.0,108.0,111.0,,,,76.0,93.0,84.0,,0.285,0.175,0.268,,0.196,-2.03,1.59,,1.22,,-0.16,93.6,89.0,89.3,,83.6,,0.389,0.472,0.202,,,,0.206,0.294,0.231,0.34,0.4,0.204,0.357,0.429,0.348,0.121,0.293,0.378,95.0,91.0,93.0,0.076,-2.54,78.4,,,,,,,,,,,,,,,
2024/09/21,6:10 PM.,HOU,LAA,away,Roof Closed.,73,669854,P,1,0,0,0,0,0,0,0,0,1,2,.214,.294,.245,.539,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,85.0,95.0,90.0,,,,89.0,103.0,101.0,,,,,,,,0.383,,0.302,,0.221,-0.42,,,2.24,,-0.16,93.4,,85.2,,86.4,,0.232,0.497,0.192,,,,,,,0.188,0.356,0.343,0.071,0.071,0.376,0.18,0.284,0.333,75.0,96.0,100.0,0.094,2.55,80.1,,,,,,,,,,,,,,,
2024/09/18,1:08 PM.,CWS,LAA,home,Partly Cloudy.,75,694363,2B,2,0,0,0,0,0,0,0,0,0,1,.216,.296,.247,.543,694363,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.3,4.71,73.1,100.0,75.0,93.0,0.779,6.87,4.05,9.08,1.1,0.77,0.284,0.401,0.147,0.263,0.408,71.0,99.0,94.0,71.0,97.0,86.0,68.0,101.0,88.0,85.0,104.0,102.0,,,,,,,0.047,0.375,,0.284,,0.294,-0.54,,-0.83,0.49,,-0.49,92.5,,84.1,91.8,86.0,,0.274,0.487,0.162,0.313,0.5,0.086,,,,0.244,0.372,0.312,,,,0.25,0.316,0.288,,,,,,,,,,,,,,,,,,,,,
2024/09/15,1:10 PM.,HOU,LAA,home,Cloudy.,76,669854,PR,0,1,0,0,0,0,0,0,0,0,0,.221,.302,.253,.555,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,85.0,95.0,90.0,,,,89.0,103.0,101.0,,,,,,,,0.383,,0.302,,0.221,-0.42,,,2.24,,-0.16,93.4,,85.2,,86.4,,0.232,0.497,0.192,,,,,,,0.188,0.356,0.343,0.071,0.071,0.376,0.18,0.284,0.333,75.0,96.0,100.0,0.094,2.55,80.1,,,,,,,,,,,,,,,
2024/09/13,6:37 PM.,HOU,LAA,home,Clear.,73,579328,2B,0,0,0,0,0,0,0,0,0,0,0,.221,.302,.253,.555,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,114.0,103.0,107.0,,,,111.0,100.0,106.0,,,,,,,,0.471,,0.235,,0.111,-0.08,,,1.31,,-0.15,95.5,,86.7,,88.3,,0.274,0.505,0.28,,,,,,,0.194,0.25,0.358,0.264,0.395,0.274,0.21,0.28,0.297,99.0,105.0,105.0,0.183,0.02,82.4,,,,,,,,,,,,,,,
2024/09/11,6:10 PM.,MIN,LAA,away,Clear.,85,805673,PH,1,0,0,0,0,0,0,0,0,0,2,.221,.302,.253,.555,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,88.0,87.0,93.0,95.0,99.0,97.0,,,,114.0,100.0,105.0,,,,96.0,101.0,95.0,,0.428,0.162,0.259,,0.079,-1.19,-1.3,,-1.68,,-3.13,94.9,90.9,85.8,,87.2,,0.288,0.627,0.178,,,,0.345,0.655,0.182,0.222,0.333,0.313,0.4,0.667,0.174,0.308,0.462,0.376,107.0,117.0,117.0,0.071,-5.76,81.7,,,,,,,,,,,,,,,
