date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,wFA/C,wSI/C,wSL/C,wKC/C,vFA,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/09/29,4:36 PM.,NYY,PIT,away,Rain.,61,657376,LF,3,0,1,1,0,0,2,0,1,1,2,.224,.333,.343,.676,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.85,3.78,85.1,98.0,116.0,100.0,0.724,9.81,3.16,7.49,0.84,1.01,0.271,0.407,0.208,0.281,0.401,,,,83.0,94.0,85.0,136.0,94.0,102.0,150.0,102.0,113.0,0.21,,0.252,0.182,,-0.75,1.21,0.89,,94.3,85.2,83.8,,,,0.267,0.483,0.203,,,,0.143,0.19,0.33,36.0,89.0,96.0,106.0,102.0,100.0,0.35,0.006,0.53,-13.05,92.4,87.1,0.21,0.323,0.297,0.256,0.38,0.322,0.667,1.0,0.0,,,,,,,,,,,,,,,
2024/09/28,1:08 PM.,NYY,PIT,away,Overcast.,65,661563,RF,2,2,0,0,0,0,0,1,2,0,0,.219,.324,.328,.652,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,128.0,96.0,102.0,,,,108.0,94.0,105.0,,,,,0.488,0.259,,0.06,,1.37,,96.6,,87.5,,0.205,0.395,0.285,,,,0.171,0.312,0.315,,,,80.0,93.0,93.0,,,,,0.253,,0.37,,91.6,,,,,,,0.179,0.282,0.269,,,,,,,,,,,,,,,
2024/09/24,6:41 PM.,MIL,PIT,home,Overcast.,73,668964,PH,1,0,0,0,0,0,0,0,0,1,2,.226,.314,.339,.653,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,0.21,,0.58,11.28,1.43,,92.9,91.5,85.5,,0.239,0.436,0.194,0.0,0.0,0.0,0.198,0.255,0.248,0.421,0.579,0.194,109.0,86.0,90.0,96.0,100.0,91.0,0.23,0.114,-0.75,1.18,89.2,81.1,,,,0.336,0.518,0.123,0.083,0.083,0.444,73.0,99.0,104.0,0.041,-3.19,77.8,,,,,,,,,
2024/07/29,7:10 PM.,HOU,PIT,away,Roof Closed.,73,605463,RF,2,0,0,0,0,0,0,0,0,1,0,.230,.319,.344,.663,605463,taylerscott,"Scott, Tay",Right,Tayler Scott,HOU,2.23,3.46,68.2,97.0,100.0,98.0,0.734,9.31,4.59,5.9,0.92,1.16,0.24,0.415,0.17,0.263,0.362,127.0,98.0,97.0,108.0,90.0,84.0,91.0,95.0,107.0,,,,0.057,0.485,0.221,,1.31,-2.36,0.24,,92.7,92.7,84.0,,0.144,0.298,0.283,0.5,0.625,0.19,0.227,0.348,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,98.0,94.0,0.237,0.04,85.5,0.18,0.246,0.328
2024/07/28,1:10 PM.,AZ,PIT,away,Roof Closed.,78,700270,LF,5,0,0,0,0,0,0,0,0,2,7,.237,.328,.356,.684,700270,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,3.81,5.04,28.1,95.0,76.0,92.0,0.823,6.04,3.81,8.58,0.95,1.0,0.295,0.318,0.091,0.352,0.443,74.0,95.0,87.0,,,,88.0,108.0,110.0,62.0,69.0,78.0,,0.58,0.273,0.143,-0.95,,1.97,-0.98,96.1,,83.6,78.7,0.301,0.521,0.112,,,,0.13,0.174,0.365,0.222,0.333,0.353,28.0,69.0,59.0,,,,,0.004,,0.83,,86.0,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/27,5:30 PM.,AZ,PIT,away,Roof Closed.,78,694297,LF,4,1,2,0,0,0,0,0,0,0,0,.259,.355,.389,.744,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,95.0,106.0,103.0,89.0,106.0,104.0,143.0,109.0,119.0,,,,0.222,0.334,0.273,,0.37,-0.09,-0.12,,93.8,93.7,84.8,,0.265,0.466,0.224,0.286,0.365,0.119,,,,0.429,0.571,0.295,92.0,102.0,96.0,,,,,0.112,,0.84,,87.5,0.215,0.455,0.362,,,,0.25,0.289,0.312,106.0,102.0,104.0,0.053,-1.37,80.8,,,,0.006,0.45,89.6,0.2,0.8,0.0
2024/07/26,6:40 PM.,AZ,PIT,away,Roof Closed.,78,668678,RF,3,0,1,0,0,0,2,0,0,1,0,.240,.345,.380,.725,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,101.0,95.0,96.0,132.0,80.0,80.0,107.0,102.0,102.0,107.0,108.0,112.0,0.001,0.463,0.087,0.277,-0.55,-1.02,-0.56,2.29,93.7,94.7,87.0,81.0,0.28,0.46,0.133,,,,0.31,0.476,0.337,0.148,0.23,0.392,88.0,107.0,98.0,89.0,87.0,79.0,0.031,0.14,-0.78,0.43,90.3,86.6,,,,0.25,0.625,0.36,0.27,0.382,0.265,,,,,,,,,,,,,,,
2024/07/24,12:40 PM.,STL,PIT,home,Cloudy.,83,669461,LF,4,1,1,0,0,0,0,0,0,0,0,.234,.333,.383,.716,669461,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.4,4.2,86.0,101.0,98.0,100.0,0.777,7.95,2.93,8.48,1.15,1.05,0.238,0.361,0.147,0.294,0.469,73.0,99.0,91.0,79.0,108.0,103.0,137.0,101.0,108.0,,,,0.204,0.283,0.276,,-0.28,-0.76,1.9,,94.7,95.4,87.4,,0.262,0.615,0.195,0.284,0.481,0.142,0.185,0.25,0.384,0.174,0.174,0.273,49.0,89.0,90.0,98.0,105.0,103.0,0.128,0.044,-1.81,2.53,91.4,87.8,,,,0.432,0.622,0.228,0.0,0.0,0.2,134.0,100.0,107.0,0.065,-0.33,78.2,,,,,,,,,
2024/07/23,6:42 PM.,STL,PIT,home,Partly Cloudy.,84,458681,CF,4,0,0,0,0,0,0,0,0,1,1,.233,.340,.395,.735,458681,lancelynn,Lynn,Right,Lance Lynn,STL,3.84,4.94,117.1,100.0,83.0,94.0,0.795,8.36,3.38,8.67,1.23,0.88,0.243,0.384,0.161,0.308,0.401,85.0,102.0,97.0,66.0,93.0,84.0,102.0,101.0,109.0,,,,0.167,0.472,0.013,,0.87,-0.46,-1.62,,92.3,91.2,82.0,,0.199,0.393,0.287,0.284,0.469,0.11,,,,0.211,0.342,0.203,61.0,88.0,82.0,91.0,101.0,94.0,0.223,0.063,-1.03,-2.47,88.1,84.8,0.25,0.25,0.0,0.317,0.426,0.262,0.292,0.292,0.225,112.0,96.0,99.0,0.062,-1.98,80.4,,,,,,,,,
2024/07/22,6:41 PM.,STL,PIT,home,Cloudy.,70,669467,RF,1,0,1,0,0,0,0,0,0,0,0,.256,.370,.436,.806,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,87.0,91.0,92.0,85.0,98.0,89.0,111.0,105.0,110.0,88.0,102.0,109.0,0.19,0.512,0.172,0.126,1.34,-0.25,-0.64,0.42,94.5,94.8,87.5,79.5,0.23,0.297,0.162,0.265,0.373,0.132,0.294,0.435,0.282,0.157,0.257,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
