date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,FO%,wFO/C,vFO
2024/09/29,12:10 PM.,SD,AZ,home,Roof Closed.,78,527048,DH,5,3,2,0,0,1,2,0,0,0,3,.291,.348,.528,.876,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,74.0,102.0,98.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,70.0,101.0,93.0,0.358,0.053,0.221,0.0,0.141,0.227,-8.23,-0.61,0.57,-51.06,0.62,-1.27,91.3,87.9,83.4,90.7,82.8,77.9,0.458,0.917,0.043,0.246,0.354,0.29,0.275,0.383,0.097,0.28,0.448,0.341,,,,,,,0.28,0.57,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/28,5:10 PM.,SD,AZ,home,Roof Closed.,78,681190,DH,1,0,0,0,0,0,0,0,0,0,1,.289,.347,.518,.865,681190,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.87,5.94,98.0,101.0,106.0,100.0,0.837,5.69,2.66,10.93,1.19,1.02,0.21,0.378,0.177,0.333,0.434,96.0,99.0,96.0,124.0,101.0,106.0,92.0,103.0,100.0,103.0,103.0,98.0,132.0,101.0,109.0,107.0,99.0,97.0,0.157,0.285,0.137,0.1,0.197,0.124,-0.56,2.22,-1.91,-0.16,-0.45,-3.49,94.3,90.2,88.6,94.2,82.4,82.2,0.301,0.462,0.222,0.234,0.422,0.239,0.429,0.571,0.106,0.365,0.615,0.122,,,,0.229,0.396,0.247,0.228,0.351,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/27,6:40 PM.,SD,AZ,home,Roof Closed.,77,506433,DH,1,0,1,1,0,0,0,0,0,0,0,.290,.348,.520,.868,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,3.31,3.62,81.2,102.0,101.0,102.0,0.755,8.6,2.42,7.16,1.32,0.89,0.171,0.504,0.154,0.325,0.467,,,,85.0,94.0,102.0,97.0,104.0,102.0,88.0,104.0,98.0,118.0,100.0,106.0,80.0,103.0,97.0,0.168,0.19,0.044,0.371,0.086,,-0.19,2.98,-0.28,0.6,0.49,,94.0,90.6,,93.6,84.4,73.8,0.21,0.403,0.151,0.162,0.243,0.364,0.255,0.473,0.176,,,,0.269,0.478,0.286,0.214,0.333,0.261,0.0,0.0,0.346,89.0,114.0,112.0,0.051,2.13,78.7,110.0,99.0,99.0,0.09,0.68,87.9,0.167,0.333,0.328,,,,,,,,,,,,
2024/09/25,6:41 PM.,SF,AZ,home,Roof Closed.,78,696131,DH,0,0,0,0,0,0,0,0,1,0,0,.287,.346,.514,.860,696131,masonblack,Black,Right,Mason Black,SFG,6.44,6.13,36.1,101.0,99.0,99.0,0.858,7.68,3.72,11.39,1.73,0.69,0.225,0.392,0.167,0.367,0.431,92.0,88.0,77.0,,,,86.0,103.0,98.0,101.0,100.0,97.0,109.0,97.0,101.0,,,,0.285,0.321,,0.371,,0.023,-2.69,,-1.0,-0.68,,-13.48,92.4,,87.6,92.6,83.3,,0.333,0.548,0.236,,,,0.326,0.535,0.08,0.667,0.833,0.0,0.0,0.0,0.179,0.318,0.591,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/22,1:12 PM.,MIL,AZ,away,Roof Closed.,76,593423,DH,1,0,1,0,0,0,1,0,0,0,0,.287,.343,.514,.857,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,,,,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,109.0,95.0,95.0,0.191,0.332,0.187,0.107,,,-0.02,-1.4,1.13,-1.94,,,95.6,90.4,,94.8,85.4,,0.206,0.367,0.231,,,,0.248,0.407,0.113,,,,0.288,0.577,0.325,,,,0.326,0.609,0.223,,,,,,,119.0,99.0,105.0,0.183,-0.23,86.0,0.218,0.297,0.426,,,,,,,,,,,,
2024/09/21,6:11 PM.,MIL,AZ,away,Roof Closed.,82,650644,DH,2,0,0,0,0,0,0,0,0,1,4,.285,.341,.512,.853,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,71.0,93.0,83.0,152.0,101.0,112.0,91.0,100.0,101.0,0.24,0.099,0.322,0.163,0.156,,-1.7,1.08,0.06,-1.03,-1.36,,92.0,88.1,,92.6,80.5,77.1,0.294,0.49,0.095,0.25,0.479,0.275,0.241,0.421,0.158,,,,0.25,0.375,0.438,0.267,0.467,0.272,0.232,0.394,0.233,,,,,,,57.0,96.0,102.0,0.02,-4.86,85.6,0.375,0.625,0.261,,,,,,,,,,,,
2024/09/20,7:10 PM.,MIL,AZ,away,Clear.,77,607067,DH,1,0,0,0,0,0,1,0,1,1,1,.287,.343,.516,.859,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,82.0,103.0,96.0,109.0,106.0,108.0,76.0,94.0,88.0,0.311,0.193,0.194,0.172,0.042,,0.49,-1.34,-0.28,1.41,-3.64,,92.9,87.6,,92.3,82.0,78.7,0.207,0.314,0.248,0.394,0.636,0.18,0.298,0.482,0.115,,,,,,,0.159,0.234,0.227,0.287,0.656,0.168,,,,,,,78.0,98.0,96.0,0.088,-2.02,86.5,0.286,0.492,0.277,,,,,,,,,,,,
2024/09/19,6:16 PM.,MIL,AZ,away,Partly Cloudy.,78,668964,DH,3,0,0,0,0,0,0,0,0,1,2,.288,.342,.519,.861,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,96.0,100.0,91.0,0.005,0.401,0.23,0.21,0.041,0.114,0.58,-0.75,11.28,1.43,-3.19,1.18,92.9,89.2,81.1,91.5,85.5,77.8,0.239,0.436,0.194,0.421,0.579,0.194,0.0,0.0,0.0,0.083,0.083,0.444,0.198,0.255,0.248,,,,0.336,0.518,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/18,1:10 PM.,COL,AZ,away,Sunny.,82,596295,DH,4,2,2,1,0,1,1,0,0,0,2,.292,.346,.525,.871,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,82.0,103.0,99.0,,,,71.0,98.0,91.0,51.0,110.0,96.0,91.0,103.0,102.0,,,,0.001,0.404,,0.167,,0.205,-1.23,,-42.96,-0.17,,-0.15,90.4,,81.1,90.1,83.8,,0.305,0.6,0.096,0.22,0.368,0.269,,,,0.28,0.409,0.273,0.274,0.513,0.22,,,,,,,93.0,109.0,107.0,0.224,-0.08,77.6,,,,,,,,,,,,,,,,,,,,,
2024/09/15,1:11 PM.,MIL,AZ,home,Roof Closed.,77,669084,PH,1,0,1,1,0,0,1,0,0,0,0,.288,.344,.508,.852,669084,dlhall,"Hall, DL",Left,DL Hall,MIL,5.02,4.46,43.0,99.0,87.0,96.0,0.794,9.21,4.4,10.05,1.26,1.22,0.189,0.441,0.173,0.299,0.413,93.0,99.0,92.0,104.0,99.0,102.0,72.0,98.0,91.0,,,,105.0,105.0,108.0,,,,,0.453,,0.143,0.199,0.205,-2.43,,,0.51,0.75,-0.11,93.3,,84.7,,84.7,79.7,0.395,0.553,0.124,0.208,0.375,0.212,,,,0.189,0.351,0.347,0.182,0.212,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
