date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC_ba,FC_slg,FC_whiff
2024/07/09,7:10 PM.,PIT,MIL,home,Cloudy.,73,676596,3B,4,0,0,0,0,0,0,0,0,3,2,.111,.111,.222,.333,676596,joshfleming,Fleming,Left,Josh Fleming,PIT,4.02,4.31,31.1,96.0,67.0,89.0,0.843,4.88,4.02,9.77,0.86,2.04,0.198,0.396,0.179,0.292,0.331,69.0,100.0,89.0,100.0,91.0,89.0,142.0,135.0,123.0,50.0,90.0,86.0,,,,0.378,0.004,0.256,,0.062,0.301,1.97,1.26,-2.42,,-5.88,1.56,89.8,87.2,83.2,90.4,,77.9,0.4,0.578,0.218,,,,,,,0.333,0.778,0.294,0.156,0.2,0.159,83.0,101.0,93.0,0.261,0.304,0.164
2024/07/07,1:10 PM.,LAD,MIL,away,Sunny.,82,680736,3B,4,1,1,1,0,0,0,0,0,0,4,.200,.200,.400,.600,680736,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,5.7,6.45,36.1,97.0,95.0,96.0,0.802,6.44,3.96,8.42,2.23,0.69,0.324,0.216,0.162,0.378,0.463,48.0,88.0,90.0,85.0,88.0,88.0,104.0,97.0,97.0,45.0,88.0,78.0,106.0,104.0,103.0,0.044,0.591,0.13,0.083,0.12,0.032,0.61,-0.17,-1.16,-6.42,-4.97,-3.53,95.1,87.7,83.9,91.4,84.4,82.5,0.333,0.5,0.0,0.267,0.8,0.3,0.205,0.386,0.23,0.385,0.846,0.174,,,,88.0,104.0,103.0,0.286,0.643,0.25
2024/07/03,6:40 PM.,COL,MIL,away,Clear.,91,641712,SS,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,6.17,6.01,89.0,95.0,84.0,91.0,0.832,4.96,5.06,10.01,1.11,1.77,0.213,0.423,0.147,0.367,0.416,84.0,94.0,93.0,103.0,97.0,100.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,0.327,0.153,0.005,0.244,0.172,0.1,-2.2,-18.69,-0.07,-0.31,0.48,-4.94,89.9,86.9,83.5,90.4,84.1,80.3,0.306,0.448,0.076,0.289,0.361,0.318,0.302,0.509,0.079,0.13,0.217,0.33,0.379,0.69,0.146,,,,,,
