date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff
2024/09/29,3:08 PM.,TOR,MIA,away,Partly Cloudy.,69,621114,SS,4,1,2,0,0,0,0,0,0,0,0,.328,.397,.423,.820,621114,ryanburr,Burr,Right,Ryan Burr,TOR,4.13,3.56,32.2,99.0,98.0,102.0,0.694,12.95,3.31,7.99,1.1,0.72,0.225,0.45,0.138,0.4,0.375,,,,79.0,94.0,91.0,111.0,102.0,108.0,,,,0.395,,0.605,,-0.36,,0.6,,94.1,,,85.4,0.256,0.465,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,0.369,0.368,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/28,3:08 PM.,TOR,MIA,away,Roof Closed.,68,684320,SS,4,1,1,1,0,0,0,0,1,1,0,.326,.396,.421,.817,684320,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.47,4.0,86.2,97.0,97.0,97.0,0.765,8.83,4.15,7.68,1.14,0.9,0.268,0.393,0.184,0.272,0.392,,,,86.0,93.0,87.0,120.0,104.0,111.0,,,,0.409,,0.282,,-0.12,,0.67,,93.9,,,84.6,0.255,0.439,0.22,,,,,,,,,,97.0,95.0,100.0,84.0,94.0,92.0,0.108,0.105,2.98,-2.85,93.4,78.3,0.167,0.167,0.149,0.348,0.739,0.25,0.213,0.36,0.335,,,,85.0,102.0,102.0,0.096,,-1.17,,88.9,,0.194,0.306,0.215,,,,,,,,,
2024/09/27,7:08 PM.,TOR,MIA,away,Cloudy.,68,621244,SS,6,2,4,0,3,0,4,0,0,1,0,.327,.396,.420,.816,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,86.0,104.0,101.0,82.0,99.0,92.0,,,,84.0,108.0,99.0,0.183,0.035,,0.16,-1.26,-1.83,,0.88,94.1,91.4,84.8,,0.305,0.558,0.189,0.171,0.364,0.269,,,,0.36,0.48,0.123,111.0,102.0,106.0,85.0,103.0,95.0,0.337,0.286,1.02,0.28,93.4,83.2,0.268,0.366,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,0.404,0.31
2024/09/26,6:42 PM.,MIN,MIA,away,Clear.,82,701581,SS,4,3,2,1,0,0,1,1,3,1,0,.319,.390,.390,.780,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,107.0,96.0,99.0,118.0,103.0,105.0,,,,0.402,,0.318,0.28,-0.79,,1.48,-1.14,94.7,,88.4,86.1,0.304,0.544,0.194,0.237,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,0.207,0.315,0.291,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/25,6:41 PM.,MIN,MIA,away,Clear.,76,680573,SS,5,1,2,0,0,0,0,0,0,1,0,.316,.382,.385,.767,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,71.0,100.0,88.0,92.0,108.0,106.0,,,,0.403,,0.312,0.193,0.82,,0.76,-3.33,93.1,,82.8,86.4,0.258,0.356,0.219,0.311,0.622,0.205,,,,,,,106.0,103.0,102.0,,,,,0.093,,1.68,,76.1,,,,0.186,0.326,0.221,0.214,0.313,0.239,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/24,6:42 PM.,MIN,MIA,away,Partly Cloudy.,72,641927,SS,4,0,2,1,0,0,2,0,1,1,1,.314,.382,.384,.766,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,81.0,104.0,96.0,74.0,100.0,101.0,84.0,104.0,100.0,0.381,0.195,0.118,0.294,-0.01,-0.86,2.03,1.98,91.7,86.2,83.4,80.3,0.258,0.506,0.222,0.154,0.285,0.395,,,,0.279,0.504,0.229,94.0,99.0,103.0,,,,,0.011,,4.57,,76.0,,,,0.0,0.0,0.375,0.095,0.162,0.307,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/22,1:42 PM.,ATL,MIA,home,Roof Closed.,72,656550,SS,5,0,0,0,0,0,0,0,0,2,5,.311,.378,.378,.756,656550,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.56,3.46,68.1,100.0,98.0,101.0,0.694,9.22,1.98,8.69,0.92,1.13,0.272,0.359,0.154,0.323,0.425,59.0,91.0,86.0,81.0,100.0,92.0,118.0,101.0,111.0,94.0,89.0,90.0,0.373,0.082,0.316,0.012,1.54,-3.71,0.71,-1.32,94.6,92.6,91.3,86.5,0.238,0.366,0.203,,,,,,,0.467,0.867,0.15,105.0,105.0,108.0,,,,,0.217,,0.86,,84.0,,,,0.228,0.316,0.437,0.25,0.33,0.415,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/20,7:12 PM.,ATL,MIA,home,Roof Closed.,72,450203,SS,4,0,1,0,0,0,0,0,0,0,2,.318,.385,.386,.771,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,72.0,99.0,90.0,,,,73.0,92.0,86.0,0.289,0.078,,0.11,-1.4,-0.75,,-1.38,94.1,88.5,85.0,,0.281,0.517,0.193,0.292,0.6,0.333,,,,0.286,0.571,0.149,122.0,98.0,108.0,79.0,96.0,88.0,0.099,0.424,0.39,0.78,93.5,81.5,0.333,0.433,0.07,0.2,0.309,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/19,4:40 PM.,LAD,MIA,home,Roof Closed.,72,656427,SS,3,0,1,0,0,0,0,0,0,1,0,.319,.387,.389,.776,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,92.0,104.0,101.0,95.0,102.0,102.0,,,,0.441,,0.29,0.027,0.5,,0.02,-0.55,93.3,,85.7,84.7,0.245,0.401,0.238,0.111,0.333,0.111,,,,,,,,,,75.0,85.0,72.0,0.023,,-5.05,,90.6,,0.6,1.2,0.4,0.164,0.219,0.436,0.222,0.455,0.363,101.0,103.0,107.0,,,,,0.218,,2.19,,77.4,,,,,,,,,,,,
2024/09/18,6:40 PM.,LAD,MIA,home,Roof Closed.,72,689017,SS,5,0,1,0,0,0,0,2,0,1,3,.319,.388,.389,.777,689017,landonknack,Knack,Right,Landon Knack,LAD,3.65,3.94,69.0,98.0,104.0,99.0,0.78,9.0,2.35,7.57,1.83,0.62,0.204,0.505,0.138,0.352,0.429,73.0,91.0,90.0,115.0,99.0,103.0,120.0,105.0,104.0,,,,0.463,,0.23,0.145,0.2,,1.46,-0.24,93.5,,84.2,85.1,0.228,0.526,0.203,0.182,0.364,0.271,,,,,,,77.0,92.0,89.0,,,,,0.162,,-1.55,,79.6,,,,0.333,0.485,0.206,0.183,0.296,0.278,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/17,6:40 PM.,LAD,MIA,home,Roof Closed.,72,676272,SS,5,1,1,0,0,0,0,1,0,1,3,.321,.391,.394,.785,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,119.0,89.0,92.0,115.0,99.0,108.0,,,,0.379,,0.096,0.199,-1.44,,-3.17,0.29,97.6,,86.4,88.6,0.327,0.634,0.167,0.13,0.217,0.41,,,,,,,120.0,99.0,104.0,101.0,93.0,89.0,0.136,0.19,-4.54,-1.0,97.3,79.8,0.433,0.9,0.174,0.357,0.536,0.286,0.333,0.619,0.275,,,,,,,,,,,,,,,,,,,,,,,,
