date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2024/09/24,6:40 PM.,SF,AZ,home,Roof Closed.,78,657277,3B,0,0,0,0,0,0,0,0,0,0,0,.227,.290,.320,.610,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,,,,57.0,106.0,88.0,95.0,104.0,102.0,126.0,104.0,114.0,52.0,95.0,88.0,,,,0.399,0.053,0.026,,0.212,,0.2,4.3,,1.32,0.16,,92.6,91.0,,92.6,83.8,,0.179,0.231,0.329,0.268,0.338,0.144,0.239,0.331,0.268,,,,0.077,0.077,0.265,,,,137.0,105.0,112.0,0.309,-0.13,87.4,0.275,0.411,0.216,,,,,,,,,,,,,,,,,,
2024/09/23,6:40 PM.,SF,AZ,home,Roof Closed.,78,806185,C,2,1,1,1,0,0,0,0,1,0,0,.227,.290,.320,.610,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,111.0,102.0,104.0,90.0,89.0,85.0,,,,119.0,90.0,100.0,,,,,,,,0.446,,,0.184,0.187,-0.02,,,,-0.26,0.82,95.8,,,,86.4,80.5,0.216,0.44,0.182,,,,,,,0.145,0.218,0.327,,,,,,,155.0,91.0,114.0,0.184,-0.87,88.1,0.269,0.365,0.349,0.244,0.512,0.487,,,,,,,,,,,,,,,
2024/09/22,1:12 PM.,MIL,AZ,away,Roof Closed.,76,593423,C,2,0,0,0,0,0,0,0,1,2,2,.221,.279,.305,.584,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,109.0,95.0,95.0,119.0,99.0,105.0,0.191,0.332,0.187,0.183,0.107,,-0.02,-1.4,-0.23,1.13,-1.94,,95.6,90.4,86.0,94.8,85.4,,0.206,0.367,0.231,0.248,0.407,0.113,,,,,,,0.326,0.609,0.223,0.218,0.297,0.426,,,,,,,,,,0.288,0.577,0.325,,,,,,,,,,,,,,,
2024/09/21,6:11 PM.,MIL,AZ,away,Roof Closed.,82,650644,C,4,1,1,0,0,1,1,0,0,1,0,.226,.277,.312,.589,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,104.0,104.0,109.0,68.0,102.0,96.0,71.0,93.0,83.0,152.0,101.0,112.0,91.0,100.0,101.0,57.0,96.0,102.0,0.24,0.099,0.322,0.02,0.163,0.156,-1.7,1.08,-4.86,0.06,-1.03,-1.36,92.0,88.1,85.6,92.6,80.5,77.1,0.294,0.49,0.095,0.241,0.421,0.158,0.267,0.467,0.272,0.25,0.479,0.275,0.232,0.394,0.233,0.375,0.625,0.261,,,,,,,,,,0.25,0.375,0.438,,,,,,,,,,,,,,,
2024/09/17,6:40 PM.,COL,AZ,away,Clear.,74,663372,C,4,0,1,0,0,0,0,0,0,1,4,.225,.278,.281,.559,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,,,,,,,0.128,0.37,,,0.254,0.101,0.63,,,-0.45,-0.87,1.28,94.6,,,94.2,87.4,79.2,0.24,0.376,0.177,0.299,0.403,0.159,0.156,0.375,0.35,0.164,0.26,0.248,,,,,,,117.0,95.0,102.0,0.147,-1.02,85.2,0.299,0.485,0.394,0.355,0.523,0.226,,,,,,,,,,,,,,,
2024/09/15,1:11 PM.,MIL,AZ,home,Roof Closed.,77,669084,C,3,0,0,0,0,0,0,0,0,2,2,.224,.280,.282,.562,669084,dlhall,"Hall, DL",Left,DL Hall,MIL,5.02,4.46,43.0,99.0,87.0,96.0,0.794,9.21,4.4,10.05,1.26,1.22,0.189,0.441,0.173,0.299,0.413,104.0,99.0,102.0,72.0,98.0,91.0,,,,105.0,105.0,108.0,,,,,,,,0.453,,,0.143,0.199,-2.43,,,,0.51,0.75,93.3,,,,84.7,79.7,0.395,0.553,0.124,,,,,,,0.208,0.375,0.212,,,,,,,93.0,99.0,92.0,0.205,-0.11,84.7,0.189,0.351,0.347,0.182,0.212,0.451,,,,,,,,,,,,,,,
2024/09/14,5:10 PM.,MIL,AZ,home,Roof Closed.,78,668964,DH,2,0,0,0,0,0,0,0,0,0,0,.232,.289,.293,.582,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,96.0,100.0,91.0,,,,0.005,0.401,0.23,,0.21,0.041,0.58,-0.75,,11.28,1.43,-3.19,92.9,89.2,,91.5,85.5,77.8,0.239,0.436,0.194,0.0,0.0,0.0,,,,0.421,0.579,0.194,0.336,0.518,0.123,,,,109.0,86.0,90.0,0.114,1.18,81.1,0.083,0.083,0.444,0.198,0.255,0.248,,,,,,,,,,,,,,,
2024/09/13,6:40 PM.,MIL,AZ,home,Roof Closed.,78,642547,C,3,0,1,0,0,0,0,0,0,1,1,.238,.295,.300,.595,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.197,0.318,0.373,104.0,106.0,110.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,,,,0.539,,,0.217,0.07,0.05,,,,-0.09,0.36,94.3,,,,81.4,78.1,0.239,0.424,0.252,,,,,,,0.182,0.341,0.372,,,,,,,84.0,92.0,88.0,0.175,0.84,87.7,0.218,0.291,0.369,0.203,0.384,0.41,,,,,,,,,,,,,,,
2024/09/10,6:41 PM.,TEX,AZ,home,Roof Closed.,78,543135,C,4,0,2,1,0,0,1,0,0,0,3,.234,.294,.299,.593,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,99.0,104.0,104.0,75.0,105.0,98.0,,,,114.0,102.0,102.0,91.0,108.0,99.0,127.0,101.0,110.0,,0.374,0.148,0.308,0.033,0.137,0.83,-1.41,1.55,,-0.69,-0.79,95.4,91.4,88.4,,86.3,76.7,0.212,0.335,0.178,,,,,,,0.214,0.471,0.355,0.327,0.624,0.2,0.2,0.286,0.368,,,,,,,,,,0.269,0.462,0.25,,,,,,,,,,,,,,,
2024/09/07,3:10 PM.,HOU,AZ,away,Roof Closed.,73,579328,C,3,1,1,0,0,0,1,0,0,1,2,.219,.284,.274,.558,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,105.0,105.0,114.0,103.0,107.0,,,,111.0,100.0,106.0,,,,,,,,0.471,,,0.235,0.183,-0.08,,,,1.31,0.02,95.5,,,,88.3,82.4,0.274,0.505,0.28,,,,,,,0.264,0.395,0.274,,,,,,,99.0,93.0,91.0,0.111,-0.15,86.7,0.194,0.25,0.358,0.21,0.28,0.297,,,,,,,,,,,,,,,
2024/09/06,7:12 PM.,HOU,AZ,away,Roof Closed.,73,664285,C,1,0,0,0,0,0,0,0,0,0,0,.214,.286,.271,.557,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,129.0,96.0,108.0,60.0,102.0,94.0,98.0,99.0,97.0,107.0,102.0,110.0,,,,,,,0.458,0.012,,,0.043,0.313,-4.64,,,1.46,-0.2,1.59,94.5,,,94.1,85.1,79.7,0.4,1.0,0.273,0.276,0.399,0.116,,,,0.121,0.187,0.398,,,,,,,130.0,96.0,104.0,0.175,0.62,89.9,0.226,0.278,0.354,0.233,0.467,0.383,,,,,,,,,,,,,,,
2024/09/04,6:45 PM.,SF,AZ,away,Partly Cloudy.,71,806185,C,3,0,0,0,0,0,1,0,0,1,3,.217,.289,.275,.564,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,111.0,102.0,104.0,90.0,89.0,85.0,,,,119.0,90.0,100.0,,,,,,,,0.446,,,0.184,0.187,-0.02,,,,-0.26,0.82,95.8,,,,86.4,80.5,0.216,0.44,0.182,,,,,,,0.145,0.218,0.327,,,,,,,155.0,91.0,114.0,0.184,-0.87,88.1,0.269,0.365,0.349,0.244,0.512,0.487,,,,,,,,,,,,,,,
2024/09/03,6:44 PM.,SF,AZ,away,Clear.,74,690986,C,0,0,0,0,0,0,0,0,0,0,0,.227,.301,.288,.589,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,84.0,95.0,95.0,98.0,100.0,92.0,,,,93.0,107.0,97.0,,,,,,,,0.577,,,0.003,0.223,0.2,,,,-11.71,-0.22,92.5,,,,88.2,80.6,0.249,0.425,0.23,,,,,,,,,,,,,,,,70.0,96.0,88.0,0.197,-1.64,84.8,0.287,0.435,0.215,0.333,0.667,0.5,,,,,,,0.274,0.452,0.277,,,,,,
2024/09/01,1:10 PM.,LAD,AZ,home,Roof Closed.,78,680736,C,4,1,1,0,0,0,1,0,0,1,1,.227,.301,.288,.589,680736,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,5.7,6.45,36.1,97.0,95.0,96.0,0.802,6.44,3.96,8.42,2.23,0.69,0.324,0.216,0.162,0.378,0.463,85.0,88.0,88.0,104.0,97.0,97.0,45.0,88.0,78.0,106.0,104.0,103.0,88.0,104.0,103.0,,,,0.044,0.591,0.13,,0.083,0.12,0.61,-0.17,,-1.16,-6.42,-4.97,95.1,87.7,,91.4,84.4,82.5,0.205,0.386,0.23,0.333,0.5,0.0,,,,0.385,0.846,0.174,0.286,0.643,0.25,,,,48.0,88.0,90.0,0.032,-3.53,83.9,,,,0.267,0.8,0.3,,,,,,,,,,,,,,,
2024/08/30,6:41 PM.,LAD,AZ,home,Roof Closed.,78,477132,C,3,0,1,0,0,0,1,0,0,1,2,.226,.304,.290,.594,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,4.5,4.59,30.0,100.0,101.0,100.0,0.79,7.2,2.7,10.8,0.6,1.12,0.134,0.485,0.144,0.289,0.461,114.0,99.0,107.0,90.0,99.0,94.0,,,,108.0,103.0,104.0,,,,61.0,72.0,74.0,0.006,0.351,,0.022,0.437,0.163,-2.61,,-4.62,-2.44,-0.11,0.67,89.9,,82.9,90.2,86.0,72.1,0.429,0.514,0.078,,,,,,,0.174,0.348,0.317,,,,0.333,0.333,0.375,58.0,86.0,75.0,0.022,3.89,84.2,,,,0.281,0.421,0.264,,,,,,,,,,,,,,,
