date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2024/06/13,6:41 PM.,CWS,SEA,home,Partly Cloudy.,67,676979,C,1,0,0,0,0,0,0,0,1,1,1,.154,.214,.282,.496,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,123.0,98.0,97.0,138.0,102.0,107.0,94.0,105.0,103.0,0.021,0.284,0.098,0.059,-0.14,4.04,-2.29,-0.36,91.6,91.0,97.9,84.3,0.184,0.289,0.339,0.154,0.154,0.321,0.268,0.458,0.334,,,,0.228,0.561,0.422,104.0,103.0,103.0,0.537,1.66,97.2,0.198,0.295,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/01,4:16 PM.,LAA,SEA,home,Cloudy.,65,672282,C,1,0,0,0,0,0,0,0,0,0,2,.158,.200,.289,.489,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,,,,117.0,106.0,114.0,,,,,,0.244,0.142,,,-0.44,-1.18,,84.7,,86.2,0.351,0.544,0.319,,,,,,,0.22,0.39,0.368,,,,86.0,96.0,92.0,0.468,-0.56,93.8,0.278,0.508,0.253,89.0,100.0,103.0,,,,,0.146,,-3.5,,75.0,,,,0.37,0.804,0.216,,,,,,,,,
2024/05/26,1:35 PM.,WSH,SEA,away,Partly Cloudy.,84,571578,C,3,0,0,0,0,0,0,0,0,0,1,.162,.205,.297,.502,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,71.0,103.0,92.0,88.0,97.0,97.0,76.0,107.0,98.0,0.338,0.192,0.343,0.034,-0.37,-1.9,0.41,-5.53,85.7,81.0,91.5,80.0,0.409,0.773,0.279,0.339,0.567,0.091,0.301,0.434,0.223,0.216,0.335,0.354,,,,55.0,97.0,84.0,0.076,-1.46,91.3,0.311,0.578,0.133,73.0,100.0,97.0,,,,,0.016,,-2.3,,70.0,,,,0.5,1.25,0.526,0.001,4.71,63.2,,,,,,
2024/05/23,12:38 PM.,NYY,SEA,away,Overcast.,71,661563,C,2,0,0,0,0,0,0,0,1,1,1,.176,.222,.324,.546,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,108.0,94.0,105.0,,,,,,0.259,0.253,,,1.37,0.37,,91.6,,87.5,0.179,0.282,0.269,,,,,,,0.171,0.312,0.315,,,,128.0,96.0,102.0,0.488,0.06,96.6,0.205,0.395,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/19,1:36 PM.,BAL,SEA,away,Overcast.,70,669203,C,2,0,0,0,0,0,0,0,1,1,2,.188,.212,.344,.556,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,104.0,95.0,89.0,133.0,105.0,120.0,125.0,105.0,108.0,0.078,0.45,0.146,0.11,1.37,-0.5,0.7,0.2,95.3,89.2,97.0,87.2,0.194,0.339,0.377,0.235,0.412,0.157,0.251,0.362,0.19,0.196,0.268,0.463,0.125,0.5,0.457,,,,,,,,,,109.0,101.0,106.0,,,,,0.215,,0.44,,80.3,,,,0.2,0.326,0.378,,,,,,,,,
2024/05/17,7:05 PM.,BAL,SEA,away,Cloudy.,69,607644,C,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.367,.567,607644,johnmeans,Means,Left,John Means,BAL,2.61,4.68,20.2,101.0,87.0,102.0,0.76,6.97,0.87,6.97,0.87,0.32,0.23,0.541,0.164,0.377,0.419,89.0,113.0,112.0,,,,83.0,101.0,100.0,,,,,,0.231,0.284,,,1.72,0.89,,82.0,,84.5,0.222,0.333,0.353,,,,,,,0.167,0.278,0.333,,,,88.0,96.0,96.0,0.375,0.78,90.5,0.231,0.5,0.182,,,,,,,,,,,,,,,,0.2,0.2,0.111,0.109,1.37,75.7,,,,88.0,92.0,100.0
2024/05/12,1:11 PM.,OAK,SEA,home,Sunny.,65,622072,C,3,1,1,0,0,1,1,0,0,1,1,.200,.200,.367,.567,622072,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.66,39.1,98.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,82.0,99.0,93.0,74.0,94.0,90.0,,,,0.462,,0.315,0.224,,-1.92,-0.4,-2.67,,84.5,90.5,81.4,0.4,0.6,0.161,0.351,0.635,0.199,,,,0.205,0.25,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/10,6:40 PM.,OAK,SEA,home,Clear.,77,621112,C,0,0,0,0,0,0,0,0,0,0,0,.185,.185,.259,.444,621112,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.59,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,69.0,107.0,93.0,116.0,106.0,108.0,105.0,106.0,99.0,0.136,0.22,0.167,0.181,-0.19,-4.04,1.35,1.56,89.1,85.7,91.2,81.3,0.164,0.236,0.347,0.478,0.674,0.095,0.299,0.493,0.244,0.163,0.245,0.284,,,,74.0,96.0,90.0,0.195,-2.3,91.9,0.286,0.694,0.125,91.0,107.0,106.0,,,,,0.101,,2.06,,79.4,,,,0.125,0.208,0.25,,,,,,,,,
2024/05/09,12:11 PM.,MIN,SEA,away,Partly Cloudy.,63,641154,C,1,0,0,0,0,0,0,0,0,1,2,.185,.185,.259,.444,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,97.0,107.0,107.0,106.0,103.0,110.0,,,,0.073,,0.219,0.201,,-2.77,-0.84,-0.14,,88.5,94.5,84.5,0.281,0.359,0.249,0.426,0.639,0.142,,,,,,,0.239,0.436,0.331,97.0,105.0,101.0,0.407,1.65,95.0,0.208,0.352,0.259,92.0,103.0,108.0,,,,,0.1,,-1.28,,82.4,,,,0.23,0.446,0.341,,,,,,,,,
2024/05/07,6:41 PM.,MIN,SEA,away,Partly Cloudy.,68,641927,C,2,0,0,0,0,0,0,0,0,1,1,.192,.192,.269,.461,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,,,,74.0,100.0,101.0,84.0,104.0,100.0,,0.195,0.118,0.294,-0.86,,2.03,1.98,86.2,83.4,,80.3,0.154,0.285,0.395,,,,0.279,0.504,0.229,0.095,0.162,0.307,,,,81.0,104.0,96.0,0.381,-0.01,91.7,0.258,0.506,0.222,94.0,99.0,103.0,,,,,0.011,,4.57,,76.0,,,,0.0,0.0,0.375,,,,,,,,,
