date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff
2024/04/24,7:20 PM.,MIA,ATL,home,Partly Cloudy.,71,664350,2B,0,0,0,0,0,0,0,0,0,0,0,.250,.222,.250,.472,664350,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.11,35.2,101.0,82.0,96.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.109,0.305,0.464,93.0,100.0,100.0,,,,77.0,98.0,88.0,84.0,110.0,106.0,,,,58.0,108.0,100.0,0.048,0.298,0.34,,,0.314,-1.21,-1.57,-4.7,,,1.58,93.8,83.6,85.4,92.7,,,0.267,0.433,0.104,0.375,0.518,0.114,0.22,0.22,0.17,,,,,,,,,,0.5,1.333,0.167
2024/04/23,7:19 PM.,MIA,ATL,home,Clear.,71,669432,2B,2,0,1,0,0,0,1,0,0,0,0,.250,.222,.250,.472,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,,,,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,,,,0.24,0.317,,0.206,,0.238,-0.26,,-0.36,-1.99,,-1.32,91.9,,85.6,91.5,82.4,,0.252,0.467,0.234,,,,0.295,0.396,0.238,,,,,,,0.312,0.506,0.259,0.292,0.492,0.1
2024/04/22,7:21 PM.,MIA,ATL,home,Clear.,62,677960,2B,3,0,1,0,0,0,1,0,0,0,2,.167,.167,.167,.334,677960,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.63,4.2,86.2,96.0,94.0,97.0,0.761,8.31,2.49,8.1,1.14,1.3,0.264,0.413,0.193,0.295,0.41,84.0,102.0,103.0,,,,96.0,97.0,96.0,82.0,98.0,95.0,120.0,87.0,98.0,,,,0.121,0.397,,0.222,,0.26,-0.81,,0.13,0.49,,1.39,95.9,,86.4,94.5,82.9,,0.319,0.451,0.141,,,,0.193,0.367,0.379,,,,0.118,0.176,0.51,0.25,0.5,0.5,0.259,0.5,0.063
2024/04/19,7:21 PM.,TEX,ATL,home,Cloudy.,80,571760,2B,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,126.0,105.0,103.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,20.0,51.0,51.0,0.014,0.501,0.001,0.278,0.036,0.17,0.15,-19.13,-4.52,-0.26,-3.31,0.46,91.5,86.6,83.7,92.2,82.5,75.6,0.23,0.412,0.213,,,,0.239,0.384,0.243,0.5,1.1,0.188,,,,0.26,0.385,0.365,0.455,0.455,0.125
2024/04/17,1:11 PM.,HOU,ATL,away,Roof Closed.,73,641585,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,641585,jpfrance,"France, J",Right,J.P. France,HOU,7.46,5.71,25.1,90.0,84.0,90.0,0.77,7.82,4.26,11.01,1.78,0.57,0.256,0.419,0.186,0.291,0.38,95.0,85.0,90.0,79.0,94.0,88.0,90.0,84.0,84.0,76.0,104.0,103.0,101.0,116.0,109.0,69.0,95.0,95.0,0.017,0.294,0.238,0.03,0.193,0.227,-2.28,-1.85,2.39,-21.4,0.32,0.6,92.2,86.8,82.3,91.2,78.5,74.2,0.375,0.563,0.151,0.346,0.615,0.224,0.095,0.238,0.297,0.2,0.2,0.381,0.5,1.375,0.3,,,,,,
