date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,CH%,wFC/C,wCU/C,wCH/C,vFC,vCH,vCU,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff
2024/08/30,7:11 PM.,HOU,KC,away,Roof Closed.,73,664285,RF,2,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,60.0,102.0,94.0,98.0,99.0,97.0,107.0,102.0,110.0,,,,0.458,0.012,,0.043,-4.64,,1.46,-0.2,94.5,,94.1,85.1,0.233,0.467,0.383,0.4,1.0,0.273,,,,0.276,0.399,0.116,130.0,96.0,104.0,129.0,96.0,108.0,,,,,0.313,0.175,,1.59,0.62,,89.9,79.7,0.226,0.278,0.354,,,,0.121,0.187,0.398
2024/08/26,1:10 PM.,CLE,KC,away,Sunny.,84,680704,RF,2,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,680704,nicksandlin,Sandlin,Right,Nick Sandlin,CLE,3.75,4.49,57.2,94.0,95.0,93.0,0.677,10.61,4.21,7.18,1.87,0.8,0.186,0.455,0.159,0.366,0.366,87.0,96.0,91.0,94.0,84.0,81.0,110.0,90.0,99.0,83.0,99.0,90.0,0.092,0.295,0.265,0.348,-1.58,2.95,-3.06,-0.34,92.6,84.8,92.6,79.4,0.243,0.457,0.413,0.294,0.608,0.178,0.1,0.2,0.483,0.308,0.577,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/25,1:11 PM.,PHI,KC,home,Sunny.,93,663465,RF,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,663465,kolbyallard,Allard,Left,Kolby Allard,PHI,5.0,4.34,27.0,102.0,65.0,98.0,0.801,7.67,2.67,11.33,1.67,1.11,0.198,0.36,0.174,0.372,0.47,56.0,100.0,93.0,38.0,115.0,101.0,,,,,,,0.06,0.401,,,-1.8,,-8.18,,90.0,,90.3,,,,,0.333,0.611,0.162,,,,0.75,1.5,0.0,74.0,108.0,102.0,85.0,96.0,101.0,69.0,102.0,100.0,0.174,0.122,0.243,-2.26,1.27,1.97,84.4,82.0,71.7,0.263,0.316,0.234,0.375,0.625,0.341,0.2,0.467,0.217
