date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wCU/C,vFA,vFC,vFS,vSI,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SL,Loc+ SL,Pit+ SL,SL%,CH%,wSL/C,wCH/C,vCH,vSL,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,vKN (sc),KN%,wKN/C
2024/10/10,7:08 PM.,NYY,KC,home,Clear.,78,543037,2B,4,0,0,0,0,0,0,0,0,2,2,.304,.360,.435,.795,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,,,,116.0,100.0,104.0,,,,99.0,102.0,102.0,,,,0.002,0.462,0.163,,,0.7,-0.7,,17.25,,95.9,91.4,,93.7,,0.189,0.365,0.234,0.32,0.56,0.22,,,,0.0,0.0,0.143,0.209,0.239,0.301,73.0,94.0,90.0,128.0,106.0,112.0,0.146,0.04,1.25,-3.6,88.2,88.2,0.222,0.27,0.264,0.333,0.667,0.28,,,,,,,102.0,99.0,106.0,0.187,2.35,82.5,,,,,,
2024/10/09,6:08 PM.,NYY,KC,home,Clear.,81,657376,2B,4,0,1,0,1,0,1,0,0,1,1,.368,.429,.526,.955,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.85,3.78,85.1,98.0,116.0,100.0,0.724,9.81,3.16,7.49,0.84,1.01,0.271,0.407,0.208,0.281,0.401,,,,,,,83.0,94.0,85.0,106.0,102.0,100.0,,,,0.21,,0.35,,,,0.53,,-0.75,,,92.4,,94.3,,,,,0.256,0.38,0.322,,,,0.267,0.483,0.203,0.143,0.19,0.33,36.0,89.0,96.0,136.0,94.0,102.0,0.252,0.006,1.21,-13.05,87.1,85.2,,,,0.667,1.0,0.0,0.21,0.323,0.297,,,,150.0,102.0,113.0,0.182,0.89,83.8,,,,,,
2024/10/07,7:38 PM.,NYY,KC,away,Partly Cloudy.,67,607074,2B,2,0,1,0,0,0,0,0,2,1,1,.400,.471,.467,.938,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,103.0,86.0,93.0,114.0,98.0,101.0,,,,100.0,83.0,82.0,,,,,0.494,0.035,,0.083,0.05,-3.11,,,-1.32,95.4,91.8,,,81.0,0.262,0.514,0.214,0.353,0.647,0.255,,,,,,,0.281,0.531,0.276,129.0,92.0,106.0,144.0,104.0,113.0,0.26,0.129,-0.4,1.44,85.5,86.8,0.199,0.361,0.393,0.188,0.247,0.495,,,,,,,,,,,,,,,,,,
2024/10/05,6:38 PM.,NYY,KC,away,Clear.,71,543037,2B,5,0,2,0,0,0,0,0,0,1,2,.385,.385,.462,.847,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,,,,116.0,100.0,104.0,,,,99.0,102.0,102.0,,,,0.002,0.462,0.163,,,0.7,-0.7,,17.25,,95.9,91.4,,93.7,,0.189,0.365,0.234,0.32,0.56,0.22,,,,0.0,0.0,0.143,0.209,0.239,0.301,73.0,94.0,90.0,128.0,106.0,112.0,0.146,0.04,1.25,-3.6,88.2,88.2,0.222,0.27,0.264,0.333,0.667,0.28,,,,,,,102.0,99.0,106.0,0.187,2.35,82.5,,,,,,
2024/10/02,4:38 PM.,BAL,KC,away,Cloudy.,69,621107,2B,4,1,2,1,0,0,0,0,0,1,0,.375,.375,.500,.875,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,108.0,112.0,108.0,61.0,105.0,94.0,91.0,109.0,105.0,85.0,105.0,98.0,,,,0.282,0.09,0.282,,0.188,-0.64,1.54,,0.0,-1.27,92.4,88.2,,91.7,78.8,0.236,0.418,0.248,0.214,0.345,0.223,,,,0.293,0.404,0.133,0.291,0.472,0.333,87.0,101.0,103.0,122.0,107.0,113.0,0.097,0.061,0.46,0.21,85.6,79.7,,,,0.188,0.354,0.105,0.236,0.473,0.203,,,,,,,,,,,,,,,
2024/10/01,4:08 PM.,BAL,KC,away,Overcast.,66,669203,2B,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,109.0,101.0,106.0,,,,104.0,95.0,89.0,125.0,105.0,108.0,,,,0.078,,0.45,,0.215,,1.37,,-0.5,0.44,,95.3,,97.0,80.3,,,,0.251,0.362,0.19,,,,0.235,0.412,0.157,0.2,0.326,0.378,110.0,98.0,103.0,133.0,105.0,120.0,0.146,0.11,0.7,0.2,89.2,87.2,0.196,0.268,0.463,0.194,0.339,0.377,0.125,0.5,0.457,,,,,,,,,,,,,,,
2024/09/29,3:21 PM.,ATL,KC,away,Partly Cloudy.,76,450203,2B,4,1,1,0,0,1,3,0,0,1,0,.259,.294,.449,.743,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,122.0,98.0,108.0,72.0,99.0,90.0,79.0,96.0,88.0,73.0,92.0,86.0,,,,0.099,0.289,0.078,,0.424,-1.4,-0.75,,0.39,0.78,94.1,88.5,,93.5,81.5,0.281,0.517,0.193,0.286,0.571,0.149,,,,0.333,0.433,0.07,0.2,0.309,0.342,86.0,97.0,93.0,,,,,0.11,,-1.38,85.0,,,,,0.292,0.6,0.333,,,,,,,,,,,,,,,,,,
2024/09/28,7:20 PM.,ATL,KC,away,Cloudy.,72,625643,2B,0,0,0,0,0,0,0,0,1,0,0,.259,.294,.442,.736,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,84.0,99.0,104.0,91.0,103.0,99.0,,,,,,,,,,,0.552,,,0.116,1.19,,,,1.61,95.5,,,,77.0,0.266,0.369,0.165,,,,,,,,,,0.151,0.264,0.364,75.0,110.0,105.0,113.0,100.0,105.0,0.294,0.038,1.45,-3.58,86.1,85.0,0.168,0.257,0.443,0.263,0.737,0.349,,,,,,,,,,,,,,,,,,
2024/09/27,7:21 PM.,ATL,KC,away,Cloudy.,72,608331,2B,4,0,2,2,0,0,0,0,0,1,1,.259,.292,.442,.734,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,93.0,96.0,94.0,,,,0.158,0.327,0.054,,0.21,0.63,-1.33,,1.47,1.39,93.9,88.5,,93.6,74.6,0.266,0.36,0.182,0.286,0.476,0.286,,,,0.265,0.299,0.137,0.154,0.285,0.371,91.0,101.0,103.0,102.0,97.0,98.0,0.115,0.136,0.5,1.7,85.7,82.1,0.22,0.293,0.297,0.196,0.283,0.251,0.167,0.2,0.358,,,,,,,,,,,,,,,
2024/09/26,1:05 PM.,WSH,KC,away,Cloudy.,77,571578,2B,1,1,0,0,0,0,0,0,1,0,0,.256,.290,.435,.725,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,73.0,100.0,97.0,55.0,97.0,84.0,71.0,103.0,92.0,76.0,107.0,98.0,,,,0.338,0.076,0.192,,0.016,-1.46,-0.37,,-1.9,-2.3,91.3,85.7,,91.5,70.0,0.311,0.578,0.133,0.301,0.434,0.223,,,,0.339,0.567,0.091,0.5,1.25,0.526,87.0,96.0,96.0,88.0,97.0,97.0,0.343,0.034,0.41,-5.53,81.0,80.0,0.216,0.335,0.354,0.409,0.773,0.279,,,,,,,,,,0.001,4.71,63.2,,,,,,
