date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff
2024/05/14,7:04 PM.,WSH,CWS,home,Cloudy.,55,680730,CF,2,1,1,0,0,0,0,2,1,1,0,.071,.176,.071,.247,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,97.0,96.0,96.0,78.0,101.0,96.0,,,,106.0,107.0,110.0,,,,,0.486,,0.098,0.225,,0.07,,,-0.73,0.47,,92.5,,,,84.5,80.5,,,,,,,0.252,0.36,0.263,0.276,0.425,0.12,,,,,,,89.0,94.0,94.0,0.191,-0.6,85.6,0.233,0.4,0.372,0.238,0.429,0.364
2024/05/12,1:10 PM.,CLE,CWS,home,Sunny.,78,671106,CF,4,0,0,0,0,0,0,0,0,2,3,.000,.071,.000,.071,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.73,5.9,97.1,96.0,77.0,91.0,0.803,7.3,3.79,10.45,2.03,1.13,0.234,0.396,0.136,0.328,0.405,99.0,92.0,94.0,,,,60.0,98.0,88.0,,,,89.0,98.0,86.0,91.0,97.0,96.0,,0.484,0.146,0.187,,0.183,-1.54,-0.03,,-2.55,,-0.92,91.2,85.3,81.7,,78.6,,,,,0.245,0.491,0.202,,,,0.342,0.609,0.147,0.273,0.576,0.333,0.237,0.438,0.269,,,,,,,,,,,,
2024/05/11,6:10 PM.,CLE,CWS,home,Clear.,58,663474,CF,0,0,0,0,0,0,0,0,0,0,0,.000,.100,.000,.100,663474,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.67,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,,,,97.0,102.0,100.0,98.0,86.0,87.0,,,,106.0,87.0,90.0,,,,,0.524,,0.21,0.266,,-2.18,,,1.48,-0.16,,91.1,,,,85.4,77.7,,,,,,,0.176,0.341,0.373,0.303,0.652,0.103,,,,,,,,,,,,,,,,0.143,0.143,0.376
2024/05/10,6:40 PM.,CLE,CWS,home,Partly Cloudy.,67,471911,CF,0,0,0,0,0,0,0,0,0,0,0,.000,.100,.000,.100,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.64,4.71,103.2,100.0,88.0,97.0,0.79,7.73,2.86,9.72,1.65,1.32,0.184,0.431,0.141,0.322,0.392,101.0,108.0,105.0,103.0,103.0,105.0,62.0,95.0,86.0,90.0,95.0,89.0,96.0,104.0,108.0,,,,0.165,0.26,,0.278,0.067,0.23,-0.84,,-1.96,-0.96,1.49,-1.09,91.6,,86.8,91.1,83.5,80.4,0.304,0.609,0.13,,,,0.053,0.158,0.213,0.337,0.554,0.146,0.25,0.313,0.357,0.241,0.472,0.282,,,,,,,,,,0.284,0.52,0.288
2024/05/09,7:24 PM.,CLE,CWS,home,Drizzle.,53,594902,CF,0,0,0,0,0,0,0,0,0,0,0,.000,.100,.000,.100,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,43.0,106.0,93.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,,,,0.29,0.314,,0.218,0.088,0.091,-0.21,,0.56,-0.01,-0.11,-0.79,89.9,,83.9,90.4,79.4,76.9,0.227,0.392,0.133,,,,0.206,0.365,0.18,0.268,0.504,0.166,0.231,0.413,0.241,0.279,0.382,0.185,,,,,,,,,,0.238,0.476,0.419
2024/05/08,6:50 PM.,TB,CWS,away,Dome.,72,650644,CF,0,0,0,0,0,0,0,0,0,0,0,.000,.100,.000,.100,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,71.0,93.0,83.0,152.0,101.0,112.0,91.0,100.0,101.0,0.24,0.099,0.322,0.163,0.156,,-1.7,1.08,0.06,-1.03,-1.36,,92.0,88.1,,92.6,80.5,77.1,0.241,0.421,0.158,0.232,0.394,0.233,0.25,0.479,0.275,0.294,0.49,0.095,0.267,0.467,0.272,,,,57.0,96.0,102.0,0.02,-4.86,85.6,0.375,0.625,0.261,0.25,0.375,0.438
2024/05/07,6:50 PM.,TB,CWS,away,Dome.,72,621107,CF,4,0,0,0,0,0,0,0,0,0,2,.000,.100,.000,.100,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,108.0,112.0,108.0,61.0,105.0,94.0,91.0,109.0,105.0,122.0,107.0,113.0,85.0,105.0,98.0,0.282,0.09,0.282,0.097,0.188,0.061,-0.64,1.54,0.0,0.46,-1.27,0.21,92.4,88.2,85.6,91.7,79.7,78.8,0.293,0.404,0.133,0.214,0.345,0.223,0.291,0.472,0.333,0.236,0.418,0.248,0.236,0.473,0.203,0.188,0.354,0.105,,,,,,,,,,,,
2024/05/05,1:16 PM.,STL,CWS,away,Partly Cloudy.,71,669461,CF,0,0,0,0,0,0,0,0,0,0,0,.000,.167,.000,.167,669461,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.4,4.2,86.0,101.0,98.0,100.0,0.777,7.95,2.93,8.48,1.15,1.05,0.238,0.361,0.147,0.294,0.469,49.0,89.0,90.0,134.0,100.0,107.0,73.0,99.0,91.0,79.0,108.0,103.0,137.0,101.0,108.0,98.0,105.0,103.0,0.204,0.283,0.128,0.276,0.065,0.044,-0.28,-1.81,-0.76,1.9,-0.33,2.53,94.7,91.4,87.8,95.4,87.4,78.2,0.284,0.481,0.142,0.432,0.622,0.228,0.174,0.174,0.273,0.262,0.615,0.195,,,,0.0,0.0,0.2,,,,,,,,,,0.185,0.25,0.384
2024/05/04,1:17 PM.,STL,CWS,away,Sunny.,81,458681,CF,1,1,0,0,0,0,0,0,0,0,1,.000,.167,.000,.167,458681,lancelynn,Lynn,Right,Lance Lynn,STL,3.84,4.94,117.1,100.0,83.0,94.0,0.795,8.36,3.38,8.67,1.23,0.88,0.243,0.384,0.161,0.308,0.401,61.0,88.0,82.0,112.0,96.0,99.0,85.0,102.0,97.0,66.0,93.0,84.0,102.0,101.0,109.0,91.0,101.0,94.0,0.167,0.472,0.223,0.013,0.062,0.063,0.87,-1.03,-0.46,-1.62,-1.98,-2.47,92.3,88.1,84.8,91.2,82.0,80.4,0.284,0.469,0.11,0.317,0.426,0.262,0.211,0.342,0.203,0.199,0.393,0.287,0.25,0.25,0.0,0.292,0.292,0.225,,,,,,,,,,,,
2024/04/30,6:40 PM.,MIN,CWS,home,Clear.,70,680573,PH,0,0,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,,,,92.0,108.0,106.0,,,,,0.403,,0.312,0.093,0.193,0.82,,,0.76,1.68,-3.33,93.1,,82.8,,86.4,76.1,,,,,,,0.186,0.326,0.221,0.258,0.356,0.219,,,,0.311,0.622,0.205,,,,,,,,,,0.214,0.313,0.239
