date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024/07/07,1:36 PM.,NYM,PIT,home,Clear.,87,640455,RF,2,0,0,0,0,0,0,0,0,0,2,.224,.291,.333,.624,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,,,,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,0.447,0.113,0.251,,0.118,1.13,1.36,0.37,,-1.19,92.3,85.3,92.3,79.5,,0.167,0.295,0.311,0.174,0.435,0.32,0.25,0.438,0.254,0.201,0.333,0.21,,,,,,,0.193,0.311,0.388,,,,,,,84.0,88.0,85.0,0.071,0.97,88.4,0.222,0.25,0.179,,,,,,,,,
2024/07/04,12:37 PM.,STL,PIT,home,Cloudy.,82,669467,PH,1,0,0,0,0,0,0,0,0,0,0,.227,.294,.337,.631,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,,,,,,,87.0,91.0,92.0,85.0,98.0,89.0,111.0,105.0,110.0,0.19,0.512,0.172,,,1.34,-0.25,-0.64,,,94.5,,94.8,87.5,,0.23,0.297,0.162,0.294,0.435,0.282,,,,0.265,0.373,0.132,,,,,,,,,,,,,0.157,0.257,0.345,,,,,,,,,,88.0,102.0,109.0,0.126,0.42,79.5,,,
2024/07/03,6:41 PM.,STL,PIT,home,Partly Cloudy.,91,571945,RF,4,0,0,0,0,0,0,0,0,0,3,.228,.295,.339,.634,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,94.0,109.0,106.0,65.0,107.0,98.0,80.0,111.0,99.0,116.0,112.0,114.0,0.231,0.279,0.283,0.116,0.085,0.23,1.42,-1.19,-1.97,-4.2,93.2,85.6,92.4,85.7,76.6,0.287,0.446,0.178,0.301,0.506,0.164,0.394,0.742,0.159,0.237,0.382,0.108,,,,,,,0.273,0.545,0.275,,,,0.267,0.52,0.231,,,,,,,,,,,,,0.005,4.24,69.6,,,
2024/07/02,6:42 PM.,STL,PIT,home,Clear.,87,502043,RF,2,0,0,0,0,0,0,0,0,1,1,.234,.302,.347,.649,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,102.0,103.0,104.0,80.0,88.0,83.0,84.0,101.0,96.0,104.0,102.0,105.0,0.264,0.132,0.207,0.086,0.099,-1.39,0.22,0.92,-2.21,1.2,91.4,84.9,90.7,80.7,78.3,0.268,0.563,0.065,,,,0.19,0.254,0.39,0.267,0.422,0.092,,,,,,,0.2,0.312,0.412,,,,0.325,0.675,0.462,96.0,95.0,91.0,0.211,0.21,88.6,0.299,0.479,0.181,,,,,,,,,
2024/06/30,11:36 AM.,ATL,PIT,away,Partly Cloudy.,88,680885,RF,3,1,1,0,0,0,0,0,1,0,1,.236,.305,.352,.657,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,,,,101.0,104.0,108.0,110.0,108.0,108.0,93.0,102.0,101.0,110.0,113.0,119.0,0.068,0.291,0.199,0.146,,0.27,-0.12,0.61,0.29,,96.1,,95.1,87.3,80.6,0.24,0.448,0.205,0.225,0.333,0.279,,,,0.231,0.385,0.078,84.0,107.0,109.0,0.128,1.96,84.5,,,,0.147,0.235,0.463,0.236,0.436,0.409,94.0,104.0,100.0,0.168,0.53,92.9,0.27,0.5,0.199,,,,,,,,,
2024/06/29,4:11 PM.,ATL,PIT,away,Partly Cloudy.,84,608331,RF,3,0,1,0,0,0,1,0,1,1,2,.235,.301,.352,.653,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,0.158,0.327,0.115,0.21,0.136,0.63,1.47,0.5,1.39,1.7,93.9,85.7,93.6,82.1,74.6,0.266,0.36,0.182,0.22,0.293,0.297,0.196,0.283,0.251,0.265,0.299,0.137,,,,,,,0.167,0.2,0.358,,,,0.154,0.285,0.371,93.0,96.0,94.0,0.054,-1.33,88.5,0.286,0.476,0.286,,,,,,,,,
2024/06/28,7:21 PM.,ATL,PIT,away,Partly Cloudy.,88,450203,RF,4,0,0,0,0,0,0,0,0,2,3,.233,.298,.352,.650,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,122.0,98.0,108.0,72.0,99.0,90.0,79.0,96.0,88.0,,,,0.099,0.289,,0.424,0.11,-1.4,0.39,,0.78,-1.38,94.1,85.0,93.5,,81.5,0.281,0.517,0.193,,,,0.292,0.6,0.333,0.333,0.433,0.07,,,,,,,,,,,,,0.2,0.309,0.342,73.0,92.0,86.0,0.078,-0.75,88.5,0.286,0.571,0.149,,,,,,,,,
2024/06/25,7:11 PM.,CIN,PIT,away,Partly Cloudy.,87,668881,RF,5,0,1,0,0,0,2,0,0,1,3,.239,.305,.361,.666,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.75,3.03,150.1,99.0,124.0,104.0,0.741,10.12,3.41,5.75,0.72,0.7,0.284,0.388,0.199,0.265,0.429,,,,118.0,96.0,101.0,123.0,102.0,104.0,,,,125.0,96.0,103.0,,0.552,0.346,0.018,,1.56,,0.62,-2.87,,97.6,,,86.8,80.9,0.184,0.273,0.248,0.161,0.3,0.39,,,,,,,120.0,89.0,103.0,0.083,-0.79,87.0,,,,0.243,0.405,0.284,0.4,1.0,0.2,,,,,,,,,,,,,,,,,,
2024/06/24,7:11 PM.,CIN,PIT,away,Partly Cloudy.,85,686730,RF,3,2,3,0,0,0,0,0,1,0,0,.240,.308,.367,.675,686730,carsonspiers,Spiers,Right,Carson Spiers,CIN,5.46,4.84,90.2,103.0,89.0,100.0,0.805,7.94,2.68,11.12,1.99,0.79,0.265,0.413,0.195,0.339,0.452,69.0,102.0,90.0,,,,76.0,101.0,95.0,80.0,107.0,99.0,121.0,106.0,113.0,0.175,0.299,0.245,,0.121,-1.66,0.68,-1.23,,-5.43,92.4,86.7,92.1,81.5,,0.256,0.462,0.205,0.0,0.0,0.4,0.396,0.774,0.198,0.3,0.5,0.122,,,,,,,0.291,0.544,0.319,,,,,,,82.0,103.0,98.0,0.16,-0.84,87.8,0.321,0.547,0.195,,,,,,,,,
2024/06/23,1:36 PM.,TB,PIT,home,Cloudy.,84,650644,LF,4,0,1,0,0,0,0,0,0,0,1,.224,.291,.354,.645,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,71.0,93.0,83.0,152.0,101.0,112.0,0.24,0.099,0.163,0.156,,-1.7,0.06,-1.03,-1.36,,92.0,,92.6,80.5,77.1,0.294,0.49,0.095,0.25,0.375,0.438,,,,0.241,0.421,0.158,57.0,96.0,102.0,0.02,-4.86,85.6,0.267,0.467,0.272,0.375,0.625,0.261,0.25,0.479,0.275,91.0,100.0,101.0,0.322,1.08,88.1,0.232,0.394,0.233,,,,,,,,,
