date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,SV_ba,SV_slg,SV_whiff
2024/09/07,6:08 PM.,TEX,LAA,away,Clear.,85,683004,3B,2,0,0,0,0,0,1,0,1,0,1,.218,.307,.267,.574,683004,jackleiter,Leiter,Right,Jack Leiter,TEX,8.83,6.25,35.2,97.0,121.0,103.0,0.745,7.82,4.29,11.1,1.77,0.88,0.248,0.38,0.149,0.322,0.402,106.0,77.0,85.0,90.0,95.0,100.0,,,,118.0,104.0,109.0,58.0,65.0,57.0,,0.018,0.291,0.114,0.058,-13.12,,-0.99,0.97,1.36,91.1,89.5,,86.8,81.4,,,,0.118,0.294,0.387,0.286,0.429,0.218,0.125,0.125,0.357,,,,,,,133.0,98.0,105.0,0.519,-2.71,96.4,0.35,0.625,0.289,,,,,,,,,,,,,,,,,,,,,
2024/09/06,7:07 PM.,TEX,LAA,away,Roof Closed.,74,642520,3B,4,1,0,0,0,0,0,0,0,0,2,.221,.308,.270,.578,642520,gersongarabito,Garabito,Right,Gerson Garabito,TEX,4.78,6.62,26.1,101.0,97.0,100.0,0.8,7.52,4.1,7.86,1.37,0.84,0.195,0.481,0.143,0.299,0.392,74.0,90.0,85.0,109.0,110.0,111.0,85.0,110.0,106.0,83.0,60.0,69.0,,,,0.104,,0.049,0.339,0.116,,1.24,-2.94,2.75,-1.78,,86.6,92.1,88.7,82.1,,,,0.171,0.171,0.297,0.0,0.0,0.111,0.2,0.467,0.222,0.333,0.333,0.105,,,,97.0,99.0,96.0,0.392,-1.82,93.3,0.333,0.7,0.163,,,,,,,,,,,,,,,,,,,,,
2024/09/04,6:40 PM.,LAD,LAA,home,Clear.,93,676272,3B,4,1,1,0,0,0,2,0,0,0,3,.225,.313,.275,.588,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,120.0,99.0,104.0,101.0,93.0,89.0,115.0,99.0,108.0,,,,0.136,,0.096,0.19,0.199,,-4.54,-3.17,-1.0,0.29,,86.4,97.3,88.6,79.8,,,,0.357,0.536,0.286,0.333,0.619,0.275,0.13,0.217,0.41,0.433,0.9,0.174,,,,119.0,89.0,92.0,0.379,-1.44,97.6,0.327,0.634,0.167,,,,,,,,,,,,,,,,,,,,,
2024/09/03,6:39 PM.,LAD,LAA,home,Clear.,82,621111,3B,3,0,0,0,0,0,0,0,1,0,0,.224,.314,.276,.590,621111,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.38,4.78,75.1,101.0,93.0,100.0,0.819,7.65,3.35,10.63,1.91,1.29,0.208,0.429,0.143,0.335,0.435,70.0,100.0,89.0,,,,82.0,99.0,92.0,119.0,99.0,108.0,103.0,103.0,100.0,0.163,0.208,0.095,,0.052,1.62,-0.74,-0.87,,-5.9,91.2,90.0,94.8,82.9,,0.238,0.397,0.215,0.278,0.481,0.267,1.0,2.5,0.25,0.455,0.773,0.088,0.291,0.327,0.115,0.121,0.303,0.294,85.0,102.0,99.0,0.29,-2.43,95.0,0.342,0.696,0.169,100.0,98.0,105.0,,,,,0.192,,-1.56,,78.0,,,,,,,,,
2024/09/01,1:08 PM.,SEA,LAA,home,Sunny.,83,682243,3B,4,0,1,0,0,0,2,0,0,0,2,.228,.315,.280,.595,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,2.94,3.72,180.1,101.0,112.0,105.0,0.774,8.53,2.25,6.54,1.05,0.86,0.249,0.404,0.14,0.318,0.442,,,,,,,100.0,102.0,99.0,122.0,96.0,101.0,93.0,80.0,85.0,0.171,0.023,0.168,,,0.14,1.55,-0.21,,,92.1,,94.7,84.5,,0.25,0.333,0.207,0.231,0.308,0.378,0.243,0.568,0.261,,,,0.248,0.358,0.092,0.24,0.4,0.188,124.0,102.0,106.0,0.423,1.53,95.2,0.184,0.348,0.266,92.0,104.0,111.0,95.0,107.0,111.0,0.171,0.044,1.51,-0.4,84.4,85.0,0.148,0.225,0.29,,,,,,
2024/08/31,6:38 PM.,SEA,LAA,home,Clear.,77,693433,3B,4,1,2,1,0,0,0,0,0,0,0,.228,.317,.280,.597,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,,,,116.0,109.0,109.0,113.0,101.0,107.0,,,,0.23,,0.187,,0.094,,1.85,1.23,,0.0,,89.6,94.7,84.2,,,,,,,,0.265,0.529,0.241,0.186,0.373,0.207,0.234,0.315,0.097,0.1,0.1,0.417,97.0,109.0,107.0,0.489,1.44,94.8,0.218,0.355,0.273,,,,,,,,,,,,,,,,,,,,,
2024/08/30,6:39 PM.,SEA,LAA,home,Clear.,73,669923,3B,3,0,0,0,0,0,0,0,0,0,1,.222,.313,.270,.583,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,,,,106.0,108.0,108.0,110.0,104.0,110.0,97.0,99.0,93.0,0.236,0.004,0.237,,,0.79,1.5,1.28,,,92.3,,96.0,87.2,,,,,0.333,0.439,0.286,0.226,0.316,0.271,,,,0.263,0.354,0.105,,,,102.0,107.0,101.0,0.339,0.46,96.0,0.221,0.458,0.291,114.0,110.0,113.0,109.0,100.0,108.0,0.102,0.082,-2.05,-1.95,86.0,83.4,0.253,0.413,0.295,73.9,0.0,-3.5,,,
2024/08/29,1:10 PM.,DET,LAA,away,Overcast.,72,672456,3B,3,1,0,0,0,0,0,0,1,1,2,.225,.314,.275,.589,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,,,,90.0,101.0,97.0,110.0,99.0,104.0,,,,0.078,,0.28,,0.109,,1.09,0.02,,-2.78,,86.0,94.1,83.5,,,,,0.269,0.615,0.224,0.235,0.391,0.259,0.289,0.474,0.329,0.32,0.32,0.038,,,,92.0,100.0,96.0,0.421,-0.19,94.8,0.27,0.486,0.18,95.0,102.0,111.0,,,,,0.112,,-3.94,,78.8,,,,,,,,,
2024/08/28,8:30 PM.,DET,LAA,away,Cloudy.,79,669438,3B,4,0,1,1,0,0,0,0,0,1,1,.229,.316,.279,.595,669438,masonenglert,Englert,Right,Mason Englert,DET,5.4,5.78,21.2,102.0,96.0,103.0,0.737,6.65,2.08,9.55,1.66,0.84,0.239,0.465,0.113,0.31,0.378,124.0,112.0,116.0,83.0,112.0,118.0,78.0,94.0,90.0,108.0,104.0,113.0,,,,0.104,0.137,0.164,0.036,0.29,-1.67,-7.69,2.61,0.27,-0.44,88.5,86.1,91.0,84.5,81.1,0.3,0.7,0.261,0.25,0.5,0.25,0.222,0.222,0.486,0.238,0.429,0.377,0.375,1.0,0.167,,,,76.0,98.0,89.0,0.268,-0.96,92.8,0.269,0.615,0.075,,,,,,,,,,,,,,,,,,,,,
2024/08/27,9:25 PM.,DET,LAA,away,Clear.,75,676428,3B,3,0,1,0,0,0,0,0,1,1,2,.229,.317,.274,.591,676428,branthurter,Hurter,Left,Brant Hurter,DET,2.58,2.27,45.1,102.0,90.0,95.0,0.815,7.54,1.19,6.75,0.79,1.58,0.206,0.366,0.206,0.229,0.495,58.0,95.0,83.0,,,,89.0,107.0,94.0,111.0,98.0,103.0,,,,0.504,,0.307,,0.118,,2.47,0.03,,0.55,,85.6,92.4,83.1,,,,,,,,,,,0.188,0.313,0.212,0.234,0.319,0.098,0.184,0.388,0.37,55.0,102.0,88.0,0.071,2.29,92.1,0.0,0.0,0.348,,,,,,,,,,,,,,,,,,,,,
