date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/09/29,2:20 PM.,CHC,CIN,away,Cloudy.,71,668873,LF,0,1,0,0,0,0,0,0,0,0,0,.154,.241,.308,.549,668873,calebkilian,Kilian,Right,Caleb Kilian,CHC,4.22,7.0,10.2,96.0,55.0,90.0,0.81,5.91,5.06,9.28,1.69,1.08,0.286,0.429,0.171,0.4,0.395,138.0,109.0,132.0,,,,46.0,90.0,81.0,66.0,46.0,34.0,45.0,107.0,102.0,0.024,0.455,0.383,0.078,,0.012,1.54,4.47,-47.66,-7.5,,-69.6,93.6,85.2,86.8,92.3,80.1,,0.235,0.235,0.079,,,,0.059,0.059,0.324,1.0,2.5,0.0,0.667,1.0,0.25,117.0,85.0,95.0,,,,,,,88.0,99.0,101.0,0.048,-11.3,76.3,,,,,,,,,,,,
2024/09/25,6:41 PM.,CLE,CIN,away,Overcast.,71,689958,LF,2,0,0,0,0,0,0,0,0,2,0,.154,.241,.308,.549,689958,andrewwalters,Walters,Right,Andrew Walters,CLE,0.0,2.96,8.2,94.0,119.0,99.0,0.704,6.23,5.19,1.04,0.0,0.38,0.286,0.238,0.143,0.19,0.379,,,,,,,124.0,99.0,104.0,,,,,,,,0.629,,0.371,,,3.31,,,3.39,,,95.9,,,,85.8,,0.059,0.118,0.306,,,,,,,,,,,,,111.0,87.0,91.0,0.0,0.0,0.409,,,,,,,,,,,,,,,,,,,,,
2024/09/19,1:11 PM.,ATL,CIN,home,Sunny.,85,519242,CF,3,3,2,0,0,1,1,2,1,1,1,.167,.259,.333,.592,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,64.0,107.0,98.0,,,,96.0,105.0,101.0,113.0,100.0,96.0,,,,0.072,0.378,,0.403,,0.147,-0.12,,-1.99,2.16,,2.97,94.8,,87.1,94.2,78.6,,0.281,0.443,0.241,0.159,0.195,0.236,,,,0.327,0.551,0.133,,,,105.0,100.0,104.0,0.171,0.236,0.427,,,,,,,,,,,,,,,,,,,,,
2024/09/15,12:06 PM.,MIN,CIN,away,Partly Cloudy.,81,701581,LF,1,0,1,0,0,0,0,0,0,0,0,.095,.174,.143,.317,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,,,,107.0,96.0,99.0,,,,,,,,0.402,,0.318,,0.28,-0.79,,,1.48,,-1.14,94.7,,88.4,,86.1,,0.304,0.544,0.194,0.237,0.463,0.394,,,,,,,,,,118.0,103.0,105.0,0.207,0.315,0.291,,,,,,,,,,,,,,,,,,,,,
2024/09/14,6:13 PM.,MIN,CIN,away,Overcast.,76,680573,LF,1,0,0,0,0,0,0,0,0,0,0,.050,.136,.100,.236,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,,,,,,,,0.403,,0.312,0.093,0.193,0.82,,,0.76,1.68,-3.33,93.1,,82.8,,86.4,76.1,0.258,0.356,0.219,0.311,0.622,0.205,,,,,,,0.186,0.326,0.221,92.0,108.0,106.0,0.214,0.313,0.239,,,,,,,,,,,,,,,,,,,,,
2024/09/08,1:41 PM.,NYM,CIN,away,Sunny.,68,622663,DH,0,0,0,0,0,0,0,0,0,0,0,.053,.143,.105,.248,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,,,,101.0,104.0,102.0,90.0,98.0,94.0,92.0,91.0,89.0,0.248,0.355,0.081,0.242,,0.075,0.15,1.05,1.24,0.26,,-3.63,96.2,92.6,86.1,95.6,85.6,,0.243,0.392,0.218,0.358,0.66,0.186,0.2,0.3,0.26,0.278,0.414,0.122,,,,143.0,100.0,111.0,0.263,0.342,0.284,0.139,0.238,0.386,,,,,,,,,,,,,,,,,,
2024/09/02,4:12 PM.,HOU,CIN,home,Sunny.,79,434378,LF,1,0,0,0,0,0,0,0,0,1,2,.053,.143,.105,.248,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,110.0,101.0,97.0,116.0,98.0,102.0,,,,,,,,0.487,,0.193,0.219,0.101,-0.59,,,0.66,-1.46,-0.58,93.5,,84.0,,86.7,77.6,0.299,0.497,0.202,0.235,0.353,0.253,,,,,,,0.34,0.56,0.22,127.0,108.0,112.0,0.195,0.322,0.215,,,,,,,,,,,,,,,,,,,,,
2024/07/07,1:41 PM.,DET,CIN,home,Partly Cloudy.,86,669373,CF,2,0,0,0,0,0,0,0,0,1,2,.056,.150,.111,.261,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,,,,0.205,0.332,,0.149,,0.271,1.84,,1.25,0.78,,1.13,96.8,,86.3,96.6,88.7,,0.197,0.286,0.277,0.216,0.322,0.461,,,,0.207,0.305,0.16,0.158,0.316,0.175,111.0,99.0,103.0,0.169,0.364,0.346,,,,95.0,91.0,101.0,0.042,1.26,78.5,,,,,,,,,,,,
2024/07/06,4:11 PM.,DET,CIN,home,Partly Cloudy.,85,656412,LF,2,0,0,0,0,0,0,0,0,2,1,.063,.167,.125,.292,656412,alexfaedo,Faedo,Right,Alex Faedo,DET,3.61,4.43,57.1,100.0,104.0,101.0,0.698,8.63,4.4,7.69,1.41,1.03,0.275,0.406,0.138,0.306,0.362,108.0,102.0,108.0,,,,91.0,94.0,89.0,80.0,93.0,90.0,,,,0.054,0.352,,0.396,,0.199,-0.58,,-4.02,0.89,,-0.86,94.0,,89.1,93.5,83.2,,0.218,0.437,0.247,0.286,0.405,0.268,,,,0.545,0.727,0.083,,,,115.0,106.0,110.0,0.171,0.314,0.43,,,,,,,,,,,,,,,,,,,,,
2024/07/05,7:17 PM.,DET,CIN,home,Partly Cloudy.,80,681857,PR,0,0,0,0,0,0,0,0,0,0,0,.071,.188,.143,.331,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,,,,0.205,0.234,,0.278,0.06,0.223,-0.39,,1.85,2.08,-3.32,-0.05,94.2,,86.5,94.2,84.8,79.0,0.277,0.386,0.101,0.222,0.344,0.429,,,,0.284,0.385,0.076,0.304,0.652,0.295,111.0,97.0,103.0,0.143,0.194,0.455,,,,,,,,,,,,,,,,,,,,,
