date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,KC%,KN%,wKC/C,wKN/C,vKC
2024/08/16,6:41 PM.,NYY,DET,home,Partly Cloudy.,80,543037,1B,4,0,0,0,0,0,0,0,0,1,2,.269,.324,.358,.682,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,116.0,100.0,104.0,,,,128.0,106.0,112.0,,,,0.002,0.462,,0.146,0.7,,17.25,1.25,95.9,,93.7,88.2,0.189,0.365,0.234,,,,0.222,0.27,0.264,0.0,0.0,0.143,73.0,94.0,90.0,,,,,0.04,,-3.6,88.2,,0.209,0.239,0.301,99.0,102.0,102.0,0.163,-0.7,91.4,0.32,0.56,0.22,0.333,0.667,0.28,,,,,,,,102.0,99.0,106.0,0.187,,2.35,,82.5
2024/08/15,1:10 PM.,SEA,DET,home,Sunny.,80,682243,1B,3,0,0,0,0,0,0,0,0,1,0,.286,.343,.381,.724,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,2.94,3.72,180.1,101.0,112.0,105.0,0.774,8.53,2.25,6.54,1.05,0.86,0.249,0.404,0.14,0.318,0.442,124.0,102.0,106.0,100.0,102.0,99.0,122.0,96.0,101.0,95.0,107.0,111.0,0.171,0.423,0.171,0.168,1.53,1.51,1.55,-0.21,95.2,84.4,94.7,84.5,0.184,0.348,0.266,0.148,0.225,0.29,0.243,0.568,0.261,0.248,0.358,0.092,,,,,,,,,,,,,0.231,0.308,0.378,93.0,80.0,85.0,0.023,0.14,92.1,0.25,0.333,0.207,,,,0.24,0.4,0.188,,,,,92.0,104.0,111.0,0.044,,-0.4,,85.0
2024/08/14,6:40 PM.,SEA,DET,home,Clear.,82,693433,1B,4,0,1,0,0,0,0,0,0,1,0,.300,.358,.400,.758,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,,,,0.23,0.489,,0.187,1.44,,1.85,1.23,94.8,,94.7,84.2,0.218,0.355,0.273,,,,0.265,0.529,0.241,0.234,0.315,0.097,91.0,104.0,100.0,,,,,0.094,,0.0,89.6,,,,,,,,,,,,,,0.186,0.373,0.207,0.1,0.1,0.417,,,,,,,,,,,,
2024/08/13,6:40 PM.,SEA,DET,home,Clear.,81,669923,1B,4,2,2,0,0,0,2,0,1,0,0,.304,.365,.411,.776,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,109.0,100.0,108.0,0.236,0.339,0.102,0.237,0.46,-2.05,1.5,1.28,96.0,86.0,96.0,87.2,0.221,0.458,0.291,0.253,0.413,0.295,0.226,0.316,0.271,0.263,0.354,0.105,,,,,,,,,,,,,0.333,0.439,0.286,97.0,99.0,93.0,0.004,0.79,92.3,,,,,,,,,,,,,73.9,114.0,110.0,113.0,0.082,0.0,-1.95,-3.5,83.4
2024/08/11,1:06 PM.,SF,DET,away,Partly Cloudy.,62,806185,1B,1,0,0,0,0,0,0,0,1,0,0,.288,.345,.404,.749,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,90.0,89.0,85.0,,,,119.0,90.0,100.0,,,,,0.446,,0.184,-0.02,,,-0.26,95.8,,,86.4,0.216,0.44,0.182,,,,0.244,0.512,0.487,,,,155.0,91.0,114.0,111.0,102.0,104.0,0.187,0.184,0.82,-0.87,88.1,80.5,0.145,0.218,0.327,,,,,,,,,,0.269,0.365,0.349,,,,,,,,,,,,,,,
2024/08/10,1:06 PM.,SF,DET,away,Partly Cloudy.,66,657277,1B,3,0,0,0,0,0,0,0,1,0,2,.294,.339,.412,.751,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,57.0,106.0,88.0,95.0,104.0,102.0,126.0,104.0,114.0,,,,0.399,0.053,,0.212,0.2,,1.32,0.16,92.6,,92.6,83.8,0.179,0.231,0.329,,,,,,,0.268,0.338,0.144,137.0,105.0,112.0,,,,,0.309,,-0.13,87.4,,,,,52.0,95.0,88.0,0.026,4.3,91.0,0.077,0.077,0.265,0.275,0.411,0.216,0.239,0.331,0.268,,,,,,,,,,,,
2024/08/09,7:15 PM.,SF,DET,away,Cloudy.,61,592662,RF,1,0,0,0,0,0,0,0,0,1,0,.313,.346,.438,.784,592662,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.72,30.2,95.0,102.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,96.0,98.0,96.0,,,,99.0,91.0,91.0,,,,,0.528,,0.322,0.46,,,0.18,94.1,,,88.4,0.167,0.367,0.264,,,,0.148,0.222,0.458,,,,,,,,,,,,,,,,0.316,0.684,0.489,,,,,,,,,,,,,,,,,,,,133.0,96.0,100.0,0.15,,-2.65,,83.5
2024/08/08,6:41 PM.,SEA,DET,away,Partly Cloudy.,80,693433,1B,4,1,1,0,0,0,0,0,0,1,0,.319,.353,.447,.800,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,,,,0.23,0.489,,0.187,1.44,,1.85,1.23,94.8,,94.7,84.2,0.218,0.355,0.273,,,,0.265,0.529,0.241,0.234,0.315,0.097,91.0,104.0,100.0,,,,,0.094,,0.0,89.6,,,,,,,,,,,,,,0.186,0.373,0.207,0.1,0.1,0.417,,,,,,,,,,,,
2024/08/07,6:42 PM.,SEA,DET,away,Clear.,73,669923,1B,5,0,1,1,0,0,0,0,0,3,4,.326,.362,.465,.827,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,109.0,100.0,108.0,0.236,0.339,0.102,0.237,0.46,-2.05,1.5,1.28,96.0,86.0,96.0,87.2,0.221,0.458,0.291,0.253,0.413,0.295,0.226,0.316,0.271,0.263,0.354,0.105,,,,,,,,,,,,,0.333,0.439,0.286,97.0,99.0,93.0,0.004,0.79,92.3,,,,,,,,,,,,,73.9,114.0,110.0,113.0,0.082,0.0,-1.95,-3.5,83.4
2024/08/06,6:42 PM.,SEA,DET,away,Clear.,68,622491,1B,4,0,0,0,0,0,0,0,0,2,1,.342,.381,.474,.855,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,120.0,105.0,103.0,100.0,102.0,98.0,72.0,106.0,108.0,,,,0.179,0.454,,0.224,0.97,,-0.41,0.65,95.6,,95.6,85.7,0.203,0.365,0.273,,,,0.207,0.357,0.358,0.298,0.457,0.105,89.0,104.0,97.0,,,,,0.143,,-1.63,88.1,,,,,,,,,,,,,,0.287,0.545,0.265,,,,,,,,,,,,,,,
2024/08/04,1:40 PM.,KC,DET,home,Sunny.,86,608379,1B,2,0,1,0,0,0,0,0,1,0,0,.382,.421,.529,.950,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,,,,0.153,0.238,,0.092,0.39,,0.29,-2.39,93.6,,93.6,84.1,0.279,0.449,0.169,,,,0.371,0.6,0.373,0.252,0.301,0.099,111.0,109.0,112.0,72.0,89.0,92.0,0.081,0.322,-1.64,2.26,81.2,75.2,0.357,0.643,0.174,78.0,100.0,92.0,0.114,-0.94,88.8,0.319,0.458,0.148,0.169,0.312,0.341,,,,,,,,,,,,,,,
