date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff
2024/09/29,12:09 PM.,TEX,LAA,home,Sunny.,75,543135,CF,3,0,0,0,0,0,0,0,0,2,1,.229,.291,.377,.668,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,75.0,105.0,98.0,,,,114.0,102.0,102.0,,,,,0.374,0.033,,,0.83,,-0.69,,,95.4,,,86.3,,,,,0.212,0.335,0.178,,,,0.269,0.462,0.25,0.214,0.471,0.355,99.0,104.0,104.0,91.0,108.0,99.0,127.0,101.0,110.0,0.148,0.308,0.137,-1.41,1.55,-0.79,91.4,88.4,76.7,0.2,0.286,0.368,,,,0.327,0.624,0.2,,,,,,,,,
2024/09/28,6:41 PM.,TEX,LAA,home,Clear.,71,571760,CF,5,0,0,0,0,0,0,0,0,1,5,.231,.291,.381,.672,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,,,,0.014,0.501,0.278,,0.17,0.15,-4.52,-0.26,,0.46,91.5,83.7,92.2,82.5,,0.239,0.384,0.243,0.23,0.412,0.213,0.455,0.455,0.125,0.26,0.385,0.365,0.5,1.1,0.188,126.0,105.0,103.0,20.0,51.0,51.0,,,,0.001,,0.036,-19.13,,-3.31,86.6,,75.6,,,,,,,,,,,,,,,,,,
2024/09/27,6:40 PM.,TEX,LAA,home,Partly Cloudy.,69,594798,CF,4,0,0,0,0,0,0,0,0,2,2,.236,.296,.388,.684,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.69,2.51,10.2,110.0,143.0,122.0,0.711,11.81,0.84,9.28,0.84,0.83,0.25,0.321,0.321,0.393,0.459,111.0,109.0,106.0,138.0,116.0,127.0,,,,154.0,105.0,119.0,,,,,0.459,0.453,,0.058,-0.57,,0.51,,8.34,97.3,90.5,,90.0,,0.0,0.0,0.667,0.278,0.556,0.256,,,,0.3,0.35,0.342,,,,125.0,117.0,108.0,,,,,,,,,0.029,,,0.17,,,81.1,,,,,,,,,,,,,,,,,,
2024/09/25,6:40 PM.,CWS,LAA,away,Clear.,70,663436,CF,4,0,0,0,0,0,0,0,1,1,4,.239,.300,.393,.693,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,92.0,95.0,91.0,,,,114.0,108.0,111.0,,,,,0.285,0.268,,0.196,-2.03,,1.22,,-0.16,93.6,89.3,,83.6,,0.34,0.4,0.204,0.389,0.472,0.202,,,,0.121,0.293,0.378,0.357,0.429,0.348,95.0,91.0,93.0,76.0,93.0,84.0,,,,0.175,,0.076,1.59,,-2.54,89.0,,78.4,,,,,,,0.206,0.294,0.231,,,,,,,,,
2024/09/24,7:45 PM.,CWS,LAA,away,Cloudy.,64,686563,RF,3,1,0,0,0,0,0,1,1,2,1,.243,.302,.399,.701,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,,,,0.28,0.123,0.218,,0.187,-1.13,0.44,-1.39,,-0.22,94.3,85.7,93.3,81.9,,0.248,0.394,0.269,0.25,0.411,0.252,0.287,0.449,0.132,,,,,,,,,,79.0,101.0,93.0,,,,0.192,,,0.39,,,90.2,,,,,,0.255,0.489,0.282,0.263,0.45,0.191,,,,,,,,,
2024/09/22,1:10 PM.,HOU,LAA,away,Roof Closed.,73,681293,RF,1,1,1,0,0,0,0,0,0,0,0,.245,.302,.404,.706,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,91.0,100.0,99.0,,,,117.0,93.0,101.0,,,,,0.41,0.108,,0.086,-1.33,,0.99,,-2.52,94.1,85.5,,80.8,,0.395,0.512,0.378,0.303,0.528,0.198,,,,,,,0.171,0.282,0.424,118.0,98.0,104.0,66.0,98.0,96.0,,,,0.196,,0.2,0.57,,0.8,88.2,,78.4,,,,0.113,0.226,0.386,0.248,0.444,0.228,,,,,,,,,
2024/09/20,7:10 PM.,HOU,LAA,away,Roof Closed.,73,434378,CF,4,2,1,0,0,1,1,1,1,1,2,.242,.300,.402,.702,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,116.0,98.0,102.0,,,,127.0,108.0,112.0,,,,,0.487,0.193,,0.101,-0.59,,0.66,,-0.58,93.5,84.0,,86.7,,0.235,0.353,0.253,0.299,0.497,0.202,,,,0.195,0.322,0.215,0.34,0.56,0.22,110.0,101.0,97.0,,,,,,,,,0.219,,,-1.46,,,77.6,,,,,,,,,,,,,,,,,,
2024/09/06,7:07 PM.,TEX,LAA,away,Roof Closed.,74,642520,RF,1,0,0,0,0,0,0,0,1,0,0,.242,.298,.392,.690,642520,gersongarabito,Garabito,Right,Gerson Garabito,TEX,4.78,6.62,26.1,101.0,97.0,100.0,0.8,7.52,4.1,7.86,1.37,0.84,0.195,0.481,0.143,0.299,0.392,74.0,90.0,85.0,97.0,99.0,96.0,85.0,110.0,106.0,83.0,60.0,69.0,,,,0.104,0.392,0.049,,0.116,-1.82,1.24,-2.94,,-1.78,93.3,86.6,92.1,88.7,,0.2,0.467,0.222,0.333,0.7,0.163,0.333,0.333,0.105,0.0,0.0,0.111,0.171,0.171,0.297,109.0,110.0,111.0,,,,,,,,,0.339,,,2.75,,,82.1,,,,,,,,,,,,,,,,,,
2024/09/05,7:08 PM.,TEX,LAA,away,Roof Closed.,74,674003,CF,4,0,0,0,0,0,0,0,0,1,2,.243,.297,.394,.691,674003,codybradford,Bradford,Left,Cody Bradford,TEX,3.54,3.54,76.1,105.0,94.0,100.0,0.793,8.25,1.53,7.55,1.18,0.82,0.263,0.357,0.138,0.304,0.427,105.0,104.0,109.0,94.0,105.0,93.0,,,,49.0,114.0,107.0,,,,,0.523,0.07,,0.273,1.75,,-0.79,,0.86,89.8,80.9,,82.7,,0.21,0.333,0.338,0.185,0.344,0.213,,,,0.32,0.48,0.182,0.306,0.556,0.129,96.0,103.0,104.0,70.0,112.0,85.0,,,,0.007,,0.128,-3.68,,-2.32,86.4,,74.9,,,,,,,,,,,,,,,,,,
2024/09/01,1:08 PM.,SEA,LAA,home,Sunny.,83,682243,LF,4,0,0,0,0,0,0,0,0,1,2,.247,.301,.400,.701,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,2.94,3.72,180.1,101.0,112.0,105.0,0.774,8.53,2.25,6.54,1.05,0.86,0.249,0.404,0.14,0.318,0.442,,,,124.0,102.0,106.0,100.0,102.0,99.0,122.0,96.0,101.0,92.0,104.0,111.0,0.171,0.423,0.168,0.044,,1.53,1.55,-0.21,-0.4,,95.2,,94.7,84.5,85.0,,,,0.184,0.348,0.266,0.248,0.358,0.092,0.243,0.568,0.261,0.231,0.308,0.378,,,,93.0,80.0,85.0,95.0,107.0,111.0,0.023,0.171,,0.14,1.51,,92.1,84.4,,0.148,0.225,0.29,0.24,0.4,0.188,0.25,0.333,0.207,,,,,,,,,
