date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,vKN (sc),Stf+ FS,Loc+ FS,Pit+ FS,FS%,KN%,wFS/C,wKN/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024/05/27,2:11 PM.,COL,CLE,away,Sunny.,74,683627,RF,1,0,0,0,0,0,0,0,0,0,1,.173,.264,.367,.631,683627,anthonymolina,Molina,Right,Anthony Molina,COL,6.79,5.97,59.2,101.0,87.0,98.0,0.842,6.18,3.32,10.86,0.75,1.43,0.281,0.322,0.126,0.392,0.435,91.0,94.0,96.0,77.0,101.0,95.0,,,,92.0,107.0,107.0,,,,,,,,0.478,,0.226,0.001,0.228,-1.31,,,-0.12,3.94,-0.15,94.8,,85.3,,88.7,76.8,0.374,0.561,0.156,0.229,0.375,0.262,,,,0.298,0.404,0.148,,,,0.167,0.167,0.324,114.0,113.0,110.0,0.067,1.59,82.8,,,,,,,,,,,,,,,,,,
2024/05/25,6:39 PM.,LAA,CLE,away,Partly Cloudy.,66,667755,LF,2,1,0,0,0,0,0,0,1,0,1,.175,.266,.371,.637,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,96.0,92.0,86.0,95.0,95.0,96.0,117.0,92.0,99.0,98.0,96.0,108.0,,,,0.464,0.146,,0.055,0.254,,-2.05,,2.22,0.02,-0.42,,98.8,,,97.7,91.5,86.4,0.356,0.622,0.103,,,,0.214,0.26,0.167,0.143,0.214,0.463,,,,0.226,0.376,0.402,,,,,,,,120.0,100.0,112.0,0.081,,0.8,,92.7,0.15,0.3,0.329,,,,,,
2024/05/22,1:10 PM.,NYM,CLE,home,Overcast.,76,500779,LF,2,0,0,0,0,0,0,0,2,1,0,.179,.264,.379,.643,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,,,,,,,0.304,0.225,,,,0.193,-0.32,,0.82,,,0.5,90.7,,85.7,90.8,,,0.227,0.427,0.169,0.203,0.26,0.367,0.249,0.431,0.131,,,,,,,0.265,0.444,0.264,110.0,100.0,99.0,0.278,-0.04,77.7,,,,,,,,,,,,,,,,0.195,0.366,0.284
2024/05/19,1:42 PM.,MIN,CLE,home,Sunny.,77,663978,LF,3,0,0,0,0,0,0,0,0,3,0,.183,.255,.387,.642,663978,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.84,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,79.0,111.0,103.0,,,,71.0,97.0,96.0,,,,,,,,0.429,,0.177,,0.259,0.63,,,-0.21,,-1.51,93.3,,82.9,,85.9,,0.277,0.4,0.243,0.283,0.519,0.248,,,,0.264,0.434,0.254,,,,0.326,0.435,0.19,106.0,102.0,103.0,0.136,-1.69,78.2,,,,,,,,,,,,,,,,,,
2024/05/18,6:10 PM.,MIN,CLE,home,Clear.,66,641927,LF,0,0,0,0,0,0,0,0,0,0,0,.189,.263,.400,.663,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,,,,84.0,104.0,100.0,,0.381,0.195,0.118,,0.294,-0.01,-0.86,,2.03,,1.98,91.7,86.2,83.4,,80.3,,0.258,0.506,0.222,0.154,0.285,0.395,,,,0.095,0.162,0.307,0.279,0.504,0.229,0.0,0.0,0.375,94.0,99.0,103.0,0.011,4.57,76.0,,,,,,,,,,,,,,,,,,
2024/05/15,7:08 PM.,TEX,CLE,away,Roof Closed.,74,592351,LF,3,0,0,0,0,0,0,0,0,2,1,.189,.263,.400,.663,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.47,4.65,102.2,103.0,85.0,98.0,0.777,7.54,2.45,9.38,0.96,0.98,0.228,0.412,0.145,0.366,0.457,72.0,100.0,94.0,73.0,103.0,91.0,,,,97.0,105.0,105.0,,,,,,,,0.444,,0.439,,0.071,-0.71,,,0.77,,-1.39,94.9,,88.7,,88.6,,0.311,0.443,0.15,0.257,0.543,0.19,,,,0.213,0.344,0.334,,,,0.333,0.333,0.267,97.0,97.0,102.0,0.046,-0.7,78.9,,,,,,,,,,,,,,,,,,
2024/05/14,7:08 PM.,TEX,CLE,away,Clear.,84,683004,RF,3,1,0,0,0,0,0,0,1,0,0,.195,.263,.414,.677,683004,jackleiter,Leiter,Right,Jack Leiter,TEX,8.83,6.25,35.2,97.0,121.0,103.0,0.745,7.82,4.29,11.1,1.77,0.88,0.248,0.38,0.149,0.322,0.402,106.0,77.0,85.0,133.0,98.0,105.0,,,,118.0,104.0,109.0,,,,58.0,65.0,57.0,,0.519,0.018,0.291,,0.058,-2.71,-13.12,,-0.99,,1.36,96.4,91.1,89.5,,86.8,,0.35,0.625,0.289,0.125,0.125,0.357,,,,0.286,0.429,0.218,,,,0.118,0.294,0.387,90.0,95.0,100.0,0.114,0.97,81.4,,,,,,,,,,,,,,,,,,
2024/05/13,7:07 PM.,TEX,CLE,away,Roof Closed.,74,547179,LF,4,1,1,1,0,0,0,0,0,1,4,.202,.264,.429,.693,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,93.0,101.0,99.0,84.0,95.0,89.0,81.0,102.0,94.0,126.0,98.0,108.0,,,,94.0,92.0,91.0,0.212,0.272,0.1,0.149,,0.188,1.0,0.04,-0.25,-1.51,,1.94,93.8,90.1,84.6,93.6,83.9,,0.155,0.309,0.184,0.122,0.173,0.373,0.291,0.441,0.062,0.368,0.632,0.253,0.235,0.51,0.236,0.217,0.348,0.352,102.0,93.0,96.0,0.079,0.02,81.7,,,,,,,,,,,,,0.19,0.429,0.291,,,
2024/05/12,1:10 PM.,CWS,CLE,away,Sunny.,78,647336,LF,4,1,2,1,1,0,1,0,0,1,0,.200,.264,.425,.689,647336,michaelsoroka,Soroka,Right,Michael Soroka,CHW,4.74,4.59,79.2,95.0,96.0,94.0,0.775,9.49,4.97,7.46,1.47,0.94,0.269,0.472,0.176,0.292,0.4,113.0,85.0,92.0,96.0,98.0,95.0,77.0,92.0,88.0,103.0,98.0,96.0,,,,,,,0.212,0.325,,0.366,,0.097,0.28,,-1.33,0.39,,-3.52,93.5,,82.1,92.3,81.9,,0.195,0.354,0.21,0.321,0.643,0.13,0.289,0.518,0.087,0.168,0.317,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/11,6:10 PM.,CWS,CLE,away,Clear.,58,605182,LF,2,0,0,0,0,0,0,0,0,2,1,.184,.253,.382,.635,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,6.75,7.18,16.0,99.0,87.0,99.0,0.754,8.44,5.06,12.38,2.25,0.72,0.204,0.519,0.111,0.444,0.432,75.0,99.0,98.0,91.0,101.0,100.0,102.0,120.0,120.0,111.0,87.0,99.0,,,,48.0,101.0,95.0,0.056,0.399,0.116,0.191,,0.211,1.8,-8.49,-8.62,-6.55,,0.0,93.3,84.0,86.0,93.3,78.6,,0.2,0.35,0.271,0.238,0.381,0.25,0.5,2.0,0.1,0.636,0.818,0.227,0.333,0.75,0.4,,,,69.0,98.0,88.0,0.026,1.2,76.2,,,,,,,,,,,,,,,,,,
