date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,CH%,wFC/C,wCU/C,wCH/C,vFC,vCH,vCU,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO
2024/10/07,7:38 PM.,NYY,KC,away,Partly Cloudy.,67,607074,CF,2,1,2,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,114.0,98.0,101.0,,,,144.0,104.0,113.0,,,,,0.494,,0.26,0.05,,,-0.4,95.4,,,86.8,0.262,0.514,0.214,,,,,,,0.199,0.361,0.393,,,,129.0,92.0,106.0,103.0,86.0,93.0,100.0,83.0,82.0,0.035,0.083,0.129,-3.11,-1.32,1.44,91.8,85.5,81.0,0.188,0.247,0.495,0.353,0.647,0.255,0.281,0.531,0.276,,,,,,,,,,,,
2024/10/05,6:38 PM.,NYY,KC,away,Clear.,71,543037,CF,1,0,1,0,0,0,2,0,1,0,0,1.000,1.000,1.000,2.000,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,116.0,100.0,104.0,,,,128.0,106.0,112.0,,,,0.002,0.462,,0.146,0.7,,17.25,1.25,95.9,,93.7,88.2,0.189,0.365,0.234,,,,,,,0.222,0.27,0.264,0.0,0.0,0.143,73.0,94.0,90.0,,,,99.0,102.0,102.0,0.163,,0.04,-0.7,,-3.6,91.4,88.2,,0.333,0.667,0.28,0.32,0.56,0.22,0.209,0.239,0.301,102.0,99.0,106.0,0.187,2.35,82.5,,,,,,
2024/10/02,4:38 PM.,BAL,KC,away,Cloudy.,69,621107,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,61.0,105.0,94.0,91.0,109.0,105.0,122.0,107.0,113.0,,,,0.282,0.09,,0.097,-0.64,,0.0,0.46,92.4,,91.7,79.7,0.236,0.418,0.248,,,,0.236,0.473,0.203,,,,0.293,0.404,0.133,87.0,101.0,103.0,108.0,112.0,108.0,85.0,105.0,98.0,0.282,0.188,0.061,1.54,-1.27,0.21,88.2,85.6,78.8,0.188,0.354,0.105,0.214,0.345,0.223,0.291,0.472,0.333,,,,,,,,,,,,
2024/10/01,4:08 PM.,BAL,KC,away,Overcast.,66,669203,LF,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,,,,104.0,95.0,89.0,133.0,105.0,120.0,,,,0.078,,,0.146,,,-0.5,0.7,,,97.0,87.2,,,,,,,0.125,0.5,0.457,0.196,0.268,0.463,0.235,0.412,0.157,110.0,98.0,103.0,109.0,101.0,106.0,125.0,105.0,108.0,0.45,0.215,0.11,1.37,0.44,0.2,95.3,89.2,80.3,0.194,0.339,0.377,0.251,0.362,0.19,0.2,0.326,0.378,,,,,,,,,,,,
2024/09/28,7:20 PM.,ATL,KC,away,Cloudy.,72,625643,CF,2,0,1,0,0,0,0,0,1,1,0,.230,.275,.300,.575,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,91.0,103.0,99.0,,,,113.0,100.0,105.0,,,,,0.552,,0.294,1.19,,,1.45,95.5,,,85.0,0.266,0.369,0.165,,,,,,,0.168,0.257,0.443,,,,75.0,110.0,105.0,84.0,99.0,104.0,,,,,0.116,0.038,,1.61,-3.58,,86.1,77.0,0.263,0.737,0.349,,,,0.151,0.264,0.364,,,,,,,,,,,,
2024/09/27,7:21 PM.,ATL,KC,away,Cloudy.,72,608331,3B,3,0,0,0,0,0,0,0,0,1,0,.227,.270,.299,.569,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,,,,0.158,0.327,,0.115,0.63,,1.47,0.5,93.9,,93.6,82.1,0.266,0.36,0.182,,,,0.167,0.2,0.358,0.22,0.293,0.297,0.265,0.299,0.137,91.0,101.0,103.0,116.0,103.0,108.0,93.0,96.0,94.0,0.054,0.21,0.136,-1.33,1.39,1.7,88.5,85.7,74.6,0.196,0.283,0.251,0.286,0.476,0.286,0.154,0.285,0.371,,,,,,,,,,,,
2024/09/26,1:05 PM.,WSH,KC,away,Cloudy.,77,571578,CF,3,1,1,0,0,0,0,0,0,1,0,.231,.274,.303,.577,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,55.0,97.0,84.0,71.0,103.0,92.0,88.0,97.0,97.0,,,,0.338,0.076,,0.343,-1.46,,-1.9,0.41,91.3,,91.5,80.0,0.311,0.578,0.133,,,,,,,0.216,0.335,0.354,0.339,0.567,0.091,87.0,96.0,96.0,73.0,100.0,97.0,76.0,107.0,98.0,0.192,0.016,0.034,-0.37,-2.3,-5.53,85.7,81.0,70.0,0.409,0.773,0.279,0.301,0.434,0.223,0.5,1.25,0.526,,,,0.001,4.71,63.2,,,,,,
2024/09/24,7:25 PM.,WSH,KC,away,Overcast.,66,680730,2B,2,0,1,0,0,0,0,0,0,0,0,.229,.273,.302,.575,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,78.0,101.0,96.0,,,,106.0,107.0,110.0,89.0,94.0,94.0,,0.486,0.191,0.098,0.07,-0.6,,-0.73,92.5,85.6,,84.5,0.276,0.425,0.12,0.233,0.4,0.372,,,,0.238,0.429,0.364,,,,,,,97.0,96.0,96.0,,,,,0.225,,,0.47,,,,80.5,,,,,,,0.252,0.36,0.263,,,,,,,,,,,,
2024/09/22,1:11 PM.,SF,KC,home,Drizzle.,64,605483,2B,2,0,0,0,0,0,0,0,0,2,0,.227,.271,.300,.571,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,116.0,96.0,100.0,,,,106.0,87.0,91.0,,,,,0.464,,0.101,1.16,,,0.11,95.9,,,88.7,0.2,0.303,0.244,,,,,,,0.167,0.267,0.446,,,,110.0,108.0,116.0,148.0,99.0,109.0,,,,,0.26,0.176,,2.25,0.95,,85.5,81.1,0.236,0.319,0.476,,,,0.111,0.183,0.498,,,,,,,,,,,,
2024/09/21,4:10 PM.,SF,KC,home,Partly Cloudy.,87,694738,1B,0,0,0,0,0,0,0,0,0,0,0,.229,.273,.303,.576,694738,landenroupp,Roupp,Right,Landen Roupp,SFG,3.58,4.05,50.1,98.0,125.0,106.0,0.763,8.4,4.65,7.69,0.36,1.6,0.231,0.427,0.196,0.252,0.397,66.0,70.0,66.0,102.0,96.0,95.0,115.0,84.0,93.0,,,,0.405,0.019,,0.042,-2.8,,0.31,0.91,93.4,,94.4,83.9,,,,,,,,,,0.25,0.25,0.6,0.257,0.343,0.055,97.0,92.0,93.0,155.0,103.0,121.0,,,,,0.441,0.094,,0.4,1.41,,88.2,77.4,0.111,0.111,0.357,,,,0.224,0.357,0.335,,,,,,,,,,,,
