date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,KC%,CH%,wFC/C,wCU/C,wKC/C,wCH/C,vFC,vCH,vCU,vKC,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2024/09/28,3:08 PM.,TOR,MIA,away,Roof Closed.,68,684320,C,4,0,1,0,0,0,1,0,0,1,0,.231,.250,.231,.481,684320,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.47,4.0,86.2,97.0,97.0,97.0,0.765,8.83,4.15,7.68,1.14,0.9,0.268,0.393,0.184,0.272,0.392,86.0,93.0,87.0,84.0,94.0,92.0,120.0,104.0,111.0,85.0,102.0,102.0,0.108,0.409,0.096,0.282,-0.12,-1.17,2.98,0.67,93.9,88.9,93.4,84.6,0.194,0.306,0.215,0.255,0.439,0.22,0.167,0.167,0.149,0.213,0.36,0.335,,,,97.0,95.0,100.0,,,,,0.105,,,,-2.85,,,,,78.3,,,,,,,,0.348,0.739,0.25,,,,,,,,,,,,
2024/09/26,6:42 PM.,MIN,MIA,away,Clear.,82,701581,C,2,0,0,0,0,0,0,0,0,0,2,.229,.250,.229,.479,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,107.0,96.0,99.0,,,,118.0,103.0,105.0,,,,,0.402,,0.318,-0.79,,,1.48,94.7,,,86.1,,,,0.304,0.544,0.194,,,,0.207,0.315,0.291,72.0,105.0,105.0,,,,,,,,,,0.28,,,,-1.14,,88.4,,,,,,0.237,0.463,0.394,,,,,,,,,,,,,,,
2024/09/25,6:41 PM.,MIN,MIA,away,Clear.,76,680573,C,4,0,1,0,0,0,0,0,0,3,3,.242,.265,.242,.507,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,71.0,100.0,88.0,,,,92.0,108.0,106.0,,,,,0.403,,0.312,0.82,,,0.76,93.1,,,86.4,,,,0.258,0.356,0.219,,,,0.214,0.313,0.239,103.0,106.0,113.0,106.0,103.0,102.0,,,,,0.093,,0.193,,1.68,,-3.33,,82.8,76.1,,,,,0.311,0.622,0.205,0.186,0.326,0.221,,,,,,,,,,,,
2024/09/20,7:12 PM.,ATL,MIA,home,Roof Closed.,72,450203,C,3,0,0,0,0,0,0,0,0,1,3,.241,.267,.241,.508,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,72.0,99.0,90.0,79.0,96.0,88.0,,,,,,,0.099,0.289,,,-1.4,,0.39,,94.1,,93.5,,,,,0.281,0.517,0.193,0.333,0.433,0.07,,,,86.0,97.0,93.0,122.0,98.0,108.0,73.0,92.0,86.0,0.078,0.424,,0.11,-0.75,0.78,,-1.38,88.5,85.0,81.5,,,,,0.292,0.6,0.333,0.2,0.309,0.342,0.286,0.571,0.149,,,,,,,,,
2024/09/19,4:40 PM.,LAD,MIA,home,Roof Closed.,72,656427,P,1,0,1,0,0,0,0,0,0,0,0,.269,.296,.269,.565,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,,,,0.023,0.441,,0.29,0.5,,-5.05,0.02,93.3,,90.6,84.7,,,,0.245,0.401,0.238,0.6,1.2,0.4,0.222,0.455,0.363,87.0,83.0,81.0,,,,,,,,,0.218,0.027,,,2.19,-0.55,,85.7,,77.4,,,,0.111,0.333,0.111,0.164,0.219,0.436,,,,,,,,,,101.0,103.0,107.0
2024/09/15,1:36 PM.,WSH,MIA,away,Sunny.,79,669022,C,3,1,0,0,0,0,0,0,0,1,1,.240,.269,.240,.509,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,3.9,4.2,166.1,98.0,110.0,101.0,0.752,9.79,3.52,9.25,0.81,1.11,0.26,0.376,0.156,0.3,0.433,124.0,98.0,103.0,,,,89.0,92.0,92.0,,,,,0.553,,0.158,-0.02,,,-0.77,96.0,,,90.6,,,,0.281,0.418,0.226,,,,0.255,0.422,0.323,92.0,91.0,94.0,104.0,104.0,102.0,,,,,0.196,,0.093,,0.62,,-1.35,,85.9,82.8,,0.333,0.5,0.417,0.28,0.48,0.512,0.218,0.296,0.34,,,,,,,,,,,,
2024/09/14,4:05 PM.,WSH,MIA,away,Sunny.,81,571578,C,0,0,0,0,0,0,0,0,0,0,0,.273,.304,.273,.577,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,55.0,97.0,84.0,71.0,103.0,92.0,88.0,97.0,97.0,,,,0.338,0.076,,0.343,-1.46,,-1.9,0.41,91.3,,91.5,80.0,,,,0.311,0.578,0.133,0.339,0.567,0.091,0.216,0.335,0.354,87.0,96.0,96.0,73.0,100.0,97.0,76.0,107.0,98.0,0.192,0.016,0.001,0.034,-0.37,-2.3,4.71,-5.53,85.7,81.0,70.0,63.2,,,,0.409,0.773,0.279,0.5,1.25,0.526,0.301,0.434,0.223,,,,,,,,,
2024/09/11,12:38 PM.,PIT,MIA,away,Sunny.,80,663559,C,0,0,0,0,0,0,0,0,0,0,0,.273,.304,.273,.577,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,43.0,95.0,70.0,0.142,0.484,0.006,0.216,0.38,-7.04,1.23,0.27,91.8,86.9,92.0,86.1,0.333,1.333,0.125,0.255,0.41,0.166,0.26,0.448,0.157,0.245,0.304,0.287,,,,100.0,99.0,98.0,,,,,0.152,,,,-1.24,,,,,77.7,,,,,,,,0.305,0.61,0.207,,,,,,,,,,,,
2024/09/10,6:43 PM.,PIT,MIA,away,Clear.,79,669387,C,4,1,3,0,0,0,1,0,0,0,0,.273,.304,.273,.577,669387,carmenmlodzinski,Mlodzinski,Right,Carmen Mlodzinski,PIT,3.38,3.34,50.2,100.0,102.0,103.0,0.774,8.17,3.38,7.28,0.53,1.23,0.275,0.458,0.134,0.282,0.418,95.0,100.0,98.0,,,,118.0,99.0,114.0,,,,,0.398,,0.398,1.09,,,-0.03,96.2,,,86.7,,,,0.174,0.304,0.255,,,,0.228,0.246,0.321,114.0,81.0,85.0,,,,93.0,101.0,97.0,0.2,,,0.003,1.68,,,-28.1,92.5,88.6,,,0.304,0.391,0.339,,,,,,,0.235,0.353,0.143,,,,,,,,,
2024/09/08,1:40 PM.,PHI,MIA,home,Roof Closed.,72,686751,C,1,0,0,0,0,0,0,0,0,0,1,.167,.211,.167,.378,686751,sethjohnson,"Johnson, S",Right,Seth Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429,0.571,0.182,,,,1.0,2.333,0.429,,,,,,,,,,,,,,,,,,,,,,,,,0.667,0.667,0.167,,,,,,,,,,,,,,,
