date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FO%,KC%,CH%,wFO/C,wSI/C,wKC/C,wCH/C,vFO,vCH,vSI,vKC,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2024/10/12,1:09 PM.,CLE,DET,away,Sunny.,65,571510,DH,1,0,0,0,0,0,0,0,0,0,0,.625,.727,.750,1.477,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,85.0,100.0,98.0,66.0,100.0,91.0,74.0,101.0,98.0,,,,,,,0.383,,,0.173,0.081,1.47,,,1.14,1.41,92.0,,,79.5,74.1,0.15,0.25,0.246,,,,,,,0.167,0.25,0.474,0.148,0.222,0.449,83.0,105.0,100.0,78.0,101.0,90.0,,,,0.102,,,0.262,,-2.47,,0.04,,80.9,91.8,,0.32,0.64,0.071,0.261,0.37,0.352,,,,,,,,,,,,,,,
2024/10/10,6:08 PM.,CLE,DET,home,Clear.,61,676440,PH,1,1,1,1,0,0,0,0,0,0,0,.714,.778,.857,1.635,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,119.0,109.0,112.0,92.0,103.0,98.0,113.0,102.0,109.0,,,,,,,0.434,,,0.278,0.105,-0.69,,,1.74,-0.9,94.6,,,86.2,81.3,0.282,0.476,0.213,,,,0.141,0.225,0.368,0.208,0.458,0.184,0.196,0.411,0.299,82.0,100.0,108.0,89.0,64.0,93.0,,,,0.003,,,0.18,,-1.41,,0.13,,82.5,93.9,,,,,0.238,0.431,0.291,,,,,,,,,,,,,,,
2024/10/09,3:08 PM.,CLE,DET,home,Partly Cloudy.,65,502171,DH,0,0,0,0,0,0,0,0,1,0,0,.667,.750,.667,1.417,502171,alexcobb,Cobb,Right,Alex Cobb,CLE,2.76,5.01,16.1,105.0,107.0,107.0,0.867,5.51,1.65,7.71,0.55,2.31,0.163,0.449,0.122,0.367,0.401,,,,,,,,,,,,,123.0,111.0,114.0,,,0.438,,,,,2.81,,,,,89.2,,,,,,0.2,0.267,0.2,,,,0.5,0.5,0.364,,,,,,,83.0,105.0,104.0,130.0,89.0,97.0,0.43,,0.132,,,0.29,-1.41,,,,93.8,83.2,0.25,0.417,0.059,,,,,,,,,,,,,,,,,,
2024/10/07,4:09 PM.,CLE,DET,away,Partly Cloudy.,61,571510,DH,3,0,2,0,0,0,0,0,0,0,0,.667,.714,.667,1.381,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,85.0,100.0,98.0,66.0,100.0,91.0,74.0,101.0,98.0,,,,,,,0.383,,,0.173,0.081,1.47,,,1.14,1.41,92.0,,,79.5,74.1,0.15,0.25,0.246,,,,,,,0.167,0.25,0.474,0.148,0.222,0.449,83.0,105.0,100.0,78.0,101.0,90.0,,,,0.102,,,0.262,,-2.47,,0.04,,80.9,91.8,,0.32,0.64,0.071,0.261,0.37,0.352,,,,,,,,,,,,,,,
2024/10/05,1:09 PM.,CLE,DET,away,Sunny.,68,676440,PH,0,0,0,0,0,0,0,0,0,0,0,.667,.750,.667,1.417,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,119.0,109.0,112.0,92.0,103.0,98.0,113.0,102.0,109.0,,,,,,,0.434,,,0.278,0.105,-0.69,,,1.74,-0.9,94.6,,,86.2,81.3,0.282,0.476,0.213,,,,0.141,0.225,0.368,0.208,0.458,0.184,0.196,0.411,0.299,82.0,100.0,108.0,89.0,64.0,93.0,,,,0.003,,,0.18,,-1.41,,0.13,,82.5,93.9,,,,,0.238,0.431,0.291,,,,,,,,,,,,,,,
2024/10/02,1:33 PM.,HOU,DET,away,Roof Closed.,73,686613,DH,1,0,1,0,0,0,0,0,0,0,0,.667,.750,.667,1.417,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,,,,110.0,101.0,102.0,110.0,103.0,107.0,90.0,103.0,101.0,,,,0.347,0.17,,0.051,,0.16,0.14,,1.7,,96.0,92.4,,89.1,,0.244,0.413,0.288,,,,0.23,0.363,0.216,0.237,0.421,0.305,0.2,0.2,0.236,84.0,101.0,102.0,93.0,102.0,98.0,127.0,100.0,106.0,0.182,,0.125,0.126,,0.92,-0.79,0.95,,88.4,95.6,82.9,0.275,0.321,0.161,0.221,0.26,0.296,,,,,,,,,,,,,,,
2024/10/01,1:34 PM.,HOU,DET,away,Roof Closed.,73,664285,DH,2,0,1,0,0,0,0,0,1,1,2,.500,.667,.500,1.167,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,129.0,96.0,108.0,60.0,102.0,94.0,107.0,102.0,110.0,,,,,,,0.012,,,0.043,0.313,-4.64,,,-0.2,1.59,94.5,,,85.1,79.7,0.4,1.0,0.273,,,,,,,0.121,0.187,0.398,0.233,0.467,0.383,130.0,96.0,104.0,98.0,99.0,97.0,,,,0.458,,,0.175,,1.46,,0.62,,89.9,94.1,,0.276,0.399,0.116,0.226,0.278,0.354,,,,,,,,,,,,,,,
2024/09/28,3:30 PM.,CWS,DET,home,Drizzle.,70,680732,LF,1,0,0,0,0,0,0,0,0,1,0,.203,.291,.366,.657,680732,seanburke,"Burke, S",Right,Sean Burke,CHW,1.42,3.83,19.0,100.0,106.0,105.0,0.739,10.42,3.32,5.68,0.95,0.79,0.34,0.404,0.17,0.34,0.414,105.0,113.0,110.0,111.0,101.0,109.0,96.0,92.0,101.0,,,,,,,0.405,,,0.285,0.249,1.08,,,-0.72,1.87,95.3,,,86.9,79.7,0.172,0.448,0.236,,,,,,,0.077,0.077,0.188,0.25,0.375,0.432,125.0,79.0,88.0,,,,,,,,,,0.061,,,,2.3,,84.6,,,,,,0.0,0.0,0.4,,,,,,,,,,,,,,,
2024/09/27,6:40 PM.,CWS,DET,home,Cloudy.,75,676979,DH,3,0,0,0,0,0,0,0,1,3,3,.204,.293,.368,.661,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,,,,104.0,103.0,103.0,138.0,102.0,107.0,94.0,105.0,103.0,,,,0.537,0.284,,0.098,,1.66,-0.14,,-2.29,,97.2,91.6,,84.3,,0.198,0.295,0.314,,,,0.268,0.458,0.334,,,,,,,66.0,101.0,102.0,123.0,98.0,97.0,,,,0.021,,,0.059,,4.04,,-0.36,,91.0,97.9,,0.154,0.154,0.321,0.184,0.289,0.339,0.228,0.561,0.422,,,,,,,,,,,,
2024/09/26,1:10 PM.,TB,DET,home,Cloudy.,72,641302,LF,0,0,0,0,0,0,1,0,0,0,0,.207,.293,.374,.667,641302,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.68,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,,,,85.0,110.0,103.0,114.0,107.0,109.0,98.0,101.0,99.0,,,,0.223,0.318,,0.191,,-0.2,-0.5,,1.43,,89.6,85.0,,77.8,,0.232,0.495,0.244,,,,0.265,0.549,0.216,,,,,,,102.0,103.0,103.0,61.0,113.0,105.0,,,,0.131,,,0.137,,-1.02,,-2.94,,81.3,89.7,,0.288,0.492,0.109,0.339,0.5,0.181,0.227,0.364,0.188,,,,,,,,,,,,
