date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,KC%,CH%,wKC/C,wCH/C,vCH,vKC,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff
2024/06/12,1:11 PM.,MIL,TOR,away,Sunny.,87,668964,DH,1,0,0,0,0,0,0,0,1,0,0,.186,.278,.300,.578,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,96.0,100.0,91.0,,,,0.005,0.401,0.23,,0.21,0.041,0.58,-0.75,,11.28,1.43,-3.19,92.9,89.2,,91.5,85.5,77.8,0.336,0.518,0.123,0.0,0.0,0.0,,,,0.421,0.579,0.194,0.239,0.436,0.194,,,,0.198,0.255,0.248,109.0,86.0,90.0,,,,,0.114,,1.18,81.1,,0.083,0.083,0.444,,,
2024/06/10,7:10 PM.,MIL,TOR,away,Roof Closed.,71,607067,DH,3,0,0,0,0,0,0,0,0,0,0,.188,.273,.304,.577,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,100.0,109.0,104.0,70.0,109.0,95.0,82.0,103.0,96.0,109.0,106.0,108.0,76.0,94.0,88.0,78.0,98.0,96.0,0.311,0.193,0.194,0.088,0.172,0.042,0.49,-1.34,-2.02,-0.28,1.41,-3.64,92.9,87.6,86.5,92.3,82.0,78.7,0.287,0.656,0.168,0.298,0.482,0.115,0.159,0.234,0.227,0.394,0.636,0.18,0.207,0.314,0.248,0.286,0.492,0.277,,,,,,,,,,,,,,,,,,,,,
2024/06/08,1:07 PM.,OAK,TOR,away,Cloudy.,65,665622,DH,2,1,0,0,0,0,0,0,1,0,2,.197,.284,.318,.602,665622,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.65,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,107.0,101.0,104.0,100.0,98.0,95.0,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,0.425,,,0.251,0.101,0.46,,,-2.88,-0.28,-0.19,95.9,,,95.9,85.8,81.2,,,,0.429,0.667,0.118,,,,0.154,0.308,0.433,0.238,0.365,0.122,,,,0.262,0.357,0.308,103.0,88.0,87.0,,,,,0.079,,-2.61,89.6,,0.353,0.529,0.067,,,
2024/06/04,7:07 PM.,BAL,TOR,home,Clear.,69,669203,DH,3,0,0,0,0,0,0,0,0,1,2,.203,.282,.328,.610,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,109.0,101.0,106.0,,,,104.0,95.0,89.0,133.0,105.0,120.0,125.0,105.0,108.0,,,,0.078,,0.45,,0.146,0.215,,1.37,,-0.5,0.7,0.44,,95.3,,97.0,87.2,80.3,0.251,0.362,0.19,0.235,0.412,0.157,0.125,0.5,0.457,0.2,0.326,0.378,,,,,,,0.196,0.268,0.463,110.0,98.0,103.0,,,,,0.11,,0.2,89.2,,0.194,0.339,0.377,,,
2024/06/03,7:09 PM.,BAL,TOR,home,Partly Cloudy.,71,680570,DH,4,0,0,0,0,0,0,0,0,1,1,.213,.294,.344,.638,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,114.0,103.0,107.0,113.0,102.0,106.0,133.0,102.0,111.0,118.0,101.0,108.0,,,,,,,0.012,0.465,,,0.158,0.155,-0.38,,,5.3,-0.96,0.29,96.1,,,96.1,86.5,81.3,,,,0.167,0.333,0.294,,,,0.26,0.38,0.241,0.291,0.413,0.269,,,,0.25,0.563,0.361,140.0,101.0,108.0,,,,,0.21,,1.63,83.1,,0.161,0.306,0.348,,,
2024/06/02,1:40 PM.,PIT,TOR,home,Roof Closed.,68,682990,DH,4,0,2,1,0,0,2,0,0,0,0,.228,.313,.368,.681,682990,quinnpriester,Priester,Right,Quinn Priester,- - -,4.71,4.43,49.2,100.0,94.0,98.0,0.793,5.98,2.54,10.15,1.27,2.41,0.164,0.456,0.158,0.316,0.425,98.0,99.0,101.0,59.0,103.0,93.0,99.0,100.0,94.0,108.0,103.0,106.0,,,,,,,0.302,0.144,,,0.279,0.145,-1.72,,,0.06,-0.99,-1.2,93.0,,,93.1,87.1,80.6,,,,0.29,0.493,0.132,,,,0.375,0.5,0.438,0.4,0.4,0.186,,,,0.246,0.443,0.254,87.0,91.0,92.0,,,,,0.129,,1.51,88.5,,0.161,0.194,0.212,,,
2024/06/01,3:07 PM.,PIT,TOR,home,Partly Cloudy.,70,656605,DH,4,0,2,0,0,0,1,0,0,2,2,.208,.300,.340,.640,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,111.0,96.0,104.0,86.0,103.0,96.0,82.0,102.0,94.0,129.0,100.0,109.0,96.0,99.0,98.0,,,,0.22,0.304,0.122,,0.25,0.096,0.3,-1.0,,-0.26,-1.04,-0.11,94.4,90.4,,93.4,84.7,78.4,0.272,0.593,0.195,0.266,0.405,0.125,0.204,0.331,0.25,0.233,0.442,0.293,0.257,0.4,0.24,,,,0.338,0.636,0.248,88.0,103.0,102.0,,,,,0.008,,-12.5,89.8,,0.667,1.333,0.0,,,
2024/05/31,7:07 PM.,PIT,TOR,home,Clear.,71,663559,PH,1,0,1,1,0,0,1,0,0,0,0,.184,.286,.327,.613,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,,,,43.0,95.0,70.0,0.142,0.484,,0.006,0.216,0.152,0.38,,-7.04,1.23,0.27,-1.24,91.8,,86.9,92.0,86.1,77.7,,,,0.26,0.448,0.157,,,,0.305,0.61,0.207,0.255,0.41,0.166,0.333,1.333,0.125,0.245,0.304,0.287,,,,,,,,,,,,,,,,,,
2024/05/27,1:11 PM.,CWS,TOR,away,Cloudy.,66,680897,DH,2,0,0,0,0,0,0,0,0,1,0,.167,.273,.292,.565,680897,nicknastrini,Nastrini,Right,Nick Nastrini,CHW,7.07,6.45,35.2,84.0,100.0,86.0,0.736,6.56,9.08,8.07,1.77,0.58,0.216,0.477,0.234,0.297,0.361,90.0,81.0,88.0,101.0,78.0,78.0,,,,105.0,94.0,99.0,,,,,,,,0.454,,,0.362,0.086,-1.37,,,,0.09,-1.7,93.7,,,,84.5,79.2,,,,,,,,,,0.364,0.455,0.333,0.189,0.415,0.204,,,,0.222,0.444,0.346,86.0,75.0,75.0,,,,,0.098,,-4.58,85.8,,0.4,0.6,0.32,,,
2024/05/26,11:35 AM.,DET,TOR,away,Partly Cloudy.,74,663554,DH,1,0,0,0,0,0,0,0,1,0,3,.174,.283,.304,.587,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,106.0,105.0,102.0,92.0,108.0,105.0,107.0,101.0,102.0,,,,112.0,99.0,102.0,0.08,0.386,,0.181,0.277,,-0.47,,-1.06,1.3,-0.46,,95.5,,86.2,95.5,85.7,,,,,0.293,0.341,0.08,,,,0.261,0.522,0.216,0.306,0.428,0.205,0.286,0.405,0.322,0.271,0.5,0.218,,,,102.0,90.0,94.0,0.075,,-2.21,,,79.6,,,,,,
