date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,SV_ba,SV_slg,SV_whiff
2024/09/29,2:12 PM.,NYM,MIL,home,Sunny.,72,656849,LF,4,0,0,0,0,0,0,0,0,3,1,.118,.211,.118,.329,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.9,4.59,121.0,98.0,94.0,96.0,0.77,7.51,3.42,8.18,0.6,1.72,0.247,0.362,0.138,0.306,0.412,97.0,90.0,93.0,70.0,103.0,94.0,102.0,98.0,95.0,115.0,99.0,104.0,,,,0.31,0.265,0.184,,0.164,0.39,1.83,-1.81,,0.03,93.1,84.7,91.9,85.1,,0.253,0.36,0.16,0.207,0.345,0.259,0.287,0.447,0.339,0.22,0.266,0.287,0.211,0.324,0.271,83.0,102.0,100.0,0.076,0.11,79.1,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/28,6:16 PM.,NYM,MIL,home,Clear.,71,500779,LF,3,0,1,0,0,0,0,0,1,2,3,.154,.267,.154,.421,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,,,,0.304,0.225,,,0.193,-0.32,0.82,,,0.5,90.7,85.7,90.8,,,0.249,0.431,0.131,0.265,0.444,0.264,,,,0.227,0.427,0.169,0.203,0.26,0.367,110.0,100.0,99.0,0.278,-0.04,77.7,,,,,,,,,,,,,,,,,,,,,,0.195,0.366,0.284
2024/09/26,12:35 PM.,PIT,MIL,away,Overcast.,70,656605,DH,0,0,0,0,0,0,0,0,0,0,0,.100,.182,.100,.282,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,88.0,103.0,102.0,86.0,103.0,96.0,82.0,102.0,94.0,129.0,100.0,109.0,,,,0.22,0.304,0.25,,0.008,0.3,-0.26,-1.04,,-12.5,94.4,89.8,93.4,84.7,,0.266,0.405,0.125,0.233,0.442,0.293,0.338,0.636,0.248,0.257,0.4,0.24,0.667,1.333,0.0,111.0,96.0,104.0,0.096,-0.11,78.4,96.0,99.0,98.0,0.122,-1.0,90.4,0.272,0.593,0.195,,,,0.204,0.331,0.25,,,,,,,,,
2024/09/20,7:10 PM.,AZ,MIL,home,Clear.,77,668678,PH,1,0,0,0,0,0,0,0,0,1,0,.100,.182,.100,.282,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,88.0,107.0,98.0,101.0,95.0,96.0,132.0,80.0,80.0,107.0,102.0,102.0,107.0,108.0,112.0,0.001,0.463,0.087,0.277,0.14,-0.55,-1.02,-0.56,2.29,0.43,93.7,86.6,94.7,87.0,81.0,,,,0.148,0.23,0.392,0.31,0.476,0.337,0.28,0.46,0.133,0.27,0.382,0.265,,,,,,,89.0,87.0,79.0,0.031,-0.78,90.3,0.25,0.625,0.36,,,,,,,,,,,,,,,
2024/09/19,6:16 PM.,AZ,MIL,home,Partly Cloudy.,78,694297,LF,1,0,0,0,0,0,0,0,0,1,0,.111,.200,.111,.311,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,95.0,106.0,103.0,89.0,106.0,104.0,143.0,109.0,119.0,,,,0.222,0.334,0.273,,0.112,0.37,-0.09,-0.12,,0.84,93.8,87.5,93.7,84.8,,0.286,0.365,0.119,0.429,0.571,0.295,,,,0.265,0.466,0.224,0.25,0.289,0.312,106.0,102.0,104.0,0.053,-1.37,80.8,,,,,,,,,,0.006,0.45,89.6,0.215,0.455,0.362,0.2,0.8,0.0,,,,,,
2024/09/17,6:42 PM.,PHI,MIL,home,Clear.,76,554430,2B,1,0,0,0,0,0,0,0,0,1,1,.125,.222,.125,.347,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,,,,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,,,,0.192,0.416,0.125,,,0.88,2.68,1.04,,,95.3,,94.6,84.9,,0.189,0.259,0.142,0.205,0.397,0.387,,,,0.209,0.395,0.296,,,,110.0,101.0,107.0,0.1,-0.98,81.8,92.0,97.0,94.0,0.093,-0.23,91.1,0.226,0.371,0.183,0.074,1.47,86.1,0.152,0.273,0.335,0.137,0.196,0.402,94.0,110.0,110.0,,,
2024/09/15,1:11 PM.,AZ,MIL,away,Roof Closed.,77,668678,DH,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,.393,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,88.0,107.0,98.0,101.0,95.0,96.0,132.0,80.0,80.0,107.0,102.0,102.0,107.0,108.0,112.0,0.001,0.463,0.087,0.277,0.14,-0.55,-1.02,-0.56,2.29,0.43,93.7,86.6,94.7,87.0,81.0,,,,0.148,0.23,0.392,0.31,0.476,0.337,0.28,0.46,0.133,0.27,0.382,0.265,,,,,,,89.0,87.0,79.0,0.031,-0.78,90.3,0.25,0.625,0.36,,,,,,,,,,,,,,,
2024/09/14,5:10 PM.,AZ,MIL,away,Roof Closed.,78,694297,LF,2,0,0,0,0,0,0,0,0,1,2,.143,.250,.143,.393,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,95.0,106.0,103.0,89.0,106.0,104.0,143.0,109.0,119.0,,,,0.222,0.334,0.273,,0.112,0.37,-0.09,-0.12,,0.84,93.8,87.5,93.7,84.8,,0.286,0.365,0.119,0.429,0.571,0.295,,,,0.265,0.466,0.224,0.25,0.289,0.312,106.0,102.0,104.0,0.053,-1.37,80.8,,,,,,,,,,0.006,0.45,89.6,0.215,0.455,0.362,0.2,0.8,0.0,,,,,,
2024/09/13,6:40 PM.,AZ,MIL,away,Roof Closed.,78,593958,PH,0,0,0,0,0,0,0,0,1,0,0,.200,.333,.200,.533,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.04,5.53,50.0,104.0,76.0,96.0,0.808,8.46,3.42,10.08,1.44,0.98,0.204,0.439,0.14,0.338,0.405,97.0,103.0,101.0,60.0,101.0,90.0,84.0,111.0,99.0,105.0,109.0,105.0,,,,0.076,0.44,0.066,,0.225,-0.04,-3.84,-0.19,,-0.27,92.0,86.7,91.6,83.9,,0.318,0.455,0.182,,,,0.167,0.417,0.095,0.257,0.486,0.268,0.269,0.385,0.256,,,,,,,77.0,105.0,97.0,0.193,-1.76,88.8,0.333,0.595,0.133,,,,,,,,,,,,,,,
2024/09/11,6:46 PM.,SF,MIL,away,Clear.,67,605483,2B,3,0,0,0,0,0,0,0,0,1,4,.200,.200,.200,.400,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,116.0,96.0,100.0,,,,106.0,87.0,91.0,,,,,0.464,0.101,,0.176,1.16,,0.11,,0.95,95.9,85.5,,88.7,,,,,0.111,0.183,0.498,0.167,0.267,0.446,0.2,0.303,0.244,0.236,0.319,0.476,148.0,99.0,109.0,0.26,2.25,81.1,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/08,1:11 PM.,COL,MIL,home,Partly Cloudy.,70,607536,LF,2,0,1,0,0,0,0,1,0,0,0,.500,.500,.500,1.000,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.24,5.11,113.1,103.0,81.0,99.0,0.841,6.75,2.06,10.64,1.75,1.01,0.225,0.421,0.156,0.347,0.435,61.0,100.0,89.0,69.0,104.0,95.0,83.0,106.0,99.0,65.0,103.0,101.0,128.0,102.0,107.0,0.245,0.202,0.227,0.188,0.137,-1.51,-1.33,-1.11,0.07,-1.64,91.6,86.1,91.4,86.9,83.5,0.31,0.556,0.074,0.194,0.276,0.42,0.316,0.589,0.162,0.322,0.522,0.067,0.333,0.647,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
